,종목코드,종목명,날짜,종가,수정여부
0,A000120,CJ대한통운,20210812,169000,비수정
1,A000120,CJ대한통운,20210811,167500,비수정
2,A000120,CJ대한통운,20210810,169000,비수정
3,A000120,CJ대한통운,20210809,169500,비수정
4,A000120,CJ대한통운,20210806,175500,비수정
5,A000120,CJ대한통운,20210805,183000,비수정
6,A000120,CJ대한통운,20210804,176500,비수정
7,A000120,CJ대한통운,20210803,175000,비수정
8,A000120,CJ대한통운,20210802,176500,비수정
9,A000120,CJ대한통운,20210730,176000,비수정
10,A000120,CJ대한통운,20210729,180000,비수정
11,A000120,CJ대한통운,20210728,181000,비수정
12,A000120,CJ대한통운,20210727,182500,비수정
13,A000120,CJ대한통운,20210726,181500,비수정
14,A000120,CJ대한통운,20210723,183000,비수정
15,A000120,CJ대한통운,20210722,183500,비수정
16,A000120,CJ대한통운,20210721,179000,비수정
17,A000120,CJ대한통운,20210720,179500,비수정
18,A000120,CJ대한통운,20210719,183500,비수정
19,A000120,CJ대한통운,20210716,184500,비수정
20,A000120,CJ대한통운,20210715,183000,비수정
21,A000120,CJ대한통운,20210714,183500,비수정
22,A000120,CJ대한통운,20210713,185000,비수정
23,A000120,CJ대한통운,20210712,181000,비수정
24,A000120,CJ대한통운,20210709,181500,비수정
25,A000120,CJ대한통운,20210708,179000,비수정
26,A000120,CJ대한통운,20210707,180500,비수정
27,A000120,CJ대한통운,20210706,181000,비수정
28,A000120,CJ대한통운,20210705,179500,비수정
29,A000120,CJ대한통운,20210702,180000,비수정
30,A000120,CJ대한통운,20210701,182000,비수정
31,A000120,CJ대한통운,20210630,177000,비수정
32,A000120,CJ대한통운,20210629,178000,비수정
33,A000120,CJ대한통운,20210628,180000,비수정
34,A000120,CJ대한통운,20210625,178500,비수정
35,A000120,CJ대한통운,20210624,177500,비수정
36,A000120,CJ대한통운,20210623,177500,비수정
37,A000120,CJ대한통운,20210622,175500,비수정
38,A000120,CJ대한통운,20210621,177500,비수정
39,A000120,CJ대한통운,20210618,178000,비수정
40,A000120,CJ대한통운,20210617,177500,비수정
41,A000120,CJ대한통운,20210616,175000,비수정
42,A000120,CJ대한통운,20210615,166000,비수정
43,A000120,CJ대한통운,20210614,167000,비수정
44,A000120,CJ대한통운,20210611,166500,비수정
45,A000120,CJ대한통운,20210610,165000,비수정
46,A000120,CJ대한통운,20210609,166000,비수정
47,A000120,CJ대한통운,20210608,168000,비수정
48,A000120,CJ대한통운,20210607,166500,비수정
49,A000120,CJ대한통운,20210604,167000,비수정
50,A000120,CJ대한통운,20210603,170000,비수정
51,A000120,CJ대한통운,20210602,168500,비수정
52,A000120,CJ대한통운,20210601,169500,비수정
53,A000120,CJ대한통운,20210531,170000,비수정
54,A000120,CJ대한통운,20210528,170000,비수정
55,A000120,CJ대한통운,20210527,171500,비수정
56,A000120,CJ대한통운,20210526,170500,비수정
57,A000120,CJ대한통운,20210525,169500,비수정
58,A000120,CJ대한통운,20210524,166500,비수정
59,A000120,CJ대한통운,20210521,169500,비수정
60,A000120,CJ대한통운,20210520,170000,비수정
61,A000120,CJ대한통운,20210518,171500,비수정
62,A000120,CJ대한통운,20210517,169500,비수정
63,A000120,CJ대한통운,20210514,170000,비수정
64,A000120,CJ대한통운,20210513,171500,비수정
65,A000120,CJ대한통운,20210512,168500,비수정
66,A000120,CJ대한통운,20210511,170500,비수정
67,A000120,CJ대한통운,20210510,172500,비수정
68,A000120,CJ대한통운,20210507,168500,비수정
69,A000120,CJ대한통운,20210506,170000,비수정
70,A000120,CJ대한통운,20210504,168500,비수정
71,A000120,CJ대한통운,20210503,167500,비수정
72,A000120,CJ대한통운,20210430,171500,비수정
73,A000120,CJ대한통운,20210429,174000,비수정
74,A000120,CJ대한통운,20210428,178500,비수정
75,A000120,CJ대한통운,20210427,179000,비수정
76,A000120,CJ대한통운,20210426,180500,비수정
77,A000120,CJ대한통운,20210423,176000,비수정
78,A000120,CJ대한통운,20210422,177000,비수정
79,A000120,CJ대한통운,20210421,178500,비수정
80,A000120,CJ대한통운,20210420,180000,비수정
81,A000120,CJ대한통운,20210419,179000,비수정
82,A000120,CJ대한통운,20210416,179500,비수정
83,A000120,CJ대한통운,20210415,174500,비수정
84,A000120,CJ대한통운,20210414,176000,비수정
85,A000120,CJ대한통운,20210413,175000,비수정
86,A000120,CJ대한통운,20210412,178000,비수정
87,A000120,CJ대한통운,20210409,178000,비수정
88,A000120,CJ대한통운,20210408,179000,비수정
89,A000120,CJ대한통운,20210407,183000,비수정
90,A000120,CJ대한통운,20210406,183500,비수정
91,A000120,CJ대한통운,20210405,180500,비수정
92,A000120,CJ대한통운,20210402,182000,비수정
93,A000120,CJ대한통운,20210401,180500,비수정
94,A000120,CJ대한통운,20210331,183000,비수정
95,A000120,CJ대한통운,20210330,186500,비수정
96,A000120,CJ대한통운,20210329,189500,비수정
97,A000120,CJ대한통운,20210326,185000,비수정
98,A000120,CJ대한통운,20210325,178500,비수정
99,A000120,CJ대한통운,20210324,180000,비수정
100,A000120,CJ대한통운,20210323,173500,비수정
101,A000120,CJ대한통운,20210322,174000,비수정
102,A000120,CJ대한통운,20210319,169500,비수정
