,종목코드,종목명,날짜,종가,수정여부
0,A042040,케이피엠테크,20210812,3095,수정
1,A042040,케이피엠테크,20210811,3105,수정
2,A042040,케이피엠테크,20210810,3235,수정
3,A042040,케이피엠테크,20210809,3190,수정
4,A042040,케이피엠테크,20210806,3350,수정
5,A042040,케이피엠테크,20210805,3345,수정
6,A042040,케이피엠테크,20210804,3265,수정
7,A042040,케이피엠테크,20210803,3170,수정
8,A042040,케이피엠테크,20210802,3095,수정
9,A042040,케이피엠테크,20210730,3010,수정
10,A042040,케이피엠테크,20210729,3180,수정
11,A042040,케이피엠테크,20210728,3225,수정
12,A042040,케이피엠테크,20210727,3120,수정
13,A042040,케이피엠테크,20210726,3165,수정
14,A042040,케이피엠테크,20210723,3290,수정
15,A042040,케이피엠테크,20210722,3330,수정
16,A042040,케이피엠테크,20210721,3325,수정
17,A042040,케이피엠테크,20210720,3440,수정
18,A042040,케이피엠테크,20210719,3210,수정
19,A042040,케이피엠테크,20210716,3260,수정
20,A042040,케이피엠테크,20210715,3125,수정
21,A042040,케이피엠테크,20210714,3195,수정
22,A042040,케이피엠테크,20210713,3160,수정
23,A042040,케이피엠테크,20210712,3280,수정
24,A042040,케이피엠테크,20210709,3250,수정
25,A042040,케이피엠테크,20210708,2990,수정
26,A042040,케이피엠테크,20210707,3000,수정
27,A042040,케이피엠테크,20210706,3005,수정
28,A042040,케이피엠테크,20210705,3015,수정
29,A042040,케이피엠테크,20210702,3040,수정
30,A042040,케이피엠테크,20210701,2990,수정
31,A042040,케이피엠테크,20210630,2980,수정
32,A042040,케이피엠테크,20210629,2940,수정
33,A042040,케이피엠테크,20210628,2995,수정
34,A042040,케이피엠테크,20210625,2995,수정
35,A042040,케이피엠테크,20210624,2985,수정
36,A042040,케이피엠테크,20210623,3040,수정
37,A042040,케이피엠테크,20210622,2925,수정
38,A042040,케이피엠테크,20210621,2955,수정
39,A042040,케이피엠테크,20210618,2930,수정
40,A042040,케이피엠테크,20210617,2900,수정
41,A042040,케이피엠테크,20210616,2925,수정
42,A042040,케이피엠테크,20210615,2920,수정
43,A042040,케이피엠테크,20210614,2965,수정
44,A042040,케이피엠테크,20210611,2905,수정
45,A042040,케이피엠테크,20210610,2930,수정
46,A042040,케이피엠테크,20210609,2930,수정
47,A042040,케이피엠테크,20210608,3010,수정
48,A042040,케이피엠테크,20210607,2995,수정
49,A042040,케이피엠테크,20210604,3030,수정
50,A042040,케이피엠테크,20210603,3070,수정
51,A042040,케이피엠테크,20210602,3070,수정
52,A042040,케이피엠테크,20210601,3055,수정
53,A042040,케이피엠테크,20210531,3110,수정
54,A042040,케이피엠테크,20210528,3270,수정
55,A042040,케이피엠테크,20210527,3235,수정
56,A042040,케이피엠테크,20210526,3155,수정
57,A042040,케이피엠테크,20210525,3145,수정
58,A042040,케이피엠테크,20210524,3145,수정
59,A042040,케이피엠테크,20210521,3290,수정
60,A042040,케이피엠테크,20210520,3115,수정
61,A042040,케이피엠테크,20210518,3135,수정
62,A042040,케이피엠테크,20210517,3045,수정
63,A042040,케이피엠테크,20210514,3130,수정
64,A042040,케이피엠테크,20210513,2860,수정
65,A042040,케이피엠테크,20210512,2910,수정
66,A042040,케이피엠테크,20210511,2940,수정
67,A042040,케이피엠테크,20210510,3000,수정
68,A042040,케이피엠테크,20210507,2935,수정
69,A042040,케이피엠테크,20210506,2960,수정
70,A042040,케이피엠테크,20210504,2800,수정
71,A042040,케이피엠테크,20210503,2925,수정
72,A042040,케이피엠테크,20210430,2895,수정
73,A042040,케이피엠테크,20210429,2975,수정
74,A042040,케이피엠테크,20210428,2995,수정
75,A042040,케이피엠테크,20210427,3095,수정
76,A042040,케이피엠테크,20210426,3180,수정
77,A042040,케이피엠테크,20210423,3060,수정
78,A042040,케이피엠테크,20210422,3100,수정
79,A042040,케이피엠테크,20210421,3020,수정
80,A042040,케이피엠테크,20210420,2970,수정
81,A042040,케이피엠테크,20210419,2980,수정
82,A042040,케이피엠테크,20210416,2930,수정
83,A042040,케이피엠테크,20210415,2925,수정
84,A042040,케이피엠테크,20210414,3010,수정
85,A042040,케이피엠테크,20210413,3000,수정
86,A042040,케이피엠테크,20210412,3120,수정
87,A042040,케이피엠테크,20210409,2940,수정
88,A042040,케이피엠테크,20210408,2835,수정
89,A042040,케이피엠테크,20210407,2870,수정
90,A042040,케이피엠테크,20210406,2860,수정
91,A042040,케이피엠테크,20210405,2900,수정
92,A042040,케이피엠테크,20210402,2850,수정
93,A042040,케이피엠테크,20210401,2835,수정
94,A042040,케이피엠테크,20210331,2905,수정
95,A042040,케이피엠테크,20210330,3000,수정
96,A042040,케이피엠테크,20210329,2935,수정
97,A042040,케이피엠테크,20210326,2800,수정
98,A042040,케이피엠테크,20210325,2785,수정
99,A042040,케이피엠테크,20210324,2740,수정
100,A042040,케이피엠테크,20210323,2855,수정
101,A042040,케이피엠테크,20210322,2870,수정
102,A042040,케이피엠테크,20210319,2910,수정
103,A042040,케이피엠테크,20210318,2995,수정
104,A042040,케이피엠테크,20210317,3005,수정
105,A042040,케이피엠테크,20210316,2900,수정
106,A042040,케이피엠테크,20210315,3010,수정
107,A042040,케이피엠테크,20210312,2850,수정
108,A042040,케이피엠테크,20210311,2735,수정
109,A042040,케이피엠테크,20210310,2625,수정
110,A042040,케이피엠테크,20210309,2825,수정
111,A042040,케이피엠테크,20210308,2980,수정
112,A042040,케이피엠테크,20210305,2975,수정
113,A042040,케이피엠테크,20210304,2495,수정
114,A042040,케이피엠테크,20210303,2510,수정
115,A042040,케이피엠테크,20210302,2555,수정
116,A042040,케이피엠테크,20210226,2565,수정
117,A042040,케이피엠테크,20210225,2510,수정
118,A042040,케이피엠테크,20210224,2455,수정
119,A042040,케이피엠테크,20210223,2575,수정
120,A042040,케이피엠테크,20210222,2670,수정
121,A042040,케이피엠테크,20210219,2610,수정
122,A042040,케이피엠테크,20210218,2585,수정
123,A042040,케이피엠테크,20210217,2660,수정
124,A042040,케이피엠테크,20210216,2625,수정
125,A042040,케이피엠테크,20210215,2700,수정
126,A042040,케이피엠테크,20210210,2600,수정
127,A042040,케이피엠테크,20210209,2620,수정
128,A042040,케이피엠테크,20210208,2620,수정
129,A042040,케이피엠테크,20210205,2690,수정
130,A042040,케이피엠테크,20210204,2690,수정
131,A042040,케이피엠테크,20210203,2660,수정
132,A042040,케이피엠테크,20210202,2770,수정
133,A042040,케이피엠테크,20210201,2760,수정
134,A042040,케이피엠테크,20210129,2450,수정
135,A042040,케이피엠테크,20210128,2585,수정
136,A042040,케이피엠테크,20210127,2710,수정
137,A042040,케이피엠테크,20210126,2815,수정
138,A042040,케이피엠테크,20210125,2910,수정
139,A042040,케이피엠테크,20210122,2700,수정
140,A042040,케이피엠테크,20210121,2545,수정
141,A042040,케이피엠테크,20210120,2620,수정
142,A042040,케이피엠테크,20210119,2690,수정
143,A042040,케이피엠테크,20210118,2540,수정
144,A042040,케이피엠테크,20210115,2615,수정
145,A042040,케이피엠테크,20210114,2690,수정
146,A042040,케이피엠테크,20210113,2800,수정
147,A042040,케이피엠테크,20210112,2790,수정
148,A042040,케이피엠테크,20210111,2880,수정
149,A042040,케이피엠테크,20210108,3020,수정
150,A042040,케이피엠테크,20210107,3115,수정
151,A042040,케이피엠테크,20210106,2995,수정
152,A042040,케이피엠테크,20210105,3010,수정
153,A042040,케이피엠테크,20210104,3025,수정
