,종목코드,종목명,날짜,종가
0,A095570,AJ네트웍스,20210812,6140
1,A095570,AJ네트웍스,20210811,5970
2,A095570,AJ네트웍스,20210810,6070
3,A095570,AJ네트웍스,20210809,6050
4,A095570,AJ네트웍스,20210806,6040
5,A095570,AJ네트웍스,20210805,6030
6,A095570,AJ네트웍스,20210804,5960
7,A095570,AJ네트웍스,20210803,5990
8,A095570,AJ네트웍스,20210802,6000
9,A095570,AJ네트웍스,20210730,5860
10,A095570,AJ네트웍스,20210729,5890
11,A095570,AJ네트웍스,20210728,5800
12,A095570,AJ네트웍스,20210727,5810
13,A095570,AJ네트웍스,20210726,5990
14,A095570,AJ네트웍스,20210723,6190
15,A095570,AJ네트웍스,20210722,6790
16,A095570,AJ네트웍스,20210721,6580
17,A095570,AJ네트웍스,20210720,6500
18,A095570,AJ네트웍스,20210719,6600
19,A095570,AJ네트웍스,20210716,6250
20,A095570,AJ네트웍스,20210715,6200
21,A095570,AJ네트웍스,20210714,6330
22,A095570,AJ네트웍스,20210713,5920
23,A095570,AJ네트웍스,20210712,5910
24,A095570,AJ네트웍스,20210709,5850
25,A095570,AJ네트웍스,20210708,5880
26,A095570,AJ네트웍스,20210707,6060
27,A095570,AJ네트웍스,20210706,6030
28,A095570,AJ네트웍스,20210705,6000
29,A095570,AJ네트웍스,20210702,5970
30,A095570,AJ네트웍스,20210701,6000
31,A095570,AJ네트웍스,20210630,6080
32,A095570,AJ네트웍스,20210629,6090
33,A095570,AJ네트웍스,20210628,6110
34,A095570,AJ네트웍스,20210625,5970
35,A095570,AJ네트웍스,20210624,5910
36,A095570,AJ네트웍스,20210623,5870
37,A095570,AJ네트웍스,20210622,6010
38,A095570,AJ네트웍스,20210621,6110
39,A095570,AJ네트웍스,20210618,5780
40,A095570,AJ네트웍스,20210617,5730
41,A095570,AJ네트웍스,20210616,5710
42,A095570,AJ네트웍스,20210615,5780
43,A095570,AJ네트웍스,20210614,5800
44,A095570,AJ네트웍스,20210611,5800
45,A095570,AJ네트웍스,20210610,5350
46,A095570,AJ네트웍스,20210609,5310
47,A095570,AJ네트웍스,20210608,5480
48,A095570,AJ네트웍스,20210607,5420
49,A095570,AJ네트웍스,20210604,5570
50,A095570,AJ네트웍스,20210603,5720
51,A095570,AJ네트웍스,20210602,5800
52,A095570,AJ네트웍스,20210601,5780
53,A095570,AJ네트웍스,20210531,5920
54,A095570,AJ네트웍스,20210528,5880
55,A095570,AJ네트웍스,20210527,5790
56,A095570,AJ네트웍스,20210526,5600
57,A095570,AJ네트웍스,20210525,5800
58,A095570,AJ네트웍스,20210524,5610
59,A095570,AJ네트웍스,20210521,5800
60,A095570,AJ네트웍스,20210520,5820
61,A095570,AJ네트웍스,20210518,6190
62,A095570,AJ네트웍스,20210517,6180
63,A095570,AJ네트웍스,20210514,6260
64,A095570,AJ네트웍스,20210513,6120
65,A095570,AJ네트웍스,20210512,6150
66,A095570,AJ네트웍스,20210511,6280
67,A095570,AJ네트웍스,20210510,6140
68,A095570,AJ네트웍스,20210507,5910
69,A095570,AJ네트웍스,20210506,5890
70,A095570,AJ네트웍스,20210504,5820
71,A095570,AJ네트웍스,20210503,5760
72,A095570,AJ네트웍스,20210430,5560
73,A095570,AJ네트웍스,20210429,5340
74,A095570,AJ네트웍스,20210428,5270
75,A095570,AJ네트웍스,20210427,5390
76,A095570,AJ네트웍스,20210426,5060
77,A095570,AJ네트웍스,20210423,5080
78,A095570,AJ네트웍스,20210422,5100
79,A095570,AJ네트웍스,20210421,5020
80,A095570,AJ네트웍스,20210420,5040
81,A095570,AJ네트웍스,20210419,5050
82,A095570,AJ네트웍스,20210416,4950
83,A095570,AJ네트웍스,20210415,4995
84,A095570,AJ네트웍스,20210414,4990
85,A095570,AJ네트웍스,20210413,4935
86,A095570,AJ네트웍스,20210412,5040
87,A095570,AJ네트웍스,20210409,4995
88,A095570,AJ네트웍스,20210408,4870
89,A095570,AJ네트웍스,20210407,5020
90,A095570,AJ네트웍스,20210406,4925
91,A095570,AJ네트웍스,20210405,4780
92,A095570,AJ네트웍스,20210402,4715
93,A095570,AJ네트웍스,20210401,4620
94,A095570,AJ네트웍스,20210331,4505
95,A095570,AJ네트웍스,20210330,4440
96,A095570,AJ네트웍스,20210329,4435
97,A095570,AJ네트웍스,20210326,4400
