,종목코드,종목명,날짜,종가
0,A333950,ARIRANG KS로우사이즈가중TR,20210812,17955
1,A333950,ARIRANG KS로우사이즈가중TR,20210811,17915
2,A333950,ARIRANG KS로우사이즈가중TR,20210810,18015
3,A333950,ARIRANG KS로우사이즈가중TR,20210809,18215
4,A333950,ARIRANG KS로우사이즈가중TR,20210806,18315
5,A333950,ARIRANG KS로우사이즈가중TR,20210805,18370
6,A333950,ARIRANG KS로우사이즈가중TR,20210804,18335
7,A333950,ARIRANG KS로우사이즈가중TR,20210803,18090
8,A333950,ARIRANG KS로우사이즈가중TR,20210802,18000
9,A333950,ARIRANG KS로우사이즈가중TR,20210730,18045
10,A333950,ARIRANG KS로우사이즈가중TR,20210729,18170
11,A333950,ARIRANG KS로우사이즈가중TR,20210728,18095
12,A333950,ARIRANG KS로우사이즈가중TR,20210727,18095
13,A333950,ARIRANG KS로우사이즈가중TR,20210726,18010
14,A333950,ARIRANG KS로우사이즈가중TR,20210723,18215
15,A333950,ARIRANG KS로우사이즈가중TR,20210722,18115
16,A333950,ARIRANG KS로우사이즈가중TR,20210721,17960
17,A333950,ARIRANG KS로우사이즈가중TR,20210720,18080
18,A333950,ARIRANG KS로우사이즈가중TR,20210719,18145
19,A333950,ARIRANG KS로우사이즈가중TR,20210716,18300
20,A333950,ARIRANG KS로우사이즈가중TR,20210715,18295
21,A333950,ARIRANG KS로우사이즈가중TR,20210714,18135
22,A333950,ARIRANG KS로우사이즈가중TR,20210713,18120
23,A333950,ARIRANG KS로우사이즈가중TR,20210712,17985
24,A333950,ARIRANG KS로우사이즈가중TR,20210709,17860
25,A333950,ARIRANG KS로우사이즈가중TR,20210708,18050
26,A333950,ARIRANG KS로우사이즈가중TR,20210707,18225
27,A333950,ARIRANG KS로우사이즈가중TR,20210706,18325
28,A333950,ARIRANG KS로우사이즈가중TR,20210705,18225
29,A333950,ARIRANG KS로우사이즈가중TR,20210702,18260
30,A333950,ARIRANG KS로우사이즈가중TR,20210701,18235
31,A333950,ARIRANG KS로우사이즈가중TR,20210630,18280
32,A333950,ARIRANG KS로우사이즈가중TR,20210629,18140
33,A333950,ARIRANG KS로우사이즈가중TR,20210628,18165
34,A333950,ARIRANG KS로우사이즈가중TR,20210625,18165
35,A333950,ARIRANG KS로우사이즈가중TR,20210624,18050
36,A333950,ARIRANG KS로우사이즈가중TR,20210623,18000
37,A333950,ARIRANG KS로우사이즈가중TR,20210622,18000
38,A333950,ARIRANG KS로우사이즈가중TR,20210621,17810
39,A333950,ARIRANG KS로우사이즈가중TR,20210618,18035
40,A333950,ARIRANG KS로우사이즈가중TR,20210617,17900
41,A333950,ARIRANG KS로우사이즈가중TR,20210616,18070
42,A333950,ARIRANG KS로우사이즈가중TR,20210615,17955
43,A333950,ARIRANG KS로우사이즈가중TR,20210614,17865
44,A333950,ARIRANG KS로우사이즈가중TR,20210611,17935
45,A333950,ARIRANG KS로우사이즈가중TR,20210610,17805
46,A333950,ARIRANG KS로우사이즈가중TR,20210609,17800
47,A333950,ARIRANG KS로우사이즈가중TR,20210608,17945
48,A333950,ARIRANG KS로우사이즈가중TR,20210607,18040
49,A333950,ARIRANG KS로우사이즈가중TR,20210604,17980
50,A333950,ARIRANG KS로우사이즈가중TR,20210603,17965
51,A333950,ARIRANG KS로우사이즈가중TR,20210602,17845
52,A333950,ARIRANG KS로우사이즈가중TR,20210601,17720
53,A333950,ARIRANG KS로우사이즈가중TR,20210531,17700
54,A333950,ARIRANG KS로우사이즈가중TR,20210528,17545
55,A333950,ARIRANG KS로우사이즈가중TR,20210527,17410
56,A333950,ARIRANG KS로우사이즈가중TR,20210526,17335
57,A333950,ARIRANG KS로우사이즈가중TR,20210525,17270
58,A333950,ARIRANG KS로우사이즈가중TR,20210524,17120
59,A333950,ARIRANG KS로우사이즈가중TR,20210521,17280
60,A333950,ARIRANG KS로우사이즈가중TR,20210520,17350
61,A333950,ARIRANG KS로우사이즈가중TR,20210518,17385
62,A333950,ARIRANG KS로우사이즈가중TR,20210517,17190
63,A333950,ARIRANG KS로우사이즈가중TR,20210514,17350
64,A333950,ARIRANG KS로우사이즈가중TR,20210513,17170
65,A333950,ARIRANG KS로우사이즈가중TR,20210512,17345
66,A333950,ARIRANG KS로우사이즈가중TR,20210511,17570
67,A333950,ARIRANG KS로우사이즈가중TR,20210510,17660
68,A333950,ARIRANG KS로우사이즈가중TR,20210507,17355
69,A333950,ARIRANG KS로우사이즈가중TR,20210506,17190
70,A333950,ARIRANG KS로우사이즈가중TR,20210504,16995
71,A333950,ARIRANG KS로우사이즈가중TR,20210503,16955
72,A333950,ARIRANG KS로우사이즈가중TR,20210430,17180
73,A333950,ARIRANG KS로우사이즈가중TR,20210429,17160
74,A333950,ARIRANG KS로우사이즈가중TR,20210428,17240
75,A333950,ARIRANG KS로우사이즈가중TR,20210427,17485
76,A333950,ARIRANG KS로우사이즈가중TR,20210426,17400
77,A333950,ARIRANG KS로우사이즈가중TR,20210423,17285
78,A333950,ARIRANG KS로우사이즈가중TR,20210422,17265
79,A333950,ARIRANG KS로우사이즈가중TR,20210421,17150
80,A333950,ARIRANG KS로우사이즈가중TR,20210420,17410
81,A333950,ARIRANG KS로우사이즈가중TR,20210419,17215
82,A333950,ARIRANG KS로우사이즈가중TR,20210416,17125
83,A333950,ARIRANG KS로우사이즈가중TR,20210415,17050
84,A333950,ARIRANG KS로우사이즈가중TR,20210414,17095
85,A333950,ARIRANG KS로우사이즈가중TR,20210413,17080
86,A333950,ARIRANG KS로우사이즈가중TR,20210412,16925
87,A333950,ARIRANG KS로우사이즈가중TR,20210409,16965
88,A333950,ARIRANG KS로우사이즈가중TR,20210408,16895
89,A333950,ARIRANG KS로우사이즈가중TR,20210407,16840
90,A333950,ARIRANG KS로우사이즈가중TR,20210406,16840
91,A333950,ARIRANG KS로우사이즈가중TR,20210405,16725
92,A333950,ARIRANG KS로우사이즈가중TR,20210402,16625
93,A333950,ARIRANG KS로우사이즈가중TR,20210401,16530
94,A333950,ARIRANG KS로우사이즈가중TR,20210331,16500
