,종목코드,종목명,날짜,종가
0,A332610,ARIRANG 미국단기우량회사채,20210812,97850
1,A332610,ARIRANG 미국단기우량회사채,20210811,97630
2,A332610,ARIRANG 미국단기우량회사채,20210810,97620
3,A332610,ARIRANG 미국단기우량회사채,20210809,96930
4,A332610,ARIRANG 미국단기우량회사채,20210806,96750
5,A332610,ARIRANG 미국단기우량회사채,20210805,97240
6,A332610,ARIRANG 미국단기우량회사채,20210804,97390
7,A332610,ARIRANG 미국단기우량회사채,20210803,97630
8,A332610,ARIRANG 미국단기우량회사채,20210802,98050
9,A332610,ARIRANG 미국단기우량회사채,20210730,97700
10,A332610,ARIRANG 미국단기우량회사채,20210729,97290
11,A332610,ARIRANG 미국단기우량회사채,20210728,98050
12,A332610,ARIRANG 미국단기우량회사채,20210727,97750
13,A332610,ARIRANG 미국단기우량회사채,20210726,97900
14,A332610,ARIRANG 미국단기우량회사채,20210723,97620
15,A332610,ARIRANG 미국단기우량회사채,20210722,97710
16,A332610,ARIRANG 미국단기우량회사채,20210721,97540
17,A332610,ARIRANG 미국단기우량회사채,20210720,96890
18,A332610,ARIRANG 미국단기우량회사채,20210719,96755
19,A332610,ARIRANG 미국단기우량회사채,20210716,96640
20,A332610,ARIRANG 미국단기우량회사채,20210715,96980
21,A332610,ARIRANG 미국단기우량회사채,20210714,97450
22,A332610,ARIRANG 미국단기우량회사채,20210713,97280
23,A332610,ARIRANG 미국단기우량회사채,20210712,97300
24,A332610,ARIRANG 미국단기우량회사채,20210709,97110
25,A332610,ARIRANG 미국단기우량회사채,20210708,96820
26,A332610,ARIRANG 미국단기우량회사채,20210707,96450
27,A332610,ARIRANG 미국단기우량회사채,20210706,96110
28,A332610,ARIRANG 미국단기우량회사채,20210705,96100
29,A332610,ARIRANG 미국단기우량회사채,20210702,96310
30,A332610,ARIRANG 미국단기우량회사채,20210701,95970
31,A332610,ARIRANG 미국단기우량회사채,20210630,95670
32,A332610,ARIRANG 미국단기우량회사채,20210629,96020
33,A332610,ARIRANG 미국단기우량회사채,20210628,95895
34,A332610,ARIRANG 미국단기우량회사채,20210625,95790
35,A332610,ARIRANG 미국단기우량회사채,20210624,95920
36,A332610,ARIRANG 미국단기우량회사채,20210623,96090
37,A332610,ARIRANG 미국단기우량회사채,20210622,95750
38,A332610,ARIRANG 미국단기우량회사채,20210621,96170
39,A332610,ARIRANG 미국단기우량회사채,20210618,95700
40,A332610,ARIRANG 미국단기우량회사채,20210617,95530
41,A332610,ARIRANG 미국단기우량회사채,20210616,94645
42,A332610,ARIRANG 미국단기우량회사채,20210615,94670
43,A332610,ARIRANG 미국단기우량회사채,20210614,94990
44,A332610,ARIRANG 미국단기우량회사채,20210611,94470
45,A332610,ARIRANG 미국단기우량회사채,20210610,94920
46,A332610,ARIRANG 미국단기우량회사채,20210609,94800
47,A332610,ARIRANG 미국단기우량회사채,20210608,94395
48,A332610,ARIRANG 미국단기우량회사채,20210607,94390
49,A332610,ARIRANG 미국단기우량회사채,20210604,94650
50,A332610,ARIRANG 미국단기우량회사채,20210603,94500
51,A332610,ARIRANG 미국단기우량회사채,20210602,94370
52,A332610,ARIRANG 미국단기우량회사채,20210601,93660
53,A332610,ARIRANG 미국단기우량회사채,20210531,94510
54,A332610,ARIRANG 미국단기우량회사채,20210528,94670
55,A332610,ARIRANG 미국단기우량회사채,20210527,94680
56,A332610,ARIRANG 미국단기우량회사채,20210526,94975
57,A332610,ARIRANG 미국단기우량회사채,20210525,95450
58,A332610,ARIRANG 미국단기우량회사채,20210524,95910
59,A332610,ARIRANG 미국단기우량회사채,20210521,95815
60,A332610,ARIRANG 미국단기우량회사채,20210520,96230
61,A332610,ARIRANG 미국단기우량회사채,20210518,96230
62,A332610,ARIRANG 미국단기우량회사채,20210517,95950
63,A332610,ARIRANG 미국단기우량회사채,20210514,95980
64,A332610,ARIRANG 미국단기우량회사채,20210513,96070
65,A332610,ARIRANG 미국단기우량회사채,20210512,95335
66,A332610,ARIRANG 미국단기우량회사채,20210511,95210
67,A332610,ARIRANG 미국단기우량회사채,20210510,94800
68,A332610,ARIRANG 미국단기우량회사채,20210507,94930
69,A332610,ARIRANG 미국단기우량회사채,20210506,95670
70,A332610,ARIRANG 미국단기우량회사채,20210504,95200
71,A332610,ARIRANG 미국단기우량회사채,20210503,95160
72,A332610,ARIRANG 미국단기우량회사채,20210430,94175
73,A332610,ARIRANG 미국단기우량회사채,20210429,94230
74,A332610,ARIRANG 미국단기우량회사채,20210428,94310
75,A332610,ARIRANG 미국단기우량회사채,20210427,94190
76,A332610,ARIRANG 미국단기우량회사채,20210426,94830
77,A332610,ARIRANG 미국단기우량회사채,20210423,95060
78,A332610,ARIRANG 미국단기우량회사채,20210422,94760
79,A332610,ARIRANG 미국단기우량회사채,20210421,94640
80,A332610,ARIRANG 미국단기우량회사채,20210420,94390
81,A332610,ARIRANG 미국단기우량회사채,20210419,94640
82,A332610,ARIRANG 미국단기우량회사채,20210416,94640
83,A332610,ARIRANG 미국단기우량회사채,20210415,94850
84,A332610,ARIRANG 미국단기우량회사채,20210414,94570
85,A332610,ARIRANG 미국단기우량회사채,20210413,95420
86,A332610,ARIRANG 미국단기우량회사채,20210412,95430
87,A332610,ARIRANG 미국단기우량회사채,20210409,94670
88,A332610,ARIRANG 미국단기우량회사채,20210408,94810
89,A332610,ARIRANG 미국단기우량회사채,20210407,94800
90,A332610,ARIRANG 미국단기우량회사채,20210406,95150
