,종목코드,종목명,날짜,종가
0,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210812,9175
1,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210811,9180
2,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210810,9185
3,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210809,9210
4,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210806,9180
5,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210805,9120
6,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210804,9100
7,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210803,9265
8,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210802,9270
9,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210730,9300
10,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210729,9270
11,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210728,9490
12,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210727,9425
13,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210726,9295
14,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210723,9055
15,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210722,9045
16,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210721,9160
17,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210720,9150
18,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210719,9040
19,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210716,8905
20,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210715,8880
21,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210714,8985
22,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210713,8930
23,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210712,9075
24,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210709,9130
25,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210708,9065
26,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210707,8970
27,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210706,8900
28,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210705,8865
29,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210702,8855
30,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210701,8690
31,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210630,8735
32,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210629,8765
33,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210628,8735
34,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210625,8750
35,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210624,8855
36,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210623,8885
37,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210622,8895
38,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210621,8965
39,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210618,8865
40,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210617,8865
41,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210616,8805
42,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210615,8740
43,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210614,8735
44,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210611,8735
45,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210610,8775
46,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210609,8790
47,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210608,8760
48,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210607,8745
49,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210604,8745
50,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210603,8690
51,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210602,8750
52,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210601,8765
53,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210531,8855
54,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210528,8930
55,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210527,8930
56,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210526,8955
57,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210525,8955
58,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210524,9110
59,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210521,9110
60,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210520,9150
61,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210518,9150
62,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210517,9215
63,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210514,9260
64,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210513,9260
65,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210512,9170
66,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210511,9090
67,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210510,9010
68,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210507,9040
69,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210506,9105
70,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210504,9105
71,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210503,9095
72,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210430,8945
73,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210429,8890
74,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210428,8970
75,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210427,8960
76,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210426,8975
77,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210423,9020
78,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210422,9015
79,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210421,9140
80,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210420,8935
81,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210419,9035
82,A373530,ARIRANG 신흥국MSCI인버스(합성 H),20210416,9100
