,종목코드,종목명,날짜,종가
0,A122090,ARIRANG 코스피50,20210812,29720
1,A122090,ARIRANG 코스피50,20210811,29770
2,A122090,ARIRANG 코스피50,20210810,30045
3,A122090,ARIRANG 코스피50,20210809,30295
4,A122090,ARIRANG 코스피50,20210806,30320
5,A122090,ARIRANG 코스피50,20210805,30470
6,A122090,ARIRANG 코스피50,20210804,30510
7,A122090,ARIRANG 코스피50,20210803,30165
8,A122090,ARIRANG 코스피50,20210802,29905
9,A122090,ARIRANG 코스피50,20210730,29685
10,A122090,ARIRANG 코스피50,20210729,30065
11,A122090,ARIRANG 코스피50,20210728,30050
12,A122090,ARIRANG 코스피50,20210727,29990
13,A122090,ARIRANG 코스피50,20210726,29935
14,A122090,ARIRANG 코스피50,20210723,30175
15,A122090,ARIRANG 코스피50,20210722,30180
16,A122090,ARIRANG 코스피50,20210721,29800
17,A122090,ARIRANG 코스피50,20210720,29985
18,A122090,ARIRANG 코스피50,20210719,30065
19,A122090,ARIRANG 코스피50,20210716,30445
20,A122090,ARIRANG 코스피50,20210715,30565
21,A122090,ARIRANG 코스피50,20210714,30320
22,A122090,ARIRANG 코스피50,20210713,30365
23,A122090,ARIRANG 코스피50,20210712,30200
24,A122090,ARIRANG 코스피50,20210709,29960
25,A122090,ARIRANG 코스피50,20210708,30305
26,A122090,ARIRANG 코스피50,20210707,30500
27,A122090,ARIRANG 코스피50,20210706,30685
28,A122090,ARIRANG 코스피50,20210705,30520
29,A122090,ARIRANG 코스피50,20210702,30475
30,A122090,ARIRANG 코스피50,20210701,30530
31,A122090,ARIRANG 코스피50,20210630,30730
32,A122090,ARIRANG 코스피50,20210629,30470
33,A122090,ARIRANG 코스피50,20210628,30660
34,A122090,ARIRANG 코스피50,20210625,30740
35,A122090,ARIRANG 코스피50,20210624,30675
36,A122090,ARIRANG 코스피50,20210623,30515
37,A122090,ARIRANG 코스피50,20210622,30300
38,A122090,ARIRANG 코스피50,20210621,30100
39,A122090,ARIRANG 코스피50,20210618,30325
40,A122090,ARIRANG 코스피50,20210617,30280
41,A122090,ARIRANG 코스피50,20210616,30400
42,A122090,ARIRANG 코스피50,20210615,30230
