,辆格内靛,辆格疙,朝楼,辆啊
0,A001465,BYC快,20210812,179000
1,A001465,BYC快,20210811,179500
2,A001465,BYC快,20210810,179000
3,A001465,BYC快,20210809,177000
4,A001465,BYC快,20210806,179500
5,A001465,BYC快,20210805,180000
6,A001465,BYC快,20210804,179500
7,A001465,BYC快,20210803,178500
8,A001465,BYC快,20210802,180000
9,A001465,BYC快,20210730,179000
10,A001465,BYC快,20210729,179000
11,A001465,BYC快,20210728,178000
12,A001465,BYC快,20210727,176500
13,A001465,BYC快,20210726,179000
14,A001465,BYC快,20210723,181000
15,A001465,BYC快,20210722,179000
16,A001465,BYC快,20210721,178500
17,A001465,BYC快,20210720,180000
18,A001465,BYC快,20210719,183000
19,A001465,BYC快,20210716,184500
20,A001465,BYC快,20210715,185000
21,A001465,BYC快,20210714,183500
22,A001465,BYC快,20210713,184500
23,A001465,BYC快,20210712,183500
24,A001465,BYC快,20210709,184000
25,A001465,BYC快,20210708,184500
26,A001465,BYC快,20210707,188000
27,A001465,BYC快,20210706,187000
28,A001465,BYC快,20210705,185500
29,A001465,BYC快,20210702,185000
30,A001465,BYC快,20210701,187500
31,A001465,BYC快,20210630,186000
32,A001465,BYC快,20210629,186500
33,A001465,BYC快,20210628,186500
34,A001465,BYC快,20210625,186000
35,A001465,BYC快,20210624,188000
36,A001465,BYC快,20210623,188000
37,A001465,BYC快,20210622,187000
38,A001465,BYC快,20210621,186000
39,A001465,BYC快,20210618,190000
40,A001465,BYC快,20210617,190500
41,A001465,BYC快,20210616,190500
42,A001465,BYC快,20210615,190500
43,A001465,BYC快,20210614,190000
44,A001465,BYC快,20210611,191000
45,A001465,BYC快,20210610,190000
46,A001465,BYC快,20210609,189500
47,A001465,BYC快,20210608,191500
48,A001465,BYC快,20210607,192000
49,A001465,BYC快,20210604,193000
50,A001465,BYC快,20210603,191000
51,A001465,BYC快,20210602,193500
52,A001465,BYC快,20210601,193500
53,A001465,BYC快,20210531,187500
54,A001465,BYC快,20210528,177500
55,A001465,BYC快,20210527,168500
56,A001465,BYC快,20210526,170500
57,A001465,BYC快,20210525,170000
58,A001465,BYC快,20210524,170000
59,A001465,BYC快,20210521,170000
60,A001465,BYC快,20210520,170000
61,A001465,BYC快,20210518,168500
62,A001465,BYC快,20210517,171000
63,A001465,BYC快,20210514,171000
64,A001465,BYC快,20210513,168000
65,A001465,BYC快,20210512,170000
66,A001465,BYC快,20210511,170500
67,A001465,BYC快,20210510,171000
68,A001465,BYC快,20210507,167500
69,A001465,BYC快,20210506,162000
70,A001465,BYC快,20210504,161000
71,A001465,BYC快,20210503,161000
72,A001465,BYC快,20210430,160000
73,A001465,BYC快,20210429,160500
74,A001465,BYC快,20210428,160500
75,A001465,BYC快,20210427,160000
76,A001465,BYC快,20210426,160500
77,A001465,BYC快,20210423,160000
78,A001465,BYC快,20210422,160500
79,A001465,BYC快,20210421,158000
80,A001465,BYC快,20210420,159000
81,A001465,BYC快,20210419,158500
82,A001465,BYC快,20210416,162000
83,A001465,BYC快,20210415,162000
84,A001465,BYC快,20210414,161500
85,A001465,BYC快,20210413,162000
86,A001465,BYC快,20210412,162500
87,A001465,BYC快,20210409,163000
88,A001465,BYC快,20210408,162500
89,A001465,BYC快,20210407,161500
90,A001465,BYC快,20210406,159000
91,A001465,BYC快,20210405,157500
92,A001465,BYC快,20210402,156500
93,A001465,BYC快,20210401,151000
94,A001465,BYC快,20210331,151500
95,A001465,BYC快,20210330,149500
96,A001465,BYC快,20210329,149500
97,A001465,BYC快,20210326,150000
98,A001465,BYC快,20210325,149500
99,A001465,BYC快,20210324,150000
100,A001465,BYC快,20210323,152000
101,A001465,BYC快,20210322,153000
102,A001465,BYC快,20210319,153000
103,A001465,BYC快,20210318,152500
104,A001465,BYC快,20210317,155000
105,A001465,BYC快,20210316,159000
106,A001465,BYC快,20210315,159000
107,A001465,BYC快,20210312,159500
108,A001465,BYC快,20210311,159500
109,A001465,BYC快,20210310,157000
110,A001465,BYC快,20210309,160000
111,A001465,BYC快,20210308,160000
112,A001465,BYC快,20210305,160000
113,A001465,BYC快,20210304,160000
114,A001465,BYC快,20210303,161000
115,A001465,BYC快,20210302,158500
116,A001465,BYC快,20210226,161500
117,A001465,BYC快,20210225,162000
118,A001465,BYC快,20210224,161000
119,A001465,BYC快,20210223,160500
120,A001465,BYC快,20210222,160500
121,A001465,BYC快,20210219,157000
122,A001465,BYC快,20210218,152500
123,A001465,BYC快,20210217,149500
124,A001465,BYC快,20210216,149500
125,A001465,BYC快,20210215,150000
126,A001465,BYC快,20210210,150000
127,A001465,BYC快,20210209,149000
128,A001465,BYC快,20210208,148000
129,A001465,BYC快,20210205,147000
130,A001465,BYC快,20210204,146000
131,A001465,BYC快,20210203,146000
132,A001465,BYC快,20210202,144000
133,A001465,BYC快,20210201,140500
134,A001465,BYC快,20210129,139500
135,A001465,BYC快,20210128,147500
136,A001465,BYC快,20210127,149500
137,A001465,BYC快,20210126,151000
138,A001465,BYC快,20210125,149500
139,A001465,BYC快,20210122,150000
140,A001465,BYC快,20210121,151000
