,종목코드,종목명,날짜,종가
0,A005830,DB손해보험,20210812,58100
1,A005830,DB손해보험,20210811,58300
2,A005830,DB손해보험,20210810,57100
3,A005830,DB손해보험,20210809,57800
4,A005830,DB손해보험,20210806,58000
5,A005830,DB손해보험,20210805,59000
6,A005830,DB손해보험,20210804,58800
7,A005830,DB손해보험,20210803,58600
8,A005830,DB손해보험,20210802,57400
9,A005830,DB손해보험,20210730,57100
10,A005830,DB손해보험,20210729,56800
11,A005830,DB손해보험,20210728,55800
12,A005830,DB손해보험,20210727,54300
13,A005830,DB손해보험,20210726,55100
14,A005830,DB손해보험,20210723,56000
15,A005830,DB손해보험,20210722,56500
16,A005830,DB손해보험,20210721,55000
17,A005830,DB손해보험,20210720,54300
18,A005830,DB손해보험,20210719,54600
19,A005830,DB손해보험,20210716,56000
20,A005830,DB손해보험,20210715,56100
21,A005830,DB손해보험,20210714,55400
22,A005830,DB손해보험,20210713,55800
23,A005830,DB손해보험,20210712,55000
24,A005830,DB손해보험,20210709,53500
25,A005830,DB손해보험,20210708,55000
26,A005830,DB손해보험,20210707,54500
27,A005830,DB손해보험,20210706,55100
28,A005830,DB손해보험,20210705,54600
29,A005830,DB손해보험,20210702,56200
30,A005830,DB손해보험,20210701,53700
31,A005830,DB손해보험,20210630,54800
32,A005830,DB손해보험,20210629,55400
33,A005830,DB손해보험,20210628,56300
34,A005830,DB손해보험,20210625,53900
35,A005830,DB손해보험,20210624,50400
36,A005830,DB손해보험,20210623,50200
37,A005830,DB손해보험,20210622,49750
38,A005830,DB손해보험,20210621,48850
39,A005830,DB손해보험,20210618,49950
40,A005830,DB손해보험,20210617,51300
41,A005830,DB손해보험,20210616,49950
42,A005830,DB손해보험,20210615,49500
43,A005830,DB손해보험,20210614,49150
44,A005830,DB손해보험,20210611,49550
45,A005830,DB손해보험,20210610,49500
46,A005830,DB손해보험,20210609,50200
47,A005830,DB손해보험,20210608,50800
48,A005830,DB손해보험,20210607,50700
49,A005830,DB손해보험,20210604,51100
50,A005830,DB손해보험,20210603,51900
51,A005830,DB손해보험,20210602,51200
52,A005830,DB손해보험,20210601,51300
53,A005830,DB손해보험,20210531,50700
54,A005830,DB손해보험,20210528,50600
55,A005830,DB손해보험,20210527,50600
56,A005830,DB손해보험,20210526,50400
57,A005830,DB손해보험,20210525,50800
58,A005830,DB손해보험,20210524,50000
59,A005830,DB손해보험,20210521,50000
60,A005830,DB손해보험,20210520,50800
61,A005830,DB손해보험,20210518,51800
62,A005830,DB손해보험,20210517,50700
63,A005830,DB손해보험,20210514,51700
64,A005830,DB손해보험,20210513,51600
65,A005830,DB손해보험,20210512,49900
66,A005830,DB손해보험,20210511,51100
67,A005830,DB손해보험,20210510,50600
68,A005830,DB손해보험,20210507,50500
69,A005830,DB손해보험,20210506,50000
70,A005830,DB손해보험,20210504,48000
71,A005830,DB손해보험,20210503,49100
72,A005830,DB손해보험,20210430,48950
73,A005830,DB손해보험,20210429,48000
74,A005830,DB손해보험,20210428,49050
75,A005830,DB손해보험,20210427,48550
76,A005830,DB손해보험,20210426,48050
77,A005830,DB손해보험,20210423,47650
78,A005830,DB손해보험,20210422,47000
79,A005830,DB손해보험,20210421,46000
80,A005830,DB손해보험,20210420,47350
81,A005830,DB손해보험,20210419,46200
82,A005830,DB손해보험,20210416,45450
83,A005830,DB손해보험,20210415,45500
84,A005830,DB손해보험,20210414,45200
85,A005830,DB손해보험,20210413,44800
86,A005830,DB손해보험,20210412,46200
87,A005830,DB손해보험,20210409,46100
88,A005830,DB손해보험,20210408,46250
89,A005830,DB손해보험,20210407,46250
90,A005830,DB손해보험,20210406,46350
91,A005830,DB손해보험,20210405,46550
92,A005830,DB손해보험,20210402,46500
93,A005830,DB손해보험,20210401,47200
94,A005830,DB손해보험,20210331,47300
95,A005830,DB손해보험,20210330,46500
96,A005830,DB손해보험,20210329,46000
97,A005830,DB손해보험,20210326,45500
98,A005830,DB손해보험,20210325,45300
99,A005830,DB손해보험,20210324,44500
100,A005830,DB손해보험,20210323,45150
101,A005830,DB손해보험,20210322,45300
102,A005830,DB손해보험,20210319,45700
103,A005830,DB손해보험,20210318,44500
104,A005830,DB손해보험,20210317,44500
105,A005830,DB손해보험,20210316,44650
106,A005830,DB손해보험,20210315,44550
