,謙跡囀萄,謙跡貲,陳瞼,謙陛
0,A37550K,DL檜撻噢辦,20210812,78600
1,A37550K,DL檜撻噢辦,20210811,78500
2,A37550K,DL檜撻噢辦,20210810,79200
3,A37550K,DL檜撻噢辦,20210809,79700
4,A37550K,DL檜撻噢辦,20210806,80000
5,A37550K,DL檜撻噢辦,20210805,80000
6,A37550K,DL檜撻噢辦,20210804,80000
7,A37550K,DL檜撻噢辦,20210803,80200
8,A37550K,DL檜撻噢辦,20210802,80000
9,A37550K,DL檜撻噢辦,20210730,80300
10,A37550K,DL檜撻噢辦,20210729,80500
11,A37550K,DL檜撻噢辦,20210728,80200
12,A37550K,DL檜撻噢辦,20210727,80700
13,A37550K,DL檜撻噢辦,20210726,79900
14,A37550K,DL檜撻噢辦,20210723,81100
15,A37550K,DL檜撻噢辦,20210722,81200
16,A37550K,DL檜撻噢辦,20210721,80900
17,A37550K,DL檜撻噢辦,20210720,81000
18,A37550K,DL檜撻噢辦,20210719,81100
19,A37550K,DL檜撻噢辦,20210716,80600
20,A37550K,DL檜撻噢辦,20210715,80700
21,A37550K,DL檜撻噢辦,20210714,81000
22,A37550K,DL檜撻噢辦,20210713,81900
23,A37550K,DL檜撻噢辦,20210712,81400
24,A37550K,DL檜撻噢辦,20210709,80000
25,A37550K,DL檜撻噢辦,20210708,80700
26,A37550K,DL檜撻噢辦,20210707,81600
27,A37550K,DL檜撻噢辦,20210706,82100
28,A37550K,DL檜撻噢辦,20210705,82700
29,A37550K,DL檜撻噢辦,20210702,81500
30,A37550K,DL檜撻噢辦,20210701,79800
31,A37550K,DL檜撻噢辦,20210630,79900
32,A37550K,DL檜撻噢辦,20210629,79200
33,A37550K,DL檜撻噢辦,20210628,79400
34,A37550K,DL檜撻噢辦,20210625,78800
35,A37550K,DL檜撻噢辦,20210624,78400
36,A37550K,DL檜撻噢辦,20210623,77900
37,A37550K,DL檜撻噢辦,20210622,78500
38,A37550K,DL檜撻噢辦,20210621,78100
39,A37550K,DL檜撻噢辦,20210618,78900
40,A37550K,DL檜撻噢辦,20210617,79200
41,A37550K,DL檜撻噢辦,20210616,79700
42,A37550K,DL檜撻噢辦,20210615,79900
43,A37550K,DL檜撻噢辦,20210614,79900
44,A37550K,DL檜撻噢辦,20210611,79800
45,A37550K,DL檜撻噢辦,20210610,79200
46,A37550K,DL檜撻噢辦,20210609,79400
47,A37550K,DL檜撻噢辦,20210608,80000
48,A37550K,DL檜撻噢辦,20210607,79200
49,A37550K,DL檜撻噢辦,20210604,78400
50,A37550K,DL檜撻噢辦,20210603,78300
51,A37550K,DL檜撻噢辦,20210602,78100
52,A37550K,DL檜撻噢辦,20210601,77800
53,A37550K,DL檜撻噢辦,20210531,77800
54,A37550K,DL檜撻噢辦,20210528,77700
55,A37550K,DL檜撻噢辦,20210527,77000
56,A37550K,DL檜撻噢辦,20210526,76200
57,A37550K,DL檜撻噢辦,20210525,76400
58,A37550K,DL檜撻噢辦,20210524,76600
59,A37550K,DL檜撻噢辦,20210521,77000
60,A37550K,DL檜撻噢辦,20210520,77500
61,A37550K,DL檜撻噢辦,20210518,77400
62,A37550K,DL檜撻噢辦,20210517,77400
63,A37550K,DL檜撻噢辦,20210514,78500
64,A37550K,DL檜撻噢辦,20210513,78900
65,A37550K,DL檜撻噢辦,20210512,79100
66,A37550K,DL檜撻噢辦,20210511,80500
67,A37550K,DL檜撻噢辦,20210510,80500
68,A37550K,DL檜撻噢辦,20210507,79800
69,A37550K,DL檜撻噢辦,20210506,78900
70,A37550K,DL檜撻噢辦,20210504,77500
71,A37550K,DL檜撻噢辦,20210503,77200
72,A37550K,DL檜撻噢辦,20210430,77600
73,A37550K,DL檜撻噢辦,20210429,79200
74,A37550K,DL檜撻噢辦,20210428,79000
75,A37550K,DL檜撻噢辦,20210427,81400
76,A37550K,DL檜撻噢辦,20210426,79900
77,A37550K,DL檜撻噢辦,20210423,80000
78,A37550K,DL檜撻噢辦,20210422,81600
79,A37550K,DL檜撻噢辦,20210421,81700
80,A37550K,DL檜撻噢辦,20210420,82300
81,A37550K,DL檜撻噢辦,20210419,79900
82,A37550K,DL檜撻噢辦,20210416,78900
83,A37550K,DL檜撻噢辦,20210415,78400
84,A37550K,DL檜撻噢辦,20210414,77400
85,A37550K,DL檜撻噢辦,20210413,76400
86,A37550K,DL檜撻噢辦,20210412,75800
87,A37550K,DL檜撻噢辦,20210409,75800
88,A37550K,DL檜撻噢辦,20210408,75400
89,A37550K,DL檜撻噢辦,20210407,73700
90,A37550K,DL檜撻噢辦,20210406,73400
91,A37550K,DL檜撻噢辦,20210405,73200
92,A37550K,DL檜撻噢辦,20210402,72900
93,A37550K,DL檜撻噢辦,20210401,73400
94,A37550K,DL檜撻噢辦,20210331,73600
95,A37550K,DL檜撻噢辦,20210330,73800
96,A37550K,DL檜撻噢辦,20210329,74100
97,A37550K,DL檜撻噢辦,20210326,74300
98,A37550K,DL檜撻噢辦,20210325,73800
99,A37550K,DL檜撻噢辦,20210324,73800
100,A37550K,DL檜撻噢辦,20210323,73800
101,A37550K,DL檜撻噢辦,20210322,73700
102,A37550K,DL檜撻噢辦,20210319,73700
103,A37550K,DL檜撻噢辦,20210318,73500
104,A37550K,DL檜撻噢辦,20210317,73900
105,A37550K,DL檜撻噢辦,20210316,73800
106,A37550K,DL檜撻噢辦,20210315,73800
107,A37550K,DL檜撻噢辦,20210312,70800
108,A37550K,DL檜撻噢辦,20210311,69700
109,A37550K,DL檜撻噢辦,20210310,69300
110,A37550K,DL檜撻噢辦,20210309,69400
111,A37550K,DL檜撻噢辦,20210308,68300
112,A37550K,DL檜撻噢辦,20210305,68200
113,A37550K,DL檜撻噢辦,20210304,68800
114,A37550K,DL檜撻噢辦,20210303,69300
115,A37550K,DL檜撻噢辦,20210302,69300
116,A37550K,DL檜撻噢辦,20210226,70800
117,A37550K,DL檜撻噢辦,20210225,75100
118,A37550K,DL檜撻噢辦,20210224,69800
119,A37550K,DL檜撻噢辦,20210223,71900
120,A37550K,DL檜撻噢辦,20210222,72700
121,A37550K,DL檜撻噢辦,20210219,73100
122,A37550K,DL檜撻噢辦,20210218,72900
123,A37550K,DL檜撻噢辦,20210217,73200
124,A37550K,DL檜撻噢辦,20210216,73700
125,A37550K,DL檜撻噢辦,20210215,73700
126,A37550K,DL檜撻噢辦,20210210,74700
127,A37550K,DL檜撻噢辦,20210209,75600
128,A37550K,DL檜撻噢辦,20210208,77200
129,A37550K,DL檜撻噢辦,20210205,76600
130,A37550K,DL檜撻噢辦,20210204,77800
131,A37550K,DL檜撻噢辦,20210203,78100
132,A37550K,DL檜撻噢辦,20210202,76900
133,A37550K,DL檜撻噢辦,20210201,75900
134,A37550K,DL檜撻噢辦,20210129,72300
135,A37550K,DL檜撻噢辦,20210128,75900
136,A37550K,DL檜撻噢辦,20210127,77700
137,A37550K,DL檜撻噢辦,20210126,81000
138,A37550K,DL檜撻噢辦,20210125,87700
