,종목코드,종목명,날짜,종가
0,A278990,EMB,20210812,7590
1,A278990,EMB,20210811,7590
2,A278990,EMB,20210810,7590
3,A278990,EMB,20210809,7590
4,A278990,EMB,20210806,7590
5,A278990,EMB,20210805,7500
6,A278990,EMB,20210804,7500
7,A278990,EMB,20210803,7600
8,A278990,EMB,20210802,7600
9,A278990,EMB,20210730,7470
10,A278990,EMB,20210729,7520
11,A278990,EMB,20210728,7520
12,A278990,EMB,20210727,7520
13,A278990,EMB,20210726,7520
14,A278990,EMB,20210723,7520
15,A278990,EMB,20210722,7500
16,A278990,EMB,20210721,7500
17,A278990,EMB,20210720,7400
18,A278990,EMB,20210719,7400
19,A278990,EMB,20210716,7400
20,A278990,EMB,20210715,7400
21,A278990,EMB,20210714,7400
22,A278990,EMB,20210713,7600
23,A278990,EMB,20210712,7600
24,A278990,EMB,20210709,8120
25,A278990,EMB,20210708,8000
26,A278990,EMB,20210707,7800
27,A278990,EMB,20210706,7600
28,A278990,EMB,20210705,7600
29,A278990,EMB,20210702,7600
30,A278990,EMB,20210701,7600
31,A278990,EMB,20210630,7600
32,A278990,EMB,20210629,7600
33,A278990,EMB,20210628,7600
34,A278990,EMB,20210625,7400
35,A278990,EMB,20210624,7930
36,A278990,EMB,20210623,8170
37,A278990,EMB,20210622,8000
38,A278990,EMB,20210621,9000
39,A278990,EMB,20210618,9000
40,A278990,EMB,20210617,9200
41,A278990,EMB,20210616,9200
42,A278990,EMB,20210615,9600
43,A278990,EMB,20210614,10000
44,A278990,EMB,20210611,9100
45,A278990,EMB,20210610,8900
46,A278990,EMB,20210609,8600
47,A278990,EMB,20210608,7600
48,A278990,EMB,20210607,7000
49,A278990,EMB,20210604,6800
50,A278990,EMB,20210603,6400
51,A278990,EMB,20210602,6400
52,A278990,EMB,20210601,6200
53,A278990,EMB,20210531,6070
54,A278990,EMB,20210528,7130
55,A278990,EMB,20210527,6400
56,A278990,EMB,20210526,6290
57,A278990,EMB,20210525,6290
58,A278990,EMB,20210524,7400
59,A278990,EMB,20210521,7400
60,A278990,EMB,20210520,7400
61,A278990,EMB,20210518,6800
62,A278990,EMB,20210517,6400
63,A278990,EMB,20210514,6200
64,A278990,EMB,20210513,6170
65,A278990,EMB,20210512,6170
66,A278990,EMB,20210511,6170
67,A278990,EMB,20210510,6170
68,A278990,EMB,20210507,6120
69,A278990,EMB,20210506,6120
70,A278990,EMB,20210504,6000
71,A278990,EMB,20210503,5750
72,A278990,EMB,20210430,6600
73,A278990,EMB,20210429,6380
74,A278990,EMB,20210428,5800
75,A278990,EMB,20210427,6250
76,A278990,EMB,20210426,6320
77,A278990,EMB,20210423,5500
78,A278990,EMB,20210422,5400
79,A278990,EMB,20210421,5310
80,A278990,EMB,20210420,5250
81,A278990,EMB,20210419,5510
82,A278990,EMB,20210416,5310
83,A278990,EMB,20210415,5730
84,A278990,EMB,20210414,5300
85,A278990,EMB,20210413,5150
86,A278990,EMB,20210412,5120
87,A278990,EMB,20210409,5300
88,A278990,EMB,20210408,5500
89,A278990,EMB,20210407,5010
90,A278990,EMB,20210406,5620
91,A278990,EMB,20210405,5900
92,A278990,EMB,20210402,6200
93,A278990,EMB,20210401,6280
94,A278990,EMB,20210331,5500
95,A278990,EMB,20210330,5360
96,A278990,EMB,20210329,5320
97,A278990,EMB,20210326,5510
98,A278990,EMB,20210325,5450
99,A278990,EMB,20210324,5450
100,A278990,EMB,20210323,5700
101,A278990,EMB,20210322,6700
102,A278990,EMB,20210319,6090
103,A278990,EMB,20210318,5480
104,A278990,EMB,20210317,5500
105,A278990,EMB,20210316,5810
106,A278990,EMB,20210315,5060
107,A278990,EMB,20210312,5780
108,A278990,EMB,20210311,5900
109,A278990,EMB,20210310,6090
110,A278990,EMB,20210309,6240
111,A278990,EMB,20210308,6100
112,A278990,EMB,20210305,5550
113,A278990,EMB,20210304,5200
114,A278990,EMB,20210303,4900
115,A278990,EMB,20210302,4900
116,A278990,EMB,20210226,5000
117,A278990,EMB,20210225,5300
118,A278990,EMB,20210224,5400
119,A278990,EMB,20210223,4720
120,A278990,EMB,20210222,5090
121,A278990,EMB,20210219,4930
122,A278990,EMB,20210218,5800
123,A278990,EMB,20210217,5090
124,A278990,EMB,20210216,5760
125,A278990,EMB,20210215,5200
126,A278990,EMB,20210210,4985
127,A278990,EMB,20210209,4840
128,A278990,EMB,20210208,5690
129,A278990,EMB,20210205,5700
130,A278990,EMB,20210204,5090
131,A278990,EMB,20210203,4550
132,A278990,EMB,20210202,4550
133,A278990,EMB,20210201,4550
134,A278990,EMB,20210129,4550
135,A278990,EMB,20210128,4940
136,A278990,EMB,20210127,4950
137,A278990,EMB,20210126,4990
138,A278990,EMB,20210125,4565
139,A278990,EMB,20210122,5000
140,A278990,EMB,20210121,4370
141,A278990,EMB,20210120,3800
142,A278990,EMB,20210119,3545
143,A278990,EMB,20210118,3085
144,A278990,EMB,20210115,3625
145,A278990,EMB,20210114,4200
146,A278990,EMB,20210113,4730
147,A278990,EMB,20210112,5200
148,A278990,EMB,20210111,5200
149,A278990,EMB,20210108,4945
150,A278990,EMB,20210107,4300
151,A278990,EMB,20210106,4100
152,A278990,EMB,20210105,4035
153,A278990,EMB,20210104,3715
154,A278990,EMB,20201230,3755
155,A278990,EMB,20201229,3690
156,A278990,EMB,20201228,4050
157,A278990,EMB,20201224,4660
158,A278990,EMB,20201223,5250
159,A278990,EMB,20201222,6130
160,A278990,EMB,20201221,5350
161,A278990,EMB,20201218,6290
162,A278990,EMB,20201217,7390
163,A278990,EMB,20201216,6990
164,A278990,EMB,20201215,6420
165,A278990,EMB,20201214,6600
166,A278990,EMB,20201211,7180
167,A278990,EMB,20201210,7190
168,A278990,EMB,20201209,7990
169,A278990,EMB,20201208,9400
170,A278990,EMB,20201207,9400
171,A278990,EMB,20201204,8370
172,A278990,EMB,20201203,8390
173,A278990,EMB,20201202,7320
174,A278990,EMB,20201201,6370
175,A278990,EMB,20201130,6300
176,A278990,EMB,20201127,6500
177,A278990,EMB,20201126,6900
178,A278990,EMB,20201125,6000
179,A278990,EMB,20201124,6350
180,A278990,EMB,20201123,6350
181,A278990,EMB,20201120,6400
182,A278990,EMB,20201119,6430
183,A278990,EMB,20201118,6460
184,A278990,EMB,20201117,5990
185,A278990,EMB,20201116,5210
186,A278990,EMB,20201113,6000
187,A278990,EMB,20201112,6590
188,A278990,EMB,20201111,5750
189,A278990,EMB,20201110,5300
190,A278990,EMB,20201109,4610
191,A278990,EMB,20201106,4010
192,A278990,EMB,20201105,4550
193,A278990,EMB,20201104,4505
194,A278990,EMB,20201103,4105
195,A278990,EMB,20201102,4370
196,A278990,EMB,20201030,3800
197,A278990,EMB,20201029,4300
198,A278990,EMB,20201028,5000
199,A278990,EMB,20201027,5560
200,A278990,EMB,20201026,6520
201,A278990,EMB,20201023,6520
202,A278990,EMB,20201022,6550
203,A278990,EMB,20201021,6560
204,A278990,EMB,20201020,6720
205,A278990,EMB,20201019,6720
206,A278990,EMB,20201016,6800
207,A278990,EMB,20201015,7000
208,A278990,EMB,20201014,7000
209,A278990,EMB,20201013,6280
210,A278990,EMB,20201012,5880
211,A278990,EMB,20201008,5120
212,A278990,EMB,20201007,5760
213,A278990,EMB,20201006,5400
214,A278990,EMB,20201005,6280
215,A278990,EMB,20200929,6350
216,A278990,EMB,20200928,5860
217,A278990,EMB,20200925,6870
218,A278990,EMB,20200924,7300
219,A278990,EMB,20200923,6500
220,A278990,EMB,20200922,6700
221,A278990,EMB,20200921,6010
222,A278990,EMB,20200918,5540
223,A278990,EMB,20200917,4820
224,A278990,EMB,20200916,4800
225,A278990,EMB,20200915,5500
226,A278990,EMB,20200914,4850
227,A278990,EMB,20200911,5690
228,A278990,EMB,20200910,4950
229,A278990,EMB,20200909,5700
230,A278990,EMB,20200908,4960
231,A278990,EMB,20200907,4950
232,A278990,EMB,20200904,5690
233,A278990,EMB,20200903,4950
234,A278990,EMB,20200902,5720
235,A278990,EMB,20200901,4975
236,A278990,EMB,20200831,4850
237,A278990,EMB,20200828,5600
238,A278990,EMB,20200827,5160
239,A278990,EMB,20200826,5150
240,A278990,EMB,20200825,5040
241,A278990,EMB,20200824,4385
242,A278990,EMB,20200821,3815
243,A278990,EMB,20200820,4200
244,A278990,EMB,20200819,4510
245,A278990,EMB,20200818,5180
246,A278990,EMB,20200814,5900
247,A278990,EMB,20200813,6850
248,A278990,EMB,20200812,7260
249,A278990,EMB,20200811,7260
250,A278990,EMB,20200810,8540
251,A278990,EMB,20200807,7460
252,A278990,EMB,20200806,7460
253,A278990,EMB,20200805,7260
254,A278990,EMB,20200804,7270
255,A278990,EMB,20200803,6700
256,A278990,EMB,20200731,5830
257,A278990,EMB,20200730,6850
258,A278990,EMB,20200729,8000
259,A278990,EMB,20200728,8490
260,A278990,EMB,20200727,7490
261,A278990,EMB,20200724,8150
262,A278990,EMB,20200723,9550
263,A278990,EMB,20200722,11200
264,A278990,EMB,20200721,10000
265,A278990,EMB,20200720,11700
266,A278990,EMB,20200717,12850
267,A278990,EMB,20200716,11200
268,A278990,EMB,20200715,11300
269,A278990,EMB,20200714,9910
270,A278990,EMB,20200713,11600
271,A278990,EMB,20200710,12350
272,A278990,EMB,20200709,10750
273,A278990,EMB,20200708,12600
274,A278990,EMB,20200707,12600
275,A278990,EMB,20200706,11000
276,A278990,EMB,20200703,9570
277,A278990,EMB,20200702,8330
278,A278990,EMB,20200701,8830
279,A278990,EMB,20200630,8830
280,A278990,EMB,20200629,8830
281,A278990,EMB,20200626,7730
282,A278990,EMB,20200625,6730
283,A278990,EMB,20200624,6730
284,A278990,EMB,20200623,6730
285,A278990,EMB,20200622,6730
286,A278990,EMB,20200619,6730
287,A278990,EMB,20200618,6730
288,A278990,EMB,20200617,6730
289,A278990,EMB,20200616,7220
290,A278990,EMB,20200615,8490
291,A278990,EMB,20200612,8490
292,A278990,EMB,20200611,7390
293,A278990,EMB,20200610,6430
294,A278990,EMB,20200609,6060
295,A278990,EMB,20200608,5270
296,A278990,EMB,20200605,5100
297,A278990,EMB,20200604,5100
298,A278990,EMB,20200603,4800
299,A278990,EMB,20200602,4180
300,A278990,EMB,20200601,3635
301,A278990,EMB,20200529,3350
302,A278990,EMB,20200528,3890
303,A278990,EMB,20200527,3585
304,A278990,EMB,20200526,3300
305,A278990,EMB,20200525,3815
306,A278990,EMB,20200522,4455
307,A278990,EMB,20200521,4455
308,A278990,EMB,20200520,4455
309,A278990,EMB,20200519,5200
310,A278990,EMB,20200518,5000
311,A278990,EMB,20200515,5000
312,A278990,EMB,20200514,4650
313,A278990,EMB,20200513,4045
314,A278990,EMB,20200512,4745
315,A278990,EMB,20200511,4130
316,A278990,EMB,20200508,4005
317,A278990,EMB,20200507,4245
318,A278990,EMB,20200506,4990
319,A278990,EMB,20200504,4990
320,A278990,EMB,20200429,4990
321,A278990,EMB,20200428,4500
322,A278990,EMB,20200427,4500
323,A278990,EMB,20200424,4500
324,A278990,EMB,20200423,4500
325,A278990,EMB,20200422,4500
326,A278990,EMB,20200421,4500
327,A278990,EMB,20200420,4500
328,A278990,EMB,20200417,4500
329,A278990,EMB,20200416,4500
330,A278990,EMB,20200414,4500
331,A278990,EMB,20200413,4500
332,A278990,EMB,20200410,4500
333,A278990,EMB,20200409,4500
334,A278990,EMB,20200408,4500
335,A278990,EMB,20200407,4500
336,A278990,EMB,20200406,4500
337,A278990,EMB,20200403,4500
338,A278990,EMB,20200402,4500
339,A278990,EMB,20200401,4500
340,A278990,EMB,20200331,4500
341,A278990,EMB,20200330,4500
342,A278990,EMB,20200327,4500
343,A278990,EMB,20200326,4500
344,A278990,EMB,20200325,4500
345,A278990,EMB,20200324,4500
346,A278990,EMB,20200323,4500
347,A278990,EMB,20200320,4500
348,A278990,EMB,20200319,4500
349,A278990,EMB,20200318,4500
350,A278990,EMB,20200317,4500
351,A278990,EMB,20200316,4500
352,A278990,EMB,20200313,4500
353,A278990,EMB,20200312,4500
354,A278990,EMB,20200311,4500
355,A278990,EMB,20200310,4500
356,A278990,EMB,20200309,4500
357,A278990,EMB,20200306,4500
358,A278990,EMB,20200305,4500
359,A278990,EMB,20200304,4500
360,A278990,EMB,20200303,4500
361,A278990,EMB,20200302,4500
362,A278990,EMB,20200228,4500
363,A278990,EMB,20200227,4500
364,A278990,EMB,20200226,4500
