,종목코드,종목명,날짜,종가
0,A322400,HANARO e커머스,20210812,20190
1,A322400,HANARO e커머스,20210811,20075
2,A322400,HANARO e커머스,20210810,20235
3,A322400,HANARO e커머스,20210809,20345
4,A322400,HANARO e커머스,20210806,20425
5,A322400,HANARO e커머스,20210805,20545
6,A322400,HANARO e커머스,20210804,20400
7,A322400,HANARO e커머스,20210803,20100
8,A322400,HANARO e커머스,20210802,20170
9,A322400,HANARO e커머스,20210730,20195
10,A322400,HANARO e커머스,20210729,20505
11,A322400,HANARO e커머스,20210728,20470
12,A322400,HANARO e커머스,20210727,20560
13,A322400,HANARO e커머스,20210726,20565
14,A322400,HANARO e커머스,20210723,20570
15,A322400,HANARO e커머스,20210722,20390
16,A322400,HANARO e커머스,20210721,20130
17,A322400,HANARO e커머스,20210720,20535
18,A322400,HANARO e커머스,20210719,20715
19,A322400,HANARO e커머스,20210716,20895
20,A322400,HANARO e커머스,20210715,20910
21,A322400,HANARO e커머스,20210714,20930
22,A322400,HANARO e커머스,20210713,20905
23,A322400,HANARO e커머스,20210712,20670
24,A322400,HANARO e커머스,20210709,20485
25,A322400,HANARO e커머스,20210708,20695
26,A322400,HANARO e커머스,20210707,20665
27,A322400,HANARO e커머스,20210706,20565
28,A322400,HANARO e커머스,20210705,20610
29,A322400,HANARO e커머스,20210702,20695
30,A322400,HANARO e커머스,20210701,20730
31,A322400,HANARO e커머스,20210630,20815
32,A322400,HANARO e커머스,20210629,20690
33,A322400,HANARO e커머스,20210628,20625
34,A322400,HANARO e커머스,20210625,20555
35,A322400,HANARO e커머스,20210624,20550
36,A322400,HANARO e커머스,20210623,20905
37,A322400,HANARO e커머스,20210622,20280
38,A322400,HANARO e커머스,20210621,20165
39,A322400,HANARO e커머스,20210618,20350
40,A322400,HANARO e커머스,20210617,20080
41,A322400,HANARO e커머스,20210616,19970
42,A322400,HANARO e커머스,20210615,19845
43,A322400,HANARO e커머스,20210614,19710
44,A322400,HANARO e커머스,20210611,19350
45,A322400,HANARO e커머스,20210610,19325
46,A322400,HANARO e커머스,20210609,18950
47,A322400,HANARO e커머스,20210608,18995
48,A322400,HANARO e커머스,20210607,18855
49,A322400,HANARO e커머스,20210604,18685
50,A322400,HANARO e커머스,20210603,18990
51,A322400,HANARO e커머스,20210602,19015
52,A322400,HANARO e커머스,20210601,18985
53,A322400,HANARO e커머스,20210531,18690
54,A322400,HANARO e커머스,20210528,18520
55,A322400,HANARO e커머스,20210527,18635
56,A322400,HANARO e커머스,20210526,18415
57,A322400,HANARO e커머스,20210525,18200
58,A322400,HANARO e커머스,20210524,17980
59,A322400,HANARO e커머스,20210521,18035
60,A322400,HANARO e커머스,20210520,17885
61,A322400,HANARO e커머스,20210518,17820
62,A322400,HANARO e커머스,20210517,17710
63,A322400,HANARO e커머스,20210514,17680
64,A322400,HANARO e커머스,20210513,17635
65,A322400,HANARO e커머스,20210512,17875
66,A322400,HANARO e커머스,20210511,18130
67,A322400,HANARO e커머스,20210510,18255
68,A322400,HANARO e커머스,20210507,17980
69,A322400,HANARO e커머스,20210506,17940
70,A322400,HANARO e커머스,20210504,17900
71,A322400,HANARO e커머스,20210503,17830
72,A322400,HANARO e커머스,20210430,17740
73,A322400,HANARO e커머스,20210429,17930
74,A322400,HANARO e커머스,20210428,18225
75,A322400,HANARO e커머스,20210427,18413
76,A322400,HANARO e커머스,20210426,18195
77,A322400,HANARO e커머스,20210423,18140
78,A322400,HANARO e커머스,20210422,18135
79,A322400,HANARO e커머스,20210421,18041
80,A322400,HANARO e커머스,20210420,18314
81,A322400,HANARO e커머스,20210419,18185
82,A322400,HANARO e커머스,20210416,18225
83,A322400,HANARO e커머스,20210415,18150
84,A322400,HANARO e커머스,20210414,17778
85,A322400,HANARO e커머스,20210413,17768
86,A322400,HANARO e커머스,20210412,17584
87,A322400,HANARO e커머스,20210409,17555
88,A322400,HANARO e커머스,20210408,17431
89,A322400,HANARO e커머스,20210407,17460
90,A322400,HANARO e커머스,20210406,17485
91,A322400,HANARO e커머스,20210405,17073
92,A322400,HANARO e커머스,20210402,17088
93,A322400,HANARO e커머스,20210401,17029
94,A322400,HANARO e커머스,20210331,17039
95,A322400,HANARO e커머스,20210330,16944
96,A322400,HANARO e커머스,20210329,16885
97,A322400,HANARO e커머스,20210326,17168
98,A322400,HANARO e커머스,20210325,16830
99,A322400,HANARO e커머스,20210324,16905
100,A322400,HANARO e커머스,20210323,16924
101,A322400,HANARO e커머스,20210322,17138
102,A322400,HANARO e커머스,20210319,17103
103,A322400,HANARO e커머스,20210318,17222
104,A322400,HANARO e커머스,20210317,16905
105,A322400,HANARO e커머스,20210316,16924
106,A322400,HANARO e커머스,20210315,16825
107,A322400,HANARO e커머스,20210312,16771
108,A322400,HANARO e커머스,20210311,16582
109,A322400,HANARO e커머스,20210310,16359
110,A322400,HANARO e커머스,20210309,16071
111,A322400,HANARO e커머스,20210308,16274
112,A322400,HANARO e커머스,20210305,16528
113,A322400,HANARO e커머스,20210304,16795
114,A322400,HANARO e커머스,20210303,16964
115,A322400,HANARO e커머스,20210302,16552
116,A322400,HANARO e커머스,20210226,16478
117,A322400,HANARO e커머스,20210225,16686
118,A322400,HANARO e커머스,20210224,16324
119,A322400,HANARO e커머스,20210223,16855
120,A322400,HANARO e커머스,20210222,16895
121,A322400,HANARO e커머스,20210219,17158
122,A322400,HANARO e커머스,20210218,17039
123,A322400,HANARO e커머스,20210217,17178
124,A322400,HANARO e커머스,20210216,17207
125,A322400,HANARO e커머스,20210215,16870
126,A322400,HANARO e커머스,20210210,16552
127,A322400,HANARO e커머스,20210209,16250
128,A322400,HANARO e커머스,20210208,16294
129,A322400,HANARO e커머스,20210205,16384
130,A322400,HANARO e커머스,20210204,16235
131,A322400,HANARO e커머스,20210203,16413
132,A322400,HANARO e커머스,20210202,16131
133,A322400,HANARO e커머스,20210201,15858
134,A322400,HANARO e커머스,20210129,15689
135,A322400,HANARO e커머스,20210128,16210
136,A322400,HANARO e커머스,20210127,16309
137,A322400,HANARO e커머스,20210126,16384
138,A322400,HANARO e커머스,20210125,16741
139,A322400,HANARO e커머스,20210122,16389
140,A322400,HANARO e커머스,20210121,16136
141,A322400,HANARO e커머스,20210120,15669
142,A322400,HANARO e커머스,20210119,15560
143,A322400,HANARO e커머스,20210118,15257
144,A322400,HANARO e커머스,20210115,15605
145,A322400,HANARO e커머스,20210114,15987
146,A322400,HANARO e커머스,20210113,16002
147,A322400,HANARO e커머스,20210112,15803
148,A322400,HANARO e커머스,20210111,15778
149,A322400,HANARO e커머스,20210108,15773
150,A322400,HANARO e커머스,20210107,15262
151,A322400,HANARO e커머스,20210106,14890
152,A322400,HANARO e커머스,20210105,14905
153,A322400,HANARO e커머스,20210104,14707
154,A322400,HANARO e커머스,20201230,14592
155,A322400,HANARO e커머스,20201229,14449
156,A322400,HANARO e커머스,20201228,14255
157,A322400,HANARO e커머스,20201224,14285
158,A322400,HANARO e커머스,20201223,14250
159,A322400,HANARO e커머스,20201222,14205
160,A322400,HANARO e커머스,20201221,14329
161,A322400,HANARO e커머스,20201218,14235
162,A322400,HANARO e커머스,20201217,14275
163,A322400,HANARO e커머스,20201216,14354
164,A322400,HANARO e커머스,20201215,14270
165,A322400,HANARO e커머스,20201214,14384
166,A322400,HANARO e커머스,20201211,14434
167,A322400,HANARO e커머스,20201210,14245
168,A322400,HANARO e커머스,20201209,14315
169,A322400,HANARO e커머스,20201208,14210
170,A322400,HANARO e커머스,20201207,14319
171,A322400,HANARO e커머스,20201204,14439
172,A322400,HANARO e커머스,20201203,14265
173,A322400,HANARO e커머스,20201202,14176
174,A322400,HANARO e커머스,20201201,14181
175,A322400,HANARO e커머스,20201130,14012
176,A322400,HANARO e커머스,20201127,14126
177,A322400,HANARO e커머스,20201126,14136
178,A322400,HANARO e커머스,20201125,13977
179,A322400,HANARO e커머스,20201124,14176
180,A322400,HANARO e커머스,20201123,14086
181,A322400,HANARO e커머스,20201120,14002
182,A322400,HANARO e커머스,20201119,13947
183,A322400,HANARO e커머스,20201118,14007
184,A322400,HANARO e커머스,20201117,13962
185,A322400,HANARO e커머스,20201116,14022
186,A322400,HANARO e커머스,20201113,14057
187,A322400,HANARO e커머스,20201112,13997
188,A322400,HANARO e커머스,20201111,13932
189,A322400,HANARO e커머스,20201110,13838
190,A322400,HANARO e커머스,20201109,14047
191,A322400,HANARO e커머스,20201106,13942
192,A322400,HANARO e커머스,20201105,13833
193,A322400,HANARO e커머스,20201104,13709
194,A322400,HANARO e커머스,20201103,13367
195,A322400,HANARO e커머스,20201102,13307
196,A322400,HANARO e커머스,20201030,13193
197,A322400,HANARO e커머스,20201029,13620
198,A322400,HANARO e커머스,20201028,13759
199,A322400,HANARO e커머스,20201027,13446
200,A322400,HANARO e커머스,20201026,13521
201,A322400,HANARO e커머스,20201023,13794
202,A322400,HANARO e커머스,20201022,13977
203,A322400,HANARO e커머스,20201021,14155
204,A322400,HANARO e커머스,20201020,13982
205,A322400,HANARO e커머스,20201019,13833
206,A322400,HANARO e커머스,20201016,13972
207,A322400,HANARO e커머스,20201015,14002
208,A322400,HANARO e커머스,20201014,14066
209,A322400,HANARO e커머스,20201013,14170
210,A322400,HANARO e커머스,20201012,14111
211,A322400,HANARO e커머스,20201008,14155
212,A322400,HANARO e커머스,20201007,14165
213,A322400,HANARO e커머스,20201006,14131
214,A322400,HANARO e커머스,20201005,13992
215,A322400,HANARO e커머스,20200929,13828
216,A322400,HANARO e커머스,20200928,13798
217,A322400,HANARO e커머스,20200925,13476
218,A322400,HANARO e커머스,20200924,13451
219,A322400,HANARO e커머스,20200923,13689
220,A322400,HANARO e커머스,20200922,13516
221,A322400,HANARO e커머스,20200921,13888
222,A322400,HANARO e커머스,20200918,14141
223,A322400,HANARO e커머스,20200917,14111
224,A322400,HANARO e커머스,20200916,14260
225,A322400,HANARO e커머스,20200915,14304
226,A322400,HANARO e커머스,20200914,14185
227,A322400,HANARO e커머스,20200911,14121
228,A322400,HANARO e커머스,20200910,14101
229,A322400,HANARO e커머스,20200909,13987
230,A322400,HANARO e커머스,20200908,14146
231,A322400,HANARO e커머스,20200907,14225
232,A322400,HANARO e커머스,20200904,14349
233,A322400,HANARO e커머스,20200903,14612
234,A322400,HANARO e커머스,20200902,14537
235,A322400,HANARO e커머스,20200901,14349
236,A322400,HANARO e커머스,20200831,14369
237,A322400,HANARO e커머스,20200828,14369
238,A322400,HANARO e커머스,20200827,14314
239,A322400,HANARO e커머스,20200826,14225
240,A322400,HANARO e커머스,20200825,14046
241,A322400,HANARO e커머스,20200824,13823
242,A322400,HANARO e커머스,20200821,13585
243,A322400,HANARO e커머스,20200820,13372
244,A322400,HANARO e커머스,20200819,13818
245,A322400,HANARO e커머스,20200818,13615
246,A322400,HANARO e커머스,20200814,13818
247,A322400,HANARO e커머스,20200813,13789
248,A322400,HANARO e커머스,20200812,13684
249,A322400,HANARO e커머스,20200811,13660
250,A322400,HANARO e커머스,20200810,13670
251,A322400,HANARO e커머스,20200807,13466
252,A322400,HANARO e커머스,20200806,13565
253,A322400,HANARO e커머스,20200805,13541
254,A322400,HANARO e커머스,20200804,13476
255,A322400,HANARO e커머스,20200803,13352
256,A322400,HANARO e커머스,20200731,13065
257,A322400,HANARO e커머스,20200730,12911
258,A322400,HANARO e커머스,20200729,12832
259,A322400,HANARO e커머스,20200728,12727
260,A322400,HANARO e커머스,20200727,12618
261,A322400,HANARO e커머스,20200724,12574
262,A322400,HANARO e커머스,20200723,12723
263,A322400,HANARO e커머스,20200722,12549
264,A322400,HANARO e커머스,20200721,12613
265,A322400,HANARO e커머스,20200720,12470
266,A322400,HANARO e커머스,20200717,12713
267,A322400,HANARO e커머스,20200716,12663
268,A322400,HANARO e커머스,20200715,12946
269,A322400,HANARO e커머스,20200714,12990
270,A322400,HANARO e커머스,20200713,13174
271,A322400,HANARO e커머스,20200710,13169
272,A322400,HANARO e커머스,20200709,13149
273,A322400,HANARO e커머스,20200708,12842
274,A322400,HANARO e커머스,20200707,12628
275,A322400,HANARO e커머스,20200706,12599
276,A322400,HANARO e커머스,20200703,12415
277,A322400,HANARO e커머스,20200702,12306
278,A322400,HANARO e커머스,20200701,12004
279,A322400,HANARO e커머스,20200630,11899
280,A322400,HANARO e커머스,20200629,11746
281,A322400,HANARO e커머스,20200626,12004
282,A322400,HANARO e커머스,20200625,11904
283,A322400,HANARO e커머스,20200624,12212
284,A322400,HANARO e커머스,20200623,12157
285,A322400,HANARO e커머스,20200622,12063
286,A322400,HANARO e커머스,20200619,11771
287,A322400,HANARO e커머스,20200618,11731
288,A322400,HANARO e커머스,20200617,11766
289,A322400,HANARO e커머스,20200616,11716
290,A322400,HANARO e커머스,20200615,11190
291,A322400,HANARO e커머스,20200612,11810
292,A322400,HANARO e커머스,20200611,11929
293,A322400,HANARO e커머스,20200610,12018
294,A322400,HANARO e커머스,20200609,11810
295,A322400,HANARO e커머스,20200608,11845
296,A322400,HANARO e커머스,20200605,11751
297,A322400,HANARO e커머스,20200604,11746
298,A322400,HANARO e커머스,20200603,11587
299,A322400,HANARO e커머스,20200602,11756
300,A322400,HANARO e커머스,20200601,11790
301,A322400,HANARO e커머스,20200529,11582
302,A322400,HANARO e커머스,20200528,11746
303,A322400,HANARO e커머스,20200527,11627
304,A322400,HANARO e커머스,20200526,11845
305,A322400,HANARO e커머스,20200525,11726
306,A322400,HANARO e커머스,20200522,11290
307,A322400,HANARO e커머스,20200521,11190
308,A322400,HANARO e커머스,20200520,11022
309,A322400,HANARO e커머스,20200519,10744
310,A322400,HANARO e커머스,20200518,10675
311,A322400,HANARO e커머스,20200515,10670
312,A322400,HANARO e커머스,20200514,10819
313,A322400,HANARO e커머스,20200513,10620
314,A322400,HANARO e커머스,20200512,10571
315,A322400,HANARO e커머스,20200511,10491
316,A322400,HANARO e커머스,20200508,10452
317,A322400,HANARO e커머스,20200507,10437
318,A322400,HANARO e커머스,20200506,10338
319,A322400,HANARO e커머스,20200504,10010
320,A322400,HANARO e커머스,20200429,10050
321,A322400,HANARO e커머스,20200428,10000
322,A322400,HANARO e커머스,20200427,9931
323,A322400,HANARO e커머스,20200424,9675
324,A322400,HANARO e커머스,20200423,9739
325,A322400,HANARO e커머스,20200422,9433
326,A322400,HANARO e커머스,20200421,9369
327,A322400,HANARO e커머스,20200420,9414
328,A322400,HANARO e커머스,20200417,9399
329,A322400,HANARO e커머스,20200416,9123
330,A322400,HANARO e커머스,20200414,8985
331,A322400,HANARO e커머스,20200413,8877
332,A322400,HANARO e커머스,20200410,9074
333,A322400,HANARO e커머스,20200409,9034
334,A322400,HANARO e커머스,20200408,8916
335,A322400,HANARO e커머스,20200407,8980
336,A322400,HANARO e커머스,20200406,8931
337,A322400,HANARO e커머스,20200403,8621
338,A322400,HANARO e커머스,20200402,8655
339,A322400,HANARO e커머스,20200401,8320
340,A322400,HANARO e커머스,20200331,8621
341,A322400,HANARO e커머스,20200330,8419
342,A322400,HANARO e커머스,20200327,8379
343,A322400,HANARO e커머스,20200326,8236
344,A322400,HANARO e커머스,20200325,8276
345,A322400,HANARO e커머스,20200324,7980
346,A322400,HANARO e커머스,20200323,7478
347,A322400,HANARO e커머스,20200320,8034
348,A322400,HANARO e커머스,20200319,7438
349,A322400,HANARO e커머스,20200318,7941
350,A322400,HANARO e커머스,20200317,8340
351,A322400,HANARO e커머스,20200316,8379
352,A322400,HANARO e커머스,20200313,8719
353,A322400,HANARO e커머스,20200312,9059
354,A322400,HANARO e커머스,20200311,9360
355,A322400,HANARO e커머스,20200310,9576
356,A322400,HANARO e커머스,20200309,9429
357,A322400,HANARO e커머스,20200306,9818
358,A322400,HANARO e커머스,20200305,10015
359,A322400,HANARO e커머스,20200304,9882
360,A322400,HANARO e커머스,20200303,9611
361,A322400,HANARO e커머스,20200302,9626
362,A322400,HANARO e커머스,20200228,9507
363,A322400,HANARO e커머스,20200227,9862
364,A322400,HANARO e커머스,20200226,10044
