,종목코드,종목명,날짜,종가
0,A342600,KBSTAR KRX국채선물3년10년스티프너2X,20210812,51740
1,A342600,KBSTAR KRX국채선물3년10년스티프너2X,20210811,51760
2,A342600,KBSTAR KRX국채선물3년10년스티프너2X,20210810,51695
3,A342600,KBSTAR KRX국채선물3년10년스티프너2X,20210809,51620
4,A342600,KBSTAR KRX국채선물3년10년스티프너2X,20210806,51615
5,A342600,KBSTAR KRX국채선물3년10년스티프너2X,20210805,51630
6,A342600,KBSTAR KRX국채선물3년10년스티프너2X,20210804,51595
7,A342600,KBSTAR KRX국채선물3년10년스티프너2X,20210803,51550
8,A342600,KBSTAR KRX국채선물3년10년스티프너2X,20210802,51625
9,A342600,KBSTAR KRX국채선물3년10년스티프너2X,20210730,51575
10,A342600,KBSTAR KRX국채선물3년10년스티프너2X,20210729,51550
11,A342600,KBSTAR KRX국채선물3년10년스티프너2X,20210728,51515
12,A342600,KBSTAR KRX국채선물3년10년스티프너2X,20210727,51645
13,A342600,KBSTAR KRX국채선물3년10년스티프너2X,20210726,51650
14,A342600,KBSTAR KRX국채선물3년10년스티프너2X,20210723,51650
15,A342600,KBSTAR KRX국채선물3년10년스티프너2X,20210722,51675
16,A342600,KBSTAR KRX국채선물3년10년스티프너2X,20210721,51580
17,A342600,KBSTAR KRX국채선물3년10년스티프너2X,20210720,51585
18,A342600,KBSTAR KRX국채선물3년10년스티프너2X,20210719,51655
19,A342600,KBSTAR KRX국채선물3년10년스티프너2X,20210716,51755
20,A342600,KBSTAR KRX국채선물3년10년스티프너2X,20210715,51650
21,A342600,KBSTAR KRX국채선물3년10년스티프너2X,20210714,51965
22,A342600,KBSTAR KRX국채선물3년10년스티프너2X,20210713,51950
23,A342600,KBSTAR KRX국채선물3년10년스티프너2X,20210712,52000
24,A342600,KBSTAR KRX국채선물3년10년스티프너2X,20210709,52055
25,A342600,KBSTAR KRX국채선물3년10년스티프너2X,20210708,52005
26,A342600,KBSTAR KRX국채선물3년10년스티프너2X,20210707,51975
27,A342600,KBSTAR KRX국채선물3년10년스티프너2X,20210706,52005
28,A342600,KBSTAR KRX국채선물3년10년스티프너2X,20210705,51970
29,A342600,KBSTAR KRX국채선물3년10년스티프너2X,20210702,51875
30,A342600,KBSTAR KRX국채선물3년10년스티프너2X,20210701,51885
31,A342600,KBSTAR KRX국채선물3년10년스티프너2X,20210630,51960
32,A342600,KBSTAR KRX국채선물3년10년스티프너2X,20210629,51950
33,A342600,KBSTAR KRX국채선물3년10년스티프너2X,20210628,51955
34,A342600,KBSTAR KRX국채선물3년10년스티프너2X,20210625,51980
35,A342600,KBSTAR KRX국채선물3년10년스티프너2X,20210624,51990
36,A342600,KBSTAR KRX국채선물3년10년스티프너2X,20210623,52085
37,A342600,KBSTAR KRX국채선물3년10년스티프너2X,20210622,52100
38,A342600,KBSTAR KRX국채선물3년10년스티프너2X,20210621,51920
39,A342600,KBSTAR KRX국채선물3년10년스티프너2X,20210618,52045
40,A342600,KBSTAR KRX국채선물3년10년스티프너2X,20210617,52125
41,A342600,KBSTAR KRX국채선물3년10년스티프너2X,20210616,52195
42,A342600,KBSTAR KRX국채선물3년10년스티프너2X,20210615,52170
43,A342600,KBSTAR KRX국채선물3년10년스티프너2X,20210614,52315
44,A342600,KBSTAR KRX국채선물3년10년스티프너2X,20210611,52285
45,A342600,KBSTAR KRX국채선물3년10년스티프너2X,20210610,52360
46,A342600,KBSTAR KRX국채선물3년10년스티프너2X,20210609,52530
47,A342600,KBSTAR KRX국채선물3년10년스티프너2X,20210608,52460
48,A342600,KBSTAR KRX국채선물3년10년스티프너2X,20210607,52485
