,종목코드,종목명,날짜,종가
0,A342610,KBSTAR KRX국채선물3년10년플래트너,20210812,49855
1,A342610,KBSTAR KRX국채선물3년10년플래트너,20210811,49840
2,A342610,KBSTAR KRX국채선물3년10년플래트너,20210810,49870
3,A342610,KBSTAR KRX국채선물3년10년플래트너,20210809,49830
4,A342610,KBSTAR KRX국채선물3년10년플래트너,20210806,49890
5,A342610,KBSTAR KRX국채선물3년10년플래트너,20210805,49845
6,A342610,KBSTAR KRX국채선물3년10년플래트너,20210804,49905
7,A342610,KBSTAR KRX국채선물3년10년플래트너,20210803,49925
8,A342610,KBSTAR KRX국채선물3년10년플래트너,20210802,49890
9,A342610,KBSTAR KRX국채선물3년10년플래트너,20210730,49910
10,A342610,KBSTAR KRX국채선물3년10년플래트너,20210729,49920
11,A342610,KBSTAR KRX국채선물3년10년플래트너,20210728,49935
12,A342610,KBSTAR KRX국채선물3년10년플래트너,20210727,49865
13,A342610,KBSTAR KRX국채선물3년10년플래트너,20210726,49865
14,A342610,KBSTAR KRX국채선물3년10년플래트너,20210723,49860
15,A342610,KBSTAR KRX국채선물3년10년플래트너,20210722,49850
16,A342610,KBSTAR KRX국채선물3년10년플래트너,20210721,49840
17,A342610,KBSTAR KRX국채선물3년10년플래트너,20210720,49895
18,A342610,KBSTAR KRX국채선물3년10년플래트너,20210719,49865
19,A342610,KBSTAR KRX국채선물3년10년플래트너,20210716,49820
20,A342610,KBSTAR KRX국채선물3년10년플래트너,20210715,49840
21,A342610,KBSTAR KRX국채선물3년10년플래트너,20210714,49705
22,A342610,KBSTAR KRX국채선물3년10년플래트너,20210713,49710
23,A342610,KBSTAR KRX국채선물3년10년플래트너,20210712,49630
24,A342610,KBSTAR KRX국채선물3년10년플래트너,20210709,49660
25,A342610,KBSTAR KRX국채선물3년10년플래트너,20210708,49680
26,A342610,KBSTAR KRX국채선물3년10년플래트너,20210707,49690
27,A342610,KBSTAR KRX국채선물3년10년플래트너,20210706,49690
28,A342610,KBSTAR KRX국채선물3년10년플래트너,20210705,49720
29,A342610,KBSTAR KRX국채선물3년10년플래트너,20210702,49760
30,A342610,KBSTAR KRX국채선물3년10년플래트너,20210701,49700
31,A342610,KBSTAR KRX국채선물3년10년플래트너,20210630,49710
32,A342610,KBSTAR KRX국채선물3년10년플래트너,20210629,49715
33,A342610,KBSTAR KRX국채선물3년10년플래트너,20210628,49715
34,A342610,KBSTAR KRX국채선물3년10년플래트너,20210625,49705
35,A342610,KBSTAR KRX국채선물3년10년플래트너,20210624,49690
36,A342610,KBSTAR KRX국채선물3년10년플래트너,20210623,49640
37,A342610,KBSTAR KRX국채선물3년10년플래트너,20210622,49595
38,A342610,KBSTAR KRX국채선물3년10년플래트너,20210621,49715
39,A342610,KBSTAR KRX국채선물3년10년플래트너,20210618,49660
40,A342610,KBSTAR KRX국채선물3년10년플래트너,20210617,49630
41,A342610,KBSTAR KRX국채선물3년10년플래트너,20210616,49585
42,A342610,KBSTAR KRX국채선물3년10년플래트너,20210615,49600
43,A342610,KBSTAR KRX국채선물3년10년플래트너,20210614,49545
44,A342610,KBSTAR KRX국채선물3년10년플래트너,20210611,49505
45,A342610,KBSTAR KRX국채선물3년10년플래트너,20210610,49520
46,A342610,KBSTAR KRX국채선물3년10년플래트너,20210609,49440
47,A342610,KBSTAR KRX국채선물3년10년플래트너,20210608,49475
48,A342610,KBSTAR KRX국채선물3년10년플래트너,20210607,49470
49,A342610,KBSTAR KRX국채선물3년10년플래트너,20210604,49470
50,A342610,KBSTAR KRX국채선물3년10년플래트너,20210603,49400
51,A342610,KBSTAR KRX국채선물3년10년플래트너,20210602,49375
52,A342610,KBSTAR KRX국채선물3년10년플래트너,20210601,49435
53,A342610,KBSTAR KRX국채선물3년10년플래트너,20210531,49455
54,A342610,KBSTAR KRX국채선물3년10년플래트너,20210528,49435
55,A342610,KBSTAR KRX국채선물3년10년플래트너,20210527,49415
56,A342610,KBSTAR KRX국채선물3년10년플래트너,20210526,49445
57,A342610,KBSTAR KRX국채선물3년10년플래트너,20210525,49375
58,A342610,KBSTAR KRX국채선물3년10년플래트너,20210524,49395
59,A342610,KBSTAR KRX국채선물3년10년플래트너,20210521,49365
60,A342610,KBSTAR KRX국채선물3년10년플래트너,20210520,49375
61,A342610,KBSTAR KRX국채선물3년10년플래트너,20210518,49380
62,A342610,KBSTAR KRX국채선물3년10년플래트너,20210517,49410
63,A342610,KBSTAR KRX국채선물3년10년플래트너,20210514,49375
64,A342610,KBSTAR KRX국채선물3년10년플래트너,20210513,49340
65,A342610,KBSTAR KRX국채선물3년10년플래트너,20210512,49425
66,A342610,KBSTAR KRX국채선물3년10년플래트너,20210511,49400
67,A342610,KBSTAR KRX국채선물3년10년플래트너,20210510,49415
68,A342610,KBSTAR KRX국채선물3년10년플래트너,20210507,49440
69,A342610,KBSTAR KRX국채선물3년10년플래트너,20210506,49470
70,A342610,KBSTAR KRX국채선물3년10년플래트너,20210504,49465
71,A342610,KBSTAR KRX국채선물3년10년플래트너,20210503,49420
