,종목코드,종목명,날짜,종가
0,A379780,KBSTAR 미국S&P500,20210812,11270
1,A379780,KBSTAR 미국S&P500,20210811,11210
2,A379780,KBSTAR 미국S&P500,20210810,11130
3,A379780,KBSTAR 미국S&P500,20210809,11065
4,A379780,KBSTAR 미국S&P500,20210806,11065
5,A379780,KBSTAR 미국S&P500,20210805,11025
6,A379780,KBSTAR 미국S&P500,20210804,11070
7,A379780,KBSTAR 미국S&P500,20210803,11050
8,A379780,KBSTAR 미국S&P500,20210802,11130
9,A379780,KBSTAR 미국S&P500,20210730,11015
10,A379780,KBSTAR 미국S&P500,20210729,11050
11,A379780,KBSTAR 미국S&P500,20210728,11120
12,A379780,KBSTAR 미국S&P500,20210727,11105
13,A379780,KBSTAR 미국S&P500,20210726,11100
14,A379780,KBSTAR 미국S&P500,20210723,11020
15,A379780,KBSTAR 미국S&P500,20210722,10970
16,A379780,KBSTAR 미국S&P500,20210721,10920
17,A379780,KBSTAR 미국S&P500,20210720,10765
18,A379780,KBSTAR 미국S&P500,20210719,10840
19,A379780,KBSTAR 미국S&P500,20210716,10870
20,A379780,KBSTAR 미국S&P500,20210715,10915
21,A379780,KBSTAR 미국S&P500,20210714,10965
22,A379780,KBSTAR 미국S&P500,20210713,10980
23,A379780,KBSTAR 미국S&P500,20210712,10960
24,A379780,KBSTAR 미국S&P500,20210709,10880
25,A379780,KBSTAR 미국S&P500,20210708,10880
26,A379780,KBSTAR 미국S&P500,20210707,10810
27,A379780,KBSTAR 미국S&P500,20210706,10755
28,A379780,KBSTAR 미국S&P500,20210705,10765
29,A379780,KBSTAR 미국S&P500,20210702,10730
30,A379780,KBSTAR 미국S&P500,20210701,10675
31,A379780,KBSTAR 미국S&P500,20210630,10590
32,A379780,KBSTAR 미국S&P500,20210629,10595
33,A379780,KBSTAR 미국S&P500,20210628,10600
34,A379780,KBSTAR 미국S&P500,20210625,10540
35,A379780,KBSTAR 미국S&P500,20210624,10565
36,A379780,KBSTAR 미국S&P500,20210623,10585
37,A379780,KBSTAR 미국S&P500,20210622,10490
38,A379780,KBSTAR 미국S&P500,20210621,10340
39,A379780,KBSTAR 미국S&P500,20210618,10480
40,A379780,KBSTAR 미국S&P500,20210617,10420
41,A379780,KBSTAR 미국S&P500,20210616,10385
42,A379780,KBSTAR 미국S&P500,20210615,10425
43,A379780,KBSTAR 미국S&P500,20210614,10395
44,A379780,KBSTAR 미국S&P500,20210611,10315
45,A379780,KBSTAR 미국S&P500,20210610,10320
46,A379780,KBSTAR 미국S&P500,20210609,10315
47,A379780,KBSTAR 미국S&P500,20210608,10315
48,A379780,KBSTAR 미국S&P500,20210607,10280
49,A379780,KBSTAR 미국S&P500,20210604,10235
50,A379780,KBSTAR 미국S&P500,20210603,10260
51,A379780,KBSTAR 미국S&P500,20210602,10225
52,A379780,KBSTAR 미국S&P500,20210601,10185
53,A379780,KBSTAR 미국S&P500,20210531,10235
54,A379780,KBSTAR 미국S&P500,20210528,10280
55,A379780,KBSTAR 미국S&P500,20210527,10245
56,A379780,KBSTAR 미국S&P500,20210526,10265
57,A379780,KBSTAR 미국S&P500,20210525,10355
58,A379780,KBSTAR 미국S&P500,20210524,10290
59,A379780,KBSTAR 미국S&P500,20210521,10285
60,A379780,KBSTAR 미국S&P500,20210520,10190
61,A379780,KBSTAR 미국S&P500,20210518,10340
62,A379780,KBSTAR 미국S&P500,20210517,10345
63,A379780,KBSTAR 미국S&P500,20210514,10205
64,A379780,KBSTAR 미국S&P500,20210513,10075
65,A379780,KBSTAR 미국S&P500,20210512,10180
66,A379780,KBSTAR 미국S&P500,20210511,10230
67,A379780,KBSTAR 미국S&P500,20210510,10335
68,A379780,KBSTAR 미국S&P500,20210507,10320
69,A379780,KBSTAR 미국S&P500,20210506,10280
70,A379780,KBSTAR 미국S&P500,20210504,10290
71,A379780,KBSTAR 미국S&P500,20210503,10320
72,A379780,KBSTAR 미국S&P500,20210430,10230
73,A379780,KBSTAR 미국S&P500,20210429,10195
74,A379780,KBSTAR 미국S&P500,20210428,10205
75,A379780,KBSTAR 미국S&P500,20210427,10190
76,A379780,KBSTAR 미국S&P500,20210426,10190
77,A379780,KBSTAR 미국S&P500,20210423,10120
78,A379780,KBSTAR 미국S&P500,20210422,10200
79,A379780,KBSTAR 미국S&P500,20210421,10125
80,A379780,KBSTAR 미국S&P500,20210420,10160
81,A379780,KBSTAR 미국S&P500,20210419,10230
82,A379780,KBSTAR 미국S&P500,20210416,10190
83,A379780,KBSTAR 미국S&P500,20210415,10130
84,A379780,KBSTAR 미국S&P500,20210414,10135
85,A379780,KBSTAR 미국S&P500,20210413,10185
86,A379780,KBSTAR 미국S&P500,20210412,10150
87,A379780,KBSTAR 미국S&P500,20210409,10070
