,종목코드,종목명,날짜,종가
0,A219390,KBSTAR 미국S&P원유생산기업(합성 H),20210812,3730
1,A219390,KBSTAR 미국S&P원유생산기업(합성 H),20210811,3725
2,A219390,KBSTAR 미국S&P원유생산기업(합성 H),20210810,3665
3,A219390,KBSTAR 미국S&P원유생산기업(합성 H),20210809,3635
4,A219390,KBSTAR 미국S&P원유생산기업(합성 H),20210806,3700
5,A219390,KBSTAR 미국S&P원유생산기업(합성 H),20210805,3650
6,A219390,KBSTAR 미국S&P원유생산기업(합성 H),20210804,3745
7,A219390,KBSTAR 미국S&P원유생산기업(합성 H),20210803,3710
8,A219390,KBSTAR 미국S&P원유생산기업(합성 H),20210802,3755
9,A219390,KBSTAR 미국S&P원유생산기업(합성 H),20210730,3760
10,A219390,KBSTAR 미국S&P원유생산기업(합성 H),20210729,3825
11,A219390,KBSTAR 미국S&P원유생산기업(합성 H),20210728,3750
12,A219390,KBSTAR 미국S&P원유생산기업(합성 H),20210727,3800
13,A219390,KBSTAR 미국S&P원유생산기업(합성 H),20210726,3695
14,A219390,KBSTAR 미국S&P원유생산기업(합성 H),20210723,3815
15,A219390,KBSTAR 미국S&P원유생산기업(합성 H),20210722,3820
16,A219390,KBSTAR 미국S&P원유생산기업(합성 H),20210721,3660
17,A219390,KBSTAR 미국S&P원유생산기업(합성 H),20210720,3625
18,A219390,KBSTAR 미국S&P원유생산기업(합성 H),20210719,3725
19,A219390,KBSTAR 미국S&P원유생산기업(합성 H),20210716,3900
20,A219390,KBSTAR 미국S&P원유생산기업(합성 H),20210715,3940
21,A219390,KBSTAR 미국S&P원유생산기업(합성 H),20210714,4130
22,A219390,KBSTAR 미국S&P원유생산기업(합성 H),20210713,4200
23,A219390,KBSTAR 미국S&P원유생산기업(합성 H),20210712,4215
24,A219390,KBSTAR 미국S&P원유생산기업(합성 H),20210709,4165
25,A219390,KBSTAR 미국S&P원유생산기업(합성 H),20210708,4150
26,A219390,KBSTAR 미국S&P원유생산기업(합성 H),20210707,4225
27,A219390,KBSTAR 미국S&P원유생산기업(합성 H),20210706,4455
28,A219390,KBSTAR 미국S&P원유생산기업(합성 H),20210705,4365
29,A219390,KBSTAR 미국S&P원유생산기업(합성 H),20210702,4450
30,A219390,KBSTAR 미국S&P원유생산기업(합성 H),20210701,4395
31,A219390,KBSTAR 미국S&P원유생산기업(합성 H),20210630,4300
32,A219390,KBSTAR 미국S&P원유생산기업(합성 H),20210629,4310
33,A219390,KBSTAR 미국S&P원유생산기업(합성 H),20210628,4495
34,A219390,KBSTAR 미국S&P원유생산기업(합성 H),20210625,4455
35,A219390,KBSTAR 미국S&P원유생산기업(합성 H),20210624,4365
36,A219390,KBSTAR 미국S&P원유생산기업(합성 H),20210623,4310
37,A219390,KBSTAR 미국S&P원유생산기업(합성 H),20210622,4290
38,A219390,KBSTAR 미국S&P원유생산기업(합성 H),20210621,4090
