,종목코드,종목명,날짜,종가
0,A354240,KBSTAR 미국고정배당우선증권ICE TR,20210812,10640
1,A354240,KBSTAR 미국고정배당우선증권ICE TR,20210811,10595
2,A354240,KBSTAR 미국고정배당우선증권ICE TR,20210810,10610
3,A354240,KBSTAR 미국고정배당우선증권ICE TR,20210809,10600
4,A354240,KBSTAR 미국고정배당우선증권ICE TR,20210806,10580
5,A354240,KBSTAR 미국고정배당우선증권ICE TR,20210805,10570
6,A354240,KBSTAR 미국고정배당우선증권ICE TR,20210804,10565
7,A354240,KBSTAR 미국고정배당우선증권ICE TR,20210803,10615
8,A354240,KBSTAR 미국고정배당우선증권ICE TR,20210802,10620
9,A354240,KBSTAR 미국고정배당우선증권ICE TR,20210730,10575
10,A354240,KBSTAR 미국고정배당우선증권ICE TR,20210729,10500
11,A354240,KBSTAR 미국고정배당우선증권ICE TR,20210728,10565
12,A354240,KBSTAR 미국고정배당우선증권ICE TR,20210727,10550
13,A354240,KBSTAR 미국고정배당우선증권ICE TR,20210726,10600
14,A354240,KBSTAR 미국고정배당우선증권ICE TR,20210723,10545
15,A354240,KBSTAR 미국고정배당우선증권ICE TR,20210722,10575
16,A354240,KBSTAR 미국고정배당우선증권ICE TR,20210721,10575
17,A354240,KBSTAR 미국고정배당우선증권ICE TR,20210720,10555
18,A354240,KBSTAR 미국고정배당우선증권ICE TR,20210719,10585
19,A354240,KBSTAR 미국고정배당우선증권ICE TR,20210716,10520
20,A354240,KBSTAR 미국고정배당우선증권ICE TR,20210715,10555
21,A354240,KBSTAR 미국고정배당우선증권ICE TR,20210714,10590
22,A354240,KBSTAR 미국고정배당우선증권ICE TR,20210713,10630
23,A354240,KBSTAR 미국고정배당우선증권ICE TR,20210712,10625
24,A354240,KBSTAR 미국고정배당우선증권ICE TR,20210709,10650
25,A354240,KBSTAR 미국고정배당우선증권ICE TR,20210708,10630
26,A354240,KBSTAR 미국고정배당우선증권ICE TR,20210707,10530
27,A354240,KBSTAR 미국고정배당우선증권ICE TR,20210706,10460
28,A354240,KBSTAR 미국고정배당우선증권ICE TR,20210705,10475
29,A354240,KBSTAR 미국고정배당우선증권ICE TR,20210702,10500
30,A354240,KBSTAR 미국고정배당우선증권ICE TR,20210701,10405
31,A354240,KBSTAR 미국고정배당우선증권ICE TR,20210630,10375
32,A354240,KBSTAR 미국고정배당우선증권ICE TR,20210629,10390
33,A354240,KBSTAR 미국고정배당우선증권ICE TR,20210628,10400
34,A354240,KBSTAR 미국고정배당우선증권ICE TR,20210625,10395
35,A354240,KBSTAR 미국고정배당우선증권ICE TR,20210624,10455
36,A354240,KBSTAR 미국고정배당우선증권ICE TR,20210623,10500
37,A354240,KBSTAR 미국고정배당우선증권ICE TR,20210622,10435
38,A354240,KBSTAR 미국고정배당우선증권ICE TR,20210621,10440
39,A354240,KBSTAR 미국고정배당우선증권ICE TR,20210618,10420
40,A354240,KBSTAR 미국고정배당우선증권ICE TR,20210617,10405
41,A354240,KBSTAR 미국고정배당우선증권ICE TR,20210616,10270
42,A354240,KBSTAR 미국고정배당우선증권ICE TR,20210615,10250
43,A354240,KBSTAR 미국고정배당우선증권ICE TR,20210614,10205
44,A354240,KBSTAR 미국고정배당우선증권ICE TR,20210611,10185
45,A354240,KBSTAR 미국고정배당우선증권ICE TR,20210610,10210
46,A354240,KBSTAR 미국고정배당우선증권ICE TR,20210609,10210
47,A354240,KBSTAR 미국고정배당우선증권ICE TR,20210608,10190
48,A354240,KBSTAR 미국고정배당우선증권ICE TR,20210607,10175
49,A354240,KBSTAR 미국고정배당우선증권ICE TR,20210604,10175
50,A354240,KBSTAR 미국고정배당우선증권ICE TR,20210603,10155
51,A354240,KBSTAR 미국고정배당우선증권ICE TR,20210602,10140
52,A354240,KBSTAR 미국고정배당우선증권ICE TR,20210601,10060
53,A354240,KBSTAR 미국고정배당우선증권ICE TR,20210531,10110
54,A354240,KBSTAR 미국고정배당우선증권ICE TR,20210528,10105
55,A354240,KBSTAR 미국고정배당우선증권ICE TR,20210527,10100
56,A354240,KBSTAR 미국고정배당우선증권ICE TR,20210526,10105
57,A354240,KBSTAR 미국고정배당우선증권ICE TR,20210525,10145
58,A354240,KBSTAR 미국고정배당우선증권ICE TR,20210524,10175
59,A354240,KBSTAR 미국고정배당우선증권ICE TR,20210521,10165
