,종목코드,종목명,날짜,종가
0,A281990,KBSTAR 중소형고배당,20210812,12475
1,A281990,KBSTAR 중소형고배당,20210811,12495
2,A281990,KBSTAR 중소형고배당,20210810,12495
3,A281990,KBSTAR 중소형고배당,20210809,12630
4,A281990,KBSTAR 중소형고배당,20210806,12705
5,A281990,KBSTAR 중소형고배당,20210805,12740
6,A281990,KBSTAR 중소형고배당,20210804,12720
7,A281990,KBSTAR 중소형고배당,20210803,12560
8,A281990,KBSTAR 중소형고배당,20210802,12625
9,A281990,KBSTAR 중소형고배당,20210730,12705
10,A281990,KBSTAR 중소형고배당,20210729,12810
11,A281990,KBSTAR 중소형고배당,20210728,12720
12,A281990,KBSTAR 중소형고배당,20210727,12720
13,A281990,KBSTAR 중소형고배당,20210726,12715
14,A281990,KBSTAR 중소형고배당,20210723,12805
15,A281990,KBSTAR 중소형고배당,20210722,12585
16,A281990,KBSTAR 중소형고배당,20210721,12475
17,A281990,KBSTAR 중소형고배당,20210720,12455
18,A281990,KBSTAR 중소형고배당,20210719,12575
19,A281990,KBSTAR 중소형고배당,20210716,12705
20,A281990,KBSTAR 중소형고배당,20210715,12745
21,A281990,KBSTAR 중소형고배당,20210714,12605
22,A281990,KBSTAR 중소형고배당,20210713,12615
23,A281990,KBSTAR 중소형고배당,20210712,12470
24,A281990,KBSTAR 중소형고배당,20210709,12360
25,A281990,KBSTAR 중소형고배당,20210708,12505
26,A281990,KBSTAR 중소형고배당,20210707,12710
27,A281990,KBSTAR 중소형고배당,20210706,12800
28,A281990,KBSTAR 중소형고배당,20210705,12745
29,A281990,KBSTAR 중소형고배당,20210702,12750
30,A281990,KBSTAR 중소형고배당,20210701,12755
31,A281990,KBSTAR 중소형고배당,20210630,12800
32,A281990,KBSTAR 중소형고배당,20210629,12750
33,A281990,KBSTAR 중소형고배당,20210628,12755
34,A281990,KBSTAR 중소형고배당,20210625,12620
35,A281990,KBSTAR 중소형고배당,20210624,12450
36,A281990,KBSTAR 중소형고배당,20210623,12440
37,A281990,KBSTAR 중소형고배당,20210622,12530
