,종목코드,종목명,날짜,종가
0,A250730,KBSTAR 차이나HSCEI(H),20210812,10975
1,A250730,KBSTAR 차이나HSCEI(H),20210811,10940
2,A250730,KBSTAR 차이나HSCEI(H),20210810,10870
3,A250730,KBSTAR 차이나HSCEI(H),20210809,10740
4,A250730,KBSTAR 차이나HSCEI(H),20210806,10695
5,A250730,KBSTAR 차이나HSCEI(H),20210805,10680
6,A250730,KBSTAR 차이나HSCEI(H),20210804,10870
7,A250730,KBSTAR 차이나HSCEI(H),20210803,10700
8,A250730,KBSTAR 차이나HSCEI(H),20210802,10730
9,A250730,KBSTAR 차이나HSCEI(H),20210730,10535
10,A250730,KBSTAR 차이나HSCEI(H),20210729,10780
11,A250730,KBSTAR 차이나HSCEI(H),20210728,10380
12,A250730,KBSTAR 차이나HSCEI(H),20210727,10400
13,A250730,KBSTAR 차이나HSCEI(H),20210726,10855
14,A250730,KBSTAR 차이나HSCEI(H),20210723,11390
15,A250730,KBSTAR 차이나HSCEI(H),20210722,11505
16,A250730,KBSTAR 차이나HSCEI(H),20210721,11250
17,A250730,KBSTAR 차이나HSCEI(H),20210720,11310
18,A250730,KBSTAR 차이나HSCEI(H),20210719,11490
19,A250730,KBSTAR 차이나HSCEI(H),20210716,11675
20,A250730,KBSTAR 차이나HSCEI(H),20210715,11705
21,A250730,KBSTAR 차이나HSCEI(H),20210714,11585
22,A250730,KBSTAR 차이나HSCEI(H),20210713,11600
23,A250730,KBSTAR 차이나HSCEI(H),20210712,11425
24,A250730,KBSTAR 차이나HSCEI(H),20210709,11400
25,A250730,KBSTAR 차이나HSCEI(H),20210708,11315
26,A250730,KBSTAR 차이나HSCEI(H),20210707,11595
27,A250730,KBSTAR 차이나HSCEI(H),20210706,11700
28,A250730,KBSTAR 차이나HSCEI(H),20210705,11785
29,A250730,KBSTAR 차이나HSCEI(H),20210702,11940
30,A250730,KBSTAR 차이나HSCEI(H),20210701,12090
31,A250730,KBSTAR 차이나HSCEI(H),20210630,12260
32,A250730,KBSTAR 차이나HSCEI(H),20210629,12285
33,A250730,KBSTAR 차이나HSCEI(H),20210628,12350
34,A250730,KBSTAR 차이나HSCEI(H),20210625,12400
35,A250730,KBSTAR 차이나HSCEI(H),20210624,12145
36,A250730,KBSTAR 차이나HSCEI(H),20210623,12130
37,A250730,KBSTAR 차이나HSCEI(H),20210622,12020
38,A250730,KBSTAR 차이나HSCEI(H),20210621,12000
39,A250730,KBSTAR 차이나HSCEI(H),20210618,12100
40,A250730,KBSTAR 차이나HSCEI(H),20210617,12060
41,A250730,KBSTAR 차이나HSCEI(H),20210616,12090
42,A250730,KBSTAR 차이나HSCEI(H),20210615,12165
43,A250730,KBSTAR 차이나HSCEI(H),20210614,12300
44,A250730,KBSTAR 차이나HSCEI(H),20210611,12270
45,A250730,KBSTAR 차이나HSCEI(H),20210610,12215
46,A250730,KBSTAR 차이나HSCEI(H),20210609,12130
47,A250730,KBSTAR 차이나HSCEI(H),20210608,12180
48,A250730,KBSTAR 차이나HSCEI(H),20210607,12260
49,A250730,KBSTAR 차이나HSCEI(H),20210604,12350
50,A250730,KBSTAR 차이나HSCEI(H),20210603,12410
51,A250730,KBSTAR 차이나HSCEI(H),20210602,12460
52,A250730,KBSTAR 차이나HSCEI(H),20210601,12470
53,A250730,KBSTAR 차이나HSCEI(H),20210531,12300
54,A250730,KBSTAR 차이나HSCEI(H),20210528,12300
55,A250730,KBSTAR 차이나HSCEI(H),20210527,12345
56,A250730,KBSTAR 차이나HSCEI(H),20210526,12350
57,A250730,KBSTAR 차이나HSCEI(H),20210525,12225
58,A250730,KBSTAR 차이나HSCEI(H),20210524,12080
59,A250730,KBSTAR 차이나HSCEI(H),20210521,12160
60,A250730,KBSTAR 차이나HSCEI(H),20210520,12040
61,A250730,KBSTAR 차이나HSCEI(H),20210518,12090
62,A250730,KBSTAR 차이나HSCEI(H),20210517,11975
63,A250730,KBSTAR 차이나HSCEI(H),20210514,11780
64,A250730,KBSTAR 차이나HSCEI(H),20210513,11800
65,A250730,KBSTAR 차이나HSCEI(H),20210512,11980
66,A250730,KBSTAR 차이나HSCEI(H),20210511,11910
67,A250730,KBSTAR 차이나HSCEI(H),20210510,12130
68,A250730,KBSTAR 차이나HSCEI(H),20210507,12185
69,A250730,KBSTAR 차이나HSCEI(H),20210506,12200
70,A250730,KBSTAR 차이나HSCEI(H),20210504,12215
71,A250730,KBSTAR 차이나HSCEI(H),20210503,12175
72,A250730,KBSTAR 차이나HSCEI(H),20210430,12360
73,A250730,KBSTAR 차이나HSCEI(H),20210429,12545
74,A250730,KBSTAR 차이나HSCEI(H),20210428,12515
75,A250730,KBSTAR 차이나HSCEI(H),20210427,12545
76,A250730,KBSTAR 차이나HSCEI(H),20210426,12495
77,A250730,KBSTAR 차이나HSCEI(H),20210423,12530
78,A250730,KBSTAR 차이나HSCEI(H),20210422,12375
79,A250730,KBSTAR 차이나HSCEI(H),20210421,12375
80,A250730,KBSTAR 차이나HSCEI(H),20210420,12585
81,A250730,KBSTAR 차이나HSCEI(H),20210419,12585
82,A250730,KBSTAR 차이나HSCEI(H),20210416,12560
83,A250730,KBSTAR 차이나HSCEI(H),20210415,12335
84,A250730,KBSTAR 차이나HSCEI(H),20210414,12460
85,A250730,KBSTAR 차이나HSCEI(H),20210413,12340
86,A250730,KBSTAR 차이나HSCEI(H),20210412,12355
87,A250730,KBSTAR 차이나HSCEI(H),20210409,12410
88,A250730,KBSTAR 차이나HSCEI(H),20210408,12575
89,A250730,KBSTAR 차이나HSCEI(H),20210407,12605
90,A250730,KBSTAR 차이나HSCEI(H),20210406,12800
91,A250730,KBSTAR 차이나HSCEI(H),20210405,12665
92,A250730,KBSTAR 차이나HSCEI(H),20210402,12725
93,A250730,KBSTAR 차이나HSCEI(H),20210401,12655
94,A250730,KBSTAR 차이나HSCEI(H),20210331,12475
95,A250730,KBSTAR 차이나HSCEI(H),20210330,12560
96,A250730,KBSTAR 차이나HSCEI(H),20210329,12420
97,A250730,KBSTAR 차이나HSCEI(H),20210326,12495
98,A250730,KBSTAR 차이나HSCEI(H),20210325,12205
99,A250730,KBSTAR 차이나HSCEI(H),20210324,12320
100,A250730,KBSTAR 차이나HSCEI(H),20210323,12600
101,A250730,KBSTAR 차이나HSCEI(H),20210322,12855
102,A250730,KBSTAR 차이나HSCEI(H),20210319,12750
103,A250730,KBSTAR 차이나HSCEI(H),20210318,13115
104,A250730,KBSTAR 차이나HSCEI(H),20210317,12870
105,A250730,KBSTAR 차이나HSCEI(H),20210316,12870
106,A250730,KBSTAR 차이나HSCEI(H),20210315,12680
107,A250730,KBSTAR 차이나HSCEI(H),20210312,12955
108,A250730,KBSTAR 차이나HSCEI(H),20210311,12815
109,A250730,KBSTAR 차이나HSCEI(H),20210310,12580
110,A250730,KBSTAR 차이나HSCEI(H),20210309,12510
111,A250730,KBSTAR 차이나HSCEI(H),20210308,12690
112,A250730,KBSTAR 차이나HSCEI(H),20210305,12960
113,A250730,KBSTAR 차이나HSCEI(H),20210304,12985
114,A250730,KBSTAR 차이나HSCEI(H),20210303,13220
115,A250730,KBSTAR 차이나HSCEI(H),20210302,12890
116,A250730,KBSTAR 차이나HSCEI(H),20210226,12965
117,A250730,KBSTAR 차이나HSCEI(H),20210225,13360
118,A250730,KBSTAR 차이나HSCEI(H),20210224,13060
119,A250730,KBSTAR 차이나HSCEI(H),20210223,13650
120,A250730,KBSTAR 차이나HSCEI(H),20210222,13745
121,A250730,KBSTAR 차이나HSCEI(H),20210219,13800
122,A250730,KBSTAR 차이나HSCEI(H),20210218,13815
123,A250730,KBSTAR 차이나HSCEI(H),20210217,13970
124,A250730,KBSTAR 차이나HSCEI(H),20210216,13790
125,A250730,KBSTAR 차이나HSCEI(H),20210215,13630
126,A250730,KBSTAR 차이나HSCEI(H),20210210,13540
127,A250730,KBSTAR 차이나HSCEI(H),20210209,13285
128,A250730,KBSTAR 차이나HSCEI(H),20210208,13280
129,A250730,KBSTAR 차이나HSCEI(H),20210205,13275
130,A250730,KBSTAR 차이나HSCEI(H),20210204,13200
131,A250730,KBSTAR 차이나HSCEI(H),20210203,13315
132,A250730,KBSTAR 차이나HSCEI(H),20210202,13315
133,A250730,KBSTAR 차이나HSCEI(H),20210201,13180
134,A250730,KBSTAR 차이나HSCEI(H),20210129,12830
135,A250730,KBSTAR 차이나HSCEI(H),20210128,13075
136,A250730,KBSTAR 차이나HSCEI(H),20210127,13445
137,A250730,KBSTAR 차이나HSCEI(H),20210126,13450
138,A250730,KBSTAR 차이나HSCEI(H),20210125,13675
139,A250730,KBSTAR 차이나HSCEI(H),20210122,13430
140,A250730,KBSTAR 차이나HSCEI(H),20210121,13635
141,A250730,KBSTAR 차이나HSCEI(H),20210120,13685
142,A250730,KBSTAR 차이나HSCEI(H),20210119,13435
143,A250730,KBSTAR 차이나HSCEI(H),20210118,13060
144,A250730,KBSTAR 차이나HSCEI(H),20210115,12890
145,A250730,KBSTAR 차이나HSCEI(H),20210114,12920
146,A250730,KBSTAR 차이나HSCEI(H),20210113,12805
147,A250730,KBSTAR 차이나HSCEI(H),20210112,12745
148,A250730,KBSTAR 차이나HSCEI(H),20210111,12595
149,A250730,KBSTAR 차이나HSCEI(H),20210108,12545
150,A250730,KBSTAR 차이나HSCEI(H),20210107,12305
151,A250730,KBSTAR 차이나HSCEI(H),20210106,12390
152,A250730,KBSTAR 차이나HSCEI(H),20210105,12235
153,A250730,KBSTAR 차이나HSCEI(H),20210104,12320
154,A250730,KBSTAR 차이나HSCEI(H),20201230,12155
155,A250730,KBSTAR 차이나HSCEI(H),20201229,12005
156,A250730,KBSTAR 차이나HSCEI(H),20201228,11885
157,A250730,KBSTAR 차이나HSCEI(H),20201224,12000
158,A250730,KBSTAR 차이나HSCEI(H),20201223,12075
159,A250730,KBSTAR 차이나HSCEI(H),20201222,11890
160,A250730,KBSTAR 차이나HSCEI(H),20201221,12045
161,A250730,KBSTAR 차이나HSCEI(H),20201218,12050
162,A250730,KBSTAR 차이나HSCEI(H),20201217,12060
163,A250730,KBSTAR 차이나HSCEI(H),20201216,11960
164,A250730,KBSTAR 차이나HSCEI(H),20201215,11945
165,A250730,KBSTAR 차이나HSCEI(H),20201214,11945
166,A250730,KBSTAR 차이나HSCEI(H),20201211,11940
167,A250730,KBSTAR 차이나HSCEI(H),20201210,11955
168,A250730,KBSTAR 차이나HSCEI(H),20201209,12100
169,A250730,KBSTAR 차이나HSCEI(H),20201208,11960
170,A250730,KBSTAR 차이나HSCEI(H),20201207,12080
171,A250730,KBSTAR 차이나HSCEI(H),20201204,12245
172,A250730,KBSTAR 차이나HSCEI(H),20201203,12200
173,A250730,KBSTAR 차이나HSCEI(H),20201202,12125
174,A250730,KBSTAR 차이나HSCEI(H),20201201,12305
175,A250730,KBSTAR 차이나HSCEI(H),20201130,12265
176,A250730,KBSTAR 차이나HSCEI(H),20201127,12350
177,A250730,KBSTAR 차이나HSCEI(H),20201126,12240
178,A250730,KBSTAR 차이나HSCEI(H),20201125,12225
179,A250730,KBSTAR 차이나HSCEI(H),20201124,12230
180,A250730,KBSTAR 차이나HSCEI(H),20201123,12285
181,A250730,KBSTAR 차이나HSCEI(H),20201120,12190
182,A250730,KBSTAR 차이나HSCEI(H),20201119,12215
183,A250730,KBSTAR 차이나HSCEI(H),20201118,12240
184,A250730,KBSTAR 차이나HSCEI(H),20201117,12195
185,A250730,KBSTAR 차이나HSCEI(H),20201116,12120
186,A250730,KBSTAR 차이나HSCEI(H),20201113,12120
187,A250730,KBSTAR 차이나HSCEI(H),20201112,12155
188,A250730,KBSTAR 차이나HSCEI(H),20201111,12105
189,A250730,KBSTAR 차이나HSCEI(H),20201110,12135
190,A250730,KBSTAR 차이나HSCEI(H),20201109,12245
191,A250730,KBSTAR 차이나HSCEI(H),20201106,12080
192,A250730,KBSTAR 차이나HSCEI(H),20201105,11990
193,A250730,KBSTAR 차이나HSCEI(H),20201104,11540
194,A250730,KBSTAR 차이나HSCEI(H),20201103,11625
195,A250730,KBSTAR 차이나HSCEI(H),20201102,11420
196,A250730,KBSTAR 차이나HSCEI(H),20201030,11280
197,A250730,KBSTAR 차이나HSCEI(H),20201029,11540
198,A250730,KBSTAR 차이나HSCEI(H),20201028,11455
199,A250730,KBSTAR 차이나HSCEI(H),20201027,11515
200,A250730,KBSTAR 차이나HSCEI(H),20201026,11585
201,A250730,KBSTAR 차이나HSCEI(H),20201023,11650
202,A250730,KBSTAR 차이나HSCEI(H),20201022,11680
203,A250730,KBSTAR 차이나HSCEI(H),20201021,11620
204,A250730,KBSTAR 차이나HSCEI(H),20201020,11540
205,A250730,KBSTAR 차이나HSCEI(H),20201019,11555
206,A250730,KBSTAR 차이나HSCEI(H),20201016,11400
207,A250730,KBSTAR 차이나HSCEI(H),20201015,11390
208,A250730,KBSTAR 차이나HSCEI(H),20201014,11385
209,A250730,KBSTAR 차이나HSCEI(H),20201013,11255
210,A250730,KBSTAR 차이나HSCEI(H),20201012,11375
211,A250730,KBSTAR 차이나HSCEI(H),20201008,11065
212,A250730,KBSTAR 차이나HSCEI(H),20201007,11125
213,A250730,KBSTAR 차이나HSCEI(H),20201006,10950
214,A250730,KBSTAR 차이나HSCEI(H),20201005,10915
215,A250730,KBSTAR 차이나HSCEI(H),20200929,10760
216,A250730,KBSTAR 차이나HSCEI(H),20200928,10865
217,A250730,KBSTAR 차이나HSCEI(H),20200925,10785
218,A250730,KBSTAR 차이나HSCEI(H),20200924,10860
219,A250730,KBSTAR 차이나HSCEI(H),20200923,11050
220,A250730,KBSTAR 차이나HSCEI(H),20200922,11140
221,A250730,KBSTAR 차이나HSCEI(H),20200921,11225
222,A250730,KBSTAR 차이나HSCEI(H),20200918,11425
223,A250730,KBSTAR 차이나HSCEI(H),20200917,11220
224,A250730,KBSTAR 차이나HSCEI(H),20200916,11315
225,A250730,KBSTAR 차이나HSCEI(H),20200915,11280
226,A250730,KBSTAR 차이나HSCEI(H),20200914,11300
227,A250730,KBSTAR 차이나HSCEI(H),20200911,11265
228,A250730,KBSTAR 차이나HSCEI(H),20200910,11300
229,A250730,KBSTAR 차이나HSCEI(H),20200909,11210
230,A250730,KBSTAR 차이나HSCEI(H),20200908,11290
231,A250730,KBSTAR 차이나HSCEI(H),20200907,11185
232,A250730,KBSTAR 차이나HSCEI(H),20200904,11290
233,A250730,KBSTAR 차이나HSCEI(H),20200903,11390
234,A250730,KBSTAR 차이나HSCEI(H),20200902,11480
235,A250730,KBSTAR 차이나HSCEI(H),20200901,11495
236,A250730,KBSTAR 차이나HSCEI(H),20200831,11625
237,A250730,KBSTAR 차이나HSCEI(H),20200828,11730
238,A250730,KBSTAR 차이나HSCEI(H),20200827,11645
239,A250730,KBSTAR 차이나HSCEI(H),20200826,11720
240,A250730,KBSTAR 차이나HSCEI(H),20200825,11700
241,A250730,KBSTAR 차이나HSCEI(H),20200824,11755
242,A250730,KBSTAR 차이나HSCEI(H),20200821,11695
243,A250730,KBSTAR 차이나HSCEI(H),20200820,11550
244,A250730,KBSTAR 차이나HSCEI(H),20200819,11705
245,A250730,KBSTAR 차이나HSCEI(H),20200818,11875
246,A250730,KBSTAR 차이나HSCEI(H),20200814,11810
247,A250730,KBSTAR 차이나HSCEI(H),20200813,11695
248,A250730,KBSTAR 차이나HSCEI(H),20200812,11550
249,A250730,KBSTAR 차이나HSCEI(H),20200811,11620
250,A250730,KBSTAR 차이나HSCEI(H),20200810,11460
251,A250730,KBSTAR 차이나HSCEI(H),20200807,11510
252,A250730,KBSTAR 차이나HSCEI(H),20200806,11545
253,A250730,KBSTAR 차이나HSCEI(H),20200805,11670
254,A250730,KBSTAR 차이나HSCEI(H),20200804,11625
255,A250730,KBSTAR 차이나HSCEI(H),20200803,11455
256,A250730,KBSTAR 차이나HSCEI(H),20200731,11580
257,A250730,KBSTAR 차이나HSCEI(H),20200730,11600
258,A250730,KBSTAR 차이나HSCEI(H),20200729,11630
259,A250730,KBSTAR 차이나HSCEI(H),20200728,11635
260,A250730,KBSTAR 차이나HSCEI(H),20200727,11550
261,A250730,KBSTAR 차이나HSCEI(H),20200724,11455
262,A250730,KBSTAR 차이나HSCEI(H),20200723,11765
263,A250730,KBSTAR 차이나HSCEI(H),20200722,11900
264,A250730,KBSTAR 차이나HSCEI(H),20200721,11935
265,A250730,KBSTAR 차이나HSCEI(H),20200720,11825
266,A250730,KBSTAR 차이나HSCEI(H),20200717,11645
267,A250730,KBSTAR 차이나HSCEI(H),20200716,11665
268,A250730,KBSTAR 차이나HSCEI(H),20200715,11880
269,A250730,KBSTAR 차이나HSCEI(H),20200714,11860
270,A250730,KBSTAR 차이나HSCEI(H),20200713,12155
271,A250730,KBSTAR 차이나HSCEI(H),20200710,12035
272,A250730,KBSTAR 차이나HSCEI(H),20200709,12275
273,A250730,KBSTAR 차이나HSCEI(H),20200708,12240
274,A250730,KBSTAR 차이나HSCEI(H),20200707,12205
275,A250730,KBSTAR 차이나HSCEI(H),20200706,12075
276,A250730,KBSTAR 차이나HSCEI(H),20200703,11625
277,A250730,KBSTAR 차이나HSCEI(H),20200702,11315
278,A250730,KBSTAR 차이나HSCEI(H),20200701,11175
279,A250730,KBSTAR 차이나HSCEI(H),20200630,10970
280,A250730,KBSTAR 차이나HSCEI(H),20200629,11040
281,A250730,KBSTAR 차이나HSCEI(H),20200626,11175
282,A250730,KBSTAR 차이나HSCEI(H),20200625,11370
283,A250730,KBSTAR 차이나HSCEI(H),20200624,11250
284,A250730,KBSTAR 차이나HSCEI(H),20200623,11250
285,A250730,KBSTAR 차이나HSCEI(H),20200622,11100
286,A250730,KBSTAR 차이나HSCEI(H),20200619,11255
287,A250730,KBSTAR 차이나HSCEI(H),20200618,11105
288,A250730,KBSTAR 차이나HSCEI(H),20200617,11055
289,A250730,KBSTAR 차이나HSCEI(H),20200616,11115
290,A250730,KBSTAR 차이나HSCEI(H),20200615,10900
291,A250730,KBSTAR 차이나HSCEI(H),20200612,11060
