,종목코드,종목명,날짜,종가
0,A275750,KBSTAR 코스닥150선물인버스,20210812,4500
1,A275750,KBSTAR 코스닥150선물인버스,20210811,4515
2,A275750,KBSTAR 코스닥150선물인버스,20210810,4520
3,A275750,KBSTAR 코스닥150선물인버스,20210809,4490
4,A275750,KBSTAR 코스닥150선물인버스,20210806,4495
5,A275750,KBSTAR 코스닥150선물인버스,20210805,4515
6,A275750,KBSTAR 코스닥150선물인버스,20210804,4535
7,A275750,KBSTAR 코스닥150선물인버스,20210803,4595
8,A275750,KBSTAR 코스닥150선물인버스,20210802,4590
9,A275750,KBSTAR 코스닥150선물인버스,20210730,4645
10,A275750,KBSTAR 코스닥150선물인버스,20210729,4565
11,A275750,KBSTAR 코스닥150선물인버스,20210728,4610
12,A275750,KBSTAR 코스닥150선물인버스,20210727,4545
13,A275750,KBSTAR 코스닥150선물인버스,20210726,4530
14,A275750,KBSTAR 코스닥150선물인버스,20210723,4500
15,A275750,KBSTAR 코스닥150선물인버스,20210722,4515
16,A275750,KBSTAR 코스닥150선물인버스,20210721,4560
17,A275750,KBSTAR 코스닥150선물인버스,20210720,4555
18,A275750,KBSTAR 코스닥150선물인버스,20210719,4530
19,A275750,KBSTAR 코스닥150선물인버스,20210716,4530
20,A275750,KBSTAR 코스닥150선물인버스,20210715,4520
21,A275750,KBSTAR 코스닥150선물인버스,20210714,4585
22,A275750,KBSTAR 코스닥150선물인버스,20210713,4575
23,A275750,KBSTAR 코스닥150선물인버스,20210712,4620
24,A275750,KBSTAR 코스닥150선물인버스,20210709,4620
25,A275750,KBSTAR 코스닥150선물인버스,20210708,4610
26,A275750,KBSTAR 코스닥150선물인버스,20210707,4535
27,A275750,KBSTAR 코스닥150선물인버스,20210706,4550
28,A275750,KBSTAR 코스닥150선물인버스,20210705,4505
29,A275750,KBSTAR 코스닥150선물인버스,20210702,4570
30,A275750,KBSTAR 코스닥150선물인버스,20210701,4595
31,A275750,KBSTAR 코스닥150선물인버스,20210630,4630
32,A275750,KBSTAR 코스닥150선물인버스,20210629,4665
33,A275750,KBSTAR 코스닥150선물인버스,20210628,4690
34,A275750,KBSTAR 코스닥150선물인버스,20210625,4730
35,A275750,KBSTAR 코스닥150선물인버스,20210624,4685
36,A275750,KBSTAR 코스닥150선물인버스,20210623,4675
37,A275750,KBSTAR 코스닥150선물인버스,20210622,4705
38,A275750,KBSTAR 코스닥150선물인버스,20210621,4690
39,A275750,KBSTAR 코스닥150선물인버스,20210618,4670
40,A275750,KBSTAR 코스닥150선물인버스,20210617,4795
41,A275750,KBSTAR 코스닥150선물인버스,20210616,4820
42,A275750,KBSTAR 코스닥150선물인버스,20210615,4820
43,A275750,KBSTAR 코스닥150선물인버스,20210614,4800
44,A275750,KBSTAR 코스닥150선물인버스,20210611,4850
45,A275750,KBSTAR 코스닥150선물인버스,20210610,4840
46,A275750,KBSTAR 코스닥150선물인버스,20210609,4940
47,A275750,KBSTAR 코스닥150선물인버스,20210608,4880
48,A275750,KBSTAR 코스닥150선물인버스,20210607,4900
49,A275750,KBSTAR 코스닥150선물인버스,20210604,4890
50,A275750,KBSTAR 코스닥150선물인버스,20210603,4845
51,A275750,KBSTAR 코스닥150선물인버스,20210602,4900
