,Á¾¸ñÄÚµå,Á¾¸ñ¸í,³¯Â¥,Á¾°¡
0,A105560,KB±ÝÀ¶,20210812,53500
1,A105560,KB±ÝÀ¶,20210811,53600
2,A105560,KB±ÝÀ¶,20210810,52300
3,A105560,KB±ÝÀ¶,20210809,53000
4,A105560,KB±ÝÀ¶,20210806,52200
5,A105560,KB±ÝÀ¶,20210805,52000
6,A105560,KB±ÝÀ¶,20210804,52700
7,A105560,KB±ÝÀ¶,20210803,51600
8,A105560,KB±ÝÀ¶,20210802,50900
9,A105560,KB±ÝÀ¶,20210730,51300
10,A105560,KB±ÝÀ¶,20210729,52600
11,A105560,KB±ÝÀ¶,20210728,52500
12,A105560,KB±ÝÀ¶,20210727,52100
13,A105560,KB±ÝÀ¶,20210726,51800
14,A105560,KB±ÝÀ¶,20210723,52200
15,A105560,KB±ÝÀ¶,20210722,51800
16,A105560,KB±ÝÀ¶,20210721,50600
17,A105560,KB±ÝÀ¶,20210720,50800
18,A105560,KB±ÝÀ¶,20210719,51100
19,A105560,KB±ÝÀ¶,20210716,52500
20,A105560,KB±ÝÀ¶,20210715,51800
21,A105560,KB±ÝÀ¶,20210714,51500
22,A105560,KB±ÝÀ¶,20210713,52200
23,A105560,KB±ÝÀ¶,20210712,51500
24,A105560,KB±ÝÀ¶,20210709,50400
25,A105560,KB±ÝÀ¶,20210708,52300
26,A105560,KB±ÝÀ¶,20210707,52800
27,A105560,KB±ÝÀ¶,20210706,53800
28,A105560,KB±ÝÀ¶,20210705,54000
29,A105560,KB±ÝÀ¶,20210702,54500
30,A105560,KB±ÝÀ¶,20210701,54700
31,A105560,KB±ÝÀ¶,20210630,55800
32,A105560,KB±ÝÀ¶,20210629,56100
33,A105560,KB±ÝÀ¶,20210628,57200
34,A105560,KB±ÝÀ¶,20210625,57300
35,A105560,KB±ÝÀ¶,20210624,56100
36,A105560,KB±ÝÀ¶,20210623,55500
37,A105560,KB±ÝÀ¶,20210622,55800
38,A105560,KB±ÝÀ¶,20210621,55100
39,A105560,KB±ÝÀ¶,20210618,56800
40,A105560,KB±ÝÀ¶,20210617,56900
41,A105560,KB±ÝÀ¶,20210616,56900
42,A105560,KB±ÝÀ¶,20210615,55900
43,A105560,KB±ÝÀ¶,20210614,56200
44,A105560,KB±ÝÀ¶,20210611,57000
45,A105560,KB±ÝÀ¶,20210610,57200
46,A105560,KB±ÝÀ¶,20210609,56900
47,A105560,KB±ÝÀ¶,20210608,57900
48,A105560,KB±ÝÀ¶,20210607,58000
49,A105560,KB±ÝÀ¶,20210604,57600
50,A105560,KB±ÝÀ¶,20210603,58300
51,A105560,KB±ÝÀ¶,20210602,58900
52,A105560,KB±ÝÀ¶,20210601,58800
53,A105560,KB±ÝÀ¶,20210531,58800
54,A105560,KB±ÝÀ¶,20210528,57000
55,A105560,KB±ÝÀ¶,20210527,55400
56,A105560,KB±ÝÀ¶,20210526,57200
57,A105560,KB±ÝÀ¶,20210525,58100
58,A105560,KB±ÝÀ¶,20210524,56900
59,A105560,KB±ÝÀ¶,20210521,56300
60,A105560,KB±ÝÀ¶,20210520,58000
61,A105560,KB±ÝÀ¶,20210518,58800
62,A105560,KB±ÝÀ¶,20210517,57900
63,A105560,KB±ÝÀ¶,20210514,57600
64,A105560,KB±ÝÀ¶,20210513,58800
65,A105560,KB±ÝÀ¶,20210512,58400
66,A105560,KB±ÝÀ¶,20210511,59700
67,A105560,KB±ÝÀ¶,20210510,59500
68,A105560,KB±ÝÀ¶,20210507,58300
69,A105560,KB±ÝÀ¶,20210506,57500
70,A105560,KB±ÝÀ¶,20210504,53300
71,A105560,KB±ÝÀ¶,20210503,53700
72,A105560,KB±ÝÀ¶,20210430,54700
73,A105560,KB±ÝÀ¶,20210429,53900
74,A105560,KB±ÝÀ¶,20210428,55000
75,A105560,KB±ÝÀ¶,20210427,55000
76,A105560,KB±ÝÀ¶,20210426,55000
77,A105560,KB±ÝÀ¶,20210423,54300
78,A105560,KB±ÝÀ¶,20210422,53500
79,A105560,KB±ÝÀ¶,20210421,52400
80,A105560,KB±ÝÀ¶,20210420,53100
81,A105560,KB±ÝÀ¶,20210419,52300
82,A105560,KB±ÝÀ¶,20210416,52700
83,A105560,KB±ÝÀ¶,20210415,54000
84,A105560,KB±ÝÀ¶,20210414,53200
85,A105560,KB±ÝÀ¶,20210413,53500
86,A105560,KB±ÝÀ¶,20210412,53400
87,A105560,KB±ÝÀ¶,20210409,52600
88,A105560,KB±ÝÀ¶,20210408,52800
89,A105560,KB±ÝÀ¶,20210407,53600
90,A105560,KB±ÝÀ¶,20210406,53000
91,A105560,KB±ÝÀ¶,20210405,54600
92,A105560,KB±ÝÀ¶,20210402,53900
93,A105560,KB±ÝÀ¶,20210401,55000
94,A105560,KB±ÝÀ¶,20210331,56200
95,A105560,KB±ÝÀ¶,20210330,54900
96,A105560,KB±ÝÀ¶,20210329,53700
97,A105560,KB±ÝÀ¶,20210326,53200
98,A105560,KB±ÝÀ¶,20210325,52600
99,A105560,KB±ÝÀ¶,20210324,51000
100,A105560,KB±ÝÀ¶,20210323,51400
101,A105560,KB±ÝÀ¶,20210322,51400
102,A105560,KB±ÝÀ¶,20210319,49650
103,A105560,KB±ÝÀ¶,20210318,50300
104,A105560,KB±ÝÀ¶,20210317,50700
105,A105560,KB±ÝÀ¶,20210316,51200
106,A105560,KB±ÝÀ¶,20210315,51200
107,A105560,KB±ÝÀ¶,20210312,50400
108,A105560,KB±ÝÀ¶,20210311,52000
109,A105560,KB±ÝÀ¶,20210310,51600
110,A105560,KB±ÝÀ¶,20210309,52600
111,A105560,KB±ÝÀ¶,20210308,49950
112,A105560,KB±ÝÀ¶,20210305,47000
113,A105560,KB±ÝÀ¶,20210304,45800
114,A105560,KB±ÝÀ¶,20210303,45500
115,A105560,KB±ÝÀ¶,20210302,44500
