,辆格内靛,辆格疙,朝楼,辆啊
0,A016385,KG悼何力枚快,20210812,118000
1,A016385,KG悼何力枚快,20210811,120000
2,A016385,KG悼何力枚快,20210810,123000
3,A016385,KG悼何力枚快,20210809,122000
4,A016385,KG悼何力枚快,20210806,122000
5,A016385,KG悼何力枚快,20210805,123500
6,A016385,KG悼何力枚快,20210804,123000
7,A016385,KG悼何力枚快,20210803,122000
8,A016385,KG悼何力枚快,20210802,127000
9,A016385,KG悼何力枚快,20210730,128500
10,A016385,KG悼何力枚快,20210729,126000
11,A016385,KG悼何力枚快,20210728,127500
12,A016385,KG悼何力枚快,20210727,129500
13,A016385,KG悼何力枚快,20210726,126500
14,A016385,KG悼何力枚快,20210723,131000
15,A016385,KG悼何力枚快,20210722,133000
16,A016385,KG悼何力枚快,20210721,131000
17,A016385,KG悼何力枚快,20210720,130000
18,A016385,KG悼何力枚快,20210719,135500
19,A016385,KG悼何力枚快,20210716,139000
20,A016385,KG悼何力枚快,20210715,137500
21,A016385,KG悼何力枚快,20210714,135500
22,A016385,KG悼何力枚快,20210713,134500
23,A016385,KG悼何力枚快,20210712,135000
24,A016385,KG悼何力枚快,20210709,131000
25,A016385,KG悼何力枚快,20210708,132000
26,A016385,KG悼何力枚快,20210707,130000
27,A016385,KG悼何力枚快,20210706,130500
28,A016385,KG悼何力枚快,20210705,132500
29,A016385,KG悼何力枚快,20210702,132000
30,A016385,KG悼何力枚快,20210701,132500
31,A016385,KG悼何力枚快,20210630,133500
32,A016385,KG悼何力枚快,20210629,133500
33,A016385,KG悼何力枚快,20210628,139500
34,A016385,KG悼何力枚快,20210625,139000
35,A016385,KG悼何力枚快,20210624,140500
36,A016385,KG悼何力枚快,20210623,141500
37,A016385,KG悼何力枚快,20210622,140500
38,A016385,KG悼何力枚快,20210621,136000
39,A016385,KG悼何力枚快,20210618,141000
40,A016385,KG悼何力枚快,20210617,145500
41,A016385,KG悼何力枚快,20210616,143500
42,A016385,KG悼何力枚快,20210615,140500
