,종목코드,종목명,날짜,종가
0,A035600,KG이니시스,20210812,20300
1,A035600,KG이니시스,20210811,20500
2,A035600,KG이니시스,20210810,20300
3,A035600,KG이니시스,20210809,20650
4,A035600,KG이니시스,20210806,20950
5,A035600,KG이니시스,20210805,21000
6,A035600,KG이니시스,20210804,21000
7,A035600,KG이니시스,20210803,20950
8,A035600,KG이니시스,20210802,21450
9,A035600,KG이니시스,20210730,21600
10,A035600,KG이니시스,20210729,22250
11,A035600,KG이니시스,20210728,22150
12,A035600,KG이니시스,20210727,22450
13,A035600,KG이니시스,20210726,22300
14,A035600,KG이니시스,20210723,22550
15,A035600,KG이니시스,20210722,22750
16,A035600,KG이니시스,20210721,22350
17,A035600,KG이니시스,20210720,22500
18,A035600,KG이니시스,20210719,22350
19,A035600,KG이니시스,20210716,22300
20,A035600,KG이니시스,20210715,21300
21,A035600,KG이니시스,20210714,21700
22,A035600,KG이니시스,20210713,21700
23,A035600,KG이니시스,20210712,21750
24,A035600,KG이니시스,20210709,20850
25,A035600,KG이니시스,20210708,21000
26,A035600,KG이니시스,20210707,21550
27,A035600,KG이니시스,20210706,21750
28,A035600,KG이니시스,20210705,21800
29,A035600,KG이니시스,20210702,21600
30,A035600,KG이니시스,20210701,21650
31,A035600,KG이니시스,20210630,21550
32,A035600,KG이니시스,20210629,21300
33,A035600,KG이니시스,20210628,21750
34,A035600,KG이니시스,20210625,21900
35,A035600,KG이니시스,20210624,21150
36,A035600,KG이니시스,20210623,21400
37,A035600,KG이니시스,20210622,21650
38,A035600,KG이니시스,20210621,21500
39,A035600,KG이니시스,20210618,22100
40,A035600,KG이니시스,20210617,21750
41,A035600,KG이니시스,20210616,22150
42,A035600,KG이니시스,20210615,22500
43,A035600,KG이니시스,20210614,22500
44,A035600,KG이니시스,20210611,22650
45,A035600,KG이니시스,20210610,22900
46,A035600,KG이니시스,20210609,21900
47,A035600,KG이니시스,20210608,22200
48,A035600,KG이니시스,20210607,21650
49,A035600,KG이니시스,20210604,21950
50,A035600,KG이니시스,20210603,21800
51,A035600,KG이니시스,20210602,22150
52,A035600,KG이니시스,20210601,22350
53,A035600,KG이니시스,20210531,21950
54,A035600,KG이니시스,20210528,21900
55,A035600,KG이니시스,20210527,22150
56,A035600,KG이니시스,20210526,21900
57,A035600,KG이니시스,20210525,22000
58,A035600,KG이니시스,20210524,20800
59,A035600,KG이니시스,20210521,21250
60,A035600,KG이니시스,20210520,21250
61,A035600,KG이니시스,20210518,20000
62,A035600,KG이니시스,20210517,19500
63,A035600,KG이니시스,20210514,19800
64,A035600,KG이니시스,20210513,19300
65,A035600,KG이니시스,20210512,19700
66,A035600,KG이니시스,20210511,20000
67,A035600,KG이니시스,20210510,20400
68,A035600,KG이니시스,20210507,20300
69,A035600,KG이니시스,20210506,20200
70,A035600,KG이니시스,20210504,20100
71,A035600,KG이니시스,20210503,19850
72,A035600,KG이니시스,20210430,20000
73,A035600,KG이니시스,20210429,20050
74,A035600,KG이니시스,20210428,20200
75,A035600,KG이니시스,20210427,20600
76,A035600,KG이니시스,20210426,21050
77,A035600,KG이니시스,20210423,21050
78,A035600,KG이니시스,20210422,20950
79,A035600,KG이니시스,20210421,20650
80,A035600,KG이니시스,20210420,20150
81,A035600,KG이니시스,20210419,20100
82,A035600,KG이니시스,20210416,20600
83,A035600,KG이니시스,20210415,20600
84,A035600,KG이니시스,20210414,21100
85,A035600,KG이니시스,20210413,21000
86,A035600,KG이니시스,20210412,20600
87,A035600,KG이니시스,20210409,20750
88,A035600,KG이니시스,20210408,20350
89,A035600,KG이니시스,20210407,20450
90,A035600,KG이니시스,20210406,19700
91,A035600,KG이니시스,20210405,19800
92,A035600,KG이니시스,20210402,19850
93,A035600,KG이니시스,20210401,19800
94,A035600,KG이니시스,20210331,19650
95,A035600,KG이니시스,20210330,19250
96,A035600,KG이니시스,20210329,18750
97,A035600,KG이니시스,20210326,19200
98,A035600,KG이니시스,20210325,19000
99,A035600,KG이니시스,20210324,18850
100,A035600,KG이니시스,20210323,18850
101,A035600,KG이니시스,20210322,18950
102,A035600,KG이니시스,20210319,19150
103,A035600,KG이니시스,20210318,19400
104,A035600,KG이니시스,20210317,19400
105,A035600,KG이니시스,20210316,19300
106,A035600,KG이니시스,20210315,18200
107,A035600,KG이니시스,20210312,18400
108,A035600,KG이니시스,20210311,18450
109,A035600,KG이니시스,20210310,18150
110,A035600,KG이니시스,20210309,18200
111,A035600,KG이니시스,20210308,18300
112,A035600,KG이니시스,20210305,18400
113,A035600,KG이니시스,20210304,18350
114,A035600,KG이니시스,20210303,18650
115,A035600,KG이니시스,20210302,18900
116,A035600,KG이니시스,20210226,18300
117,A035600,KG이니시스,20210225,18400
118,A035600,KG이니시스,20210224,18150
119,A035600,KG이니시스,20210223,18850
120,A035600,KG이니시스,20210222,19400
121,A035600,KG이니시스,20210219,18950
122,A035600,KG이니시스,20210218,19350
123,A035600,KG이니시스,20210217,19700
124,A035600,KG이니시스,20210216,18850
125,A035600,KG이니시스,20210215,18800
126,A035600,KG이니시스,20210210,18300
127,A035600,KG이니시스,20210209,18200
128,A035600,KG이니시스,20210208,18450
129,A035600,KG이니시스,20210205,18100
130,A035600,KG이니시스,20210204,17950
131,A035600,KG이니시스,20210203,18400
132,A035600,KG이니시스,20210202,18550
133,A035600,KG이니시스,20210201,18200
134,A035600,KG이니시스,20210129,17900
135,A035600,KG이니시스,20210128,18500
136,A035600,KG이니시스,20210127,18950
137,A035600,KG이니시스,20210126,19200
138,A035600,KG이니시스,20210125,19400
139,A035600,KG이니시스,20210122,19350
140,A035600,KG이니시스,20210121,19500
141,A035600,KG이니시스,20210120,19500
142,A035600,KG이니시스,20210119,19500
143,A035600,KG이니시스,20210118,19400
144,A035600,KG이니시스,20210115,19450
145,A035600,KG이니시스,20210114,19900
146,A035600,KG이니시스,20210113,19650
147,A035600,KG이니시스,20210112,19500
148,A035600,KG이니시스,20210111,19600
149,A035600,KG이니시스,20210108,19950
150,A035600,KG이니시스,20210107,19550
151,A035600,KG이니시스,20210106,19600
152,A035600,KG이니시스,20210105,19650
153,A035600,KG이니시스,20210104,19800
154,A035600,KG이니시스,20201230,20150
155,A035600,KG이니시스,20201229,20150
156,A035600,KG이니시스,20201228,19700
157,A035600,KG이니시스,20201224,19600
158,A035600,KG이니시스,20201223,19500
159,A035600,KG이니시스,20201222,19600
160,A035600,KG이니시스,20201221,19600
161,A035600,KG이니시스,20201218,19600
162,A035600,KG이니시스,20201217,19750
163,A035600,KG이니시스,20201216,19950
164,A035600,KG이니시스,20201215,19550
165,A035600,KG이니시스,20201214,19600
166,A035600,KG이니시스,20201211,19800
167,A035600,KG이니시스,20201210,19500
168,A035600,KG이니시스,20201209,19600
169,A035600,KG이니시스,20201208,19650
170,A035600,KG이니시스,20201207,19700
171,A035600,KG이니시스,20201204,19750
172,A035600,KG이니시스,20201203,20050
173,A035600,KG이니시스,20201202,20250
174,A035600,KG이니시스,20201201,19700
175,A035600,KG이니시스,20201130,19950
176,A035600,KG이니시스,20201127,20000
177,A035600,KG이니시스,20201126,19800
178,A035600,KG이니시스,20201125,19650
179,A035600,KG이니시스,20201124,20000
180,A035600,KG이니시스,20201123,20000
181,A035600,KG이니시스,20201120,19850
182,A035600,KG이니시스,20201119,19900
183,A035600,KG이니시스,20201118,19550
184,A035600,KG이니시스,20201117,19300
185,A035600,KG이니시스,20201116,19700
186,A035600,KG이니시스,20201113,20200
187,A035600,KG이니시스,20201112,19850
188,A035600,KG이니시스,20201111,19850
189,A035600,KG이니시스,20201110,19750
190,A035600,KG이니시스,20201109,20350
191,A035600,KG이니시스,20201106,20050
192,A035600,KG이니시스,20201105,20200
193,A035600,KG이니시스,20201104,20050
194,A035600,KG이니시스,20201103,20000
195,A035600,KG이니시스,20201102,19600
196,A035600,KG이니시스,20201030,18750
197,A035600,KG이니시스,20201029,19600
198,A035600,KG이니시스,20201028,19300
199,A035600,KG이니시스,20201027,18300
200,A035600,KG이니시스,20201026,18800
201,A035600,KG이니시스,20201023,19500
202,A035600,KG이니시스,20201022,20100
203,A035600,KG이니시스,20201021,20700
204,A035600,KG이니시스,20201020,20200
205,A035600,KG이니시스,20201019,20150
206,A035600,KG이니시스,20201016,20000
207,A035600,KG이니시스,20201015,20200
208,A035600,KG이니시스,20201014,20500
209,A035600,KG이니시스,20201013,20950
210,A035600,KG이니시스,20201012,20550
211,A035600,KG이니시스,20201008,20950
212,A035600,KG이니시스,20201007,20950
213,A035600,KG이니시스,20201006,20700
214,A035600,KG이니시스,20201005,20950
215,A035600,KG이니시스,20200929,20400
216,A035600,KG이니시스,20200928,20200
217,A035600,KG이니시스,20200925,19600
218,A035600,KG이니시스,20200924,19600
219,A035600,KG이니시스,20200923,20450
220,A035600,KG이니시스,20200922,20050
221,A035600,KG이니시스,20200921,20950
222,A035600,KG이니시스,20200918,21600
223,A035600,KG이니시스,20200917,21700
224,A035600,KG이니시스,20200916,22050
225,A035600,KG이니시스,20200915,22300
226,A035600,KG이니시스,20200914,22250
227,A035600,KG이니시스,20200911,22200
228,A035600,KG이니시스,20200910,22300
229,A035600,KG이니시스,20200909,22300
230,A035600,KG이니시스,20200908,22900
231,A035600,KG이니시스,20200907,23450
232,A035600,KG이니시스,20200904,22950
233,A035600,KG이니시스,20200903,22350
234,A035600,KG이니시스,20200902,22950
235,A035600,KG이니시스,20200901,22750
236,A035600,KG이니시스,20200831,23450
237,A035600,KG이니시스,20200828,24400
238,A035600,KG이니시스,20200827,23600
239,A035600,KG이니시스,20200826,22350
240,A035600,KG이니시스,20200825,21650
241,A035600,KG이니시스,20200824,21550
242,A035600,KG이니시스,20200821,20700
243,A035600,KG이니시스,20200820,21000
244,A035600,KG이니시스,20200819,22100
245,A035600,KG이니시스,20200818,21400
246,A035600,KG이니시스,20200814,22150
247,A035600,KG이니시스,20200813,22350
248,A035600,KG이니시스,20200812,22450
249,A035600,KG이니시스,20200811,23450
250,A035600,KG이니시스,20200810,23450
251,A035600,KG이니시스,20200807,23850
252,A035600,KG이니시스,20200806,23500
253,A035600,KG이니시스,20200805,23150
254,A035600,KG이니시스,20200804,23450
255,A035600,KG이니시스,20200803,23800
256,A035600,KG이니시스,20200731,23700
257,A035600,KG이니시스,20200730,22750
258,A035600,KG이니시스,20200729,22700
259,A035600,KG이니시스,20200728,22550
260,A035600,KG이니시스,20200727,22700
261,A035600,KG이니시스,20200724,22850
262,A035600,KG이니시스,20200723,23550
263,A035600,KG이니시스,20200722,23100
264,A035600,KG이니시스,20200721,23050
265,A035600,KG이니시스,20200720,23250
266,A035600,KG이니시스,20200717,24000
267,A035600,KG이니시스,20200716,23800
268,A035600,KG이니시스,20200715,25100
269,A035600,KG이니시스,20200714,25950
270,A035600,KG이니시스,20200713,25800
271,A035600,KG이니시스,20200710,24900
272,A035600,KG이니시스,20200709,24950
273,A035600,KG이니시스,20200708,23300
274,A035600,KG이니시스,20200707,24000
275,A035600,KG이니시스,20200706,23650
276,A035600,KG이니시스,20200703,23200
277,A035600,KG이니시스,20200702,21700
278,A035600,KG이니시스,20200701,21800
279,A035600,KG이니시스,20200630,21850
280,A035600,KG이니시스,20200629,22400
281,A035600,KG이니시스,20200626,22950
282,A035600,KG이니시스,20200625,22650
283,A035600,KG이니시스,20200624,23000
284,A035600,KG이니시스,20200623,23950
285,A035600,KG이니시스,20200622,23700
286,A035600,KG이니시스,20200619,22900
287,A035600,KG이니시스,20200618,22650
288,A035600,KG이니시스,20200617,22150
289,A035600,KG이니시스,20200616,21650
290,A035600,KG이니시스,20200615,21300
291,A035600,KG이니시스,20200612,22950
292,A035600,KG이니시스,20200611,22550
293,A035600,KG이니시스,20200610,23200
294,A035600,KG이니시스,20200609,22100
295,A035600,KG이니시스,20200608,22250
296,A035600,KG이니시스,20200605,22050
297,A035600,KG이니시스,20200604,22600
298,A035600,KG이니시스,20200603,22350
299,A035600,KG이니시스,20200602,23550
300,A035600,KG이니시스,20200601,23800
301,A035600,KG이니시스,20200529,23300
302,A035600,KG이니시스,20200528,23600
303,A035600,KG이니시스,20200527,24700
304,A035600,KG이니시스,20200526,25700
305,A035600,KG이니시스,20200525,25850
306,A035600,KG이니시스,20200522,24500
307,A035600,KG이니시스,20200521,24050
308,A035600,KG이니시스,20200520,23900
309,A035600,KG이니시스,20200519,23850
310,A035600,KG이니시스,20200518,25750
311,A035600,KG이니시스,20200515,25600
312,A035600,KG이니시스,20200514,25800
313,A035600,KG이니시스,20200513,24450
314,A035600,KG이니시스,20200512,23900
315,A035600,KG이니시스,20200511,23750
316,A035600,KG이니시스,20200508,23200
317,A035600,KG이니시스,20200507,23150
318,A035600,KG이니시스,20200506,23850
319,A035600,KG이니시스,20200504,23500
320,A035600,KG이니시스,20200429,22000
321,A035600,KG이니시스,20200428,22050
322,A035600,KG이니시스,20200427,22800
323,A035600,KG이니시스,20200424,22650
324,A035600,KG이니시스,20200423,22800
325,A035600,KG이니시스,20200422,20650
326,A035600,KG이니시스,20200421,20400
327,A035600,KG이니시스,20200420,20650
328,A035600,KG이니시스,20200417,21000
329,A035600,KG이니시스,20200416,21250
330,A035600,KG이니시스,20200414,19450
331,A035600,KG이니시스,20200413,19100
332,A035600,KG이니시스,20200410,20100
333,A035600,KG이니시스,20200409,20100
334,A035600,KG이니시스,20200408,20000
335,A035600,KG이니시스,20200407,20650
336,A035600,KG이니시스,20200406,20600
337,A035600,KG이니시스,20200403,20200
338,A035600,KG이니시스,20200402,19600
339,A035600,KG이니시스,20200401,18150
340,A035600,KG이니시스,20200331,18800
341,A035600,KG이니시스,20200330,16550
342,A035600,KG이니시스,20200327,15450
343,A035600,KG이니시스,20200326,15100
344,A035600,KG이니시스,20200325,15250
345,A035600,KG이니시스,20200324,14300
346,A035600,KG이니시스,20200323,13250
347,A035600,KG이니시스,20200320,14500
348,A035600,KG이니시스,20200319,13500
349,A035600,KG이니시스,20200318,14200
350,A035600,KG이니시스,20200317,15500
351,A035600,KG이니시스,20200316,14750
352,A035600,KG이니시스,20200313,15550
353,A035600,KG이니시스,20200312,16900
354,A035600,KG이니시스,20200311,17850
355,A035600,KG이니시스,20200310,18450
356,A035600,KG이니시스,20200309,18250
357,A035600,KG이니시스,20200306,18900
358,A035600,KG이니시스,20200305,19050
359,A035600,KG이니시스,20200304,19350
360,A035600,KG이니시스,20200303,19400
361,A035600,KG이니시스,20200302,20250
362,A035600,KG이니시스,20200228,19900
363,A035600,KG이니시스,20200227,21700
364,A035600,KG이니시스,20200226,21100
