,종목코드,종목명,날짜,종가
0,A380340,KINDEX Fn5G플러스,20210812,9125
1,A380340,KINDEX Fn5G플러스,20210811,9135
2,A380340,KINDEX Fn5G플러스,20210810,9335
3,A380340,KINDEX Fn5G플러스,20210809,9470
4,A380340,KINDEX Fn5G플러스,20210806,9510
5,A380340,KINDEX Fn5G플러스,20210805,9555
6,A380340,KINDEX Fn5G플러스,20210804,9500
7,A380340,KINDEX Fn5G플러스,20210803,9425
8,A380340,KINDEX Fn5G플러스,20210802,9355
9,A380340,KINDEX Fn5G플러스,20210730,9300
10,A380340,KINDEX Fn5G플러스,20210729,9415
11,A380340,KINDEX Fn5G플러스,20210728,9375
12,A380340,KINDEX Fn5G플러스,20210727,9470
13,A380340,KINDEX Fn5G플러스,20210726,9510
14,A380340,KINDEX Fn5G플러스,20210723,9585
15,A380340,KINDEX Fn5G플러스,20210722,9525
16,A380340,KINDEX Fn5G플러스,20210721,9390
17,A380340,KINDEX Fn5G플러스,20210720,9445
18,A380340,KINDEX Fn5G플러스,20210719,9525
19,A380340,KINDEX Fn5G플러스,20210716,9545
20,A380340,KINDEX Fn5G플러스,20210715,9590
21,A380340,KINDEX Fn5G플러스,20210714,9430
22,A380340,KINDEX Fn5G플러스,20210713,9415
23,A380340,KINDEX Fn5G플러스,20210712,9310
24,A380340,KINDEX Fn5G플러스,20210709,9295
25,A380340,KINDEX Fn5G플러스,20210708,9310
26,A380340,KINDEX Fn5G플러스,20210707,9470
27,A380340,KINDEX Fn5G플러스,20210706,9475
28,A380340,KINDEX Fn5G플러스,20210705,9425
29,A380340,KINDEX Fn5G플러스,20210702,9370
30,A380340,KINDEX Fn5G플러스,20210701,9380
31,A380340,KINDEX Fn5G플러스,20210630,9400
32,A380340,KINDEX Fn5G플러스,20210629,9330
33,A380340,KINDEX Fn5G플러스,20210628,9305
34,A380340,KINDEX Fn5G플러스,20210625,9355
35,A380340,KINDEX Fn5G플러스,20210624,9375
36,A380340,KINDEX Fn5G플러스,20210623,9225
37,A380340,KINDEX Fn5G플러스,20210622,9200
38,A380340,KINDEX Fn5G플러스,20210621,9240
39,A380340,KINDEX Fn5G플러스,20210618,9340
40,A380340,KINDEX Fn5G플러스,20210617,9185
41,A380340,KINDEX Fn5G플러스,20210616,9145
42,A380340,KINDEX Fn5G플러스,20210615,9115
43,A380340,KINDEX Fn5G플러스,20210614,9070
44,A380340,KINDEX Fn5G플러스,20210611,9015
45,A380340,KINDEX Fn5G플러스,20210610,9000
46,A380340,KINDEX Fn5G플러스,20210609,8915
47,A380340,KINDEX Fn5G플러스,20210608,8995
48,A380340,KINDEX Fn5G플러스,20210607,9095
49,A380340,KINDEX Fn5G플러스,20210604,9085
50,A380340,KINDEX Fn5G플러스,20210603,9095
51,A380340,KINDEX Fn5G플러스,20210602,8895
52,A380340,KINDEX Fn5G플러스,20210601,8920
53,A380340,KINDEX Fn5G플러스,20210531,8835
54,A380340,KINDEX Fn5G플러스,20210528,8750
55,A380340,KINDEX Fn5G플러스,20210527,8685
56,A380340,KINDEX Fn5G플러스,20210526,8640
57,A380340,KINDEX Fn5G플러스,20210525,8635
58,A380340,KINDEX Fn5G플러스,20210524,8545
59,A380340,KINDEX Fn5G플러스,20210521,8695
60,A380340,KINDEX Fn5G플러스,20210520,8610
61,A380340,KINDEX Fn5G플러스,20210518,8565
62,A380340,KINDEX Fn5G플러스,20210517,8485
63,A380340,KINDEX Fn5G플러스,20210514,8530
64,A380340,KINDEX Fn5G플러스,20210513,8465
65,A380340,KINDEX Fn5G플러스,20210512,8615
66,A380340,KINDEX Fn5G플러스,20210511,8760
67,A380340,KINDEX Fn5G플러스,20210510,8955
68,A380340,KINDEX Fn5G플러스,20210507,8845
69,A380340,KINDEX Fn5G플러스,20210506,8810
70,A380340,KINDEX Fn5G플러스,20210504,8865
71,A380340,KINDEX Fn5G플러스,20210503,8885
72,A380340,KINDEX Fn5G플러스,20210430,8965
73,A380340,KINDEX Fn5G플러스,20210429,9105
74,A380340,KINDEX Fn5G플러스,20210428,9185
75,A380340,KINDEX Fn5G플러스,20210427,9420
76,A380340,KINDEX Fn5G플러스,20210426,9470
77,A380340,KINDEX Fn5G플러스,20210423,9410
78,A380340,KINDEX Fn5G플러스,20210422,9425
79,A380340,KINDEX Fn5G플러스,20210421,9450
80,A380340,KINDEX Fn5G플러스,20210420,9555
81,A380340,KINDEX Fn5G플러스,20210419,9510
82,A380340,KINDEX Fn5G플러스,20210416,9415
83,A380340,KINDEX Fn5G플러스,20210415,9385
84,A380340,KINDEX Fn5G플러스,20210414,9380
85,A380340,KINDEX Fn5G플러스,20210413,9365
86,A380340,KINDEX Fn5G플러스,20210412,9285
87,A380340,KINDEX Fn5G플러스,20210409,9345
88,A380340,KINDEX Fn5G플러스,20210408,9390
89,A380340,KINDEX Fn5G플러스,20210407,9395
90,A380340,KINDEX Fn5G플러스,20210406,9445
91,A380340,KINDEX Fn5G플러스,20210405,9485
92,A380340,KINDEX Fn5G플러스,20210402,9450
