,종목코드,종목명,날짜,종가
0,A356540,KINDEX KIS종합채권(AA-이상)액티브,20210812,99185
1,A356540,KINDEX KIS종합채권(AA-이상)액티브,20210811,99185
2,A356540,KINDEX KIS종합채권(AA-이상)액티브,20210810,99180
3,A356540,KINDEX KIS종합채권(AA-이상)액티브,20210809,99170
4,A356540,KINDEX KIS종합채권(AA-이상)액티브,20210806,99320
5,A356540,KINDEX KIS종합채권(AA-이상)액티브,20210805,99370
6,A356540,KINDEX KIS종합채권(AA-이상)액티브,20210804,99440
7,A356540,KINDEX KIS종합채권(AA-이상)액티브,20210803,99285
8,A356540,KINDEX KIS종합채권(AA-이상)액티브,20210802,99215
9,A356540,KINDEX KIS종합채권(AA-이상)액티브,20210730,99210
10,A356540,KINDEX KIS종합채권(AA-이상)액티브,20210729,99200
11,A356540,KINDEX KIS종합채권(AA-이상)액티브,20210728,99165
12,A356540,KINDEX KIS종합채권(AA-이상)액티브,20210727,99270
13,A356540,KINDEX KIS종합채권(AA-이상)액티브,20210726,99250
14,A356540,KINDEX KIS종합채권(AA-이상)액티브,20210723,99200
15,A356540,KINDEX KIS종합채권(AA-이상)액티브,20210722,99030
16,A356540,KINDEX KIS종합채권(AA-이상)액티브,20210721,99040
17,A356540,KINDEX KIS종합채권(AA-이상)액티브,20210720,98890
18,A356540,KINDEX KIS종합채권(AA-이상)액티브,20210719,98735
19,A356540,KINDEX KIS종합채권(AA-이상)액티브,20210716,98645
20,A356540,KINDEX KIS종합채권(AA-이상)액티브,20210715,98570
21,A356540,KINDEX KIS종합채권(AA-이상)액티브,20210714,98680
22,A356540,KINDEX KIS종합채권(AA-이상)액티브,20210713,98640
23,A356540,KINDEX KIS종합채권(AA-이상)액티브,20210712,98720
24,A356540,KINDEX KIS종합채권(AA-이상)액티브,20210709,98590
25,A356540,KINDEX KIS종합채권(AA-이상)액티브,20210708,98570
26,A356540,KINDEX KIS종합채권(AA-이상)액티브,20210707,98420
27,A356540,KINDEX KIS종합채권(AA-이상)액티브,20210706,98160
28,A356540,KINDEX KIS종합채권(AA-이상)액티브,20210705,98190
29,A356540,KINDEX KIS종합채권(AA-이상)액티브,20210702,98150
30,A356540,KINDEX KIS종합채권(AA-이상)액티브,20210701,98050
31,A356540,KINDEX KIS종합채권(AA-이상)액티브,20210630,98000
32,A356540,KINDEX KIS종합채권(AA-이상)액티브,20210629,97850
33,A356540,KINDEX KIS종합채권(AA-이상)액티브,20210628,97805
34,A356540,KINDEX KIS종합채권(AA-이상)액티브,20210625,98030
35,A356540,KINDEX KIS종합채권(AA-이상)액티브,20210624,98255
36,A356540,KINDEX KIS종합채권(AA-이상)액티브,20210623,98490
