,종목코드,종목명,날짜,종가
0,A309230,KINDEX 미국WideMoat가치주,20210812,17560
1,A309230,KINDEX 미국WideMoat가치주,20210811,17530
2,A309230,KINDEX 미국WideMoat가치주,20210810,17495
3,A309230,KINDEX 미국WideMoat가치주,20210809,17430
4,A309230,KINDEX 미국WideMoat가치주,20210806,17385
5,A309230,KINDEX 미국WideMoat가치주,20210805,17340
6,A309230,KINDEX 미국WideMoat가치주,20210804,17440
7,A309230,KINDEX 미국WideMoat가치주,20210803,17455
8,A309230,KINDEX 미국WideMoat가치주,20210802,17455
9,A309230,KINDEX 미국WideMoat가치주,20210730,17295
10,A309230,KINDEX 미국WideMoat가치주,20210729,17460
11,A309230,KINDEX 미국WideMoat가치주,20210728,17390
12,A309230,KINDEX 미국WideMoat가치주,20210727,17335
13,A309230,KINDEX 미국WideMoat가치주,20210726,17340
14,A309230,KINDEX 미국WideMoat가치주,20210723,17230
15,A309230,KINDEX 미국WideMoat가치주,20210722,17240
16,A309230,KINDEX 미국WideMoat가치주,20210721,17115
17,A309230,KINDEX 미국WideMoat가치주,20210720,16905
18,A309230,KINDEX 미국WideMoat가치주,20210719,16975
19,A309230,KINDEX 미국WideMoat가치주,20210716,17055
20,A309230,KINDEX 미국WideMoat가치주,20210715,17135
21,A309230,KINDEX 미국WideMoat가치주,20210714,17180
22,A309230,KINDEX 미국WideMoat가치주,20210713,17230
23,A309230,KINDEX 미국WideMoat가치주,20210712,17195
24,A309230,KINDEX 미국WideMoat가치주,20210709,17070
25,A309230,KINDEX 미국WideMoat가치주,20210708,17070
26,A309230,KINDEX 미국WideMoat가치주,20210707,17050
27,A309230,KINDEX 미국WideMoat가치주,20210706,17010
28,A309230,KINDEX 미국WideMoat가치주,20210705,16960
29,A309230,KINDEX 미국WideMoat가치주,20210702,16945
30,A309230,KINDEX 미국WideMoat가치주,20210701,16885
31,A309230,KINDEX 미국WideMoat가치주,20210630,16780
32,A309230,KINDEX 미국WideMoat가치주,20210629,16855
33,A309230,KINDEX 미국WideMoat가치주,20210628,16895
34,A309230,KINDEX 미국WideMoat가치주,20210625,16785
35,A309230,KINDEX 미국WideMoat가치주,20210624,16840
36,A309230,KINDEX 미국WideMoat가치주,20210623,16895
37,A309230,KINDEX 미국WideMoat가치주,20210622,16825
38,A309230,KINDEX 미국WideMoat가치주,20210621,16620
39,A309230,KINDEX 미국WideMoat가치주,20210618,16845
40,A309230,KINDEX 미국WideMoat가치주,20210617,16860
41,A309230,KINDEX 미국WideMoat가치주,20210616,16790
42,A309230,KINDEX 미국WideMoat가치주,20210615,16835
43,A309230,KINDEX 미국WideMoat가치주,20210614,16830
44,A309230,KINDEX 미국WideMoat가치주,20210611,16700
45,A309230,KINDEX 미국WideMoat가치주,20210610,16695
46,A309230,KINDEX 미국WideMoat가치주,20210609,16695
47,A309230,KINDEX 미국WideMoat가치주,20210608,16630
48,A309230,KINDEX 미국WideMoat가치주,20210607,16525
49,A309230,KINDEX 미국WideMoat가치주,20210604,16365
50,A309230,KINDEX 미국WideMoat가치주,20210603,16435
51,A309230,KINDEX 미국WideMoat가치주,20210602,16395
52,A309230,KINDEX 미국WideMoat가치주,20210601,16320
53,A309230,KINDEX 미국WideMoat가치주,20210531,16380
54,A309230,KINDEX 미국WideMoat가치주,20210528,16400
55,A309230,KINDEX 미국WideMoat가치주,20210527,16380
56,A309230,KINDEX 미국WideMoat가치주,20210526,16420
57,A309230,KINDEX 미국WideMoat가치주,20210525,16610
58,A309230,KINDEX 미국WideMoat가치주,20210524,16560
59,A309230,KINDEX 미국WideMoat가치주,20210521,16525
60,A309230,KINDEX 미국WideMoat가치주,20210520,16445
61,A309230,KINDEX 미국WideMoat가치주,20210518,16595
62,A309230,KINDEX 미국WideMoat가치주,20210517,16565
63,A309230,KINDEX 미국WideMoat가치주,20210514,16410
64,A309230,KINDEX 미국WideMoat가치주,20210513,16235
65,A309230,KINDEX 미국WideMoat가치주,20210512,16295
66,A309230,KINDEX 미국WideMoat가치주,20210511,16320
67,A309230,KINDEX 미국WideMoat가치주,20210510,16400
68,A309230,KINDEX 미국WideMoat가치주,20210507,16320
69,A309230,KINDEX 미국WideMoat가치주,20210506,16235
70,A309230,KINDEX 미국WideMoat가치주,20210504,16360
71,A309230,KINDEX 미국WideMoat가치주,20210503,16305
72,A309230,KINDEX 미국WideMoat가치주,20210430,16205
73,A309230,KINDEX 미국WideMoat가치주,20210429,16270
74,A309230,KINDEX 미국WideMoat가치주,20210428,16220
75,A309230,KINDEX 미국WideMoat가치주,20210427,16170
76,A309230,KINDEX 미국WideMoat가치주,20210426,16170
77,A309230,KINDEX 미국WideMoat가치주,20210423,16125
78,A309230,KINDEX 미국WideMoat가치주,20210422,16240
79,A309230,KINDEX 미국WideMoat가치주,20210421,16085
80,A309230,KINDEX 미국WideMoat가치주,20210420,16130
81,A309230,KINDEX 미국WideMoat가치주,20210419,16245
82,A309230,KINDEX 미국WideMoat가치주,20210416,16130
83,A309230,KINDEX 미국WideMoat가치주,20210415,16060
84,A309230,KINDEX 미국WideMoat가치주,20210414,16015
85,A309230,KINDEX 미국WideMoat가치주,20210413,16140
86,A309230,KINDEX 미국WideMoat가치주,20210412,16090
87,A309230,KINDEX 미국WideMoat가치주,20210409,15970
88,A309230,KINDEX 미국WideMoat가치주,20210408,15950
89,A309230,KINDEX 미국WideMoat가치주,20210407,15875
90,A309230,KINDEX 미국WideMoat가치주,20210406,15900
91,A309230,KINDEX 미국WideMoat가치주,20210405,15910
92,A309230,KINDEX 미국WideMoat가치주,20210402,15905
93,A309230,KINDEX 미국WideMoat가치주,20210401,15795
94,A309230,KINDEX 미국WideMoat가치주,20210331,15765
95,A309230,KINDEX 미국WideMoat가치주,20210330,15895
96,A309230,KINDEX 미국WideMoat가치주,20210329,15760
97,A309230,KINDEX 미국WideMoat가치주,20210326,15620
98,A309230,KINDEX 미국WideMoat가치주,20210325,15510
99,A309230,KINDEX 미국WideMoat가치주,20210324,15525
100,A309230,KINDEX 미국WideMoat가치주,20210323,15630
101,A309230,KINDEX 미국WideMoat가치주,20210322,15600
102,A309230,KINDEX 미국WideMoat가치주,20210319,15545
103,A309230,KINDEX 미국WideMoat가치주,20210318,15540
104,A309230,KINDEX 미국WideMoat가치주,20210317,15620
105,A309230,KINDEX 미국WideMoat가치주,20210316,15675
106,A309230,KINDEX 미국WideMoat가치주,20210315,15720
107,A309230,KINDEX 미국WideMoat가치주,20210312,15560
108,A309230,KINDEX 미국WideMoat가치주,20210311,15620
109,A309230,KINDEX 미국WideMoat가치주,20210310,15420
110,A309230,KINDEX 미국WideMoat가치주,20210309,15470
111,A309230,KINDEX 미국WideMoat가치주,20210308,15185
112,A309230,KINDEX 미국WideMoat가치주,20210305,14835
113,A309230,KINDEX 미국WideMoat가치주,20210304,14955
114,A309230,KINDEX 미국WideMoat가치주,20210303,15075
115,A309230,KINDEX 미국WideMoat가치주,20210302,15110
116,A309230,KINDEX 미국WideMoat가치주,20210226,15005
117,A309230,KINDEX 미국WideMoat가치주,20210225,15205
118,A309230,KINDEX 미국WideMoat가치주,20210224,14910
119,A309230,KINDEX 미국WideMoat가치주,20210223,15050
120,A309230,KINDEX 미국WideMoat가치주,20210222,14945
121,A309230,KINDEX 미국WideMoat가치주,20210219,14835
122,A309230,KINDEX 미국WideMoat가치주,20210218,14915
123,A309230,KINDEX 미국WideMoat가치주,20210217,14960
124,A309230,KINDEX 미국WideMoat가치주,20210216,14890
125,A309230,KINDEX 미국WideMoat가치주,20210215,14885
126,A309230,KINDEX 미국WideMoat가치주,20210210,14760
127,A309230,KINDEX 미국WideMoat가치주,20210209,14770
128,A309230,KINDEX 미국WideMoat가치주,20210208,14715
129,A309230,KINDEX 미국WideMoat가치주,20210205,14625
130,A309230,KINDEX 미국WideMoat가치주,20210204,14300
131,A309230,KINDEX 미국WideMoat가치주,20210203,14295
132,A309230,KINDEX 미국WideMoat가치주,20210202,14090
133,A309230,KINDEX 미국WideMoat가치주,20210201,13965
134,A309230,KINDEX 미국WideMoat가치주,20210129,13930
135,A309230,KINDEX 미국WideMoat가치주,20210128,13925
136,A309230,KINDEX 미국WideMoat가치주,20210127,14165
137,A309230,KINDEX 미국WideMoat가치주,20210126,14220
138,A309230,KINDEX 미국WideMoat가치주,20210125,14330
139,A309230,KINDEX 미국WideMoat가치주,20210122,14330
140,A309230,KINDEX 미국WideMoat가치주,20210121,14420
141,A309230,KINDEX 미국WideMoat가치주,20210120,14360
142,A309230,KINDEX 미국WideMoat가치주,20210119,14380
143,A309230,KINDEX 미국WideMoat가치주,20210118,14275
144,A309230,KINDEX 미국WideMoat가치주,20210115,14310
145,A309230,KINDEX 미국WideMoat가치주,20210114,14335
146,A309230,KINDEX 미국WideMoat가치주,20210113,14300
147,A309230,KINDEX 미국WideMoat가치주,20210112,14275
148,A309230,KINDEX 미국WideMoat가치주,20210111,14110
149,A309230,KINDEX 미국WideMoat가치주,20210108,14130
150,A309230,KINDEX 미국WideMoat가치주,20210107,13895
151,A309230,KINDEX 미국WideMoat가치주,20210106,13450
152,A309230,KINDEX 미국WideMoat가치주,20210105,13490
