,종목코드,종목명,날짜,종가
0,A219900,KINDEX 중국본토CSI300레버리지(합성),20210812,5515
1,A219900,KINDEX 중국본토CSI300레버리지(합성),20210811,5545
2,A219900,KINDEX 중국본토CSI300레버리지(합성),20210810,5460
3,A219900,KINDEX 중국본토CSI300레버리지(합성),20210809,5345
4,A219900,KINDEX 중국본토CSI300레버리지(합성),20210806,5225
5,A219900,KINDEX 중국본토CSI300레버리지(합성),20210805,5280
6,A219900,KINDEX 중국본토CSI300레버리지(합성),20210804,5375
7,A219900,KINDEX 중국본토CSI300레버리지(합성),20210803,5335
8,A219900,KINDEX 중국본토CSI300레버리지(합성),20210802,5310
9,A219900,KINDEX 중국본토CSI300레버리지(합성),20210730,5070
10,A219900,KINDEX 중국본토CSI300레버리지(합성),20210729,5125
11,A219900,KINDEX 중국본토CSI300레버리지(합성),20210728,4990
12,A219900,KINDEX 중국본토CSI300레버리지(합성),20210727,5155
13,A219900,KINDEX 중국본토CSI300레버리지(합성),20210726,5380
14,A219900,KINDEX 중국본토CSI300레버리지(합성),20210723,5730
15,A219900,KINDEX 중국본토CSI300레버리지(합성),20210722,5835
16,A219900,KINDEX 중국본토CSI300레버리지(합성),20210721,5845
17,A219900,KINDEX 중국본토CSI300레버리지(합성),20210720,5735
18,A219900,KINDEX 중국본토CSI300레버리지(합성),20210719,5710
19,A219900,KINDEX 중국본토CSI300레버리지(합성),20210716,5725
20,A219900,KINDEX 중국본토CSI300레버리지(합성),20210715,5740
21,A219900,KINDEX 중국본토CSI300레버리지(합성),20210714,5695
22,A219900,KINDEX 중국본토CSI300레버리지(합성),20210713,5800
23,A219900,KINDEX 중국본토CSI300레버리지(합성),20210712,5755
24,A219900,KINDEX 중국본토CSI300레버리지(합성),20210709,5620
25,A219900,KINDEX 중국본토CSI300레버리지(합성),20210708,5650
26,A219900,KINDEX 중국본토CSI300레버리지(합성),20210707,5700
27,A219900,KINDEX 중국본토CSI300레버리지(합성),20210706,5525
