,종목코드,종목명,날짜,종가
0,A058400,KNN,20210812,1810
1,A058400,KNN,20210811,1830
2,A058400,KNN,20210810,1850
3,A058400,KNN,20210809,1860
4,A058400,KNN,20210806,1850
5,A058400,KNN,20210805,1855
6,A058400,KNN,20210804,1835
7,A058400,KNN,20210803,1825
8,A058400,KNN,20210802,1830
9,A058400,KNN,20210730,1805
10,A058400,KNN,20210729,1825
11,A058400,KNN,20210728,1820
12,A058400,KNN,20210727,1880
13,A058400,KNN,20210726,1880
14,A058400,KNN,20210723,1925
15,A058400,KNN,20210722,1925
16,A058400,KNN,20210721,1925
17,A058400,KNN,20210720,1965
18,A058400,KNN,20210719,2020
19,A058400,KNN,20210716,2070
20,A058400,KNN,20210715,2075
21,A058400,KNN,20210714,2065
22,A058400,KNN,20210713,2060
23,A058400,KNN,20210712,2065
24,A058400,KNN,20210709,2040
25,A058400,KNN,20210708,2080
26,A058400,KNN,20210707,2140
27,A058400,KNN,20210706,2225
28,A058400,KNN,20210705,2145
29,A058400,KNN,20210702,2200
30,A058400,KNN,20210701,2045
31,A058400,KNN,20210630,2070
32,A058400,KNN,20210629,2050
33,A058400,KNN,20210628,2050
34,A058400,KNN,20210625,2020
35,A058400,KNN,20210624,2015
36,A058400,KNN,20210623,2055
37,A058400,KNN,20210622,2090
38,A058400,KNN,20210621,2100
39,A058400,KNN,20210618,2120
40,A058400,KNN,20210617,2050
41,A058400,KNN,20210616,2080
42,A058400,KNN,20210615,2100
43,A058400,KNN,20210614,2140
44,A058400,KNN,20210611,1970
45,A058400,KNN,20210610,1895
46,A058400,KNN,20210609,1890
47,A058400,KNN,20210608,1900
48,A058400,KNN,20210607,1855
49,A058400,KNN,20210604,1915
50,A058400,KNN,20210603,1935
51,A058400,KNN,20210602,1925
52,A058400,KNN,20210601,1900
53,A058400,KNN,20210531,1860
54,A058400,KNN,20210528,1830
55,A058400,KNN,20210527,1820
56,A058400,KNN,20210526,1825
57,A058400,KNN,20210525,1800
58,A058400,KNN,20210524,1795
59,A058400,KNN,20210521,1890
60,A058400,KNN,20210520,1915
61,A058400,KNN,20210518,1925
62,A058400,KNN,20210517,1885
63,A058400,KNN,20210514,1905
64,A058400,KNN,20210513,1880
65,A058400,KNN,20210512,1920
66,A058400,KNN,20210511,1945
67,A058400,KNN,20210510,2010
68,A058400,KNN,20210507,2025
69,A058400,KNN,20210506,1970
70,A058400,KNN,20210504,1960
71,A058400,KNN,20210503,1890
72,A058400,KNN,20210430,1880
73,A058400,KNN,20210429,1890
74,A058400,KNN,20210428,1885
75,A058400,KNN,20210427,1960
76,A058400,KNN,20210426,1980
77,A058400,KNN,20210423,1995
78,A058400,KNN,20210422,2045
79,A058400,KNN,20210421,2025
80,A058400,KNN,20210420,2040
81,A058400,KNN,20210419,2015
82,A058400,KNN,20210416,2150
83,A058400,KNN,20210415,2175
84,A058400,KNN,20210414,2120
85,A058400,KNN,20210413,2175
86,A058400,KNN,20210412,2175
87,A058400,KNN,20210409,2165
88,A058400,KNN,20210408,2130
89,A058400,KNN,20210407,2215
