,종목코드,종목명,날짜,종가
0,A337160,KODEX 200ESG,20210812,15070
1,A337160,KODEX 200ESG,20210811,15070
2,A337160,KODEX 200ESG,20210810,15250
3,A337160,KODEX 200ESG,20210809,15385
4,A337160,KODEX 200ESG,20210806,15430
5,A337160,KODEX 200ESG,20210805,15500
6,A337160,KODEX 200ESG,20210804,15475
7,A337160,KODEX 200ESG,20210803,15265
8,A337160,KODEX 200ESG,20210802,15230
9,A337160,KODEX 200ESG,20210730,15085
10,A337160,KODEX 200ESG,20210729,15295
11,A337160,KODEX 200ESG,20210728,15335
12,A337160,KODEX 200ESG,20210727,15315
13,A337160,KODEX 200ESG,20210726,15270
14,A337160,KODEX 200ESG,20210723,15425
15,A337160,KODEX 200ESG,20210722,15415
16,A337160,KODEX 200ESG,20210721,15205
17,A337160,KODEX 200ESG,20210720,15305
18,A337160,KODEX 200ESG,20210719,15325
19,A337160,KODEX 200ESG,20210716,15490
20,A337160,KODEX 200ESG,20210715,15610
21,A337160,KODEX 200ESG,20210714,15560
22,A337160,KODEX 200ESG,20210713,15575
23,A337160,KODEX 200ESG,20210712,15465
24,A337160,KODEX 200ESG,20210709,15325
25,A337160,KODEX 200ESG,20210708,15505
26,A337160,KODEX 200ESG,20210707,15650
27,A337160,KODEX 200ESG,20210706,15715
28,A337160,KODEX 200ESG,20210705,15650
29,A337160,KODEX 200ESG,20210702,15575
30,A337160,KODEX 200ESG,20210701,15620
31,A337160,KODEX 200ESG,20210630,15745
32,A337160,KODEX 200ESG,20210629,15685
33,A337160,KODEX 200ESG,20210628,15730
34,A337160,KODEX 200ESG,20210625,15680
35,A337160,KODEX 200ESG,20210624,15610
36,A337160,KODEX 200ESG,20210623,15585
37,A337160,KODEX 200ESG,20210622,15540
38,A337160,KODEX 200ESG,20210621,15400
39,A337160,KODEX 200ESG,20210618,15545
40,A337160,KODEX 200ESG,20210617,15485
41,A337160,KODEX 200ESG,20210616,15560
42,A337160,KODEX 200ESG,20210615,15500
43,A337160,KODEX 200ESG,20210614,15460
44,A337160,KODEX 200ESG,20210611,15400
45,A337160,KODEX 200ESG,20210610,15305
46,A337160,KODEX 200ESG,20210609,15260
47,A337160,KODEX 200ESG,20210608,15430
48,A337160,KODEX 200ESG,20210607,15455
49,A337160,KODEX 200ESG,20210604,15385
50,A337160,KODEX 200ESG,20210603,15485
51,A337160,KODEX 200ESG,20210602,15320
52,A337160,KODEX 200ESG,20210601,15280
53,A337160,KODEX 200ESG,20210531,15225
54,A337160,KODEX 200ESG,20210528,15175
55,A337160,KODEX 200ESG,20210527,15060
56,A337160,KODEX 200ESG,20210526,15030
57,A337160,KODEX 200ESG,20210525,15040
58,A337160,KODEX 200ESG,20210524,14965
59,A337160,KODEX 200ESG,20210521,15030
60,A337160,KODEX 200ESG,20210520,14995
61,A337160,KODEX 200ESG,20210518,15065
62,A337160,KODEX 200ESG,20210517,14875
63,A337160,KODEX 200ESG,20210514,14925
64,A337160,KODEX 200ESG,20210513,14785
65,A337160,KODEX 200ESG,20210512,15020
66,A337160,KODEX 200ESG,20210511,15285
