,종목코드,종목명,날짜,종가
0,A204450,KODEX China H 레버리지(H),20210812,5415
1,A204450,KODEX China H 레버리지(H),20210811,5410
2,A204450,KODEX China H 레버리지(H),20210810,5340
3,A204450,KODEX China H 레버리지(H),20210809,5230
4,A204450,KODEX China H 레버리지(H),20210806,5170
5,A204450,KODEX China H 레버리지(H),20210805,5180
6,A204450,KODEX China H 레버리지(H),20210804,5310
7,A204450,KODEX China H 레버리지(H),20210803,5180
8,A204450,KODEX China H 레버리지(H),20210802,5210
9,A204450,KODEX China H 레버리지(H),20210730,5050
10,A204450,KODEX China H 레버리지(H),20210729,5265
11,A204450,KODEX China H 레버리지(H),20210728,4985
12,A204450,KODEX China H 레버리지(H),20210727,4970
13,A204450,KODEX China H 레버리지(H),20210726,5410
14,A204450,KODEX China H 레버리지(H),20210723,5955
15,A204450,KODEX China H 레버리지(H),20210722,6035
16,A204450,KODEX China H 레버리지(H),20210721,5830
17,A204450,KODEX China H 레버리지(H),20210720,5885
18,A204450,KODEX China H 레버리지(H),20210719,6050
19,A204450,KODEX China H 레버리지(H),20210716,6300
20,A204450,KODEX China H 레버리지(H),20210715,6300
21,A204450,KODEX China H 레버리지(H),20210714,6155
22,A204450,KODEX China H 레버리지(H),20210713,6195
23,A204450,KODEX China H 레버리지(H),20210712,6025
24,A204450,KODEX China H 레버리지(H),20210709,5990
25,A204450,KODEX China H 레버리지(H),20210708,5890
26,A204450,KODEX China H 레버리지(H),20210707,6190
27,A204450,KODEX China H 레버리지(H),20210706,6340
28,A204450,KODEX China H 레버리지(H),20210705,6395
29,A204450,KODEX China H 레버리지(H),20210702,6540
30,A204450,KODEX China H 레버리지(H),20210701,6915
31,A204450,KODEX China H 레버리지(H),20210630,6920
32,A204450,KODEX China H 레버리지(H),20210629,6960
33,A204450,KODEX China H 레버리지(H),20210628,7045
34,A204450,KODEX China H 레버리지(H),20210625,7080
35,A204450,KODEX China H 레버리지(H),20210624,6890
36,A204450,KODEX China H 레버리지(H),20210623,6825
37,A204450,KODEX China H 레버리지(H),20210622,6680
38,A204450,KODEX China H 레버리지(H),20210621,6715
39,A204450,KODEX China H 레버리지(H),20210618,6830
40,A204450,KODEX China H 레버리지(H),20210617,6730
41,A204450,KODEX China H 레버리지(H),20210616,6800
42,A204450,KODEX China H 레버리지(H),20210615,6880
43,A204450,KODEX China H 레버리지(H),20210614,6975
44,A204450,KODEX China H 레버리지(H),20210611,7000
45,A204450,KODEX China H 레버리지(H),20210610,6915
46,A204450,KODEX China H 레버리지(H),20210609,6895
47,A204450,KODEX China H 레버리지(H),20210608,6925
48,A204450,KODEX China H 레버리지(H),20210607,6980
49,A204450,KODEX China H 레버리지(H),20210604,7015
50,A204450,KODEX China H 레버리지(H),20210603,7115
51,A204450,KODEX China H 레버리지(H),20210602,7185
52,A204450,KODEX China H 레버리지(H),20210601,7190
53,A204450,KODEX China H 레버리지(H),20210531,7005
54,A204450,KODEX China H 레버리지(H),20210528,6990
55,A204450,KODEX China H 레버리지(H),20210527,7020
56,A204450,KODEX China H 레버리지(H),20210526,7040
57,A204450,KODEX China H 레버리지(H),20210525,6955
58,A204450,KODEX China H 레버리지(H),20210524,6770
59,A204450,KODEX China H 레버리지(H),20210521,6815
60,A204450,KODEX China H 레버리지(H),20210520,6760
61,A204450,KODEX China H 레버리지(H),20210518,6745
62,A204450,KODEX China H 레버리지(H),20210517,6600
63,A204450,KODEX China H 레버리지(H),20210514,6470
64,A204450,KODEX China H 레버리지(H),20210513,6480
65,A204450,KODEX China H 레버리지(H),20210512,6655
66,A204450,KODEX China H 레버리지(H),20210511,6550
67,A204450,KODEX China H 레버리지(H),20210510,6815
68,A204450,KODEX China H 레버리지(H),20210507,6880
69,A204450,KODEX China H 레버리지(H),20210506,6920
70,A204450,KODEX China H 레버리지(H),20210504,6940
71,A204450,KODEX China H 레버리지(H),20210503,6875
72,A204450,KODEX China H 레버리지(H),20210430,7045
73,A204450,KODEX China H 레버리지(H),20210429,7300
74,A204450,KODEX China H 레버리지(H),20210428,7180
75,A204450,KODEX China H 레버리지(H),20210427,7220
76,A204450,KODEX China H 레버리지(H),20210426,7235
77,A204450,KODEX China H 레버리지(H),20210423,7215
78,A204450,KODEX China H 레버리지(H),20210422,7115
79,A204450,KODEX China H 레버리지(H),20210421,7060
80,A204450,KODEX China H 레버리지(H),20210420,7360
81,A204450,KODEX China H 레버리지(H),20210419,7390
82,A204450,KODEX China H 레버리지(H),20210416,7275
83,A204450,KODEX China H 레버리지(H),20210415,7085
84,A204450,KODEX China H 레버리지(H),20210414,7205
85,A204450,KODEX China H 레버리지(H),20210413,7110
86,A204450,KODEX China H 레버리지(H),20210412,7095
87,A204450,KODEX China H 레버리지(H),20210409,7170
88,A204450,KODEX China H 레버리지(H),20210408,7390
89,A204450,KODEX China H 레버리지(H),20210407,7310
90,A204450,KODEX China H 레버리지(H),20210406,7490
91,A204450,KODEX China H 레버리지(H),20210405,7465
92,A204450,KODEX China H 레버리지(H),20210402,7465
93,A204450,KODEX China H 레버리지(H),20210401,7400
94,A204450,KODEX China H 레버리지(H),20210331,7210
95,A204450,KODEX China H 레버리지(H),20210330,7265
96,A204450,KODEX China H 레버리지(H),20210329,7120
97,A204450,KODEX China H 레버리지(H),20210326,7245
98,A204450,KODEX China H 레버리지(H),20210325,6915
99,A204450,KODEX China H 레버리지(H),20210324,7075
100,A204450,KODEX China H 레버리지(H),20210323,7365
101,A204450,KODEX China H 레버리지(H),20210322,7680
102,A204450,KODEX China H 레버리지(H),20210319,7565
103,A204450,KODEX China H 레버리지(H),20210318,7920
104,A204450,KODEX China H 레버리지(H),20210317,7770
105,A204450,KODEX China H 레버리지(H),20210316,7625
106,A204450,KODEX China H 레버리지(H),20210315,7455
107,A204450,KODEX China H 레버리지(H),20210312,7695
108,A204450,KODEX China H 레버리지(H),20210311,7680
109,A204450,KODEX China H 레버리지(H),20210310,7350
110,A204450,KODEX China H 레버리지(H),20210309,7260
111,A204450,KODEX China H 레버리지(H),20210308,7485
112,A204450,KODEX China H 레버리지(H),20210305,7795
113,A204450,KODEX China H 레버리지(H),20210304,7770
114,A204450,KODEX China H 레버리지(H),20210303,8035
115,A204450,KODEX China H 레버리지(H),20210302,7880
116,A204450,KODEX China H 레버리지(H),20210226,7800
117,A204450,KODEX China H 레버리지(H),20210225,8315
118,A204450,KODEX China H 레버리지(H),20210224,7990
119,A204450,KODEX China H 레버리지(H),20210223,8580
120,A204450,KODEX China H 레버리지(H),20210222,8680
121,A204450,KODEX China H 레버리지(H),20210219,8745
122,A204450,KODEX China H 레버리지(H),20210218,8845
123,A204450,KODEX China H 레버리지(H),20210217,8985
124,A204450,KODEX China H 레버리지(H),20210216,8750
125,A204450,KODEX China H 레버리지(H),20210215,8530
126,A204450,KODEX China H 레버리지(H),20210210,8385
127,A204450,KODEX China H 레버리지(H),20210209,8090
128,A204450,KODEX China H 레버리지(H),20210208,8155
129,A204450,KODEX China H 레버리지(H),20210205,8120
130,A204450,KODEX China H 레버리지(H),20210204,8030
131,A204450,KODEX China H 레버리지(H),20210203,8195
132,A204450,KODEX China H 레버리지(H),20210202,8210
133,A204450,KODEX China H 레버리지(H),20210201,8000
134,A204450,KODEX China H 레버리지(H),20210129,7610
135,A204450,KODEX China H 레버리지(H),20210128,7900
136,A204450,KODEX China H 레버리지(H),20210127,8310
137,A204450,KODEX China H 레버리지(H),20210126,8375
138,A204450,KODEX China H 레버리지(H),20210125,8630
139,A204450,KODEX China H 레버리지(H),20210122,8335
140,A204450,KODEX China H 레버리지(H),20210121,8570
141,A204450,KODEX China H 레버리지(H),20210120,8590
142,A204450,KODEX China H 레버리지(H),20210119,8260
143,A204450,KODEX China H 레버리지(H),20210118,7915
144,A204450,KODEX China H 레버리지(H),20210115,7700
145,A204450,KODEX China H 레버리지(H),20210114,7635
146,A204450,KODEX China H 레버리지(H),20210113,7635
147,A204450,KODEX China H 레버리지(H),20210112,7530
148,A204450,KODEX China H 레버리지(H),20210111,7370
149,A204450,KODEX China H 레버리지(H),20210108,7240
150,A204450,KODEX China H 레버리지(H),20210107,7045
151,A204450,KODEX China H 레버리지(H),20210106,7100
152,A204450,KODEX China H 레버리지(H),20210105,7050
153,A204450,KODEX China H 레버리지(H),20210104,6980
154,A204450,KODEX China H 레버리지(H),20201230,6910
155,A204450,KODEX China H 레버리지(H),20201229,6660
156,A204450,KODEX China H 레버리지(H),20201228,6490
157,A204450,KODEX China H 레버리지(H),20201224,6650
158,A204450,KODEX China H 레버리지(H),20201223,6710
159,A204450,KODEX China H 레버리지(H),20201222,6560
160,A204450,KODEX China H 레버리지(H),20201221,6690
161,A204450,KODEX China H 레버리지(H),20201218,6730
162,A204450,KODEX China H 레버리지(H),20201217,6780
163,A204450,KODEX China H 레버리지(H),20201216,6710
164,A204450,KODEX China H 레버리지(H),20201215,6665
165,A204450,KODEX China H 레버리지(H),20201214,6695
166,A204450,KODEX China H 레버리지(H),20201211,6680
167,A204450,KODEX China H 레버리지(H),20201210,6670
168,A204450,KODEX China H 레버리지(H),20201209,6800
169,A204450,KODEX China H 레버리지(H),20201208,6650
170,A204450,KODEX China H 레버리지(H),20201207,6740
171,A204450,KODEX China H 레버리지(H),20201204,6905
172,A204450,KODEX China H 레버리지(H),20201203,6850
173,A204450,KODEX China H 레버리지(H),20201202,6925
174,A204450,KODEX China H 레버리지(H),20201201,7005
175,A204450,KODEX China H 레버리지(H),20201130,6930
176,A204450,KODEX China H 레버리지(H),20201127,7080
177,A204450,KODEX China H 레버리지(H),20201126,6990
178,A204450,KODEX China H 레버리지(H),20201125,6840
