,종목코드,종목명,날짜,종가
0,A306950,KODEX KRX300레버리지,20210812,21380
1,A306950,KODEX KRX300레버리지,20210811,21705
2,A306950,KODEX KRX300레버리지,20210810,21865
3,A306950,KODEX KRX300레버리지,20210809,21985
4,A306950,KODEX KRX300레버리지,20210806,22245
5,A306950,KODEX KRX300레버리지,20210805,22390
6,A306950,KODEX KRX300레버리지,20210804,22515
7,A306950,KODEX KRX300레버리지,20210803,21900
8,A306950,KODEX KRX300레버리지,20210802,21585
9,A306950,KODEX KRX300레버리지,20210730,21215
10,A306950,KODEX KRX300레버리지,20210729,21890
11,A306950,KODEX KRX300레버리지,20210728,21825
12,A306950,KODEX KRX300레버리지,20210727,21760
13,A306950,KODEX KRX300레버리지,20210726,21655
14,A306950,KODEX KRX300레버리지,20210723,22095
15,A306950,KODEX KRX300레버리지,20210722,22045
16,A306950,KODEX KRX300레버리지,20210721,21615
17,A306950,KODEX KRX300레버리지,20210720,21785
18,A306950,KODEX KRX300레버리지,20210719,21955
19,A306950,KODEX KRX300레버리지,20210716,22350
20,A306950,KODEX KRX300레버리지,20210715,22495
21,A306950,KODEX KRX300레버리지,20210714,22175
22,A306950,KODEX KRX300레버리지,20210713,22370
23,A306950,KODEX KRX300레버리지,20210712,22010
24,A306950,KODEX KRX300레버리지,20210709,21630
25,A306950,KODEX KRX300레버리지,20210708,22355
26,A306950,KODEX KRX300레버리지,20210707,22600
27,A306950,KODEX KRX300레버리지,20210706,22830
28,A306950,KODEX KRX300레버리지,20210705,22695
29,A306950,KODEX KRX300레버리지,20210702,22450
30,A306950,KODEX KRX300레버리지,20210701,22535
31,A306950,KODEX KRX300레버리지,20210630,22610
32,A306950,KODEX KRX300레버리지,20210629,22550
33,A306950,KODEX KRX300레버리지,20210628,22615
34,A306950,KODEX KRX300레버리지,20210625,22715
35,A306950,KODEX KRX300레버리지,20210624,22475
36,A306950,KODEX KRX300레버리지,20210623,22360
37,A306950,KODEX KRX300레버리지,20210622,22225
38,A306950,KODEX KRX300레버리지,20210621,22035
39,A306950,KODEX KRX300레버리지,20210618,22270
40,A306950,KODEX KRX300레버리지,20210617,22000
41,A306950,KODEX KRX300레버리지,20210616,22315
42,A306950,KODEX KRX300레버리지,20210615,21975
43,A306950,KODEX KRX300레버리지,20210614,21925
44,A306950,KODEX KRX300레버리지,20210611,21880
45,A306950,KODEX KRX300레버리지,20210610,21645
46,A306950,KODEX KRX300레버리지,20210609,21515
47,A306950,KODEX KRX300레버리지,20210608,21865
48,A306950,KODEX KRX300레버리지,20210607,21900
49,A306950,KODEX KRX300레버리지,20210604,21890
50,A306950,KODEX KRX300레버리지,20210603,22065
51,A306950,KODEX KRX300레버리지,20210602,21600
52,A306950,KODEX KRX300레버리지,20210601,21555
53,A306950,KODEX KRX300레버리지,20210531,21380
54,A306950,KODEX KRX300레버리지,20210528,21290
55,A306950,KODEX KRX300레버리지,20210527,21085
56,A306950,KODEX KRX300레버리지,20210526,20930
57,A306950,KODEX KRX300레버리지,20210525,21145
