,종목코드,종목명,날짜,종가
0,A289040,KODEX MSCI KOREA ESG유니버설,20210812,12645
1,A289040,KODEX MSCI KOREA ESG유니버설,20210811,12650
2,A289040,KODEX MSCI KOREA ESG유니버설,20210810,12760
3,A289040,KODEX MSCI KOREA ESG유니버설,20210809,12905
4,A289040,KODEX MSCI KOREA ESG유니버설,20210806,12880
5,A289040,KODEX MSCI KOREA ESG유니버설,20210805,12970
6,A289040,KODEX MSCI KOREA ESG유니버설,20210804,12975
7,A289040,KODEX MSCI KOREA ESG유니버설,20210803,12795
8,A289040,KODEX MSCI KOREA ESG유니버설,20210802,12710
9,A289040,KODEX MSCI KOREA ESG유니버설,20210730,12685
10,A289040,KODEX MSCI KOREA ESG유니버설,20210729,12845
11,A289040,KODEX MSCI KOREA ESG유니버설,20210728,12770
12,A289040,KODEX MSCI KOREA ESG유니버설,20210727,12835
13,A289040,KODEX MSCI KOREA ESG유니버설,20210726,12805
14,A289040,KODEX MSCI KOREA ESG유니버설,20210723,12925
15,A289040,KODEX MSCI KOREA ESG유니버설,20210722,12910
16,A289040,KODEX MSCI KOREA ESG유니버설,20210721,12745
17,A289040,KODEX MSCI KOREA ESG유니버설,20210720,12840
18,A289040,KODEX MSCI KOREA ESG유니버설,20210719,12900
19,A289040,KODEX MSCI KOREA ESG유니버설,20210716,13055
20,A289040,KODEX MSCI KOREA ESG유니버설,20210715,13065
21,A289040,KODEX MSCI KOREA ESG유니버설,20210714,12970
22,A289040,KODEX MSCI KOREA ESG유니버설,20210713,13060
23,A289040,KODEX MSCI KOREA ESG유니버설,20210712,12960
24,A289040,KODEX MSCI KOREA ESG유니버설,20210709,12800
25,A289040,KODEX MSCI KOREA ESG유니버설,20210708,13015
26,A289040,KODEX MSCI KOREA ESG유니버설,20210707,13120
27,A289040,KODEX MSCI KOREA ESG유니버설,20210706,13110
28,A289040,KODEX MSCI KOREA ESG유니버설,20210705,13125
29,A289040,KODEX MSCI KOREA ESG유니버설,20210702,13045
30,A289040,KODEX MSCI KOREA ESG유니버설,20210701,13060
31,A289040,KODEX MSCI KOREA ESG유니버설,20210630,13160
32,A289040,KODEX MSCI KOREA ESG유니버설,20210629,13075
33,A289040,KODEX MSCI KOREA ESG유니버설,20210628,13185
34,A289040,KODEX MSCI KOREA ESG유니버설,20210625,13135
35,A289040,KODEX MSCI KOREA ESG유니버설,20210624,13155
36,A289040,KODEX MSCI KOREA ESG유니버설,20210623,13120
37,A289040,KODEX MSCI KOREA ESG유니버설,20210622,13005
38,A289040,KODEX MSCI KOREA ESG유니버설,20210621,12890
39,A289040,KODEX MSCI KOREA ESG유니버설,20210618,13040
40,A289040,KODEX MSCI KOREA ESG유니버설,20210617,12975
41,A289040,KODEX MSCI KOREA ESG유니버설,20210616,13065
42,A289040,KODEX MSCI KOREA ESG유니버설,20210615,12930
43,A289040,KODEX MSCI KOREA ESG유니버설,20210614,12925
44,A289040,KODEX MSCI KOREA ESG유니버설,20210611,12880
45,A289040,KODEX MSCI KOREA ESG유니버설,20210610,12780
46,A289040,KODEX MSCI KOREA ESG유니버설,20210609,12765
47,A289040,KODEX MSCI KOREA ESG유니버설,20210608,12885
48,A289040,KODEX MSCI KOREA ESG유니버설,20210607,12900
49,A289040,KODEX MSCI KOREA ESG유니버설,20210604,12835
50,A289040,KODEX MSCI KOREA ESG유니버설,20210603,12920
51,A289040,KODEX MSCI KOREA ESG유니버설,20210602,12790
52,A289040,KODEX MSCI KOREA ESG유니버설,20210601,12800
53,A289040,KODEX MSCI KOREA ESG유니버설,20210531,12755
54,A289040,KODEX MSCI KOREA ESG유니버설,20210528,12680
55,A289040,KODEX MSCI KOREA ESG유니버설,20210527,12665
56,A289040,KODEX MSCI KOREA ESG유니버설,20210526,12660
57,A289040,KODEX MSCI KOREA ESG유니버설,20210525,12710
58,A289040,KODEX MSCI KOREA ESG유니버설,20210524,12570
59,A289040,KODEX MSCI KOREA ESG유니버설,20210521,12650
60,A289040,KODEX MSCI KOREA ESG유니버설,20210520,12600
61,A289040,KODEX MSCI KOREA ESG유니버설,20210518,12695
62,A289040,KODEX MSCI KOREA ESG유니버설,20210517,12535
63,A289040,KODEX MSCI KOREA ESG유니버설,20210514,12570
64,A289040,KODEX MSCI KOREA ESG유니버설,20210513,12415
65,A289040,KODEX MSCI KOREA ESG유니버설,20210512,12615
66,A289040,KODEX MSCI KOREA ESG유니버설,20210511,12805
67,A289040,KODEX MSCI KOREA ESG유니버설,20210510,13045
68,A289040,KODEX MSCI KOREA ESG유니버설,20210507,12895
69,A289040,KODEX MSCI KOREA ESG유니버설,20210506,12695
70,A289040,KODEX MSCI KOREA ESG유니버설,20210504,12680
71,A289040,KODEX MSCI KOREA ESG유니버설,20210503,12620
72,A289040,KODEX MSCI KOREA ESG유니버설,20210430,12710
73,A289040,KODEX MSCI KOREA ESG유니버설,20210429,12775
74,A289040,KODEX MSCI KOREA ESG유니버설,20210428,12875
75,A289040,KODEX MSCI KOREA ESG유니버설,20210427,13003
76,A289040,KODEX MSCI KOREA ESG유니버설,20210426,12924
77,A289040,KODEX MSCI KOREA ESG유니버설,20210423,12875
78,A289040,KODEX MSCI KOREA ESG유니버설,20210422,12855
79,A289040,KODEX MSCI KOREA ESG유니버설,20210421,12850
80,A289040,KODEX MSCI KOREA ESG유니버설,20210420,13081
81,A289040,KODEX MSCI KOREA ESG유니버설,20210419,13017
82,A289040,KODEX MSCI KOREA ESG유니버설,20210416,12998
83,A289040,KODEX MSCI KOREA ESG유니버설,20210415,13052
84,A289040,KODEX MSCI KOREA ESG유니버설,20210414,12904
85,A289040,KODEX MSCI KOREA ESG유니버설,20210413,12835
86,A289040,KODEX MSCI KOREA ESG유니버설,20210412,12732
87,A289040,KODEX MSCI KOREA ESG유니버설,20210409,12761
88,A289040,KODEX MSCI KOREA ESG유니버설,20210408,12761
89,A289040,KODEX MSCI KOREA ESG유니버설,20210407,12815
90,A289040,KODEX MSCI KOREA ESG유니버설,20210406,12707
91,A289040,KODEX MSCI KOREA ESG유니버설,20210405,12702
92,A289040,KODEX MSCI KOREA ESG유니버설,20210402,12682
93,A289040,KODEX MSCI KOREA ESG유니버설,20210401,12564
94,A289040,KODEX MSCI KOREA ESG유니버설,20210331,12466
95,A289040,KODEX MSCI KOREA ESG유니버설,20210330,12520
96,A289040,KODEX MSCI KOREA ESG유니버설,20210329,12283
97,A289040,KODEX MSCI KOREA ESG유니버설,20210326,12278
98,A289040,KODEX MSCI KOREA ESG유니버설,20210325,12209
99,A289040,KODEX MSCI KOREA ESG유니버설,20210324,12199
100,A289040,KODEX MSCI KOREA ESG유니버설,20210323,12254
101,A289040,KODEX MSCI KOREA ESG유니버설,20210322,12392
102,A289040,KODEX MSCI KOREA ESG유니버설,20210319,12392
103,A289040,KODEX MSCI KOREA ESG유니버설,20210318,12525
104,A289040,KODEX MSCI KOREA ESG유니버설,20210317,12382
105,A289040,KODEX MSCI KOREA ESG유니버설,20210316,12466
106,A289040,KODEX MSCI KOREA ESG유니버설,20210315,12426
107,A289040,KODEX MSCI KOREA ESG유니버설,20210312,12485
108,A289040,KODEX MSCI KOREA ESG유니버설,20210311,12313
109,A289040,KODEX MSCI KOREA ESG유니버설,20210310,12086
110,A289040,KODEX MSCI KOREA ESG유니버설,20210309,12195
111,A289040,KODEX MSCI KOREA ESG유니버설,20210308,12239
112,A289040,KODEX MSCI KOREA ESG유니버설,20210305,12328
113,A289040,KODEX MSCI KOREA ESG유니버설,20210304,12441
114,A289040,KODEX MSCI KOREA ESG유니버설,20210303,12584
115,A289040,KODEX MSCI KOREA ESG유니버설,20210302,12426
116,A289040,KODEX MSCI KOREA ESG유니버설,20210226,12303
117,A289040,KODEX MSCI KOREA ESG유니버설,20210225,12618
118,A289040,KODEX MSCI KOREA ESG유니버설,20210224,12244
119,A289040,KODEX MSCI KOREA ESG유니버설,20210223,12505
120,A289040,KODEX MSCI KOREA ESG유니버설,20210222,12544
121,A289040,KODEX MSCI KOREA ESG유니버설,20210219,12663
122,A289040,KODEX MSCI KOREA ESG유니버설,20210218,12564
123,A289040,KODEX MSCI KOREA ESG유니버설,20210217,12751
124,A289040,KODEX MSCI KOREA ESG유니버설,20210216,12825
125,A289040,KODEX MSCI KOREA ESG유니버설,20210215,12835
126,A289040,KODEX MSCI KOREA ESG유니버설,20210210,12638
127,A289040,KODEX MSCI KOREA ESG유니버설,20210209,12549
128,A289040,KODEX MSCI KOREA ESG유니버설,20210208,12574
129,A289040,KODEX MSCI KOREA ESG유니버설,20210205,12613
130,A289040,KODEX MSCI KOREA ESG유니버설,20210204,12446
131,A289040,KODEX MSCI KOREA ESG유니버설,20210203,12672
132,A289040,KODEX MSCI KOREA ESG유니버설,20210202,12559
133,A289040,KODEX MSCI KOREA ESG유니버설,20210201,12387
134,A289040,KODEX MSCI KOREA ESG유니버설,20210129,12145
135,A289040,KODEX MSCI KOREA ESG유니버설,20210128,12510
136,A289040,KODEX MSCI KOREA ESG유니버설,20210127,12707
137,A289040,KODEX MSCI KOREA ESG유니버설,20210126,12801
138,A289040,KODEX MSCI KOREA ESG유니버설,20210125,13111
139,A289040,KODEX MSCI KOREA ESG유니버설,20210122,12825
140,A289040,KODEX MSCI KOREA ESG유니버설,20210121,12899
141,A289040,KODEX MSCI KOREA ESG유니버설,20210120,12707
142,A289040,KODEX MSCI KOREA ESG유니버설,20210119,12525
143,A289040,KODEX MSCI KOREA ESG유니버설,20210118,12283
144,A289040,KODEX MSCI KOREA ESG유니버설,20210115,12520
145,A289040,KODEX MSCI KOREA ESG유니버설,20210114,12820
146,A289040,KODEX MSCI KOREA ESG유니버설,20210113,12815
147,A289040,KODEX MSCI KOREA ESG유니버설,20210112,12712
148,A289040,KODEX MSCI KOREA ESG유니버설,20210111,12860
149,A289040,KODEX MSCI KOREA ESG유니버설,20210108,12810
150,A289040,KODEX MSCI KOREA ESG유니버설,20210107,12337
151,A289040,KODEX MSCI KOREA ESG유니버설,20210106,12042
152,A289040,KODEX MSCI KOREA ESG유니버설,20210105,12140
153,A289040,KODEX MSCI KOREA ESG유니버설,20210104,11953
154,A289040,KODEX MSCI KOREA ESG유니버설,20201230,11667
155,A289040,KODEX MSCI KOREA ESG유니버설,20201229,11396
156,A289040,KODEX MSCI KOREA ESG유니버설,20201228,11239
157,A289040,KODEX MSCI KOREA ESG유니버설,20201224,11155
158,A289040,KODEX MSCI KOREA ESG유니버설,20201223,11017
159,A289040,KODEX MSCI KOREA ESG유니버설,20201222,10830
160,A289040,KODEX MSCI KOREA ESG유니버설,20201221,10948
161,A289040,KODEX MSCI KOREA ESG유니버설,20201218,10977
162,A289040,KODEX MSCI KOREA ESG유니버설,20201217,10948
163,A289040,KODEX MSCI KOREA ESG유니버설,20201216,10997
164,A289040,KODEX MSCI KOREA ESG유니버설,20201215,10963
165,A289040,KODEX MSCI KOREA ESG유니버설,20201214,10973
166,A289040,KODEX MSCI KOREA ESG유니버설,20201211,11027
167,A289040,KODEX MSCI KOREA ESG유니버설,20201210,10933
168,A289040,KODEX MSCI KOREA ESG유니버설,20201209,10987
169,A289040,KODEX MSCI KOREA ESG유니버설,20201208,10731
170,A289040,KODEX MSCI KOREA ESG유니버설,20201207,10923
171,A289040,KODEX MSCI KOREA ESG유니버설,20201204,10815
172,A289040,KODEX MSCI KOREA ESG유니버설,20201203,10687
173,A289040,KODEX MSCI KOREA ESG유니버설,20201202,10544
174,A289040,KODEX MSCI KOREA ESG유니버설,20201201,10352
175,A289040,KODEX MSCI KOREA ESG유니버설,20201130,10169
176,A289040,KODEX MSCI KOREA ESG유니버설,20201127,10357
177,A289040,KODEX MSCI KOREA ESG유니버설,20201126,10396
178,A289040,KODEX MSCI KOREA ESG유니버설,20201125,10273
179,A289040,KODEX MSCI KOREA ESG유니버설,20201124,10342
180,A289040,KODEX MSCI KOREA ESG유니버설,20201123,10268
181,A289040,KODEX MSCI KOREA ESG유니버설,20201120,10027
182,A289040,KODEX MSCI KOREA ESG유니버설,20201119,10027
183,A289040,KODEX MSCI KOREA ESG유니버설,20201118,10036
184,A289040,KODEX MSCI KOREA ESG유니버설,20201117,9962
185,A289040,KODEX MSCI KOREA ESG유니버설,20201116,10007
186,A289040,KODEX MSCI KOREA ESG유니버설,20201113,9775
187,A289040,KODEX MSCI KOREA ESG유니버설,20201112,9756
188,A289040,KODEX MSCI KOREA ESG유니버설,20201111,9756
189,A289040,KODEX MSCI KOREA ESG유니버설,20201110,9642
190,A289040,KODEX MSCI KOREA ESG유니버설,20201109,9598
191,A289040,KODEX MSCI KOREA ESG유니버설,20201106,9539
192,A289040,KODEX MSCI KOREA ESG유니버설,20201105,9440
193,A289040,KODEX MSCI KOREA ESG유니버설,20201104,9287
194,A289040,KODEX MSCI KOREA ESG유니버설,20201103,9233
195,A289040,KODEX MSCI KOREA ESG유니버설,20201102,9071
196,A289040,KODEX MSCI KOREA ESG유니버설,20201030,8903
197,A289040,KODEX MSCI KOREA ESG유니버설,20201029,9189
198,A289040,KODEX MSCI KOREA ESG유니버설,20201028,9248
199,A289040,KODEX MSCI KOREA ESG유니버설,20201027,9218
200,A289040,KODEX MSCI KOREA ESG유니버설,20201026,9248
201,A289040,KODEX MSCI KOREA ESG유니버설,20201023,9312
202,A289040,KODEX MSCI KOREA ESG유니버설,20201022,9278
203,A289040,KODEX MSCI KOREA ESG유니버설,20201021,9312
204,A289040,KODEX MSCI KOREA ESG유니버설,20201020,9283
205,A289040,KODEX MSCI KOREA ESG유니버설,20201019,9223
206,A289040,KODEX MSCI KOREA ESG유니버설,20201016,9164
207,A289040,KODEX MSCI KOREA ESG유니버설,20201015,9258
208,A289040,KODEX MSCI KOREA ESG유니버설,20201014,9307
209,A289040,KODEX MSCI KOREA ESG유니버설,20201013,9356
210,A289040,KODEX MSCI KOREA ESG유니버설,20201012,9396
211,A289040,KODEX MSCI KOREA ESG유니버설,20201008,9366
212,A289040,KODEX MSCI KOREA ESG유니버설,20201007,9258
213,A289040,KODEX MSCI KOREA ESG유니버설,20201006,9238
214,A289040,KODEX MSCI KOREA ESG유니버설,20201005,9228
215,A289040,KODEX MSCI KOREA ESG유니버설,20200929,9125
216,A289040,KODEX MSCI KOREA ESG유니버설,20200928,9071
217,A289040,KODEX MSCI KOREA ESG유니버설,20200925,8923
218,A289040,KODEX MSCI KOREA ESG유니버설,20200924,8888
219,A289040,KODEX MSCI KOREA ESG유니버설,20200923,9100
220,A289040,KODEX MSCI KOREA ESG유니버설,20200922,9026
221,A289040,KODEX MSCI KOREA ESG유니버설,20200921,9273
222,A289040,KODEX MSCI KOREA ESG유니버설,20200918,9302
223,A289040,KODEX MSCI KOREA ESG유니버설,20200917,9317
224,A289040,KODEX MSCI KOREA ESG유니버설,20200916,9430
225,A289040,KODEX MSCI KOREA ESG유니버설,20200915,9465
226,A289040,KODEX MSCI KOREA ESG유니버설,20200914,9347
227,A289040,KODEX MSCI KOREA ESG유니버설,20200911,9258
228,A289040,KODEX MSCI KOREA ESG유니버설,20200910,9258
229,A289040,KODEX MSCI KOREA ESG유니버설,20200909,9214
230,A289040,KODEX MSCI KOREA ESG유니버설,20200908,9302
231,A289040,KODEX MSCI KOREA ESG유니버설,20200907,9184
232,A289040,KODEX MSCI KOREA ESG유니버설,20200904,9174
233,A289040,KODEX MSCI KOREA ESG유니버설,20200903,9337
234,A289040,KODEX MSCI KOREA ESG유니버설,20200902,9204
235,A289040,KODEX MSCI KOREA ESG유니버설,20200901,9145
236,A289040,KODEX MSCI KOREA ESG유니버설,20200831,9090
237,A289040,KODEX MSCI KOREA ESG유니버설,20200828,9268
238,A289040,KODEX MSCI KOREA ESG유니버설,20200827,9273
239,A289040,KODEX MSCI KOREA ESG유니버설,20200826,9238
240,A289040,KODEX MSCI KOREA ESG유니버설,20200825,9292
241,A289040,KODEX MSCI KOREA ESG유니버설,20200824,9110
242,A289040,KODEX MSCI KOREA ESG유니버설,20200821,9041
243,A289040,KODEX MSCI KOREA ESG유니버설,20200820,8913
244,A289040,KODEX MSCI KOREA ESG유니버설,20200819,9263
245,A289040,KODEX MSCI KOREA ESG유니버설,20200818,9238
246,A289040,KODEX MSCI KOREA ESG유니버설,20200814,9416
247,A289040,KODEX MSCI KOREA ESG유니버설,20200813,9480
248,A289040,KODEX MSCI KOREA ESG유니버설,20200812,9381
249,A289040,KODEX MSCI KOREA ESG유니버설,20200811,9485
250,A289040,KODEX MSCI KOREA ESG유니버설,20200810,9322
251,A289040,KODEX MSCI KOREA ESG유니버설,20200807,9154
252,A289040,KODEX MSCI KOREA ESG유니버설,20200806,9140
253,A289040,KODEX MSCI KOREA ESG유니버설,20200805,9007
254,A289040,KODEX MSCI KOREA ESG유니버설,20200804,8947
255,A289040,KODEX MSCI KOREA ESG유니버설,20200803,8824
256,A289040,KODEX MSCI KOREA ESG유니버설,20200731,8790
257,A289040,KODEX MSCI KOREA ESG유니버설,20200730,8844
258,A289040,KODEX MSCI KOREA ESG유니버설,20200729,8859
259,A289040,KODEX MSCI KOREA ESG유니버설,20200728,8745
260,A289040,KODEX MSCI KOREA ESG유니버설,20200727,8662
261,A289040,KODEX MSCI KOREA ESG유니버설,20200724,8588
262,A289040,KODEX MSCI KOREA ESG유니버설,20200723,8652
263,A289040,KODEX MSCI KOREA ESG유니버설,20200722,8662
264,A289040,KODEX MSCI KOREA ESG유니버설,20200721,8662
265,A289040,KODEX MSCI KOREA ESG유니버설,20200720,8538
266,A289040,KODEX MSCI KOREA ESG유니버설,20200717,8583
267,A289040,KODEX MSCI KOREA ESG유니버설,20200716,8583
268,A289040,KODEX MSCI KOREA ESG유니버설,20200715,8686
269,A289040,KODEX MSCI KOREA ESG유니버설,20200714,8573
270,A289040,KODEX MSCI KOREA ESG유니버설,20200713,8573
