,종목코드,종목명,날짜,종가
0,A329650,KODEX TRF3070,20210812,11470
1,A329650,KODEX TRF3070,20210811,11455
2,A329650,KODEX TRF3070,20210810,11430
3,A329650,KODEX TRF3070,20210809,11420
4,A329650,KODEX TRF3070,20210806,11430
5,A329650,KODEX TRF3070,20210805,11415
6,A329650,KODEX TRF3070,20210804,11430
7,A329650,KODEX TRF3070,20210803,11435
8,A329650,KODEX TRF3070,20210802,11395
9,A329650,KODEX TRF3070,20210730,11430
10,A329650,KODEX TRF3070,20210729,11395
11,A329650,KODEX TRF3070,20210728,11425
12,A329650,KODEX TRF3070,20210727,11410
13,A329650,KODEX TRF3070,20210726,11435
14,A329650,KODEX TRF3070,20210723,11385
15,A329650,KODEX TRF3070,20210722,11370
16,A329650,KODEX TRF3070,20210721,11350
17,A329650,KODEX TRF3070,20210720,11300
18,A329650,KODEX TRF3070,20210719,11320
19,A329650,KODEX TRF3070,20210716,11300
20,A329650,KODEX TRF3070,20210715,11310
21,A329650,KODEX TRF3070,20210714,11340
22,A329650,KODEX TRF3070,20210713,11340
23,A329650,KODEX TRF3070,20210712,11330
24,A329650,KODEX TRF3070,20210709,11305
25,A329650,KODEX TRF3070,20210708,11320
26,A329650,KODEX TRF3070,20210707,11285
27,A329650,KODEX TRF3070,20210706,11260
28,A329650,KODEX TRF3070,20210705,11255
29,A329650,KODEX TRF3070,20210702,11250
30,A329650,KODEX TRF3070,20210701,11220
31,A329650,KODEX TRF3070,20210630,11200
32,A329650,KODEX TRF3070,20210629,11205
33,A329650,KODEX TRF3070,20210628,11215
34,A329650,KODEX TRF3070,20210625,11190
35,A329650,KODEX TRF3070,20210624,11210
36,A329650,KODEX TRF3070,20210623,11230
37,A329650,KODEX TRF3070,20210622,11185
38,A329650,KODEX TRF3070,20210621,11175
39,A329650,KODEX TRF3070,20210618,11190
40,A329650,KODEX TRF3070,20210617,11200
41,A329650,KODEX TRF3070,20210616,11180
42,A329650,KODEX TRF3070,20210615,11185
43,A329650,KODEX TRF3070,20210614,11170
44,A329650,KODEX TRF3070,20210611,11145
45,A329650,KODEX TRF3070,20210610,11145
46,A329650,KODEX TRF3070,20210609,11130
47,A329650,KODEX TRF3070,20210608,11110
48,A329650,KODEX TRF3070,20210607,11095
49,A329650,KODEX TRF3070,20210604,11080
50,A329650,KODEX TRF3070,20210603,11080
51,A329650,KODEX TRF3070,20210602,11060
