,종목코드,종목명,날짜,종가
0,A321410,KODEX 멀티에셋하이인컴(H),20210812,10870
1,A321410,KODEX 멀티에셋하이인컴(H),20210811,10845
2,A321410,KODEX 멀티에셋하이인컴(H),20210810,10860
3,A321410,KODEX 멀티에셋하이인컴(H),20210809,10885
4,A321410,KODEX 멀티에셋하이인컴(H),20210806,10950
5,A321410,KODEX 멀티에셋하이인컴(H),20210805,10955
6,A321410,KODEX 멀티에셋하이인컴(H),20210804,10995
7,A321410,KODEX 멀티에셋하이인컴(H),20210803,11010
8,A321410,KODEX 멀티에셋하이인컴(H),20210802,11000
9,A321410,KODEX 멀티에셋하이인컴(H),20210730,10915
10,A321410,KODEX 멀티에셋하이인컴(H),20210729,10950
11,A321410,KODEX 멀티에셋하이인컴(H),20210728,10990
12,A321410,KODEX 멀티에셋하이인컴(H),20210727,10880
13,A321410,KODEX 멀티에셋하이인컴(H),20210726,10870
14,A321410,KODEX 멀티에셋하이인컴(H),20210723,10920
15,A321410,KODEX 멀티에셋하이인컴(H),20210722,10905
16,A321410,KODEX 멀티에셋하이인컴(H),20210721,10910
17,A321410,KODEX 멀티에셋하이인컴(H),20210720,10840
18,A321410,KODEX 멀티에셋하이인컴(H),20210719,10870
19,A321410,KODEX 멀티에셋하이인컴(H),20210716,10885
20,A321410,KODEX 멀티에셋하이인컴(H),20210715,10920
21,A321410,KODEX 멀티에셋하이인컴(H),20210714,10860
22,A321410,KODEX 멀티에셋하이인컴(H),20210713,10880
23,A321410,KODEX 멀티에셋하이인컴(H),20210712,10870
24,A321410,KODEX 멀티에셋하이인컴(H),20210709,10865
25,A321410,KODEX 멀티에셋하이인컴(H),20210708,10940
26,A321410,KODEX 멀티에셋하이인컴(H),20210707,10860
27,A321410,KODEX 멀티에셋하이인컴(H),20210706,10860
28,A321410,KODEX 멀티에셋하이인컴(H),20210705,10860
29,A321410,KODEX 멀티에셋하이인컴(H),20210702,10770
30,A321410,KODEX 멀티에셋하이인컴(H),20210701,10835
31,A321410,KODEX 멀티에셋하이인컴(H),20210630,10830
32,A321410,KODEX 멀티에셋하이인컴(H),20210629,10840
33,A321410,KODEX 멀티에셋하이인컴(H),20210628,10775
34,A321410,KODEX 멀티에셋하이인컴(H),20210625,10850
35,A321410,KODEX 멀티에셋하이인컴(H),20210624,10850
36,A321410,KODEX 멀티에셋하이인컴(H),20210623,10845
37,A321410,KODEX 멀티에셋하이인컴(H),20210622,10845
38,A321410,KODEX 멀티에셋하이인컴(H),20210621,10830
39,A321410,KODEX 멀티에셋하이인컴(H),20210618,10855
40,A321410,KODEX 멀티에셋하이인컴(H),20210617,10815
