,종목코드,종목명,날짜,종가
0,A266360,KODEX 미디어&엔터테인먼트,20210812,25675
1,A266360,KODEX 미디어&엔터테인먼트,20210811,25750
2,A266360,KODEX 미디어&엔터테인먼트,20210810,26080
3,A266360,KODEX 미디어&엔터테인먼트,20210809,26250
4,A266360,KODEX 미디어&엔터테인먼트,20210806,26060
5,A266360,KODEX 미디어&엔터테인먼트,20210805,26160
6,A266360,KODEX 미디어&엔터테인먼트,20210804,25980
7,A266360,KODEX 미디어&엔터테인먼트,20210803,25440
8,A266360,KODEX 미디어&엔터테인먼트,20210802,25800
9,A266360,KODEX 미디어&엔터테인먼트,20210730,25930
10,A266360,KODEX 미디어&엔터테인먼트,20210729,26370
11,A266360,KODEX 미디어&엔터테인먼트,20210728,26215
12,A266360,KODEX 미디어&엔터테인먼트,20210727,26430
13,A266360,KODEX 미디어&엔터테인먼트,20210726,26520
14,A266360,KODEX 미디어&엔터테인먼트,20210723,26650
15,A266360,KODEX 미디어&엔터테인먼트,20210722,26280
16,A266360,KODEX 미디어&엔터테인먼트,20210721,25915
17,A266360,KODEX 미디어&엔터테인먼트,20210720,26490
18,A266360,KODEX 미디어&엔터테인먼트,20210719,26695
19,A266360,KODEX 미디어&엔터테인먼트,20210716,27040
20,A266360,KODEX 미디어&엔터테인먼트,20210715,26930
21,A266360,KODEX 미디어&엔터테인먼트,20210714,26840
22,A266360,KODEX 미디어&엔터테인먼트,20210713,26620
23,A266360,KODEX 미디어&엔터테인먼트,20210712,26300
24,A266360,KODEX 미디어&엔터테인먼트,20210709,26305
25,A266360,KODEX 미디어&엔터테인먼트,20210708,26525
26,A266360,KODEX 미디어&엔터테인먼트,20210707,26385
27,A266360,KODEX 미디어&엔터테인먼트,20210706,26225
28,A266360,KODEX 미디어&엔터테인먼트,20210705,26365
29,A266360,KODEX 미디어&엔터테인먼트,20210702,26365
30,A266360,KODEX 미디어&엔터테인먼트,20210701,26225
31,A266360,KODEX 미디어&엔터테인먼트,20210630,26130
32,A266360,KODEX 미디어&엔터테인먼트,20210629,25675
33,A266360,KODEX 미디어&엔터테인먼트,20210628,25425
34,A266360,KODEX 미디어&엔터테인먼트,20210625,25450
35,A266360,KODEX 미디어&엔터테인먼트,20210624,25765
36,A266360,KODEX 미디어&엔터테인먼트,20210623,26450
37,A266360,KODEX 미디어&엔터테인먼트,20210622,25595
