,종목코드,종목명,날짜,종가
0,A325020,KODEX 배당가치,20210812,13435
1,A325020,KODEX 배당가치,20210811,13490
2,A325020,KODEX 배당가치,20210810,13465
3,A325020,KODEX 배당가치,20210809,13630
4,A325020,KODEX 배당가치,20210806,13710
5,A325020,KODEX 배당가치,20210805,13705
6,A325020,KODEX 배당가치,20210804,13830
7,A325020,KODEX 배당가치,20210803,13665
8,A325020,KODEX 배당가치,20210802,13585
9,A325020,KODEX 배당가치,20210730,13565
10,A325020,KODEX 배당가치,20210729,13705
11,A325020,KODEX 배당가치,20210728,13690
12,A325020,KODEX 배당가치,20210727,13625
13,A325020,KODEX 배당가치,20210726,13615
14,A325020,KODEX 배당가치,20210723,13725
15,A325020,KODEX 배당가치,20210722,13685
16,A325020,KODEX 배당가치,20210721,13485
17,A325020,KODEX 배당가치,20210720,13495
18,A325020,KODEX 배당가치,20210719,13565
19,A325020,KODEX 배당가치,20210716,13715
20,A325020,KODEX 배당가치,20210715,13770
21,A325020,KODEX 배당가치,20210714,13675
22,A325020,KODEX 배당가치,20210713,13715
23,A325020,KODEX 배당가치,20210712,13595
24,A325020,KODEX 배당가치,20210709,13415
25,A325020,KODEX 배당가치,20210708,13600
26,A325020,KODEX 배당가치,20210707,13710
27,A325020,KODEX 배당가치,20210706,13860
28,A325020,KODEX 배당가치,20210705,13825
29,A325020,KODEX 배당가치,20210702,13835
30,A325020,KODEX 배당가치,20210701,13825
31,A325020,KODEX 배당가치,20210630,13965
32,A325020,KODEX 배당가치,20210629,13935
33,A325020,KODEX 배당가치,20210628,14060
34,A325020,KODEX 배당가치,20210625,14030
35,A325020,KODEX 배당가치,20210624,13830
36,A325020,KODEX 배당가치,20210623,13715
37,A325020,KODEX 배당가치,20210622,13730
38,A325020,KODEX 배당가치,20210621,13600
39,A325020,KODEX 배당가치,20210618,13805
40,A325020,KODEX 배당가치,20210617,13885
41,A325020,KODEX 배당가치,20210616,13975
42,A325020,KODEX 배당가치,20210615,13835
43,A325020,KODEX 배당가치,20210614,13825
44,A325020,KODEX 배당가치,20210611,13925
45,A325020,KODEX 배당가치,20210610,13870
46,A325020,KODEX 배당가치,20210609,13895
47,A325020,KODEX 배당가치,20210608,14060
48,A325020,KODEX 배당가치,20210607,14030
49,A325020,KODEX 배당가치,20210604,13995
50,A325020,KODEX 배당가치,20210603,14040
51,A325020,KODEX 배당가치,20210602,14025
52,A325020,KODEX 배당가치,20210601,13960
53,A325020,KODEX 배당가치,20210531,13895
54,A325020,KODEX 배당가치,20210528,13830
55,A325020,KODEX 배당가치,20210527,13695
56,A325020,KODEX 배당가치,20210526,13815
57,A325020,KODEX 배당가치,20210525,13840
58,A325020,KODEX 배당가치,20210524,13735
59,A325020,KODEX 배당가치,20210521,13690
60,A325020,KODEX 배당가치,20210520,13775
61,A325020,KODEX 배당가치,20210518,13950
62,A325020,KODEX 배당가치,20210517,13755
63,A325020,KODEX 배당가치,20210514,13880
64,A325020,KODEX 배당가치,20210513,13850
65,A325020,KODEX 배당가치,20210512,13945
66,A325020,KODEX 배당가치,20210511,14200
67,A325020,KODEX 배당가치,20210510,14225
68,A325020,KODEX 배당가치,20210507,13985
69,A325020,KODEX 배당가치,20210506,13900
70,A325020,KODEX 배당가치,20210504,13560
71,A325020,KODEX 배당가치,20210503,13510
72,A325020,KODEX 배당가치,20210430,13575
73,A325020,KODEX 배당가치,20210429,13620
74,A325020,KODEX 배당가치,20210428,13715
75,A325020,KODEX 배당가치,20210427,13744
76,A325020,KODEX 배당가치,20210426,13675
77,A325020,KODEX 배당가치,20210423,13480
78,A325020,KODEX 배당가치,20210422,13427
79,A325020,KODEX 배당가치,20210421,13353
80,A325020,KODEX 배당가치,20210420,13500
81,A325020,KODEX 배당가치,20210419,13349
82,A325020,KODEX 배당가치,20210416,13314
83,A325020,KODEX 배당가치,20210415,13334
84,A325020,KODEX 배당가치,20210414,13271
85,A325020,KODEX 배당가치,20210413,13212
86,A325020,KODEX 배당가치,20210412,13124
87,A325020,KODEX 배당가치,20210409,13100
88,A325020,KODEX 배당가치,20210408,13183
89,A325020,KODEX 배당가치,20210407,13163
90,A325020,KODEX 배당가치,20210406,13090
91,A325020,KODEX 배당가치,20210405,13105
92,A325020,KODEX 배당가치,20210402,13012
93,A325020,KODEX 배당가치,20210401,12973
94,A325020,KODEX 배당가치,20210331,12997
95,A325020,KODEX 배당가치,20210330,12958
96,A325020,KODEX 배당가치,20210329,12841
97,A325020,KODEX 배당가치,20210326,12822
98,A325020,KODEX 배당가치,20210325,12661
99,A325020,KODEX 배당가치,20210324,12548
100,A325020,KODEX 배당가치,20210323,12641
101,A325020,KODEX 배당가치,20210322,12729
102,A325020,KODEX 배당가치,20210319,12700
103,A325020,KODEX 배당가치,20210318,12739
104,A325020,KODEX 배당가치,20210317,12690
105,A325020,KODEX 배당가치,20210316,12773
