,종목코드,종목명,날짜,종가
0,A372330,KODEX 차이나항셍테크,20210812,8815
1,A372330,KODEX 차이나항셍테크,20210811,8835
2,A372330,KODEX 차이나항셍테크,20210810,8760
3,A372330,KODEX 차이나항셍테크,20210809,8580
4,A372330,KODEX 차이나항셍테크,20210806,8600
5,A372330,KODEX 차이나항셍테크,20210805,8605
6,A372330,KODEX 차이나항셍테크,20210804,8785
7,A372330,KODEX 차이나항셍테크,20210803,8635
8,A372330,KODEX 차이나항셍테크,20210802,8750
9,A372330,KODEX 차이나항셍테크,20210730,8625
10,A372330,KODEX 차이나항셍테크,20210729,8840
11,A372330,KODEX 차이나항셍테크,20210728,8305
12,A372330,KODEX 차이나항셍테크,20210727,8230
13,A372330,KODEX 차이나항셍테크,20210726,8890
14,A372330,KODEX 차이나항셍테크,20210723,9450
15,A372330,KODEX 차이나항셍테크,20210722,9610
16,A372330,KODEX 차이나항셍테크,20210721,9445
17,A372330,KODEX 차이나항셍테크,20210720,9400
18,A372330,KODEX 차이나항셍테크,20210719,9580
19,A372330,KODEX 차이나항셍테크,20210716,9770
20,A372330,KODEX 차이나항셍테크,20210715,9820
21,A372330,KODEX 차이나항셍테크,20210714,9890
22,A372330,KODEX 차이나항셍테크,20210713,9850
23,A372330,KODEX 차이나항셍테크,20210712,9655
24,A372330,KODEX 차이나항셍테크,20210709,9590
25,A372330,KODEX 차이나항셍테크,20210708,9455
26,A372330,KODEX 차이나항셍테크,20210707,9650
27,A372330,KODEX 차이나항셍테크,20210706,9645
28,A372330,KODEX 차이나항셍테크,20210705,9800
29,A372330,KODEX 차이나항셍테크,20210702,10030
30,A372330,KODEX 차이나항셍테크,20210701,10410
31,A372330,KODEX 차이나항셍테크,20210630,10330
32,A372330,KODEX 차이나항셍테크,20210629,10370
33,A372330,KODEX 차이나항셍테크,20210628,10470
34,A372330,KODEX 차이나항셍테크,20210625,10405
35,A372330,KODEX 차이나항셍테크,20210624,10245
36,A372330,KODEX 차이나항셍테크,20210623,10165
37,A372330,KODEX 차이나항셍테크,20210622,9955
38,A372330,KODEX 차이나항셍테크,20210621,10105
39,A372330,KODEX 차이나항셍테크,20210618,10190
40,A372330,KODEX 차이나항셍테크,20210617,9975
41,A372330,KODEX 차이나항셍테크,20210616,9845
42,A372330,KODEX 차이나항셍테크,20210615,9965
43,A372330,KODEX 차이나항셍테크,20210614,10000
44,A372330,KODEX 차이나항셍테크,20210611,9970
45,A372330,KODEX 차이나항셍테크,20210610,10010
46,A372330,KODEX 차이나항셍테크,20210609,9975
47,A372330,KODEX 차이나항셍테크,20210608,9960
48,A372330,KODEX 차이나항셍테크,20210607,10050
49,A372330,KODEX 차이나항셍테크,20210604,10165
50,A372330,KODEX 차이나항셍테크,20210603,10255
51,A372330,KODEX 차이나항셍테크,20210602,10295
52,A372330,KODEX 차이나항셍테크,20210601,10310
53,A372330,KODEX 차이나항셍테크,20210531,10030
54,A372330,KODEX 차이나항셍테크,20210528,9980
55,A372330,KODEX 차이나항셍테크,20210527,10180
56,A372330,KODEX 차이나항셍테크,20210526,10105
57,A372330,KODEX 차이나항셍테크,20210525,10095
58,A372330,KODEX 차이나항셍테크,20210524,9950
59,A372330,KODEX 차이나항셍테크,20210521,10140
60,A372330,KODEX 차이나항셍테크,20210520,10090
61,A372330,KODEX 차이나항셍테크,20210518,9895
62,A372330,KODEX 차이나항셍테크,20210517,9815
63,A372330,KODEX 차이나항셍테크,20210514,9580
64,A372330,KODEX 차이나항셍테크,20210513,9695
65,A372330,KODEX 차이나항셍테크,20210512,9870
66,A372330,KODEX 차이나항셍테크,20210511,9600
