,종목코드,종목명,날짜,종가
0,A331910,KOSEF Fn중소형,20210812,26610
1,A331910,KOSEF Fn중소형,20210811,26420
2,A331910,KOSEF Fn중소형,20210810,26460
3,A331910,KOSEF Fn중소형,20210809,26610
4,A331910,KOSEF Fn중소형,20210806,26760
5,A331910,KOSEF Fn중소형,20210805,26780
6,A331910,KOSEF Fn중소형,20210804,26670
7,A331910,KOSEF Fn중소형,20210803,26280
8,A331910,KOSEF Fn중소형,20210802,26570
9,A331910,KOSEF Fn중소형,20210730,26610
10,A331910,KOSEF Fn중소형,20210729,26815
11,A331910,KOSEF Fn중소형,20210728,26700
12,A331910,KOSEF Fn중소형,20210727,26850
13,A331910,KOSEF Fn중소형,20210726,26720
14,A331910,KOSEF Fn중소형,20210723,26800
15,A331910,KOSEF Fn중소형,20210722,26720
16,A331910,KOSEF Fn중소형,20210721,26535
17,A331910,KOSEF Fn중소형,20210720,26695
18,A331910,KOSEF Fn중소형,20210719,27010
19,A331910,KOSEF Fn중소형,20210716,27285
20,A331910,KOSEF Fn중소형,20210715,27235
21,A331910,KOSEF Fn중소형,20210714,27105
22,A331910,KOSEF Fn중소형,20210713,26955
23,A331910,KOSEF Fn중소형,20210712,26680
24,A331910,KOSEF Fn중소형,20210709,26395
25,A331910,KOSEF Fn중소형,20210708,26835
26,A331910,KOSEF Fn중소형,20210707,27260
27,A331910,KOSEF Fn중소형,20210706,27430
28,A331910,KOSEF Fn중소형,20210705,27345
29,A331910,KOSEF Fn중소형,20210702,27485
30,A331910,KOSEF Fn중소형,20210701,27505
31,A331910,KOSEF Fn중소형,20210630,27455
32,A331910,KOSEF Fn중소형,20210629,27370
33,A331910,KOSEF Fn중소형,20210628,27340
34,A331910,KOSEF Fn중소형,20210625,27105
35,A331910,KOSEF Fn중소형,20210624,26960
36,A331910,KOSEF Fn중소형,20210623,26680
37,A331910,KOSEF Fn중소형,20210622,27015
38,A331910,KOSEF Fn중소형,20210621,26710
39,A331910,KOSEF Fn중소형,20210618,27075
40,A331910,KOSEF Fn중소형,20210617,27020
41,A331910,KOSEF Fn중소형,20210616,27160
42,A331910,KOSEF Fn중소형,20210615,26765
43,A331910,KOSEF Fn중소형,20210614,26540
44,A331910,KOSEF Fn중소형,20210611,26535
45,A331910,KOSEF Fn중소형,20210610,26375
46,A331910,KOSEF Fn중소형,20210609,26525
47,A331910,KOSEF Fn중소형,20210608,26660
48,A331910,KOSEF Fn중소형,20210607,26810
49,A331910,KOSEF Fn중소형,20210604,26795
50,A331910,KOSEF Fn중소형,20210603,26775
51,A331910,KOSEF Fn중소형,20210602,26660
52,A331910,KOSEF Fn중소형,20210601,26330
53,A331910,KOSEF Fn중소형,20210531,26120
54,A331910,KOSEF Fn중소형,20210528,26050
55,A331910,KOSEF Fn중소형,20210527,25800
56,A331910,KOSEF Fn중소형,20210526,25555
57,A331910,KOSEF Fn중소형,20210525,25515
58,A331910,KOSEF Fn중소형,20210524,25280
59,A331910,KOSEF Fn중소형,20210521,25580
60,A331910,KOSEF Fn중소형,20210520,25895
