,종목코드,종목명,날짜,종가
0,A051905,LG생활건강우,20210812,671000
1,A051905,LG생활건강우,20210811,665000
2,A051905,LG생활건강우,20210810,671000
3,A051905,LG생활건강우,20210809,679000
4,A051905,LG생활건강우,20210806,683000
5,A051905,LG생활건강우,20210805,689000
6,A051905,LG생활건강우,20210804,686000
7,A051905,LG생활건강우,20210803,677000
8,A051905,LG생활건강우,20210802,672000
9,A051905,LG생활건강우,20210730,672000
10,A051905,LG생활건강우,20210729,680000
11,A051905,LG생활건강우,20210728,687000
12,A051905,LG생활건강우,20210727,689000
13,A051905,LG생활건강우,20210726,689000
14,A051905,LG생활건강우,20210723,714000
15,A051905,LG생활건강우,20210722,753000
16,A051905,LG생활건강우,20210721,763000
17,A051905,LG생활건강우,20210720,774000
18,A051905,LG생활건강우,20210719,787000
19,A051905,LG생활건강우,20210716,785000
20,A051905,LG생활건강우,20210715,779000
21,A051905,LG생활건강우,20210714,779000
22,A051905,LG생활건강우,20210713,797000
23,A051905,LG생활건강우,20210712,805000
24,A051905,LG생활건강우,20210709,794000
25,A051905,LG생활건강우,20210708,787000
26,A051905,LG생활건강우,20210707,779000
27,A051905,LG생활건강우,20210706,770000
28,A051905,LG생활건강우,20210705,774000
29,A051905,LG생활건강우,20210702,769000
30,A051905,LG생활건강우,20210701,783000
31,A051905,LG생활건강우,20210630,765000
32,A051905,LG생활건강우,20210629,761000
33,A051905,LG생활건강우,20210628,775000
34,A051905,LG생활건강우,20210625,785000
35,A051905,LG생활건강우,20210624,773000
36,A051905,LG생활건강우,20210623,754000
37,A051905,LG생활건강우,20210622,748000
38,A051905,LG생활건강우,20210621,747000
39,A051905,LG생활건강우,20210618,740000
40,A051905,LG생활건강우,20210617,738000
41,A051905,LG생활건강우,20210616,738000
42,A051905,LG생활건강우,20210615,706000
43,A051905,LG생활건강우,20210614,710000
44,A051905,LG생활건강우,20210611,712000
45,A051905,LG생활건강우,20210610,715000
46,A051905,LG생활건강우,20210609,714000
47,A051905,LG생활건강우,20210608,719000
48,A051905,LG생활건강우,20210607,720000
49,A051905,LG생활건강우,20210604,722000
50,A051905,LG생활건강우,20210603,715000
51,A051905,LG생활건강우,20210602,708000
52,A051905,LG생활건강우,20210601,709000
53,A051905,LG생활건강우,20210531,720000
54,A051905,LG생활건강우,20210528,718000
55,A051905,LG생활건강우,20210527,730000
56,A051905,LG생활건강우,20210526,740000
57,A051905,LG생활건강우,20210525,733000
58,A051905,LG생활건강우,20210524,732000
59,A051905,LG생활건강우,20210521,729000
60,A051905,LG생활건강우,20210520,740000
61,A051905,LG생활건강우,20210518,732000
62,A051905,LG생활건강우,20210517,728000
63,A051905,LG생활건강우,20210514,712000
64,A051905,LG생활건강우,20210513,711000
65,A051905,LG생활건강우,20210512,712000
66,A051905,LG생활건강우,20210511,729000
67,A051905,LG생활건강우,20210510,740000
68,A051905,LG생활건강우,20210507,740000
69,A051905,LG생활건강우,20210506,727000
70,A051905,LG생활건강우,20210504,717000
71,A051905,LG생활건강우,20210503,715000
72,A051905,LG생활건강우,20210430,716000
73,A051905,LG생활건강우,20210429,712000
74,A051905,LG생활건강우,20210428,709000
75,A051905,LG생활건강우,20210427,705000
76,A051905,LG생활건강우,20210426,705000
77,A051905,LG생활건강우,20210423,704000
78,A051905,LG생활건강우,20210422,687000
79,A051905,LG생활건강우,20210421,682000
80,A051905,LG생활건강우,20210420,690000
81,A051905,LG생활건강우,20210419,687000
82,A051905,LG생활건강우,20210416,676000
83,A051905,LG생활건강우,20210415,677000
84,A051905,LG생활건강우,20210414,678000
85,A051905,LG생활건강우,20210413,684000
86,A051905,LG생활건강우,20210412,683000
87,A051905,LG생활건강우,20210409,684000
88,A051905,LG생활건강우,20210408,684000
89,A051905,LG생활건강우,20210407,687000
90,A051905,LG생활건강우,20210406,688000
91,A051905,LG생활건강우,20210405,693000
92,A051905,LG생활건강우,20210402,692000
93,A051905,LG생활건강우,20210401,692000
94,A051905,LG생활건강우,20210331,685000
95,A051905,LG생활건강우,20210330,694000
96,A051905,LG생활건강우,20210329,691000
97,A051905,LG생활건강우,20210326,695000
98,A051905,LG생활건강우,20210325,685000
99,A051905,LG생활건강우,20210324,687000
100,A051905,LG생활건강우,20210323,688000
101,A051905,LG생활건강우,20210322,693000
102,A051905,LG생활건강우,20210319,694000
