,종목코드,종목명,날짜,종가
0,A011070,LG이노텍,20210812,213000
1,A011070,LG이노텍,20210811,213000
2,A011070,LG이노텍,20210810,217000
3,A011070,LG이노텍,20210809,220000
4,A011070,LG이노텍,20210806,222000
5,A011070,LG이노텍,20210805,223500
6,A011070,LG이노텍,20210804,226000
7,A011070,LG이노텍,20210803,223500
8,A011070,LG이노텍,20210802,224500
9,A011070,LG이노텍,20210730,227000
10,A011070,LG이노텍,20210729,229500
11,A011070,LG이노텍,20210728,225500
12,A011070,LG이노텍,20210727,231500
13,A011070,LG이노텍,20210726,231500
14,A011070,LG이노텍,20210723,233000
15,A011070,LG이노텍,20210722,234500
16,A011070,LG이노텍,20210721,234000
17,A011070,LG이노텍,20210720,235500
18,A011070,LG이노텍,20210719,240500
19,A011070,LG이노텍,20210716,241000
20,A011070,LG이노텍,20210715,240500
21,A011070,LG이노텍,20210714,223500
22,A011070,LG이노텍,20210713,223000
23,A011070,LG이노텍,20210712,228000
24,A011070,LG이노텍,20210709,227500
25,A011070,LG이노텍,20210708,228500
26,A011070,LG이노텍,20210707,232000
27,A011070,LG이노텍,20210706,227500
28,A011070,LG이노텍,20210705,229000
29,A011070,LG이노텍,20210702,223500
30,A011070,LG이노텍,20210701,226500
31,A011070,LG이노텍,20210630,223000
32,A011070,LG이노텍,20210629,222500
33,A011070,LG이노텍,20210628,225000
34,A011070,LG이노텍,20210625,227500
35,A011070,LG이노텍,20210624,231500
36,A011070,LG이노텍,20210623,220000
37,A011070,LG이노텍,20210622,225000
38,A011070,LG이노텍,20210621,226000
39,A011070,LG이노텍,20210618,227500
40,A011070,LG이노텍,20210617,225000
41,A011070,LG이노텍,20210616,220500
42,A011070,LG이노텍,20210615,224000
43,A011070,LG이노텍,20210614,219000
44,A011070,LG이노텍,20210611,211000
45,A011070,LG이노텍,20210610,210000
46,A011070,LG이노텍,20210609,209000
47,A011070,LG이노텍,20210608,213500
48,A011070,LG이노텍,20210607,213000
49,A011070,LG이노텍,20210604,213500
50,A011070,LG이노텍,20210603,210000
51,A011070,LG이노텍,20210602,202500
52,A011070,LG이노텍,20210601,203000
53,A011070,LG이노텍,20210531,204500
54,A011070,LG이노텍,20210528,201500
55,A011070,LG이노텍,20210527,202000
56,A011070,LG이노텍,20210526,198000
57,A011070,LG이노텍,20210525,196000
58,A011070,LG이노텍,20210524,190500
59,A011070,LG이노텍,20210521,193500
60,A011070,LG이노텍,20210520,190500
61,A011070,LG이노텍,20210518,193000
62,A011070,LG이노텍,20210517,192500
63,A011070,LG이노텍,20210514,195500
64,A011070,LG이노텍,20210513,189500
65,A011070,LG이노텍,20210512,191000
66,A011070,LG이노텍,20210511,197000
67,A011070,LG이노텍,20210510,201000
68,A011070,LG이노텍,20210507,201000
69,A011070,LG이노텍,20210506,195500
70,A011070,LG이노텍,20210504,195500
71,A011070,LG이노텍,20210503,194500
72,A011070,LG이노텍,20210430,201000
73,A011070,LG이노텍,20210429,206000
74,A011070,LG이노텍,20210428,211500
75,A011070,LG이노텍,20210427,214500
76,A011070,LG이노텍,20210426,217000
77,A011070,LG이노텍,20210423,212500
78,A011070,LG이노텍,20210422,212500
79,A011070,LG이노텍,20210421,215500
80,A011070,LG이노텍,20210420,217000
81,A011070,LG이노텍,20210419,216500
82,A011070,LG이노텍,20210416,217000
