,Á¾¸ñÄÚµå,Á¾¸ñ¸í,³¯Â¥,Á¾°¡
0,A383800,LXÈ¦µù½º,20210812,10500
1,A383800,LXÈ¦µù½º,20210811,10450
2,A383800,LXÈ¦µù½º,20210810,10550
3,A383800,LXÈ¦µù½º,20210809,10600
4,A383800,LXÈ¦µù½º,20210806,10700
5,A383800,LXÈ¦µù½º,20210805,10650
6,A383800,LXÈ¦µù½º,20210804,10550
7,A383800,LXÈ¦µù½º,20210803,10400
8,A383800,LXÈ¦µù½º,20210802,10500
9,A383800,LXÈ¦µù½º,20210730,10450
10,A383800,LXÈ¦µù½º,20210729,10550
11,A383800,LXÈ¦µù½º,20210728,10500
12,A383800,LXÈ¦µù½º,20210727,10700
13,A383800,LXÈ¦µù½º,20210726,10650
14,A383800,LXÈ¦µù½º,20210723,10750
15,A383800,LXÈ¦µù½º,20210722,10750
16,A383800,LXÈ¦µù½º,20210721,10750
17,A383800,LXÈ¦µù½º,20210720,10700
18,A383800,LXÈ¦µù½º,20210719,10750
19,A383800,LXÈ¦µù½º,20210716,10900
20,A383800,LXÈ¦µù½º,20210715,10900
21,A383800,LXÈ¦µù½º,20210714,10800
22,A383800,LXÈ¦µù½º,20210713,10950
23,A383800,LXÈ¦µù½º,20210712,10850
24,A383800,LXÈ¦µù½º,20210709,10650
25,A383800,LXÈ¦µù½º,20210708,10850
26,A383800,LXÈ¦µù½º,20210707,11000
27,A383800,LXÈ¦µù½º,20210706,11100
28,A383800,LXÈ¦µù½º,20210705,11050
29,A383800,LXÈ¦µù½º,20210702,11050
30,A383800,LXÈ¦µù½º,20210701,11200
31,A383800,LXÈ¦µù½º,20210630,11250
32,A383800,LXÈ¦µù½º,20210629,11200
33,A383800,LXÈ¦µù½º,20210628,11300
34,A383800,LXÈ¦µù½º,20210625,11200
35,A383800,LXÈ¦µù½º,20210624,11250
36,A383800,LXÈ¦µù½º,20210623,11250
37,A383800,LXÈ¦µù½º,20210622,11300
38,A383800,LXÈ¦µù½º,20210621,11200
39,A383800,LXÈ¦µù½º,20210618,11250
40,A383800,LXÈ¦µù½º,20210617,11200
41,A383800,LXÈ¦µù½º,20210616,11550
42,A383800,LXÈ¦µù½º,20210615,11600
43,A383800,LXÈ¦µù½º,20210614,10900
44,A383800,LXÈ¦µù½º,20210611,10700
45,A383800,LXÈ¦µù½º,20210610,10800
46,A383800,LXÈ¦µù½º,20210609,11150
47,A383800,LXÈ¦µù½º,20210608,10950
48,A383800,LXÈ¦µù½º,20210607,10800
49,A383800,LXÈ¦µù½º,20210604,10450
50,A383800,LXÈ¦µù½º,20210603,10400
51,A383800,LXÈ¦µù½º,20210602,10700
52,A383800,LXÈ¦µù½º,20210601,11000
53,A383800,LXÈ¦µù½º,20210531,10950
54,A383800,LXÈ¦µù½º,20210528,12250
55,A383800,LXÈ¦µù½º,20210527,12000
