,종목코드,종목명,날짜,종가
0,A005940,NH투자증권,20210812,13150
1,A005940,NH투자증권,20210811,13100
2,A005940,NH투자증권,20210810,12850
3,A005940,NH투자증권,20210809,12850
4,A005940,NH투자증권,20210806,12850
5,A005940,NH투자증권,20210805,12950
6,A005940,NH투자증권,20210804,12950
7,A005940,NH투자증권,20210803,12900
8,A005940,NH투자증권,20210802,12900
9,A005940,NH투자증권,20210730,12700
10,A005940,NH투자증권,20210729,12800
11,A005940,NH투자증권,20210728,12850
12,A005940,NH투자증권,20210727,12650
13,A005940,NH투자증권,20210726,12650
14,A005940,NH투자증권,20210723,13000
15,A005940,NH투자증권,20210722,12700
16,A005940,NH투자증권,20210721,12350
17,A005940,NH투자증권,20210720,12450
18,A005940,NH투자증권,20210719,12600
19,A005940,NH투자증권,20210716,12650
20,A005940,NH투자증권,20210715,12700
21,A005940,NH투자증권,20210714,12450
22,A005940,NH투자증권,20210713,12550
23,A005940,NH투자증권,20210712,12500
24,A005940,NH투자증권,20210709,12300
25,A005940,NH투자증권,20210708,12500
26,A005940,NH투자증권,20210707,12600
27,A005940,NH투자증권,20210706,12750
28,A005940,NH투자증권,20210705,12750
29,A005940,NH투자증권,20210702,12700
30,A005940,NH투자증권,20210701,12650
31,A005940,NH투자증권,20210630,12900
32,A005940,NH투자증권,20210629,12900
33,A005940,NH투자증권,20210628,13100
34,A005940,NH투자증권,20210625,13000
35,A005940,NH투자증권,20210624,12800
36,A005940,NH투자증권,20210623,12550
37,A005940,NH투자증권,20210622,12600
38,A005940,NH투자증권,20210621,12600
39,A005940,NH투자증권,20210618,12800
40,A005940,NH투자증권,20210617,12800
41,A005940,NH투자증권,20210616,12950
42,A005940,NH투자증권,20210615,12800
43,A005940,NH투자증권,20210614,12650
44,A005940,NH투자증권,20210611,12850
45,A005940,NH투자증권,20210610,12900
46,A005940,NH투자증권,20210609,12850
47,A005940,NH투자증권,20210608,13050
48,A005940,NH투자증권,20210607,13050
49,A005940,NH투자증권,20210604,13050
50,A005940,NH투자증권,20210603,13150
51,A005940,NH투자증권,20210602,13200
52,A005940,NH투자증권,20210601,13150
53,A005940,NH투자증권,20210531,13150
54,A005940,NH투자증권,20210528,13400
55,A005940,NH투자증권,20210527,13300
56,A005940,NH투자증권,20210526,13350
57,A005940,NH투자증권,20210525,13500
58,A005940,NH투자증권,20210524,13350
59,A005940,NH투자증권,20210521,13200
60,A005940,NH투자증권,20210520,13500
61,A005940,NH투자증권,20210518,13400
62,A005940,NH투자증권,20210517,13000
63,A005940,NH투자증권,20210514,13300
64,A005940,NH투자증권,20210513,13000
65,A005940,NH투자증권,20210512,13050
66,A005940,NH투자증권,20210511,13350
67,A005940,NH투자증권,20210510,13450
68,A005940,NH투자증권,20210507,13200
69,A005940,NH투자증권,20210506,13200
70,A005940,NH투자증권,20210504,12550
71,A005940,NH투자증권,20210503,12350
72,A005940,NH투자증권,20210430,12850
73,A005940,NH투자증권,20210429,12250
74,A005940,NH투자증권,20210428,12300
75,A005940,NH투자증권,20210427,12450
76,A005940,NH투자증권,20210426,12400
77,A005940,NH투자증권,20210423,12250
78,A005940,NH투자증권,20210422,11950
79,A005940,NH투자증권,20210421,11950
80,A005940,NH투자증권,20210420,12150
81,A005940,NH투자증권,20210419,11850
82,A005940,NH투자증권,20210416,12000
83,A005940,NH투자증권,20210415,12050
84,A005940,NH투자증권,20210414,11950
85,A005940,NH투자증권,20210413,11950
86,A005940,NH투자증권,20210412,11950
87,A005940,NH투자증권,20210409,12000
88,A005940,NH투자증권,20210408,12250
89,A005940,NH투자증권,20210407,12100
90,A005940,NH투자증권,20210406,11650
91,A005940,NH투자증권,20210405,11450
92,A005940,NH투자증권,20210402,11550
93,A005940,NH투자증권,20210401,11500
94,A005940,NH투자증권,20210331,11650
95,A005940,NH투자증권,20210330,11400
96,A005940,NH투자증권,20210329,11450
97,A005940,NH투자증권,20210326,11500
98,A005940,NH투자증권,20210325,11400
99,A005940,NH투자증권,20210324,11250
100,A005940,NH투자증권,20210323,11300
101,A005940,NH투자증권,20210322,11400
102,A005940,NH투자증권,20210319,11500
103,A005940,NH투자증권,20210318,11500
104,A005940,NH투자증권,20210317,11550
105,A005940,NH투자증권,20210316,11500
106,A005940,NH투자증권,20210315,11400
107,A005940,NH투자증권,20210312,11350
108,A005940,NH투자증권,20210311,11250
109,A005940,NH투자증권,20210310,11150
110,A005940,NH투자증권,20210309,11100
111,A005940,NH투자증권,20210308,11050
112,A005940,NH투자증권,20210305,11050
113,A005940,NH투자증권,20210304,11250
114,A005940,NH투자증권,20210303,11400
115,A005940,NH투자증권,20210302,11000
116,A005940,NH투자증권,20210226,10850
117,A005940,NH투자증권,20210225,11300
118,A005940,NH투자증권,20210224,11050
119,A005940,NH투자증권,20210223,11350
120,A005940,NH투자증권,20210222,11350
