,종목코드,종목명,날짜,종가
0,A034310,NICE,20210812,18450
1,A034310,NICE,20210811,18650
2,A034310,NICE,20210810,18650
3,A034310,NICE,20210809,18750
4,A034310,NICE,20210806,18800
5,A034310,NICE,20210805,18900
6,A034310,NICE,20210804,19000
7,A034310,NICE,20210803,18800
8,A034310,NICE,20210802,18800
9,A034310,NICE,20210730,18650
10,A034310,NICE,20210729,18700
11,A034310,NICE,20210728,18600
12,A034310,NICE,20210727,18550
13,A034310,NICE,20210726,18600
14,A034310,NICE,20210723,18750
15,A034310,NICE,20210722,18950
16,A034310,NICE,20210721,19000
17,A034310,NICE,20210720,18950
18,A034310,NICE,20210719,19100
19,A034310,NICE,20210716,19350
20,A034310,NICE,20210715,19300
21,A034310,NICE,20210714,18850
22,A034310,NICE,20210713,18750
23,A034310,NICE,20210712,18700
24,A034310,NICE,20210709,18600
25,A034310,NICE,20210708,18750
26,A034310,NICE,20210707,18550
27,A034310,NICE,20210706,18850
28,A034310,NICE,20210705,18750
29,A034310,NICE,20210702,18850
30,A034310,NICE,20210701,18850
31,A034310,NICE,20210630,19050
32,A034310,NICE,20210629,18900
33,A034310,NICE,20210628,19150
34,A034310,NICE,20210625,19100
35,A034310,NICE,20210624,18950
36,A034310,NICE,20210623,18950
37,A034310,NICE,20210622,19350
38,A034310,NICE,20210621,19300
39,A034310,NICE,20210618,19550
40,A034310,NICE,20210617,19150
41,A034310,NICE,20210616,19100
42,A034310,NICE,20210615,18900
43,A034310,NICE,20210614,18900
44,A034310,NICE,20210611,18850
45,A034310,NICE,20210610,18550
46,A034310,NICE,20210609,18600
47,A034310,NICE,20210608,18800
48,A034310,NICE,20210607,18650
49,A034310,NICE,20210604,18100
50,A034310,NICE,20210603,18350
51,A034310,NICE,20210602,18650
52,A034310,NICE,20210601,19000
53,A034310,NICE,20210531,18850
54,A034310,NICE,20210528,18850
55,A034310,NICE,20210527,18550
56,A034310,NICE,20210526,18400
57,A034310,NICE,20210525,18450
58,A034310,NICE,20210524,18450
59,A034310,NICE,20210521,18600
60,A034310,NICE,20210520,18500
61,A034310,NICE,20210518,18750
62,A034310,NICE,20210517,18650
63,A034310,NICE,20210514,18900
64,A034310,NICE,20210513,19000
65,A034310,NICE,20210512,19000
66,A034310,NICE,20210511,19050
67,A034310,NICE,20210510,19050
68,A034310,NICE,20210507,19100
69,A034310,NICE,20210506,19050
70,A034310,NICE,20210504,18950
71,A034310,NICE,20210503,19300
72,A034310,NICE,20210430,19300
73,A034310,NICE,20210429,19300
74,A034310,NICE,20210428,18600
75,A034310,NICE,20210427,18900
76,A034310,NICE,20210426,18750
77,A034310,NICE,20210423,18850
78,A034310,NICE,20210422,18700
79,A034310,NICE,20210421,18200
80,A034310,NICE,20210420,18100
81,A034310,NICE,20210419,18000
82,A034310,NICE,20210416,17750
83,A034310,NICE,20210415,17650
84,A034310,NICE,20210414,17750
85,A034310,NICE,20210413,17750
86,A034310,NICE,20210412,17700
87,A034310,NICE,20210409,17550
88,A034310,NICE,20210408,17600
89,A034310,NICE,20210407,17550
90,A034310,NICE,20210406,17350
91,A034310,NICE,20210405,17250
92,A034310,NICE,20210402,17300
93,A034310,NICE,20210401,17350
94,A034310,NICE,20210331,17100
95,A034310,NICE,20210330,17350
96,A034310,NICE,20210329,17200
97,A034310,NICE,20210326,17100
98,A034310,NICE,20210325,17100
99,A034310,NICE,20210324,17250
100,A034310,NICE,20210323,17100
101,A034310,NICE,20210322,17300
102,A034310,NICE,20210319,17150
103,A034310,NICE,20210318,17300
104,A034310,NICE,20210317,17200
105,A034310,NICE,20210316,17250
106,A034310,NICE,20210315,17300
107,A034310,NICE,20210312,17350
108,A034310,NICE,20210311,17500
109,A034310,NICE,20210310,17550
110,A034310,NICE,20210309,17450
111,A034310,NICE,20210308,17450
112,A034310,NICE,20210305,17450
113,A034310,NICE,20210304,17450
114,A034310,NICE,20210303,17150
115,A034310,NICE,20210302,17100
116,A034310,NICE,20210226,16950
117,A034310,NICE,20210225,17150
118,A034310,NICE,20210224,17000
119,A034310,NICE,20210223,17000
120,A034310,NICE,20210222,17500
121,A034310,NICE,20210219,17650
122,A034310,NICE,20210218,17650
123,A034310,NICE,20210217,17600
124,A034310,NICE,20210216,17650
125,A034310,NICE,20210215,17600
126,A034310,NICE,20210210,17600
127,A034310,NICE,20210209,17700
128,A034310,NICE,20210208,17650
129,A034310,NICE,20210205,17700
130,A034310,NICE,20210204,17700
131,A034310,NICE,20210203,17750
132,A034310,NICE,20210202,17900
133,A034310,NICE,20210201,17750
134,A034310,NICE,20210129,17700
135,A034310,NICE,20210128,17800
136,A034310,NICE,20210127,17800
137,A034310,NICE,20210126,17900
138,A034310,NICE,20210125,17850
139,A034310,NICE,20210122,17850
140,A034310,NICE,20210121,18000
141,A034310,NICE,20210120,18000
142,A034310,NICE,20210119,18000
143,A034310,NICE,20210118,18100
144,A034310,NICE,20210115,18550
145,A034310,NICE,20210114,18650
146,A034310,NICE,20210113,18650
147,A034310,NICE,20210112,18500
148,A034310,NICE,20210111,18450
149,A034310,NICE,20210108,18550
150,A034310,NICE,20210107,18350
151,A034310,NICE,20210106,18600
152,A034310,NICE,20210105,18850
153,A034310,NICE,20210104,18900
154,A034310,NICE,20201230,19450
155,A034310,NICE,20201229,19550
156,A034310,NICE,20201228,18650
157,A034310,NICE,20201224,18800
158,A034310,NICE,20201223,18150
159,A034310,NICE,20201222,18400
160,A034310,NICE,20201221,18700
161,A034310,NICE,20201218,18800
162,A034310,NICE,20201217,18750
163,A034310,NICE,20201216,19100
164,A034310,NICE,20201215,18900
165,A034310,NICE,20201214,19100
166,A034310,NICE,20201211,19350
167,A034310,NICE,20201210,19000
168,A034310,NICE,20201209,18950
169,A034310,NICE,20201208,18900
170,A034310,NICE,20201207,19250
171,A034310,NICE,20201204,19700
172,A034310,NICE,20201203,19200
173,A034310,NICE,20201202,19400
174,A034310,NICE,20201201,19500
175,A034310,NICE,20201130,19400
176,A034310,NICE,20201127,19250
177,A034310,NICE,20201126,19100
178,A034310,NICE,20201125,19200
179,A034310,NICE,20201124,19300
180,A034310,NICE,20201123,19350
181,A034310,NICE,20201120,19550
182,A034310,NICE,20201119,19150
183,A034310,NICE,20201118,19250
184,A034310,NICE,20201117,19350
185,A034310,NICE,20201116,19400
186,A034310,NICE,20201113,19500
187,A034310,NICE,20201112,19300
188,A034310,NICE,20201111,18850
189,A034310,NICE,20201110,18400
190,A034310,NICE,20201109,18300
191,A034310,NICE,20201106,18250
192,A034310,NICE,20201105,18450
193,A034310,NICE,20201104,18350
194,A034310,NICE,20201103,18400
195,A034310,NICE,20201102,18100
196,A034310,NICE,20201030,18000
197,A034310,NICE,20201029,18250
198,A034310,NICE,20201028,18200
199,A034310,NICE,20201027,18350
200,A034310,NICE,20201026,18700
201,A034310,NICE,20201023,18250
202,A034310,NICE,20201022,18550
203,A034310,NICE,20201021,18250
204,A034310,NICE,20201020,18100
205,A034310,NICE,20201019,18200
206,A034310,NICE,20201016,18200
207,A034310,NICE,20201015,18150
208,A034310,NICE,20201014,18350
209,A034310,NICE,20201013,18700
210,A034310,NICE,20201012,18800
211,A034310,NICE,20201008,18550
212,A034310,NICE,20201007,18250
213,A034310,NICE,20201006,18350
214,A034310,NICE,20201005,18350
215,A034310,NICE,20200929,18200
216,A034310,NICE,20200928,18150
217,A034310,NICE,20200925,18150
218,A034310,NICE,20200924,18300
219,A034310,NICE,20200923,18450
220,A034310,NICE,20200922,18400
221,A034310,NICE,20200921,18700
222,A034310,NICE,20200918,18850
223,A034310,NICE,20200917,18650
224,A034310,NICE,20200916,18700
225,A034310,NICE,20200915,18850
226,A034310,NICE,20200914,18900
227,A034310,NICE,20200911,18800
228,A034310,NICE,20200910,19350
229,A034310,NICE,20200909,19800
230,A034310,NICE,20200908,19750
231,A034310,NICE,20200907,19500
232,A034310,NICE,20200904,19600
233,A034310,NICE,20200903,19200
234,A034310,NICE,20200902,18350
235,A034310,NICE,20200901,18650
236,A034310,NICE,20200831,18800
237,A034310,NICE,20200828,18300
238,A034310,NICE,20200827,18250
239,A034310,NICE,20200826,18800
240,A034310,NICE,20200825,19300
241,A034310,NICE,20200824,19400
242,A034310,NICE,20200821,19450
243,A034310,NICE,20200820,18800
244,A034310,NICE,20200819,19050
245,A034310,NICE,20200818,18950
246,A034310,NICE,20200814,19700
247,A034310,NICE,20200813,19900
248,A034310,NICE,20200812,20500
249,A034310,NICE,20200811,20350
250,A034310,NICE,20200810,19850
251,A034310,NICE,20200807,20250
252,A034310,NICE,20200806,20800
253,A034310,NICE,20200805,20750
254,A034310,NICE,20200804,20600
255,A034310,NICE,20200803,20050
256,A034310,NICE,20200731,20400
257,A034310,NICE,20200730,20450
258,A034310,NICE,20200729,20250
259,A034310,NICE,20200728,20750
260,A034310,NICE,20200727,20750
261,A034310,NICE,20200724,21300
262,A034310,NICE,20200723,20650
263,A034310,NICE,20200722,21100
264,A034310,NICE,20200721,21400
265,A034310,NICE,20200720,21400
266,A034310,NICE,20200717,21500
267,A034310,NICE,20200716,21900
268,A034310,NICE,20200715,22400
269,A034310,NICE,20200714,21950
270,A034310,NICE,20200713,21450
271,A034310,NICE,20200710,21750
272,A034310,NICE,20200709,21750
273,A034310,NICE,20200708,21350
274,A034310,NICE,20200707,21500
275,A034310,NICE,20200706,21500
276,A034310,NICE,20200703,21800
277,A034310,NICE,20200702,21500
278,A034310,NICE,20200701,21150
279,A034310,NICE,20200630,21200
280,A034310,NICE,20200629,21250
281,A034310,NICE,20200626,21300
282,A034310,NICE,20200625,21350
283,A034310,NICE,20200624,21400
284,A034310,NICE,20200623,21150
285,A034310,NICE,20200622,21050
286,A034310,NICE,20200619,20750
287,A034310,NICE,20200618,19900
288,A034310,NICE,20200617,19550
289,A034310,NICE,20200616,19750
290,A034310,NICE,20200615,19400
291,A034310,NICE,20200612,19850
292,A034310,NICE,20200611,20550
293,A034310,NICE,20200610,21000
294,A034310,NICE,20200609,20050
295,A034310,NICE,20200608,20000
296,A034310,NICE,20200605,19900
297,A034310,NICE,20200604,20050
298,A034310,NICE,20200603,20400
299,A034310,NICE,20200602,21400
300,A034310,NICE,20200601,21850
301,A034310,NICE,20200529,21800
302,A034310,NICE,20200528,22000
303,A034310,NICE,20200527,22700
304,A034310,NICE,20200526,22150
305,A034310,NICE,20200525,21650
306,A034310,NICE,20200522,21300
307,A034310,NICE,20200521,21500
308,A034310,NICE,20200520,21050
309,A034310,NICE,20200519,21200
310,A034310,NICE,20200518,21900
311,A034310,NICE,20200515,22700
312,A034310,NICE,20200514,22400
313,A034310,NICE,20200513,22050
314,A034310,NICE,20200512,21850
315,A034310,NICE,20200511,22300
316,A034310,NICE,20200508,20900
317,A034310,NICE,20200507,20350
318,A034310,NICE,20200506,21050
319,A034310,NICE,20200504,19500
320,A034310,NICE,20200429,19900
321,A034310,NICE,20200428,19900
322,A034310,NICE,20200427,19450
323,A034310,NICE,20200424,19400
324,A034310,NICE,20200423,19400
325,A034310,NICE,20200422,19300
326,A034310,NICE,20200421,19250
327,A034310,NICE,20200420,18950
328,A034310,NICE,20200417,19000
329,A034310,NICE,20200416,18650
330,A034310,NICE,20200414,18900
331,A034310,NICE,20200413,18250
332,A034310,NICE,20200410,18550
333,A034310,NICE,20200409,18600
334,A034310,NICE,20200408,18550
335,A034310,NICE,20200407,18500
336,A034310,NICE,20200406,18200
337,A034310,NICE,20200403,17650
338,A034310,NICE,20200402,18000
339,A034310,NICE,20200401,17850
340,A034310,NICE,20200331,18300
341,A034310,NICE,20200330,17750
342,A034310,NICE,20200327,17000
343,A034310,NICE,20200326,16150
344,A034310,NICE,20200325,15200
345,A034310,NICE,20200324,14550
346,A034310,NICE,20200323,13900
347,A034310,NICE,20200320,14450
348,A034310,NICE,20200319,13200
349,A034310,NICE,20200318,16200
350,A034310,NICE,20200317,17700
351,A034310,NICE,20200316,18300
352,A034310,NICE,20200313,19300
353,A034310,NICE,20200312,19900
354,A034310,NICE,20200311,20450
355,A034310,NICE,20200310,20750
356,A034310,NICE,20200309,20950
357,A034310,NICE,20200306,20900
358,A034310,NICE,20200305,21500
359,A034310,NICE,20200304,20900
360,A034310,NICE,20200303,20800
361,A034310,NICE,20200302,20800
362,A034310,NICE,20200228,20600
363,A034310,NICE,20200227,20750
364,A034310,NICE,20200226,21250
