,종목코드,종목명,날짜,종가
0,A030190,NICE평가정보,20210812,23700
1,A030190,NICE평가정보,20210811,23800
2,A030190,NICE평가정보,20210810,23950
3,A030190,NICE평가정보,20210809,24150
4,A030190,NICE평가정보,20210806,24050
5,A030190,NICE평가정보,20210805,24150
6,A030190,NICE평가정보,20210804,24400
7,A030190,NICE평가정보,20210803,24650
8,A030190,NICE평가정보,20210802,24400
9,A030190,NICE평가정보,20210730,24000
10,A030190,NICE평가정보,20210729,24500
11,A030190,NICE평가정보,20210728,24500
12,A030190,NICE평가정보,20210727,25050
13,A030190,NICE평가정보,20210726,24950
14,A030190,NICE평가정보,20210723,24550
15,A030190,NICE평가정보,20210722,23850
16,A030190,NICE평가정보,20210721,23450
17,A030190,NICE평가정보,20210720,23600
18,A030190,NICE평가정보,20210719,23800
19,A030190,NICE평가정보,20210716,24100
20,A030190,NICE평가정보,20210715,24450
21,A030190,NICE평가정보,20210714,24300
22,A030190,NICE평가정보,20210713,24400
23,A030190,NICE평가정보,20210712,24000
24,A030190,NICE평가정보,20210709,23750
25,A030190,NICE평가정보,20210708,24250
26,A030190,NICE평가정보,20210707,24700
27,A030190,NICE평가정보,20210706,24500
28,A030190,NICE평가정보,20210705,25550
29,A030190,NICE평가정보,20210702,25450
30,A030190,NICE평가정보,20210701,25300
31,A030190,NICE평가정보,20210630,25100
32,A030190,NICE평가정보,20210629,25850
33,A030190,NICE평가정보,20210628,25850
34,A030190,NICE평가정보,20210625,24150
35,A030190,NICE평가정보,20210624,23900
36,A030190,NICE평가정보,20210623,24500
37,A030190,NICE평가정보,20210622,24100
38,A030190,NICE평가정보,20210621,24050
39,A030190,NICE평가정보,20210618,24700
40,A030190,NICE평가정보,20210617,24250
41,A030190,NICE평가정보,20210616,24650
42,A030190,NICE평가정보,20210615,24300
43,A030190,NICE평가정보,20210614,23800
44,A030190,NICE평가정보,20210611,24200
45,A030190,NICE평가정보,20210610,24550
