,종목코드,종목명,날짜,종가
0,A005490,POSCO,20210812,340000
1,A005490,POSCO,20210811,345500
2,A005490,POSCO,20210810,337500
3,A005490,POSCO,20210809,337500
4,A005490,POSCO,20210806,341000
5,A005490,POSCO,20210805,344000
6,A005490,POSCO,20210804,346500
7,A005490,POSCO,20210803,341000
8,A005490,POSCO,20210802,360000
9,A005490,POSCO,20210730,366500
10,A005490,POSCO,20210729,359000
11,A005490,POSCO,20210728,367500
12,A005490,POSCO,20210727,364500
13,A005490,POSCO,20210726,354000
14,A005490,POSCO,20210723,353500
15,A005490,POSCO,20210722,346000
16,A005490,POSCO,20210721,330500
17,A005490,POSCO,20210720,330000
18,A005490,POSCO,20210719,334500
19,A005490,POSCO,20210716,341000
20,A005490,POSCO,20210715,346000
21,A005490,POSCO,20210714,341000
22,A005490,POSCO,20210713,345000
23,A005490,POSCO,20210712,344500
24,A005490,POSCO,20210709,338000
25,A005490,POSCO,20210708,339500
26,A005490,POSCO,20210707,339500
27,A005490,POSCO,20210706,342500
28,A005490,POSCO,20210705,345000
29,A005490,POSCO,20210702,344000
30,A005490,POSCO,20210701,345000
31,A005490,POSCO,20210630,348000
32,A005490,POSCO,20210629,347000
33,A005490,POSCO,20210628,354000
34,A005490,POSCO,20210625,352000
35,A005490,POSCO,20210624,350000
36,A005490,POSCO,20210623,338500
37,A005490,POSCO,20210622,341000
38,A005490,POSCO,20210621,335500
39,A005490,POSCO,20210618,340000
40,A005490,POSCO,20210617,341000
41,A005490,POSCO,20210616,345000
42,A005490,POSCO,20210615,342000
43,A005490,POSCO,20210614,344500
44,A005490,POSCO,20210611,349500
45,A005490,POSCO,20210610,334000
46,A005490,POSCO,20210609,333500
47,A005490,POSCO,20210608,341000
48,A005490,POSCO,20210607,339500
49,A005490,POSCO,20210604,347000
50,A005490,POSCO,20210603,346500
51,A005490,POSCO,20210602,353000
52,A005490,POSCO,20210601,350000
53,A005490,POSCO,20210531,355000
54,A005490,POSCO,20210528,357000
55,A005490,POSCO,20210527,360000
56,A005490,POSCO,20210526,349000
57,A005490,POSCO,20210525,358000
58,A005490,POSCO,20210524,355500
59,A005490,POSCO,20210521,360000
60,A005490,POSCO,20210520,365000
61,A005490,POSCO,20210518,385500
62,A005490,POSCO,20210517,367000
63,A005490,POSCO,20210514,380000
64,A005490,POSCO,20210513,383500
65,A005490,POSCO,20210512,399000
66,A005490,POSCO,20210511,409500
67,A005490,POSCO,20210510,407000
68,A005490,POSCO,20210507,398000
69,A005490,POSCO,20210506,395500
70,A005490,POSCO,20210504,376500
71,A005490,POSCO,20210503,368000
72,A005490,POSCO,20210430,364000
73,A005490,POSCO,20210429,373000
74,A005490,POSCO,20210428,372500
75,A005490,POSCO,20210427,377500
76,A005490,POSCO,20210426,362500
77,A005490,POSCO,20210423,355500
78,A005490,POSCO,20210422,353000
79,A005490,POSCO,20210421,351000
80,A005490,POSCO,20210420,355500
81,A005490,POSCO,20210419,354000
82,A005490,POSCO,20210416,343500
83,A005490,POSCO,20210415,346000
84,A005490,POSCO,20210414,338500
85,A005490,POSCO,20210413,327000
86,A005490,POSCO,20210412,329500
87,A005490,POSCO,20210409,328000
88,A005490,POSCO,20210408,331500
89,A005490,POSCO,20210407,329000
90,A005490,POSCO,20210406,328500
91,A005490,POSCO,20210405,334500
92,A005490,POSCO,20210402,318500
93,A005490,POSCO,20210401,318500
94,A005490,POSCO,20210331,320000
95,A005490,POSCO,20210330,322500
96,A005490,POSCO,20210329,327000
97,A005490,POSCO,20210326,318000
98,A005490,POSCO,20210325,308500
99,A005490,POSCO,20210324,306000
100,A005490,POSCO,20210323,313000
101,A005490,POSCO,20210322,303500
102,A005490,POSCO,20210319,288500
103,A005490,POSCO,20210318,295500
104,A005490,POSCO,20210317,295000
105,A005490,POSCO,20210316,306000
106,A005490,POSCO,20210315,308000
107,A005490,POSCO,20210312,301000
108,A005490,POSCO,20210311,303000
109,A005490,POSCO,20210310,293500
110,A005490,POSCO,20210309,317000
111,A005490,POSCO,20210308,321500
112,A005490,POSCO,20210305,314500
113,A005490,POSCO,20210304,309000
114,A005490,POSCO,20210303,299000
115,A005490,POSCO,20210302,285000
116,A005490,POSCO,20210226,281500
117,A005490,POSCO,20210225,283000
118,A005490,POSCO,20210224,274000
119,A005490,POSCO,20210223,279500
120,A005490,POSCO,20210222,268000
121,A005490,POSCO,20210219,263500
122,A005490,POSCO,20210218,265000
123,A005490,POSCO,20210217,270500
124,A005490,POSCO,20210216,271500
125,A005490,POSCO,20210215,268000
126,A005490,POSCO,20210210,271000
127,A005490,POSCO,20210209,270000
128,A005490,POSCO,20210208,268500
129,A005490,POSCO,20210205,263000
130,A005490,POSCO,20210204,264500
131,A005490,POSCO,20210203,262500
132,A005490,POSCO,20210202,263000
133,A005490,POSCO,20210201,253000
134,A005490,POSCO,20210129,245500
135,A005490,POSCO,20210128,250000
136,A005490,POSCO,20210127,259500
137,A005490,POSCO,20210126,257500
138,A005490,POSCO,20210125,264500
139,A005490,POSCO,20210122,261000
140,A005490,POSCO,20210121,269500
141,A005490,POSCO,20210120,272000
142,A005490,POSCO,20210119,271000
143,A005490,POSCO,20210118,266000
144,A005490,POSCO,20210115,275000
145,A005490,POSCO,20210114,282000
146,A005490,POSCO,20210113,283500
147,A005490,POSCO,20210112,277000
148,A005490,POSCO,20210111,284000
149,A005490,POSCO,20210108,294500
150,A005490,POSCO,20210107,291000
151,A005490,POSCO,20210106,280000
152,A005490,POSCO,20210105,285000
153,A005490,POSCO,20210104,273000
154,A005490,POSCO,20201230,272000
155,A005490,POSCO,20201229,270000
156,A005490,POSCO,20201228,273500
157,A005490,POSCO,20201224,271000
158,A005490,POSCO,20201223,267500
159,A005490,POSCO,20201222,267500
160,A005490,POSCO,20201221,274500
161,A005490,POSCO,20201218,269000
162,A005490,POSCO,20201217,268000
163,A005490,POSCO,20201216,271500
164,A005490,POSCO,20201215,269000
165,A005490,POSCO,20201214,276500
166,A005490,POSCO,20201211,279500
167,A005490,POSCO,20201210,272000
168,A005490,POSCO,20201209,273000
169,A005490,POSCO,20201208,265500
170,A005490,POSCO,20201207,270000
171,A005490,POSCO,20201204,265500
172,A005490,POSCO,20201203,251500
173,A005490,POSCO,20201202,250000
174,A005490,POSCO,20201201,245500
175,A005490,POSCO,20201130,234000
176,A005490,POSCO,20201127,239500
177,A005490,POSCO,20201126,242500
178,A005490,POSCO,20201125,245000
