,종목코드,종목명,날짜,종가
0,A010950,S-Oil,20210812,95900
1,A010950,S-Oil,20210811,95700
2,A010950,S-Oil,20210810,93700
3,A010950,S-Oil,20210809,94600
4,A010950,S-Oil,20210806,96900
5,A010950,S-Oil,20210805,98900
6,A010950,S-Oil,20210804,98700
7,A010950,S-Oil,20210803,97300
8,A010950,S-Oil,20210802,98400
9,A010950,S-Oil,20210730,98300
10,A010950,S-Oil,20210729,101000
11,A010950,S-Oil,20210728,101000
12,A010950,S-Oil,20210727,98400
13,A010950,S-Oil,20210726,96700
14,A010950,S-Oil,20210723,96300
15,A010950,S-Oil,20210722,96700
16,A010950,S-Oil,20210721,94500
17,A010950,S-Oil,20210720,95800
18,A010950,S-Oil,20210719,97400
19,A010950,S-Oil,20210716,98800
20,A010950,S-Oil,20210715,101500
21,A010950,S-Oil,20210714,102000
22,A010950,S-Oil,20210713,103500
23,A010950,S-Oil,20210712,105000
24,A010950,S-Oil,20210709,102000
25,A010950,S-Oil,20210708,101000
26,A010950,S-Oil,20210707,105500
27,A010950,S-Oil,20210706,110000
28,A010950,S-Oil,20210705,105500
29,A010950,S-Oil,20210702,105500
30,A010950,S-Oil,20210701,101000
31,A010950,S-Oil,20210630,102500
32,A010950,S-Oil,20210629,102500
33,A010950,S-Oil,20210628,106000
34,A010950,S-Oil,20210625,104000
35,A010950,S-Oil,20210624,101000
36,A010950,S-Oil,20210623,101500
37,A010950,S-Oil,20210622,104500
38,A010950,S-Oil,20210621,100500
39,A010950,S-Oil,20210618,100000
40,A010950,S-Oil,20210617,104000
41,A010950,S-Oil,20210616,104500
42,A010950,S-Oil,20210615,105500
43,A010950,S-Oil,20210614,102500
44,A010950,S-Oil,20210611,101000
45,A010950,S-Oil,20210610,103500
46,A010950,S-Oil,20210609,103500
47,A010950,S-Oil,20210608,101000
48,A010950,S-Oil,20210607,102500
49,A010950,S-Oil,20210604,105000
50,A010950,S-Oil,20210603,103500
51,A010950,S-Oil,20210602,102500
52,A010950,S-Oil,20210601,99900
53,A010950,S-Oil,20210531,93600
54,A010950,S-Oil,20210528,95000
55,A010950,S-Oil,20210527,94800
56,A010950,S-Oil,20210526,97600
57,A010950,S-Oil,20210525,96000
58,A010950,S-Oil,20210524,94300
59,A010950,S-Oil,20210521,94000
