,辆格内靛,辆格疙,朝楼,辆啊
0,A010955,S-Oil快,20210812,55000
1,A010955,S-Oil快,20210811,54800
2,A010955,S-Oil快,20210810,54900
3,A010955,S-Oil快,20210809,54600
4,A010955,S-Oil快,20210806,55400
5,A010955,S-Oil快,20210805,56300
6,A010955,S-Oil快,20210804,56600
7,A010955,S-Oil快,20210803,55600
8,A010955,S-Oil快,20210802,55900
9,A010955,S-Oil快,20210730,56300
10,A010955,S-Oil快,20210729,57600
11,A010955,S-Oil快,20210728,58300
12,A010955,S-Oil快,20210727,57500
13,A010955,S-Oil快,20210726,56200
14,A010955,S-Oil快,20210723,56300
15,A010955,S-Oil快,20210722,56500
16,A010955,S-Oil快,20210721,55600
17,A010955,S-Oil快,20210720,56800
18,A010955,S-Oil快,20210719,58900
19,A010955,S-Oil快,20210716,59600
20,A010955,S-Oil快,20210715,59500
21,A010955,S-Oil快,20210714,59800
22,A010955,S-Oil快,20210713,60800
23,A010955,S-Oil快,20210712,61200
24,A010955,S-Oil快,20210709,60300
25,A010955,S-Oil快,20210708,61200
26,A010955,S-Oil快,20210707,61900
27,A010955,S-Oil快,20210706,63500
28,A010955,S-Oil快,20210705,62200
29,A010955,S-Oil快,20210702,62300
30,A010955,S-Oil快,20210701,60900
31,A010955,S-Oil快,20210630,61300
32,A010955,S-Oil快,20210629,61300
33,A010955,S-Oil快,20210628,62600
34,A010955,S-Oil快,20210625,61900
35,A010955,S-Oil快,20210624,61500
36,A010955,S-Oil快,20210623,61800
37,A010955,S-Oil快,20210622,62700
38,A010955,S-Oil快,20210621,60400
39,A010955,S-Oil快,20210618,60100
40,A010955,S-Oil快,20210617,61700
41,A010955,S-Oil快,20210616,61500
42,A010955,S-Oil快,20210615,61500
43,A010955,S-Oil快,20210614,61400
44,A010955,S-Oil快,20210611,61800
45,A010955,S-Oil快,20210610,62300
46,A010955,S-Oil快,20210609,62600
47,A010955,S-Oil快,20210608,60100
48,A010955,S-Oil快,20210607,60500
49,A010955,S-Oil快,20210604,60000
50,A010955,S-Oil快,20210603,58500
51,A010955,S-Oil快,20210602,56900
52,A010955,S-Oil快,20210601,56000
53,A010955,S-Oil快,20210531,53500
54,A010955,S-Oil快,20210528,55000
55,A010955,S-Oil快,20210527,55700
56,A010955,S-Oil快,20210526,55900
57,A010955,S-Oil快,20210525,56300
58,A010955,S-Oil快,20210524,55400
59,A010955,S-Oil快,20210521,55500
60,A010955,S-Oil快,20210520,57600
61,A010955,S-Oil快,20210518,59400
62,A010955,S-Oil快,20210517,56700
63,A010955,S-Oil快,20210514,55800
64,A010955,S-Oil快,20210513,55200
65,A010955,S-Oil快,20210512,55400
66,A010955,S-Oil快,20210511,56200
67,A010955,S-Oil快,20210510,55900
68,A010955,S-Oil快,20210507,53900
69,A010955,S-Oil快,20210506,54200
70,A010955,S-Oil快,20210504,51500
71,A010955,S-Oil快,20210503,51000
72,A010955,S-Oil快,20210430,50700
73,A010955,S-Oil快,20210429,51000
74,A010955,S-Oil快,20210428,51000
75,A010955,S-Oil快,20210427,49500
76,A010955,S-Oil快,20210426,49050
77,A010955,S-Oil快,20210423,45850
78,A010955,S-Oil快,20210422,45800
