,종목코드,종목명,날짜,종가
0,A019550,SBI인베스트먼트,20210812,1945
1,A019550,SBI인베스트먼트,20210811,1945
2,A019550,SBI인베스트먼트,20210810,2005
3,A019550,SBI인베스트먼트,20210809,1995
4,A019550,SBI인베스트먼트,20210806,1995
5,A019550,SBI인베스트먼트,20210805,2000
6,A019550,SBI인베스트먼트,20210804,1995
7,A019550,SBI인베스트먼트,20210803,1960
8,A019550,SBI인베스트먼트,20210802,2035
9,A019550,SBI인베스트먼트,20210730,2040
10,A019550,SBI인베스트먼트,20210729,2110
11,A019550,SBI인베스트먼트,20210728,2060
12,A019550,SBI인베스트먼트,20210727,2095
13,A019550,SBI인베스트먼트,20210726,2210
14,A019550,SBI인베스트먼트,20210723,2250
15,A019550,SBI인베스트먼트,20210722,2185
16,A019550,SBI인베스트먼트,20210721,2155
17,A019550,SBI인베스트먼트,20210720,2145
18,A019550,SBI인베스트먼트,20210719,2075
19,A019550,SBI인베스트먼트,20210716,2200
20,A019550,SBI인베스트먼트,20210715,2335
21,A019550,SBI인베스트먼트,20210714,2070
22,A019550,SBI인베스트먼트,20210713,2015
23,A019550,SBI인베스트먼트,20210712,1995
24,A019550,SBI인베스트먼트,20210709,1805
25,A019550,SBI인베스트먼트,20210708,1920
26,A019550,SBI인베스트먼트,20210707,1785
27,A019550,SBI인베스트먼트,20210706,1785
28,A019550,SBI인베스트먼트,20210705,1775
29,A019550,SBI인베스트먼트,20210702,1795
30,A019550,SBI인베스트먼트,20210701,1780
31,A019550,SBI인베스트먼트,20210630,1795
32,A019550,SBI인베스트먼트,20210629,1790
33,A019550,SBI인베스트먼트,20210628,1790
34,A019550,SBI인베스트먼트,20210625,1755
35,A019550,SBI인베스트먼트,20210624,1760
36,A019550,SBI인베스트먼트,20210623,1740
37,A019550,SBI인베스트먼트,20210622,1795
38,A019550,SBI인베스트먼트,20210621,1790
39,A019550,SBI인베스트먼트,20210618,1840
40,A019550,SBI인베스트먼트,20210617,1845
41,A019550,SBI인베스트먼트,20210616,1860
42,A019550,SBI인베스트먼트,20210615,1830
43,A019550,SBI인베스트먼트,20210614,1860
44,A019550,SBI인베스트먼트,20210611,1875
45,A019550,SBI인베스트먼트,20210610,1850
46,A019550,SBI인베스트먼트,20210609,1850
47,A019550,SBI인베스트먼트,20210608,1915
48,A019550,SBI인베스트먼트,20210607,1970
49,A019550,SBI인베스트먼트,20210604,2025
50,A019550,SBI인베스트먼트,20210603,2055
51,A019550,SBI인베스트먼트,20210602,2025
52,A019550,SBI인베스트먼트,20210601,2090
53,A019550,SBI인베스트먼트,20210531,2105
54,A019550,SBI인베스트먼트,20210528,2175
55,A019550,SBI인베스트먼트,20210527,2150
56,A019550,SBI인베스트먼트,20210526,2190
57,A019550,SBI인베스트먼트,20210525,2170
58,A019550,SBI인베스트먼트,20210524,2030
59,A019550,SBI인베스트먼트,20210521,1970
60,A019550,SBI인베스트먼트,20210520,2020
61,A019550,SBI인베스트먼트,20210518,2075
62,A019550,SBI인베스트먼트,20210517,2020
63,A019550,SBI인베스트먼트,20210514,2100
64,A019550,SBI인베스트먼트,20210513,2080
65,A019550,SBI인베스트먼트,20210512,2290
66,A019550,SBI인베스트먼트,20210511,2190
67,A019550,SBI인베스트먼트,20210510,2195
68,A019550,SBI인베스트먼트,20210507,2160
69,A019550,SBI인베스트먼트,20210506,2180
70,A019550,SBI인베스트먼트,20210504,2150
71,A019550,SBI인베스트먼트,20210503,2115
72,A019550,SBI인베스트먼트,20210430,2120
73,A019550,SBI인베스트먼트,20210429,2115
74,A019550,SBI인베스트먼트,20210428,2215
75,A019550,SBI인베스트먼트,20210427,2230
76,A019550,SBI인베스트먼트,20210426,2260
77,A019550,SBI인베스트먼트,20210423,2230
78,A019550,SBI인베스트먼트,20210422,2225
79,A019550,SBI인베스트먼트,20210421,2305
80,A019550,SBI인베스트먼트,20210420,2315
81,A019550,SBI인베스트먼트,20210419,2260
82,A019550,SBI인베스트먼트,20210416,2325
83,A019550,SBI인베스트먼트,20210415,2490
84,A019550,SBI인베스트먼트,20210414,2540
85,A019550,SBI인베스트먼트,20210413,2590
86,A019550,SBI인베스트먼트,20210412,2780
87,A019550,SBI인베스트먼트,20210409,2140
88,A019550,SBI인베스트먼트,20210408,2155
89,A019550,SBI인베스트먼트,20210407,2245
90,A019550,SBI인베스트먼트,20210406,2225
91,A019550,SBI인베스트먼트,20210405,2195
92,A019550,SBI인베스트먼트,20210402,1855
93,A019550,SBI인베스트먼트,20210401,1775
94,A019550,SBI인베스트먼트,20210331,1750
95,A019550,SBI인베스트먼트,20210330,1785
96,A019550,SBI인베스트먼트,20210329,1700
97,A019550,SBI인베스트먼트,20210326,1725
98,A019550,SBI인베스트먼트,20210325,1685
99,A019550,SBI인베스트먼트,20210324,1710
100,A019550,SBI인베스트먼트,20210323,1715
101,A019550,SBI인베스트먼트,20210322,1845
102,A019550,SBI인베스트먼트,20210319,1770
103,A019550,SBI인베스트먼트,20210318,1775
104,A019550,SBI인베스트먼트,20210317,1760
105,A019550,SBI인베스트먼트,20210316,1755
106,A019550,SBI인베스트먼트,20210315,1890
107,A019550,SBI인베스트먼트,20210312,1545
108,A019550,SBI인베스트먼트,20210311,1530
109,A019550,SBI인베스트먼트,20210310,1450
110,A019550,SBI인베스트먼트,20210309,1530
111,A019550,SBI인베스트먼트,20210308,1470
112,A019550,SBI인베스트먼트,20210305,1350
113,A019550,SBI인베스트먼트,20210304,1350
114,A019550,SBI인베스트먼트,20210303,1345
115,A019550,SBI인베스트먼트,20210302,1335
116,A019550,SBI인베스트먼트,20210226,1350
117,A019550,SBI인베스트먼트,20210225,1445
118,A019550,SBI인베스트먼트,20210224,1385
119,A019550,SBI인베스트먼트,20210223,1455
120,A019550,SBI인베스트먼트,20210222,1570
121,A019550,SBI인베스트먼트,20210219,1480
122,A019550,SBI인베스트먼트,20210218,1675
123,A019550,SBI인베스트먼트,20210217,1430
124,A019550,SBI인베스트먼트,20210216,1430
125,A019550,SBI인베스트먼트,20210215,1370
126,A019550,SBI인베스트먼트,20210210,1335
127,A019550,SBI인베스트먼트,20210209,1365
128,A019550,SBI인베스트먼트,20210208,1325
129,A019550,SBI인베스트먼트,20210205,1340
130,A019550,SBI인베스트먼트,20210204,1320
131,A019550,SBI인베스트먼트,20210203,1335
132,A019550,SBI인베스트먼트,20210202,1340
133,A019550,SBI인베스트먼트,20210201,1335
134,A019550,SBI인베스트먼트,20210129,1295
135,A019550,SBI인베스트먼트,20210128,1305
136,A019550,SBI인베스트먼트,20210127,1325
137,A019550,SBI인베스트먼트,20210126,1340
138,A019550,SBI인베스트먼트,20210125,1300
139,A019550,SBI인베스트먼트,20210122,1300
140,A019550,SBI인베스트먼트,20210121,1320
141,A019550,SBI인베스트먼트,20210120,1300
142,A019550,SBI인베스트먼트,20210119,1305
143,A019550,SBI인베스트먼트,20210118,1295
144,A019550,SBI인베스트먼트,20210115,1285
145,A019550,SBI인베스트먼트,20210114,1315
146,A019550,SBI인베스트먼트,20210113,1305
147,A019550,SBI인베스트먼트,20210112,1300
148,A019550,SBI인베스트먼트,20210111,1300
149,A019550,SBI인베스트먼트,20210108,1320
150,A019550,SBI인베스트먼트,20210107,1325
151,A019550,SBI인베스트먼트,20210106,1335
152,A019550,SBI인베스트먼트,20210105,1305
153,A019550,SBI인베스트먼트,20210104,1310
154,A019550,SBI인베스트먼트,20201230,1285
155,A019550,SBI인베스트먼트,20201229,1265
156,A019550,SBI인베스트먼트,20201228,1245
157,A019550,SBI인베스트먼트,20201224,1255
158,A019550,SBI인베스트먼트,20201223,1240
159,A019550,SBI인베스트먼트,20201222,1260
160,A019550,SBI인베스트먼트,20201221,1315
161,A019550,SBI인베스트먼트,20201218,1255
162,A019550,SBI인베스트먼트,20201217,1300
163,A019550,SBI인베스트먼트,20201216,1245
164,A019550,SBI인베스트먼트,20201215,1245
165,A019550,SBI인베스트먼트,20201214,1175
166,A019550,SBI인베스트먼트,20201211,1170
167,A019550,SBI인베스트먼트,20201210,1190
168,A019550,SBI인베스트먼트,20201209,1175
169,A019550,SBI인베스트먼트,20201208,1180
170,A019550,SBI인베스트먼트,20201207,1165
171,A019550,SBI인베스트먼트,20201204,1175
172,A019550,SBI인베스트먼트,20201203,1155
173,A019550,SBI인베스트먼트,20201202,1125
174,A019550,SBI인베스트먼트,20201201,1160
175,A019550,SBI인베스트먼트,20201130,1160
176,A019550,SBI인베스트먼트,20201127,1155
177,A019550,SBI인베스트먼트,20201126,1160
178,A019550,SBI인베스트먼트,20201125,1195
179,A019550,SBI인베스트먼트,20201124,1190
180,A019550,SBI인베스트먼트,20201123,919
181,A019550,SBI인베스트먼트,20201120,928
182,A019550,SBI인베스트먼트,20201119,928
183,A019550,SBI인베스트먼트,20201118,903
184,A019550,SBI인베스트먼트,20201117,877
185,A019550,SBI인베스트먼트,20201116,892
186,A019550,SBI인베스트먼트,20201113,874
187,A019550,SBI인베스트먼트,20201112,868
188,A019550,SBI인베스트먼트,20201111,869
189,A019550,SBI인베스트먼트,20201110,869
190,A019550,SBI인베스트먼트,20201109,875
191,A019550,SBI인베스트먼트,20201106,873
192,A019550,SBI인베스트먼트,20201105,858
193,A019550,SBI인베스트먼트,20201104,844
194,A019550,SBI인베스트먼트,20201103,838
195,A019550,SBI인베스트먼트,20201102,836
196,A019550,SBI인베스트먼트,20201030,830
197,A019550,SBI인베스트먼트,20201029,823
198,A019550,SBI인베스트먼트,20201028,829
199,A019550,SBI인베스트먼트,20201027,811
200,A019550,SBI인베스트먼트,20201026,839
201,A019550,SBI인베스트먼트,20201023,845
202,A019550,SBI인베스트먼트,20201022,940
203,A019550,SBI인베스트먼트,20201021,875
204,A019550,SBI인베스트먼트,20201020,844
205,A019550,SBI인베스트먼트,20201019,872
206,A019550,SBI인베스트먼트,20201016,834
207,A019550,SBI인베스트먼트,20201015,846
208,A019550,SBI인베스트먼트,20201014,830
209,A019550,SBI인베스트먼트,20201013,859
210,A019550,SBI인베스트먼트,20201012,848
211,A019550,SBI인베스트먼트,20201008,819
212,A019550,SBI인베스트먼트,20201007,826
213,A019550,SBI인베스트먼트,20201006,823
214,A019550,SBI인베스트먼트,20201005,809
215,A019550,SBI인베스트먼트,20200929,811
216,A019550,SBI인베스트먼트,20200928,803
217,A019550,SBI인베스트먼트,20200925,802
218,A019550,SBI인베스트먼트,20200924,755
219,A019550,SBI인베스트먼트,20200923,763
220,A019550,SBI인베스트먼트,20200922,758
221,A019550,SBI인베스트먼트,20200921,788
222,A019550,SBI인베스트먼트,20200918,807
223,A019550,SBI인베스트먼트,20200917,803
224,A019550,SBI인베스트먼트,20200916,822
225,A019550,SBI인베스트먼트,20200915,830
226,A019550,SBI인베스트먼트,20200914,841
227,A019550,SBI인베스트먼트,20200911,838
228,A019550,SBI인베스트먼트,20200910,843
229,A019550,SBI인베스트먼트,20200909,837
230,A019550,SBI인베스트먼트,20200908,800
231,A019550,SBI인베스트먼트,20200907,816
232,A019550,SBI인베스트먼트,20200904,804
233,A019550,SBI인베스트먼트,20200903,818
234,A019550,SBI인베스트먼트,20200902,820
235,A019550,SBI인베스트먼트,20200901,814
236,A019550,SBI인베스트먼트,20200831,816
237,A019550,SBI인베스트먼트,20200828,857
238,A019550,SBI인베스트먼트,20200827,815
239,A019550,SBI인베스트먼트,20200826,830
240,A019550,SBI인베스트먼트,20200825,801
241,A019550,SBI인베스트먼트,20200824,800
242,A019550,SBI인베스트먼트,20200821,749
243,A019550,SBI인베스트먼트,20200820,719
244,A019550,SBI인베스트먼트,20200819,737
245,A019550,SBI인베스트먼트,20200818,712
246,A019550,SBI인베스트먼트,20200814,765
247,A019550,SBI인베스트먼트,20200813,790
248,A019550,SBI인베스트먼트,20200812,784
249,A019550,SBI인베스트먼트,20200811,809
250,A019550,SBI인베스트먼트,20200810,819
251,A019550,SBI인베스트먼트,20200807,773
252,A019550,SBI인베스트먼트,20200806,768
253,A019550,SBI인베스트먼트,20200805,769
254,A019550,SBI인베스트먼트,20200804,773
255,A019550,SBI인베스트먼트,20200803,740
256,A019550,SBI인베스트먼트,20200731,734
257,A019550,SBI인베스트먼트,20200730,736
258,A019550,SBI인베스트먼트,20200729,729
259,A019550,SBI인베스트먼트,20200728,727
260,A019550,SBI인베스트먼트,20200727,738
261,A019550,SBI인베스트먼트,20200724,726
262,A019550,SBI인베스트먼트,20200723,729
263,A019550,SBI인베스트먼트,20200722,775
264,A019550,SBI인베스트먼트,20200721,778
265,A019550,SBI인베스트먼트,20200720,810
266,A019550,SBI인베스트먼트,20200717,833
267,A019550,SBI인베스트먼트,20200716,860
268,A019550,SBI인베스트먼트,20200715,920
269,A019550,SBI인베스트먼트,20200714,849
270,A019550,SBI인베스트먼트,20200713,814
271,A019550,SBI인베스트먼트,20200710,795
272,A019550,SBI인베스트먼트,20200709,810
273,A019550,SBI인베스트먼트,20200708,777
274,A019550,SBI인베스트먼트,20200707,779
275,A019550,SBI인베스트먼트,20200706,800
276,A019550,SBI인베스트먼트,20200703,785
277,A019550,SBI인베스트먼트,20200702,738
278,A019550,SBI인베스트먼트,20200701,568
279,A019550,SBI인베스트먼트,20200630,585
280,A019550,SBI인베스트먼트,20200629,584
281,A019550,SBI인베스트먼트,20200626,589
282,A019550,SBI인베스트먼트,20200625,592
283,A019550,SBI인베스트먼트,20200624,600
284,A019550,SBI인베스트먼트,20200623,599
285,A019550,SBI인베스트먼트,20200622,610
286,A019550,SBI인베스트먼트,20200619,614
287,A019550,SBI인베스트먼트,20200618,612
288,A019550,SBI인베스트먼트,20200617,610
289,A019550,SBI인베스트먼트,20200616,616
290,A019550,SBI인베스트먼트,20200615,581
291,A019550,SBI인베스트먼트,20200612,611
292,A019550,SBI인베스트먼트,20200611,628
293,A019550,SBI인베스트먼트,20200610,650
294,A019550,SBI인베스트먼트,20200609,658
295,A019550,SBI인베스트먼트,20200608,660
296,A019550,SBI인베스트먼트,20200605,656
297,A019550,SBI인베스트먼트,20200604,655
298,A019550,SBI인베스트먼트,20200603,657
299,A019550,SBI인베스트먼트,20200602,660
300,A019550,SBI인베스트먼트,20200601,642
301,A019550,SBI인베스트먼트,20200529,625
302,A019550,SBI인베스트먼트,20200528,619
303,A019550,SBI인베스트먼트,20200527,630
304,A019550,SBI인베스트먼트,20200526,633
305,A019550,SBI인베스트먼트,20200525,626
306,A019550,SBI인베스트먼트,20200522,627
307,A019550,SBI인베스트먼트,20200521,640
308,A019550,SBI인베스트먼트,20200520,641
309,A019550,SBI인베스트먼트,20200519,617
310,A019550,SBI인베스트먼트,20200518,613
311,A019550,SBI인베스트먼트,20200515,618
312,A019550,SBI인베스트먼트,20200514,619
313,A019550,SBI인베스트먼트,20200513,619
314,A019550,SBI인베스트먼트,20200512,624
315,A019550,SBI인베스트먼트,20200511,635
316,A019550,SBI인베스트먼트,20200508,641
317,A019550,SBI인베스트먼트,20200507,637
318,A019550,SBI인베스트먼트,20200506,626
319,A019550,SBI인베스트먼트,20200504,615
320,A019550,SBI인베스트먼트,20200429,617
321,A019550,SBI인베스트먼트,20200428,614
322,A019550,SBI인베스트먼트,20200427,614
323,A019550,SBI인베스트먼트,20200424,599
324,A019550,SBI인베스트먼트,20200423,612
325,A019550,SBI인베스트먼트,20200422,599
326,A019550,SBI인베스트먼트,20200421,610
327,A019550,SBI인베스트먼트,20200420,615
328,A019550,SBI인베스트먼트,20200417,615
329,A019550,SBI인베스트먼트,20200416,580
330,A019550,SBI인베스트먼트,20200414,578
331,A019550,SBI인베스트먼트,20200413,552
332,A019550,SBI인베스트먼트,20200410,580
333,A019550,SBI인베스트먼트,20200409,599
334,A019550,SBI인베스트먼트,20200408,554
335,A019550,SBI인베스트먼트,20200407,550
336,A019550,SBI인베스트먼트,20200406,535
337,A019550,SBI인베스트먼트,20200403,515
338,A019550,SBI인베스트먼트,20200402,510
339,A019550,SBI인베스트먼트,20200401,500
340,A019550,SBI인베스트먼트,20200331,494
341,A019550,SBI인베스트먼트,20200330,470
342,A019550,SBI인베스트먼트,20200327,460
343,A019550,SBI인베스트먼트,20200326,465
344,A019550,SBI인베스트먼트,20200325,452
345,A019550,SBI인베스트먼트,20200324,420
346,A019550,SBI인베스트먼트,20200323,403
347,A019550,SBI인베스트먼트,20200320,440
348,A019550,SBI인베스트먼트,20200319,403
349,A019550,SBI인베스트먼트,20200318,496
350,A019550,SBI인베스트먼트,20200317,519
351,A019550,SBI인베스트먼트,20200316,520
352,A019550,SBI인베스트먼트,20200313,536
353,A019550,SBI인베스트먼트,20200312,584
354,A019550,SBI인베스트먼트,20200311,595
355,A019550,SBI인베스트먼트,20200310,608
356,A019550,SBI인베스트먼트,20200309,617
357,A019550,SBI인베스트먼트,20200306,645
358,A019550,SBI인베스트먼트,20200305,654
359,A019550,SBI인베스트먼트,20200304,637
360,A019550,SBI인베스트먼트,20200303,636
361,A019550,SBI인베스트먼트,20200302,629
362,A019550,SBI인베스트먼트,20200228,604
363,A019550,SBI인베스트먼트,20200227,633
364,A019550,SBI인베스트먼트,20200226,636
