,종목코드,종목명,날짜,종가
0,A036120,SCI평가정보,20210812,3570
1,A036120,SCI평가정보,20210811,3550
2,A036120,SCI평가정보,20210810,3570
3,A036120,SCI평가정보,20210809,3600
4,A036120,SCI평가정보,20210806,3660
5,A036120,SCI평가정보,20210805,3700
6,A036120,SCI평가정보,20210804,3645
7,A036120,SCI평가정보,20210803,3595
8,A036120,SCI평가정보,20210802,3630
9,A036120,SCI평가정보,20210730,3760
10,A036120,SCI평가정보,20210729,3825
11,A036120,SCI평가정보,20210728,3850
12,A036120,SCI평가정보,20210727,3895
13,A036120,SCI평가정보,20210726,3895
14,A036120,SCI평가정보,20210723,3930
15,A036120,SCI평가정보,20210722,3860
16,A036120,SCI평가정보,20210721,3855
17,A036120,SCI평가정보,20210720,3870
18,A036120,SCI평가정보,20210719,3905
19,A036120,SCI평가정보,20210716,3930
20,A036120,SCI평가정보,20210715,3940
21,A036120,SCI평가정보,20210714,3915
22,A036120,SCI평가정보,20210713,3890
23,A036120,SCI평가정보,20210712,3845
24,A036120,SCI평가정보,20210709,3845
25,A036120,SCI평가정보,20210708,3920
26,A036120,SCI평가정보,20210707,3990
27,A036120,SCI평가정보,20210706,4030
28,A036120,SCI평가정보,20210705,4015
29,A036120,SCI평가정보,20210702,4010
30,A036120,SCI평가정보,20210701,4040
31,A036120,SCI평가정보,20210630,4050
32,A036120,SCI평가정보,20210629,4080
33,A036120,SCI평가정보,20210628,4055
34,A036120,SCI평가정보,20210625,4040
35,A036120,SCI평가정보,20210624,4010
36,A036120,SCI평가정보,20210623,4045
37,A036120,SCI평가정보,20210622,4085
38,A036120,SCI평가정보,20210621,4085
39,A036120,SCI평가정보,20210618,4160
40,A036120,SCI평가정보,20210617,4100
41,A036120,SCI평가정보,20210616,4070
42,A036120,SCI평가정보,20210615,4130
43,A036120,SCI평가정보,20210614,4150
44,A036120,SCI평가정보,20210611,4130
45,A036120,SCI평가정보,20210610,4140
46,A036120,SCI평가정보,20210609,4155
47,A036120,SCI평가정보,20210608,4195
48,A036120,SCI평가정보,20210607,4180
49,A036120,SCI평가정보,20210604,4100
50,A036120,SCI평가정보,20210603,4115
51,A036120,SCI평가정보,20210602,4095
52,A036120,SCI평가정보,20210601,4165
53,A036120,SCI평가정보,20210531,3955
54,A036120,SCI평가정보,20210528,3950
55,A036120,SCI평가정보,20210527,3870
56,A036120,SCI평가정보,20210526,3915
57,A036120,SCI평가정보,20210525,3910
58,A036120,SCI평가정보,20210524,3965
59,A036120,SCI평가정보,20210521,4000
60,A036120,SCI평가정보,20210520,3980
61,A036120,SCI평가정보,20210518,3990
62,A036120,SCI평가정보,20210517,4000
63,A036120,SCI평가정보,20210514,4065
64,A036120,SCI평가정보,20210513,4005
65,A036120,SCI평가정보,20210512,4060
66,A036120,SCI평가정보,20210511,4140
67,A036120,SCI평가정보,20210510,4240
68,A036120,SCI평가정보,20210507,4250
69,A036120,SCI평가정보,20210506,4165
70,A036120,SCI평가정보,20210504,4165
71,A036120,SCI평가정보,20210503,4250
72,A036120,SCI평가정보,20210430,4290
73,A036120,SCI평가정보,20210429,4155
74,A036120,SCI평가정보,20210428,4205
75,A036120,SCI평가정보,20210427,4360
76,A036120,SCI평가정보,20210426,4415
77,A036120,SCI평가정보,20210423,4420
78,A036120,SCI평가정보,20210422,4445
79,A036120,SCI평가정보,20210421,4435
80,A036120,SCI평가정보,20210420,4505
81,A036120,SCI평가정보,20210419,4490
82,A036120,SCI평가정보,20210416,4570
83,A036120,SCI평가정보,20210415,4500
84,A036120,SCI평가정보,20210414,4530
85,A036120,SCI평가정보,20210413,4480
86,A036120,SCI평가정보,20210412,4535
87,A036120,SCI평가정보,20210409,4465
88,A036120,SCI평가정보,20210408,4525
89,A036120,SCI평가정보,20210407,4455
90,A036120,SCI평가정보,20210406,4480
91,A036120,SCI평가정보,20210405,4870
92,A036120,SCI평가정보,20210402,4930
93,A036120,SCI평가정보,20210401,4740
94,A036120,SCI평가정보,20210331,4670
95,A036120,SCI평가정보,20210330,4875
96,A036120,SCI평가정보,20210329,4550
97,A036120,SCI평가정보,20210326,4500
98,A036120,SCI평가정보,20210325,4490
99,A036120,SCI평가정보,20210324,4370
100,A036120,SCI평가정보,20210323,4375
101,A036120,SCI평가정보,20210322,4385
102,A036120,SCI평가정보,20210319,4390
103,A036120,SCI평가정보,20210318,4350
104,A036120,SCI평가정보,20210317,4280
105,A036120,SCI평가정보,20210316,4220
106,A036120,SCI평가정보,20210315,4250
107,A036120,SCI평가정보,20210312,4085
108,A036120,SCI평가정보,20210311,4000
109,A036120,SCI평가정보,20210310,4005
110,A036120,SCI평가정보,20210309,3875
111,A036120,SCI평가정보,20210308,3990
112,A036120,SCI평가정보,20210305,4000
113,A036120,SCI평가정보,20210304,3805
114,A036120,SCI평가정보,20210303,3830
115,A036120,SCI평가정보,20210302,3820
116,A036120,SCI평가정보,20210226,3825
117,A036120,SCI평가정보,20210225,3925
118,A036120,SCI평가정보,20210224,3920
119,A036120,SCI평가정보,20210223,4050
120,A036120,SCI평가정보,20210222,4180
121,A036120,SCI평가정보,20210219,4130
122,A036120,SCI평가정보,20210218,4305
123,A036120,SCI평가정보,20210217,4040
124,A036120,SCI평가정보,20210216,3935
125,A036120,SCI평가정보,20210215,3875
126,A036120,SCI평가정보,20210210,3920
127,A036120,SCI평가정보,20210209,3960
128,A036120,SCI평가정보,20210208,3920
129,A036120,SCI평가정보,20210205,3925
130,A036120,SCI평가정보,20210204,3925
131,A036120,SCI평가정보,20210203,4000
132,A036120,SCI평가정보,20210202,3970
133,A036120,SCI평가정보,20210201,3900
134,A036120,SCI평가정보,20210129,3900
135,A036120,SCI평가정보,20210128,3985
136,A036120,SCI평가정보,20210127,4075
137,A036120,SCI평가정보,20210126,4105
138,A036120,SCI평가정보,20210125,4185
139,A036120,SCI평가정보,20210122,4170
140,A036120,SCI평가정보,20210121,4150
141,A036120,SCI평가정보,20210120,4075
142,A036120,SCI평가정보,20210119,4000
143,A036120,SCI평가정보,20210118,3990
144,A036120,SCI평가정보,20210115,4135
145,A036120,SCI평가정보,20210114,4240
146,A036120,SCI평가정보,20210113,4230
147,A036120,SCI평가정보,20210112,4245
148,A036120,SCI평가정보,20210111,4280
149,A036120,SCI평가정보,20210108,4425
150,A036120,SCI평가정보,20210107,4425
151,A036120,SCI평가정보,20210106,4425
152,A036120,SCI평가정보,20210105,4390
153,A036120,SCI평가정보,20210104,4450
154,A036120,SCI평가정보,20201230,4435
155,A036120,SCI평가정보,20201229,4345
156,A036120,SCI평가정보,20201228,4425
157,A036120,SCI평가정보,20201224,4265
158,A036120,SCI평가정보,20201223,4300
159,A036120,SCI평가정보,20201222,4430
160,A036120,SCI평가정보,20201221,4585
161,A036120,SCI평가정보,20201218,4675
162,A036120,SCI평가정보,20201217,4730
163,A036120,SCI평가정보,20201216,4655
164,A036120,SCI평가정보,20201215,4650
165,A036120,SCI평가정보,20201214,4690
166,A036120,SCI평가정보,20201211,4715
167,A036120,SCI평가정보,20201210,4730
168,A036120,SCI평가정보,20201209,4700
169,A036120,SCI평가정보,20201208,4700
170,A036120,SCI평가정보,20201207,4740
171,A036120,SCI평가정보,20201204,4800
172,A036120,SCI평가정보,20201203,4905
173,A036120,SCI평가정보,20201202,4870
174,A036120,SCI평가정보,20201201,4825
175,A036120,SCI평가정보,20201130,4780
176,A036120,SCI평가정보,20201127,4760
177,A036120,SCI평가정보,20201126,4810
178,A036120,SCI평가정보,20201125,4820
179,A036120,SCI평가정보,20201124,4945
180,A036120,SCI평가정보,20201123,4700
181,A036120,SCI평가정보,20201120,4725
182,A036120,SCI평가정보,20201119,4765
183,A036120,SCI평가정보,20201118,4780
184,A036120,SCI평가정보,20201117,4615
185,A036120,SCI평가정보,20201116,4755
186,A036120,SCI평가정보,20201113,4820
187,A036120,SCI평가정보,20201112,4820
188,A036120,SCI평가정보,20201111,4810
189,A036120,SCI평가정보,20201110,4925
190,A036120,SCI평가정보,20201109,5070
191,A036120,SCI평가정보,20201106,4990
192,A036120,SCI평가정보,20201105,4890
193,A036120,SCI평가정보,20201104,4700
194,A036120,SCI평가정보,20201103,4705
195,A036120,SCI평가정보,20201102,4840
196,A036120,SCI평가정보,20201030,5110
197,A036120,SCI평가정보,20201029,5340
198,A036120,SCI평가정보,20201028,5380
199,A036120,SCI평가정보,20201027,5250
200,A036120,SCI평가정보,20201026,5340
201,A036120,SCI평가정보,20201023,5940
202,A036120,SCI평가정보,20201022,6250
203,A036120,SCI평가정보,20201021,5620
204,A036120,SCI평가정보,20201020,5500
205,A036120,SCI평가정보,20201019,5660
206,A036120,SCI평가정보,20201016,5560
207,A036120,SCI평가정보,20201015,5810
208,A036120,SCI평가정보,20201014,5960
209,A036120,SCI평가정보,20201013,6570
210,A036120,SCI평가정보,20201012,6340
211,A036120,SCI평가정보,20201008,5550
212,A036120,SCI평가정보,20201007,5460
213,A036120,SCI평가정보,20201006,5260
214,A036120,SCI평가정보,20201005,5480
215,A036120,SCI평가정보,20200929,5070
216,A036120,SCI평가정보,20200928,5620
217,A036120,SCI평가정보,20200925,5200
218,A036120,SCI평가정보,20200924,5530
219,A036120,SCI평가정보,20200923,4260
220,A036120,SCI평가정보,20200922,4190
221,A036120,SCI평가정보,20200921,4430
222,A036120,SCI평가정보,20200918,4635
223,A036120,SCI평가정보,20200917,4620
224,A036120,SCI평가정보,20200916,4790
225,A036120,SCI평가정보,20200915,4820
226,A036120,SCI평가정보,20200914,4860
227,A036120,SCI평가정보,20200911,4900
228,A036120,SCI평가정보,20200910,5040
229,A036120,SCI평가정보,20200909,4900
230,A036120,SCI평가정보,20200908,5050
231,A036120,SCI평가정보,20200907,4905
232,A036120,SCI평가정보,20200904,4830
233,A036120,SCI평가정보,20200903,5000
234,A036120,SCI평가정보,20200902,5090
235,A036120,SCI평가정보,20200901,5150
236,A036120,SCI평가정보,20200831,4845
237,A036120,SCI평가정보,20200828,4855
238,A036120,SCI평가정보,20200827,4700
239,A036120,SCI평가정보,20200826,4890
240,A036120,SCI평가정보,20200825,5040
241,A036120,SCI평가정보,20200824,4820
242,A036120,SCI평가정보,20200821,4635
243,A036120,SCI평가정보,20200820,4550
244,A036120,SCI평가정보,20200819,4900
245,A036120,SCI평가정보,20200818,4600
246,A036120,SCI평가정보,20200814,4870
247,A036120,SCI평가정보,20200813,5100
