,종목코드,종목명,날짜,종가
0,A049470,SGA,20210812,1340
1,A049470,SGA,20210811,1330
2,A049470,SGA,20210810,1390
3,A049470,SGA,20210809,1400
4,A049470,SGA,20210806,1450
5,A049470,SGA,20210805,1485
6,A049470,SGA,20210804,1445
7,A049470,SGA,20210803,1415
8,A049470,SGA,20210802,1385
9,A049470,SGA,20210730,1370
10,A049470,SGA,20210729,1400
11,A049470,SGA,20210728,1370
12,A049470,SGA,20210727,1395
13,A049470,SGA,20210726,1380
14,A049470,SGA,20210723,1405
15,A049470,SGA,20210722,1325
16,A049470,SGA,20210721,1330
17,A049470,SGA,20210720,1310
18,A049470,SGA,20210719,1365
19,A049470,SGA,20210716,1360
20,A049470,SGA,20210715,1380
21,A049470,SGA,20210714,1380
22,A049470,SGA,20210713,1415
23,A049470,SGA,20210712,1385
24,A049470,SGA,20210709,1370
25,A049470,SGA,20210708,1400
26,A049470,SGA,20210707,1435
27,A049470,SGA,20210706,1420
28,A049470,SGA,20210705,1385
29,A049470,SGA,20210702,1395
30,A049470,SGA,20210701,1440
31,A049470,SGA,20210630,1430
32,A049470,SGA,20210629,1455
33,A049470,SGA,20210628,1590
34,A049470,SGA,20210625,1565
35,A049470,SGA,20210624,1490
36,A049470,SGA,20210623,1490
37,A049470,SGA,20210622,1645
38,A049470,SGA,20210621,1615
39,A049470,SGA,20210618,1640
40,A049470,SGA,20210617,1510
41,A049470,SGA,20210616,1165
42,A049470,SGA,20210615,1115
43,A049470,SGA,20210614,1145
44,A049470,SGA,20210611,1140
45,A049470,SGA,20210610,1080
46,A049470,SGA,20210609,1090
47,A049470,SGA,20210608,1150
48,A049470,SGA,20210607,1165
49,A049470,SGA,20210604,1110
50,A049470,SGA,20210603,1025
51,A049470,SGA,20210602,1025
52,A049470,SGA,20210601,1020
53,A049470,SGA,20210531,1010
54,A049470,SGA,20210528,1010
55,A049470,SGA,20210527,1040
56,A049470,SGA,20210526,1020
57,A049470,SGA,20210525,1020
58,A049470,SGA,20210524,995
59,A049470,SGA,20210521,1000
60,A049470,SGA,20210520,960
61,A049470,SGA,20210518,1005
62,A049470,SGA,20210517,1015
63,A049470,SGA,20210514,1005
64,A049470,SGA,20210513,1005
65,A049470,SGA,20210512,1025
66,A049470,SGA,20210511,1070
67,A049470,SGA,20210510,1070
68,A049470,SGA,20210507,1070
69,A049470,SGA,20210506,1050
70,A049470,SGA,20210504,1035
71,A049470,SGA,20210503,1035
72,A049470,SGA,20210430,1050
73,A049470,SGA,20210429,1015
74,A049470,SGA,20210428,1040
75,A049470,SGA,20210427,1070
76,A049470,SGA,20210426,1075
77,A049470,SGA,20210423,1060
78,A049470,SGA,20210422,1080
79,A049470,SGA,20210421,1105
80,A049470,SGA,20210420,1100
81,A049470,SGA,20210419,1095
82,A049470,SGA,20210416,1100
83,A049470,SGA,20210415,1140
84,A049470,SGA,20210414,1160
85,A049470,SGA,20210413,1115
86,A049470,SGA,20210412,1145
87,A049470,SGA,20210409,1105
88,A049470,SGA,20210408,1110
89,A049470,SGA,20210407,1090
90,A049470,SGA,20210406,1140
91,A049470,SGA,20210405,1170
92,A049470,SGA,20210402,1130
93,A049470,SGA,20210401,1135
94,A049470,SGA,20210331,1020
95,A049470,SGA,20210330,1010
96,A049470,SGA,20210329,981
97,A049470,SGA,20210326,969
98,A049470,SGA,20210325,953
99,A049470,SGA,20210324,966
100,A049470,SGA,20210323,957
101,A049470,SGA,20210322,967
102,A049470,SGA,20210319,969
103,A049470,SGA,20210318,969
104,A049470,SGA,20210317,936
