,종목코드,종목명,날짜,종가
0,A001970,SG신성건설,20210812,1510
1,A001970,SG신성건설,20210811,2200
2,A001970,SG신성건설,20210810,2675
3,A001970,SG신성건설,20210809,2060
4,A001970,SG신성건설,20210806,3380
5,A001970,SG신성건설,20210805,2600
6,A001970,SG신성건설,20210804,2600
7,A001970,SG신성건설,20210803,2000
8,A001970,SG신성건설,20210802,2000
9,A001970,SG신성건설,20210730,2000
10,A001970,SG신성건설,20210729,2000
11,A001970,SG신성건설,20210728,2000
12,A001970,SG신성건설,20210727,2675
13,A001970,SG신성건설,20210726,3815
14,A001970,SG신성건설,20210723,2935
15,A001970,SG신성건설,20210722,2260
16,A001970,SG신성건설,20210721,2260
17,A001970,SG신성건설,20210720,2260
18,A001970,SG신성건설,20210719,2260
19,A001970,SG신성건설,20210716,2260
20,A001970,SG신성건설,20210715,2260
21,A001970,SG신성건설,20210714,2260
22,A001970,SG신성건설,20210713,2260
23,A001970,SG신성건설,20210712,2260
24,A001970,SG신성건설,20210709,2260
25,A001970,SG신성건설,20210708,2260
26,A001970,SG신성건설,20210707,2260
27,A001970,SG신성건설,20210706,3210
28,A001970,SG신성건설,20210705,3210
29,A001970,SG신성건설,20210702,3210
30,A001970,SG신성건설,20210701,3210
31,A001970,SG신성건설,20210630,3210
32,A001970,SG신성건설,20210629,3210
33,A001970,SG신성건설,20210628,3210
34,A001970,SG신성건설,20210625,3210
35,A001970,SG신성건설,20210624,4570
36,A001970,SG신성건설,20210623,4570
37,A001970,SG신성건설,20210622,6520
38,A001970,SG신성건설,20210621,6520
39,A001970,SG신성건설,20210618,5020
40,A001970,SG신성건설,20210617,5140
41,A001970,SG신성건설,20210616,4205
42,A001970,SG신성건설,20210615,3645
43,A001970,SG신성건설,20210614,2810
44,A001970,SG신성건설,20210611,4010
45,A001970,SG신성건설,20210610,4010
46,A001970,SG신성건설,20210609,3880
47,A001970,SG신성건설,20210608,3880
48,A001970,SG신성건설,20210607,3885
49,A001970,SG신성건설,20210604,3885
50,A001970,SG신성건설,20210603,4395
51,A001970,SG신성건설,20210602,5020
52,A001970,SG신성건설,20210601,5910
53,A001970,SG신성건설,20210531,5300
54,A001970,SG신성건설,20210528,5410
55,A001970,SG신성건설,20210527,5500
56,A001970,SG신성건설,20210526,5450
57,A001970,SG신성건설,20210525,5680
58,A001970,SG신성건설,20210524,8110
59,A001970,SG신성건설,20210521,6190
60,A001970,SG신성건설,20210520,8840
61,A001970,SG신성건설,20210518,6800
62,A001970,SG신성건설,20210517,5500
63,A001970,SG신성건설,20210514,5700
64,A001970,SG신성건설,20210513,5800
65,A001970,SG신성건설,20210512,3170
66,A001970,SG신성건설,20210511,4520
67,A001970,SG신성건설,20210510,3490
68,A001970,SG신성건설,20210507,3490
69,A001970,SG신성건설,20210506,3490
70,A001970,SG신성건설,20210504,3490
71,A001970,SG신성건설,20210503,3490
72,A001970,SG신성건설,20210430,3490
73,A001970,SG신성건설,20210429,3490
74,A001970,SG신성건설,20210428,3490
75,A001970,SG신성건설,20210427,3490
76,A001970,SG신성건설,20210426,3495
77,A001970,SG신성건설,20210423,3495
78,A001970,SG신성건설,20210422,3495
79,A001970,SG신성건설,20210421,3495
80,A001970,SG신성건설,20210420,2695
81,A001970,SG신성건설,20210419,2695
82,A001970,SG신성건설,20210416,2695
83,A001970,SG신성건설,20210415,2695
84,A001970,SG신성건설,20210414,2695
85,A001970,SG신성건설,20210413,2695
86,A001970,SG신성건설,20210412,2700
87,A001970,SG신성건설,20210409,2705
88,A001970,SG신성건설,20210408,3810
89,A001970,SG신성건설,20210407,3810
90,A001970,SG신성건설,20210406,3810
91,A001970,SG신성건설,20210405,3810
92,A001970,SG신성건설,20210402,3810
93,A001970,SG신성건설,20210401,3810
