,종목코드,종목명,날짜,종가
0,A123700,SJM,20210812,5320
1,A123700,SJM,20210811,5370
2,A123700,SJM,20210810,5450
3,A123700,SJM,20210809,5500
4,A123700,SJM,20210806,5360
5,A123700,SJM,20210805,5400
6,A123700,SJM,20210804,5320
7,A123700,SJM,20210803,5410
8,A123700,SJM,20210802,5430
9,A123700,SJM,20210730,5350
10,A123700,SJM,20210729,5330
11,A123700,SJM,20210728,5130
12,A123700,SJM,20210727,5340
13,A123700,SJM,20210726,5340
14,A123700,SJM,20210723,5300
15,A123700,SJM,20210722,5300
16,A123700,SJM,20210721,5250
17,A123700,SJM,20210720,5330
18,A123700,SJM,20210719,5470
19,A123700,SJM,20210716,5490
20,A123700,SJM,20210715,5610
21,A123700,SJM,20210714,5660
22,A123700,SJM,20210713,5650
23,A123700,SJM,20210712,5600
24,A123700,SJM,20210709,5600
25,A123700,SJM,20210708,5710
26,A123700,SJM,20210707,5840
27,A123700,SJM,20210706,5960
28,A123700,SJM,20210705,6010
29,A123700,SJM,20210702,6040
30,A123700,SJM,20210701,6100
31,A123700,SJM,20210630,6010
32,A123700,SJM,20210629,5810
33,A123700,SJM,20210628,5880
34,A123700,SJM,20210625,5890
35,A123700,SJM,20210624,5850
36,A123700,SJM,20210623,5830
37,A123700,SJM,20210622,5960
38,A123700,SJM,20210621,5920
39,A123700,SJM,20210618,6150
40,A123700,SJM,20210617,5910
41,A123700,SJM,20210616,5940
42,A123700,SJM,20210615,5890
43,A123700,SJM,20210614,5950
44,A123700,SJM,20210611,6030
45,A123700,SJM,20210610,5880
46,A123700,SJM,20210609,5940
47,A123700,SJM,20210608,5950
48,A123700,SJM,20210607,5800
49,A123700,SJM,20210604,5880
50,A123700,SJM,20210603,5950
51,A123700,SJM,20210602,5710
52,A123700,SJM,20210601,5580
53,A123700,SJM,20210531,5760
54,A123700,SJM,20210528,5790
55,A123700,SJM,20210527,5300
56,A123700,SJM,20210526,5450
57,A123700,SJM,20210525,5450
58,A123700,SJM,20210524,5570
59,A123700,SJM,20210521,5980
60,A123700,SJM,20210520,6430
61,A123700,SJM,20210518,5730
62,A123700,SJM,20210517,5420
63,A123700,SJM,20210514,5650
64,A123700,SJM,20210513,5350
65,A123700,SJM,20210512,5750
66,A123700,SJM,20210511,5590
67,A123700,SJM,20210510,5690
68,A123700,SJM,20210507,5660
69,A123700,SJM,20210506,5700
70,A123700,SJM,20210504,6040
71,A123700,SJM,20210503,5530
72,A123700,SJM,20210430,4260
73,A123700,SJM,20210429,4330
74,A123700,SJM,20210428,4345
75,A123700,SJM,20210427,4555
76,A123700,SJM,20210426,4490
77,A123700,SJM,20210423,4470
78,A123700,SJM,20210422,4465
79,A123700,SJM,20210421,4465
80,A123700,SJM,20210420,4440
81,A123700,SJM,20210419,4480
82,A123700,SJM,20210416,4555
83,A123700,SJM,20210415,4315
84,A123700,SJM,20210414,4295
85,A123700,SJM,20210413,4270
86,A123700,SJM,20210412,4270
87,A123700,SJM,20210409,4335
88,A123700,SJM,20210408,4330
89,A123700,SJM,20210407,4325
90,A123700,SJM,20210406,4330
91,A123700,SJM,20210405,4345
92,A123700,SJM,20210402,4285
93,A123700,SJM,20210401,4250
94,A123700,SJM,20210331,4095
95,A123700,SJM,20210330,4145
96,A123700,SJM,20210329,3980
97,A123700,SJM,20210326,3990
98,A123700,SJM,20210325,4000
99,A123700,SJM,20210324,3970
100,A123700,SJM,20210323,3955
101,A123700,SJM,20210322,4020
102,A123700,SJM,20210319,4075
103,A123700,SJM,20210318,4095
104,A123700,SJM,20210317,4090
105,A123700,SJM,20210316,4120
106,A123700,SJM,20210315,4120
107,A123700,SJM,20210312,4070
108,A123700,SJM,20210311,4035
109,A123700,SJM,20210310,4025
110,A123700,SJM,20210309,4080
111,A123700,SJM,20210308,4085
112,A123700,SJM,20210305,4085
113,A123700,SJM,20210304,4085
114,A123700,SJM,20210303,4090
115,A123700,SJM,20210302,4060
116,A123700,SJM,20210226,4070
117,A123700,SJM,20210225,4020
118,A123700,SJM,20210224,3945
119,A123700,SJM,20210223,4280
120,A123700,SJM,20210222,4385
121,A123700,SJM,20210219,4395
122,A123700,SJM,20210218,4400
123,A123700,SJM,20210217,4395
124,A123700,SJM,20210216,4390
125,A123700,SJM,20210215,4360
126,A123700,SJM,20210210,4350
127,A123700,SJM,20210209,4140
128,A123700,SJM,20210208,4215
129,A123700,SJM,20210205,4435
130,A123700,SJM,20210204,4470
131,A123700,SJM,20210203,4495
132,A123700,SJM,20210202,4180
133,A123700,SJM,20210201,4100
134,A123700,SJM,20210129,4020
135,A123700,SJM,20210128,4020
136,A123700,SJM,20210127,4125
137,A123700,SJM,20210126,3885
138,A123700,SJM,20210125,4080
139,A123700,SJM,20210122,4130
140,A123700,SJM,20210121,4235
141,A123700,SJM,20210120,4020
142,A123700,SJM,20210119,4145
143,A123700,SJM,20210118,3740
144,A123700,SJM,20210115,3560
145,A123700,SJM,20210114,3645
146,A123700,SJM,20210113,3740
147,A123700,SJM,20210112,3580
148,A123700,SJM,20210111,3580
149,A123700,SJM,20210108,3530
150,A123700,SJM,20210107,3430
151,A123700,SJM,20210106,3365
152,A123700,SJM,20210105,3435
153,A123700,SJM,20210104,3385
154,A123700,SJM,20201230,3295
155,A123700,SJM,20201229,3370
156,A123700,SJM,20201228,3210
157,A123700,SJM,20201224,3030
158,A123700,SJM,20201223,3035
159,A123700,SJM,20201222,3035
160,A123700,SJM,20201221,3030
161,A123700,SJM,20201218,3015
162,A123700,SJM,20201217,2985
163,A123700,SJM,20201216,2970
164,A123700,SJM,20201215,2930
165,A123700,SJM,20201214,2945
166,A123700,SJM,20201211,2955
167,A123700,SJM,20201210,2920
168,A123700,SJM,20201209,2930
169,A123700,SJM,20201208,2950
170,A123700,SJM,20201207,2910
171,A123700,SJM,20201204,2995
172,A123700,SJM,20201203,3015
173,A123700,SJM,20201202,3015
174,A123700,SJM,20201201,2970
175,A123700,SJM,20201130,3015
176,A123700,SJM,20201127,3050
177,A123700,SJM,20201126,3030
178,A123700,SJM,20201125,3040
179,A123700,SJM,20201124,3075
180,A123700,SJM,20201123,3060
181,A123700,SJM,20201120,3040
182,A123700,SJM,20201119,3040
183,A123700,SJM,20201118,3050
184,A123700,SJM,20201117,3060
185,A123700,SJM,20201116,3025
186,A123700,SJM,20201113,3090
187,A123700,SJM,20201112,3090
188,A123700,SJM,20201111,3110
189,A123700,SJM,20201110,3000
190,A123700,SJM,20201109,2985
191,A123700,SJM,20201106,3015
192,A123700,SJM,20201105,3000
193,A123700,SJM,20201104,2960
194,A123700,SJM,20201103,2965
195,A123700,SJM,20201102,3000
196,A123700,SJM,20201030,3100
197,A123700,SJM,20201029,3250
198,A123700,SJM,20201028,3015
199,A123700,SJM,20201027,3015
200,A123700,SJM,20201026,3115
201,A123700,SJM,20201023,3115
202,A123700,SJM,20201022,3150
203,A123700,SJM,20201021,2985
204,A123700,SJM,20201020,3000
205,A123700,SJM,20201019,2795
206,A123700,SJM,20201016,2660
207,A123700,SJM,20201015,2680
208,A123700,SJM,20201014,2705
209,A123700,SJM,20201013,2695
210,A123700,SJM,20201012,2730
211,A123700,SJM,20201008,2660
212,A123700,SJM,20201007,2585
213,A123700,SJM,20201006,2590
214,A123700,SJM,20201005,2590
215,A123700,SJM,20200929,2570
216,A123700,SJM,20200928,2555
217,A123700,SJM,20200925,2485
218,A123700,SJM,20200924,2475
219,A123700,SJM,20200923,2620
220,A123700,SJM,20200922,2500
221,A123700,SJM,20200921,2535
222,A123700,SJM,20200918,2600
223,A123700,SJM,20200917,2645
224,A123700,SJM,20200916,2630
225,A123700,SJM,20200915,2630
226,A123700,SJM,20200914,2590
227,A123700,SJM,20200911,2605
228,A123700,SJM,20200910,2640
229,A123700,SJM,20200909,2535
230,A123700,SJM,20200908,2520
231,A123700,SJM,20200907,2485
232,A123700,SJM,20200904,2480
233,A123700,SJM,20200903,2480
234,A123700,SJM,20200902,2465
235,A123700,SJM,20200901,2445
236,A123700,SJM,20200831,2405
237,A123700,SJM,20200828,2435
238,A123700,SJM,20200827,2500
239,A123700,SJM,20200826,2465
240,A123700,SJM,20200825,2455
241,A123700,SJM,20200824,2415
242,A123700,SJM,20200821,2400
243,A123700,SJM,20200820,2355
