,辆格内靛,辆格疙,朝楼,辆啊
0,A006125,SK叼胶目滚府快,20210812,41000
1,A006125,SK叼胶目滚府快,20210811,41950
2,A006125,SK叼胶目滚府快,20210810,44150
3,A006125,SK叼胶目滚府快,20210809,39600
4,A006125,SK叼胶目滚府快,20210806,39850
5,A006125,SK叼胶目滚府快,20210805,39300
6,A006125,SK叼胶目滚府快,20210804,39450
7,A006125,SK叼胶目滚府快,20210803,39500
8,A006125,SK叼胶目滚府快,20210802,39850
9,A006125,SK叼胶目滚府快,20210730,39000
10,A006125,SK叼胶目滚府快,20210729,39350
11,A006125,SK叼胶目滚府快,20210728,39200
12,A006125,SK叼胶目滚府快,20210727,39200
13,A006125,SK叼胶目滚府快,20210726,39450
14,A006125,SK叼胶目滚府快,20210723,39500
15,A006125,SK叼胶目滚府快,20210722,39450
16,A006125,SK叼胶目滚府快,20210721,39300
17,A006125,SK叼胶目滚府快,20210720,39800
18,A006125,SK叼胶目滚府快,20210719,39950
19,A006125,SK叼胶目滚府快,20210716,39800
20,A006125,SK叼胶目滚府快,20210715,40300
21,A006125,SK叼胶目滚府快,20210714,40350
22,A006125,SK叼胶目滚府快,20210713,39550
23,A006125,SK叼胶目滚府快,20210712,39500
24,A006125,SK叼胶目滚府快,20210709,39550
25,A006125,SK叼胶目滚府快,20210708,40400
26,A006125,SK叼胶目滚府快,20210707,40950
27,A006125,SK叼胶目滚府快,20210706,40850
28,A006125,SK叼胶目滚府快,20210705,41000
29,A006125,SK叼胶目滚府快,20210702,40900
30,A006125,SK叼胶目滚府快,20210701,40900
31,A006125,SK叼胶目滚府快,20210630,41100
32,A006125,SK叼胶目滚府快,20210629,41050
33,A006125,SK叼胶目滚府快,20210628,40950
34,A006125,SK叼胶目滚府快,20210625,41250
35,A006125,SK叼胶目滚府快,20210624,41100
36,A006125,SK叼胶目滚府快,20210623,41000
37,A006125,SK叼胶目滚府快,20210622,41550
38,A006125,SK叼胶目滚府快,20210621,41850
39,A006125,SK叼胶目滚府快,20210618,42250
40,A006125,SK叼胶目滚府快,20210617,42450
41,A006125,SK叼胶目滚府快,20210616,42500
42,A006125,SK叼胶目滚府快,20210615,42650
43,A006125,SK叼胶目滚府快,20210614,42600
44,A006125,SK叼胶目滚府快,20210611,42750
45,A006125,SK叼胶目滚府快,20210610,42800
46,A006125,SK叼胶目滚府快,20210609,42950
47,A006125,SK叼胶目滚府快,20210608,42900
48,A006125,SK叼胶目滚府快,20210607,42150
49,A006125,SK叼胶目滚府快,20210604,42050
50,A006125,SK叼胶目滚府快,20210603,42400
51,A006125,SK叼胶目滚府快,20210602,42600
52,A006125,SK叼胶目滚府快,20210601,42850
53,A006125,SK叼胶目滚府快,20210531,40450
54,A006125,SK叼胶目滚府快,20210528,40500
55,A006125,SK叼胶目滚府快,20210527,40600
56,A006125,SK叼胶目滚府快,20210526,40700
57,A006125,SK叼胶目滚府快,20210525,40750
58,A006125,SK叼胶目滚府快,20210524,40400
59,A006125,SK叼胶目滚府快,20210521,41550
60,A006125,SK叼胶目滚府快,20210520,42100
61,A006125,SK叼胶目滚府快,20210518,42500
62,A006125,SK叼胶目滚府快,20210517,42550
63,A006125,SK叼胶目滚府快,20210514,42650
64,A006125,SK叼胶目滚府快,20210513,42500
65,A006125,SK叼胶目滚府快,20210512,43500
66,A006125,SK叼胶目滚府快,20210511,44050
67,A006125,SK叼胶目滚府快,20210510,45200
68,A006125,SK叼胶目滚府快,20210507,43600
69,A006125,SK叼胶目滚府快,20210506,42600
70,A006125,SK叼胶目滚府快,20210504,40400
71,A006125,SK叼胶目滚府快,20210503,41300
72,A006125,SK叼胶目滚府快,20210430,41900
73,A006125,SK叼胶目滚府快,20210429,42500
74,A006125,SK叼胶目滚府快,20210428,42900
75,A006125,SK叼胶目滚府快,20210427,43500
76,A006125,SK叼胶目滚府快,20210426,43300
77,A006125,SK叼胶目滚府快,20210423,42650
78,A006125,SK叼胶目滚府快,20210422,42950
79,A006125,SK叼胶目滚府快,20210421,42750
80,A006125,SK叼胶目滚府快,20210420,42800
81,A006125,SK叼胶目滚府快,20210419,42700
82,A006125,SK叼胶目滚府快,20210416,42700
83,A006125,SK叼胶目滚府快,20210415,42800
84,A006125,SK叼胶目滚府快,20210414,43250
85,A006125,SK叼胶目滚府快,20210413,43800
86,A006125,SK叼胶目滚府快,20210412,43000
87,A006125,SK叼胶目滚府快,20210409,42050
88,A006125,SK叼胶目滚府快,20210408,42050
89,A006125,SK叼胶目滚府快,20210407,41300
90,A006125,SK叼胶目滚府快,20210406,41550
91,A006125,SK叼胶目滚府快,20210405,43100
92,A006125,SK叼胶目滚府快,20210402,43800
93,A006125,SK叼胶目滚府快,20210401,43700
94,A006125,SK叼胶目滚府快,20210331,43700
95,A006125,SK叼胶目滚府快,20210330,44950
96,A006125,SK叼胶目滚府快,20210329,44950
97,A006125,SK叼胶目滚府快,20210326,46700
98,A006125,SK叼胶目滚府快,20210325,45150
99,A006125,SK叼胶目滚府快,20210324,44850
100,A006125,SK叼胶目滚府快,20210323,44600
101,A006125,SK叼胶目滚府快,20210322,44800
102,A006125,SK叼胶目滚府快,20210319,47000
103,A006125,SK叼胶目滚府快,20210318,48700
104,A006125,SK叼胶目滚府快,20210317,51600
105,A006125,SK叼胶目滚府快,20210316,51100
106,A006125,SK叼胶目滚府快,20210315,52400
107,A006125,SK叼胶目滚府快,20210312,53700
108,A006125,SK叼胶目滚府快,20210311,50000
109,A006125,SK叼胶目滚府快,20210310,51000
110,A006125,SK叼胶目滚府快,20210309,46000
111,A006125,SK叼胶目滚府快,20210308,48350
112,A006125,SK叼胶目滚府快,20210305,49900
113,A006125,SK叼胶目滚府快,20210304,49500
114,A006125,SK叼胶目滚府快,20210303,51900
115,A006125,SK叼胶目滚府快,20210302,53800
116,A006125,SK叼胶目滚府快,20210226,53700
117,A006125,SK叼胶目滚府快,20210225,55000
118,A006125,SK叼胶目滚府快,20210224,54300
119,A006125,SK叼胶目滚府快,20210223,54600
120,A006125,SK叼胶目滚府快,20210222,54000
121,A006125,SK叼胶目滚府快,20210219,55200
122,A006125,SK叼胶目滚府快,20210218,55300
123,A006125,SK叼胶目滚府快,20210217,57200
124,A006125,SK叼胶目滚府快,20210216,58500
125,A006125,SK叼胶目滚府快,20210215,56400
126,A006125,SK叼胶目滚府快,20210210,55700
127,A006125,SK叼胶目滚府快,20210209,56000
128,A006125,SK叼胶目滚府快,20210208,56500
129,A006125,SK叼胶目滚府快,20210205,56900
130,A006125,SK叼胶目滚府快,20210204,57200
131,A006125,SK叼胶目滚府快,20210203,57700
132,A006125,SK叼胶目滚府快,20210202,56200
133,A006125,SK叼胶目滚府快,20210201,55100
134,A006125,SK叼胶目滚府快,20210129,53500
135,A006125,SK叼胶目滚府快,20210128,54200
136,A006125,SK叼胶目滚府快,20210127,54600
137,A006125,SK叼胶目滚府快,20210126,57100
138,A006125,SK叼胶目滚府快,20210125,56300
139,A006125,SK叼胶目滚府快,20210122,55200
140,A006125,SK叼胶目滚府快,20210121,54700
141,A006125,SK叼胶目滚府快,20210120,52600
142,A006125,SK叼胶目滚府快,20210119,51500
143,A006125,SK叼胶目滚府快,20210118,51200
144,A006125,SK叼胶目滚府快,20210115,50700
145,A006125,SK叼胶目滚府快,20210114,52000
146,A006125,SK叼胶目滚府快,20210113,52700
147,A006125,SK叼胶目滚府快,20210112,52300
148,A006125,SK叼胶目滚府快,20210111,52500
149,A006125,SK叼胶目滚府快,20210108,55100
150,A006125,SK叼胶目滚府快,20210107,55800
151,A006125,SK叼胶目滚府快,20210106,55900
152,A006125,SK叼胶目滚府快,20210105,56500
153,A006125,SK叼胶目滚府快,20210104,57100
154,A006125,SK叼胶目滚府快,20201230,56500
155,A006125,SK叼胶目滚府快,20201229,56600
156,A006125,SK叼胶目滚府快,20201228,55400
157,A006125,SK叼胶目滚府快,20201224,55600
158,A006125,SK叼胶目滚府快,20201223,55800
159,A006125,SK叼胶目滚府快,20201222,55900
160,A006125,SK叼胶目滚府快,20201221,58300
161,A006125,SK叼胶目滚府快,20201218,55000
162,A006125,SK叼胶目滚府快,20201217,54700
163,A006125,SK叼胶目滚府快,20201216,54900
164,A006125,SK叼胶目滚府快,20201215,53900
165,A006125,SK叼胶目滚府快,20201214,54200
166,A006125,SK叼胶目滚府快,20201211,55100
167,A006125,SK叼胶目滚府快,20201210,55300
168,A006125,SK叼胶目滚府快,20201209,55400
169,A006125,SK叼胶目滚府快,20201208,55300
170,A006125,SK叼胶目滚府快,20201207,56200
171,A006125,SK叼胶目滚府快,20201204,57300
172,A006125,SK叼胶目滚府快,20201203,58600
173,A006125,SK叼胶目滚府快,20201202,58600
174,A006125,SK叼胶目滚府快,20201201,59800
175,A006125,SK叼胶目滚府快,20201130,59800
176,A006125,SK叼胶目滚府快,20201127,59700
177,A006125,SK叼胶目滚府快,20201126,58600
178,A006125,SK叼胶目滚府快,20201125,58700
179,A006125,SK叼胶目滚府快,20201124,61300
180,A006125,SK叼胶目滚府快,20201123,62600
181,A006125,SK叼胶目滚府快,20201120,62900
182,A006125,SK叼胶目滚府快,20201119,63800
183,A006125,SK叼胶目滚府快,20201118,62200
184,A006125,SK叼胶目滚府快,20201117,56200
185,A006125,SK叼胶目滚府快,20201116,55500
186,A006125,SK叼胶目滚府快,20201113,56500
187,A006125,SK叼胶目滚府快,20201112,56700
188,A006125,SK叼胶目滚府快,20201111,55500
189,A006125,SK叼胶目滚府快,20201110,58400
190,A006125,SK叼胶目滚府快,20201109,59400
191,A006125,SK叼胶目滚府快,20201106,57500
192,A006125,SK叼胶目滚府快,20201105,56600
193,A006125,SK叼胶目滚府快,20201104,54500
194,A006125,SK叼胶目滚府快,20201103,53000
195,A006125,SK叼胶目滚府快,20201102,51400
196,A006125,SK叼胶目滚府快,20201030,51500
197,A006125,SK叼胶目滚府快,20201029,53500
198,A006125,SK叼胶目滚府快,20201028,53700
199,A006125,SK叼胶目滚府快,20201027,52500
200,A006125,SK叼胶目滚府快,20201026,51700
201,A006125,SK叼胶目滚府快,20201023,52100
202,A006125,SK叼胶目滚府快,20201022,52400
203,A006125,SK叼胶目滚府快,20201021,54800
204,A006125,SK叼胶目滚府快,20201020,50800
205,A006125,SK叼胶目滚府快,20201019,52000
206,A006125,SK叼胶目滚府快,20201016,53000
207,A006125,SK叼胶目滚府快,20201015,54400
208,A006125,SK叼胶目滚府快,20201014,54800
209,A006125,SK叼胶目滚府快,20201013,54800
210,A006125,SK叼胶目滚府快,20201012,55600
211,A006125,SK叼胶目滚府快,20201008,55400
212,A006125,SK叼胶目滚府快,20201007,53100
213,A006125,SK叼胶目滚府快,20201006,53100
214,A006125,SK叼胶目滚府快,20201005,51900
215,A006125,SK叼胶目滚府快,20200929,53000
216,A006125,SK叼胶目滚府快,20200928,52200
217,A006125,SK叼胶目滚府快,20200925,58300
218,A006125,SK叼胶目滚府快,20200924,46250
219,A006125,SK叼胶目滚府快,20200923,50700
220,A006125,SK叼胶目滚府快,20200922,50700
221,A006125,SK叼胶目滚府快,20200921,55500
222,A006125,SK叼胶目滚府快,20200918,58500
223,A006125,SK叼胶目滚府快,20200917,58600
224,A006125,SK叼胶目滚府快,20200916,60300
225,A006125,SK叼胶目滚府快,20200915,62900
226,A006125,SK叼胶目滚府快,20200914,62400
227,A006125,SK叼胶目滚府快,20200911,60600
228,A006125,SK叼胶目滚府快,20200910,60900
229,A006125,SK叼胶目滚府快,20200909,57500
230,A006125,SK叼胶目滚府快,20200908,62700
231,A006125,SK叼胶目滚府快,20200907,65700
232,A006125,SK叼胶目滚府快,20200904,65900
233,A006125,SK叼胶目滚府快,20200903,67900
234,A006125,SK叼胶目滚府快,20200902,67800
235,A006125,SK叼胶目滚府快,20200901,67800
236,A006125,SK叼胶目滚府快,20200831,66200
237,A006125,SK叼胶目滚府快,20200828,64400
238,A006125,SK叼胶目滚府快,20200827,65200
239,A006125,SK叼胶目滚府快,20200826,68000
240,A006125,SK叼胶目滚府快,20200825,70200
241,A006125,SK叼胶目滚府快,20200824,70000
242,A006125,SK叼胶目滚府快,20200821,68100
243,A006125,SK叼胶目滚府快,20200820,66500
244,A006125,SK叼胶目滚府快,20200819,72000
245,A006125,SK叼胶目滚府快,20200818,69500
246,A006125,SK叼胶目滚府快,20200814,75500
247,A006125,SK叼胶目滚府快,20200813,71400
248,A006125,SK叼胶目滚府快,20200812,73900
249,A006125,SK叼胶目滚府快,20200811,70000
250,A006125,SK叼胶目滚府快,20200810,66400
251,A006125,SK叼胶目滚府快,20200807,51100
252,A006125,SK叼胶目滚府快,20200806,51100
253,A006125,SK叼胶目滚府快,20200805,51800
254,A006125,SK叼胶目滚府快,20200804,53100
255,A006125,SK叼胶目滚府快,20200803,52700
256,A006125,SK叼胶目滚府快,20200731,54400
257,A006125,SK叼胶目滚府快,20200730,60000
258,A006125,SK叼胶目滚府快,20200729,65900
259,A006125,SK叼胶目滚府快,20200728,65900
260,A006125,SK叼胶目滚府快,20200727,59000
261,A006125,SK叼胶目滚府快,20200724,47000
262,A006125,SK叼胶目滚府快,20200723,46450
263,A006125,SK叼胶目滚府快,20200722,35750
264,A006125,SK叼胶目滚府快,20200721,27500
265,A006125,SK叼胶目滚府快,20200720,27600
266,A006125,SK叼胶目滚府快,20200717,27200
267,A006125,SK叼胶目滚府快,20200716,27250
268,A006125,SK叼胶目滚府快,20200715,27900
269,A006125,SK叼胶目滚府快,20200714,28850
270,A006125,SK叼胶目滚府快,20200713,28900
271,A006125,SK叼胶目滚府快,20200710,28700
272,A006125,SK叼胶目滚府快,20200709,31400
273,A006125,SK叼胶目滚府快,20200708,29800
274,A006125,SK叼胶目滚府快,20200707,25400
275,A006125,SK叼胶目滚府快,20200706,27450
276,A006125,SK叼胶目滚府快,20200703,26750
277,A006125,SK叼胶目滚府快,20200702,30500
278,A006125,SK叼胶目滚府快,20200701,43000
279,A006125,SK叼胶目滚府快,20200630,33100
280,A006125,SK叼胶目滚府快,20200629,33950
281,A006125,SK叼胶目滚府快,20200626,34750
282,A006125,SK叼胶目滚府快,20200625,28900
283,A006125,SK叼胶目滚府快,20200624,23250
284,A006125,SK叼胶目滚府快,20200623,23500
285,A006125,SK叼胶目滚府快,20200622,24200
286,A006125,SK叼胶目滚府快,20200619,24050
287,A006125,SK叼胶目滚府快,20200618,26700
288,A006125,SK叼胶目滚府快,20200617,26700
289,A006125,SK叼胶目滚府快,20200616,28100
290,A006125,SK叼胶目滚府快,20200615,29950
291,A006125,SK叼胶目滚府快,20200612,23050
292,A006125,SK叼胶目滚府快,20200611,20350
293,A006125,SK叼胶目滚府快,20200610,21000
294,A006125,SK叼胶目滚府快,20200609,19400
295,A006125,SK叼胶目滚府快,20200608,18650
296,A006125,SK叼胶目滚府快,20200605,18200
297,A006125,SK叼胶目滚府快,20200604,18050
298,A006125,SK叼胶目滚府快,20200603,18000
299,A006125,SK叼胶目滚府快,20200602,17900
300,A006125,SK叼胶目滚府快,20200601,17850
301,A006125,SK叼胶目滚府快,20200529,17800
302,A006125,SK叼胶目滚府快,20200528,17650
303,A006125,SK叼胶目滚府快,20200527,18400
304,A006125,SK叼胶目滚府快,20200526,19200
305,A006125,SK叼胶目滚府快,20200525,17450
306,A006125,SK叼胶目滚府快,20200522,17450
307,A006125,SK叼胶目滚府快,20200521,17950
308,A006125,SK叼胶目滚府快,20200520,17800
309,A006125,SK叼胶目滚府快,20200519,18200
310,A006125,SK叼胶目滚府快,20200518,18200
311,A006125,SK叼胶目滚府快,20200515,17150
312,A006125,SK叼胶目滚府快,20200514,17150
313,A006125,SK叼胶目滚府快,20200513,16750
314,A006125,SK叼胶目滚府快,20200512,16650
315,A006125,SK叼胶目滚府快,20200511,16550
316,A006125,SK叼胶目滚府快,20200508,16550
317,A006125,SK叼胶目滚府快,20200507,16300
318,A006125,SK叼胶目滚府快,20200506,16250
319,A006125,SK叼胶目滚府快,20200504,15850
320,A006125,SK叼胶目滚府快,20200429,16000
321,A006125,SK叼胶目滚府快,20200428,15750
322,A006125,SK叼胶目滚府快,20200427,15750
323,A006125,SK叼胶目滚府快,20200424,15400
324,A006125,SK叼胶目滚府快,20200423,15850
325,A006125,SK叼胶目滚府快,20200422,15400
326,A006125,SK叼胶目滚府快,20200421,15450
327,A006125,SK叼胶目滚府快,20200420,16000
328,A006125,SK叼胶目滚府快,20200417,16300
329,A006125,SK叼胶目滚府快,20200416,16450
330,A006125,SK叼胶目滚府快,20200414,16200
331,A006125,SK叼胶目滚府快,20200413,16500
332,A006125,SK叼胶目滚府快,20200410,16150
333,A006125,SK叼胶目滚府快,20200409,16850
334,A006125,SK叼胶目滚府快,20200408,16750
335,A006125,SK叼胶目滚府快,20200407,15250
