,종목코드,종목명,날짜,종가
0,A252000,TIGER 200동일가중,20210812,13365
1,A252000,TIGER 200동일가중,20210811,13365
2,A252000,TIGER 200동일가중,20210810,13365
3,A252000,TIGER 200동일가중,20210809,13400
4,A252000,TIGER 200동일가중,20210806,13510
5,A252000,TIGER 200동일가중,20210805,13530
6,A252000,TIGER 200동일가중,20210804,13505
7,A252000,TIGER 200동일가중,20210803,13320
8,A252000,TIGER 200동일가중,20210802,13425
9,A252000,TIGER 200동일가중,20210730,13420
10,A252000,TIGER 200동일가중,20210729,13570
11,A252000,TIGER 200동일가중,20210728,13430
12,A252000,TIGER 200동일가중,20210727,13475
13,A252000,TIGER 200동일가중,20210726,13475
14,A252000,TIGER 200동일가중,20210723,13590
15,A252000,TIGER 200동일가중,20210722,13520
16,A252000,TIGER 200동일가중,20210721,13420
17,A252000,TIGER 200동일가중,20210720,13410
18,A252000,TIGER 200동일가중,20210719,13500
19,A252000,TIGER 200동일가중,20210716,13625
20,A252000,TIGER 200동일가중,20210715,13625
21,A252000,TIGER 200동일가중,20210714,13540
22,A252000,TIGER 200동일가중,20210713,13550
23,A252000,TIGER 200동일가중,20210712,13440
24,A252000,TIGER 200동일가중,20210709,13260
25,A252000,TIGER 200동일가중,20210708,13470
26,A252000,TIGER 200동일가중,20210707,13595
27,A252000,TIGER 200동일가중,20210706,13765
28,A252000,TIGER 200동일가중,20210705,13710
29,A252000,TIGER 200동일가중,20210702,13710
30,A252000,TIGER 200동일가중,20210701,13665
31,A252000,TIGER 200동일가중,20210630,13680
32,A252000,TIGER 200동일가중,20210629,13680
33,A252000,TIGER 200동일가중,20210628,13715
34,A252000,TIGER 200동일가중,20210625,13670
35,A252000,TIGER 200동일가중,20210624,13535
36,A252000,TIGER 200동일가중,20210623,13535
37,A252000,TIGER 200동일가중,20210622,13590
38,A252000,TIGER 200동일가중,20210621,13415
39,A252000,TIGER 200동일가중,20210618,13565
40,A252000,TIGER 200동일가중,20210617,13560
41,A252000,TIGER 200동일가중,20210616,13560
42,A252000,TIGER 200동일가중,20210615,13535
43,A252000,TIGER 200동일가중,20210614,13535
44,A252000,TIGER 200동일가중,20210611,13570
45,A252000,TIGER 200동일가중,20210610,13560
46,A252000,TIGER 200동일가중,20210609,13580
47,A252000,TIGER 200동일가중,20210608,13725
