,종목코드,종목명,날짜,종가
0,A289260,TIGER MSCI KOREA ESG리더스,20210812,12070
1,A289260,TIGER MSCI KOREA ESG리더스,20210811,12030
2,A289260,TIGER MSCI KOREA ESG리더스,20210810,12130
3,A289260,TIGER MSCI KOREA ESG리더스,20210809,12180
4,A289260,TIGER MSCI KOREA ESG리더스,20210806,12225
5,A289260,TIGER MSCI KOREA ESG리더스,20210805,12265
6,A289260,TIGER MSCI KOREA ESG리더스,20210804,12240
7,A289260,TIGER MSCI KOREA ESG리더스,20210803,12115
8,A289260,TIGER MSCI KOREA ESG리더스,20210802,12085
9,A289260,TIGER MSCI KOREA ESG리더스,20210730,12010
10,A289260,TIGER MSCI KOREA ESG리더스,20210729,12220
11,A289260,TIGER MSCI KOREA ESG리더스,20210728,12155
12,A289260,TIGER MSCI KOREA ESG리더스,20210727,12220
13,A289260,TIGER MSCI KOREA ESG리더스,20210726,12160
14,A289260,TIGER MSCI KOREA ESG리더스,20210723,12255
15,A289260,TIGER MSCI KOREA ESG리더스,20210722,12200
16,A289260,TIGER MSCI KOREA ESG리더스,20210721,12155
17,A289260,TIGER MSCI KOREA ESG리더스,20210720,12150
18,A289260,TIGER MSCI KOREA ESG리더스,20210719,12295
19,A289260,TIGER MSCI KOREA ESG리더스,20210716,12375
20,A289260,TIGER MSCI KOREA ESG리더스,20210715,12450
21,A289260,TIGER MSCI KOREA ESG리더스,20210714,12395
22,A289260,TIGER MSCI KOREA ESG리더스,20210713,12480
23,A289260,TIGER MSCI KOREA ESG리더스,20210712,12215
24,A289260,TIGER MSCI KOREA ESG리더스,20210709,12175
25,A289260,TIGER MSCI KOREA ESG리더스,20210708,12330
26,A289260,TIGER MSCI KOREA ESG리더스,20210707,12440
27,A289260,TIGER MSCI KOREA ESG리더스,20210706,12485
28,A289260,TIGER MSCI KOREA ESG리더스,20210705,12430
29,A289260,TIGER MSCI KOREA ESG리더스,20210702,12350
30,A289260,TIGER MSCI KOREA ESG리더스,20210701,12350
31,A289260,TIGER MSCI KOREA ESG리더스,20210630,12445
32,A289260,TIGER MSCI KOREA ESG리더스,20210629,12350
33,A289260,TIGER MSCI KOREA ESG리더스,20210628,12375
34,A289260,TIGER MSCI KOREA ESG리더스,20210625,12425
35,A289260,TIGER MSCI KOREA ESG리더스,20210624,12410
36,A289260,TIGER MSCI KOREA ESG리더스,20210623,12355
37,A289260,TIGER MSCI KOREA ESG리더스,20210622,12265
38,A289260,TIGER MSCI KOREA ESG리더스,20210621,12210
39,A289260,TIGER MSCI KOREA ESG리더스,20210618,12295
40,A289260,TIGER MSCI KOREA ESG리더스,20210617,12235
41,A289260,TIGER MSCI KOREA ESG리더스,20210616,12270
42,A289260,TIGER MSCI KOREA ESG리더스,20210615,12225
43,A289260,TIGER MSCI KOREA ESG리더스,20210614,12160
44,A289260,TIGER MSCI KOREA ESG리더스,20210611,12110
45,A289260,TIGER MSCI KOREA ESG리더스,20210610,11950
46,A289260,TIGER MSCI KOREA ESG리더스,20210609,11895
47,A289260,TIGER MSCI KOREA ESG리더스,20210608,12035
