,종목코드,종목명,날짜,종가
0,A394660,TIGER 글로벌자율주행&전기차SOLACTIVE,20210812,10920
1,A394660,TIGER 글로벌자율주행&전기차SOLACTIVE,20210811,10870
2,A394660,TIGER 글로벌자율주행&전기차SOLACTIVE,20210810,10690
3,A394660,TIGER 글로벌자율주행&전기차SOLACTIVE,20210809,10600
4,A394660,TIGER 글로벌자율주행&전기차SOLACTIVE,20210806,10610
5,A394660,TIGER 글로벌자율주행&전기차SOLACTIVE,20210805,10575
6,A394660,TIGER 글로벌자율주행&전기차SOLACTIVE,20210804,10665
7,A394660,TIGER 글로벌자율주행&전기차SOLACTIVE,20210803,10700
8,A394660,TIGER 글로벌자율주행&전기차SOLACTIVE,20210802,10760
9,A394660,TIGER 글로벌자율주행&전기차SOLACTIVE,20210730,10565
10,A394660,TIGER 글로벌자율주행&전기차SOLACTIVE,20210729,10470
11,A394660,TIGER 글로벌자율주행&전기차SOLACTIVE,20210728,10320
12,A394660,TIGER 글로벌자율주행&전기차SOLACTIVE,20210727,10380
13,A394660,TIGER 글로벌자율주행&전기차SOLACTIVE,20210726,10365
14,A394660,TIGER 글로벌자율주행&전기차SOLACTIVE,20210723,10335
15,A394660,TIGER 글로벌자율주행&전기차SOLACTIVE,20210722,10450
16,A394660,TIGER 글로벌자율주행&전기차SOLACTIVE,20210721,10250
17,A394660,TIGER 글로벌자율주행&전기차SOLACTIVE,20210720,10065
