,Á¾¸ñÄÚµå,Á¾¸ñ¸í,³¯Â¥,Á¾°¡
0,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210812,6640
1,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210811,6625
2,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210810,6555
3,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210809,6600
4,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210806,6530
5,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210805,6510
6,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210804,6565
7,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210803,6560
8,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210802,6500
9,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210730,6570
10,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210729,6530
11,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210728,6460
12,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210727,6515
13,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210726,6410
14,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210723,6510
15,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210722,6550
16,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210721,6545
17,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210720,6530
18,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210719,6550
19,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210716,6480
20,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210715,6445
21,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210714,6310
22,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210713,6250
23,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210712,6155
24,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210709,6170
25,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210708,6250
26,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210707,6300
27,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210706,6590
28,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210705,6585
29,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210702,6650
30,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210701,6620
31,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210630,6290
32,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210629,6295
33,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210628,6160
34,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210625,6205
35,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210624,6200
36,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210623,6240
37,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210622,6375
38,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210621,6290
39,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210618,6170
40,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210617,6430
41,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210616,6530
42,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210615,6560
43,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210614,6640
44,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210611,6855
45,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210610,6830
46,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210609,6810
47,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210608,6855
48,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210607,6860
49,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210604,6610
50,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210603,6700
51,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210602,6670
52,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210601,6500
53,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210531,6415
54,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210528,6470
55,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210527,6240
56,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210526,6230
57,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210525,6380
58,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210524,6330
59,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210521,6430
60,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210520,6465
61,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210518,6560
62,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210517,6465
63,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210514,6655
64,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210513,6850
65,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210512,7040
66,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210511,6850
67,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210510,7020
68,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210507,7025
69,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210506,6905
70,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210504,6655
71,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210503,6715
72,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210430,6455
73,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210429,6460
74,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210428,6445
75,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210427,6645
76,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210426,6475
77,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210423,6370
78,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210422,6250
79,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210421,6110
80,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210420,6000
81,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210419,5985
82,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210416,5920
83,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210415,5905
84,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210414,5800
85,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210413,5730
86,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210412,5775
87,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210409,5770
88,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210408,5670
89,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210407,5670
90,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210406,5640
91,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210405,5670
92,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210402,5660
93,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210401,5790
94,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210331,5485
95,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210330,5555
96,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210329,5585
97,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210326,5595
98,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210325,5655
99,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210324,5655
100,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210323,5645
101,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210322,5665
102,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210319,5620
103,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210318,5715
104,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210317,5740
105,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210316,5720
106,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210315,5645
107,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210312,5655
108,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210311,5650
109,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210310,5700
110,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210309,5715
111,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210308,5800
112,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210305,5670
113,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210304,5700
114,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210303,5710
115,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210302,5615
116,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210226,5720
117,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210225,5835
118,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210224,5765
119,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210223,5795
120,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210222,5715
121,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210219,5690
122,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210218,5680
123,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210217,5710
124,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210216,5650
125,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210215,5595
126,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210210,5680
127,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210209,5755
128,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210208,5645
129,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210205,5625
130,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210204,5620
131,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210203,5560
132,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210202,5615
133,A137610,TIGER ³ó»ê¹°¼±¹°Enhanced(H),20210201,5675
