,종목코드,종목명,날짜,종가
0,A305080,TIGER 미국채10년선물,20210812,11960
1,A305080,TIGER 미국채10년선물,20210811,11940
2,A305080,TIGER 미국채10년선물,20210810,11910
3,A305080,TIGER 미국채10년선물,20210809,11860
4,A305080,TIGER 미국채10년선물,20210806,11870
5,A305080,TIGER 미국채10년선물,20210805,11935
6,A305080,TIGER 미국채10년선물,20210804,11955
7,A305080,TIGER 미국채10년선물,20210803,11990
8,A305080,TIGER 미국채10년선물,20210802,12000
9,A305080,TIGER 미국채10년선물,20210730,11985
10,A305080,TIGER 미국채10년선물,20210729,11935
11,A305080,TIGER 미국채10년선물,20210728,12020
12,A305080,TIGER 미국채10년선물,20210727,11955
13,A305080,TIGER 미국채10년선물,20210726,12020
14,A305080,TIGER 미국채10년선물,20210723,11960
15,A305080,TIGER 미국채10년선물,20210722,11950
16,A305080,TIGER 미국채10년선물,20210721,12055
17,A305080,TIGER 미국채10년선물,20210720,11990
18,A305080,TIGER 미국채10년선물,20210719,11885
19,A305080,TIGER 미국채10년선물,20210716,11795
20,A305080,TIGER 미국채10년선물,20210715,11775
21,A305080,TIGER 미국채10년선물,20210714,11835
22,A305080,TIGER 미국채10년선물,20210713,11865
23,A305080,TIGER 미국채10년선물,20210712,11835
24,A305080,TIGER 미국채10년선물,20210709,11895
25,A305080,TIGER 미국채10년선물,20210708,11825
26,A305080,TIGER 미국채10년선물,20210707,11735
27,A305080,TIGER 미국채10년선물,20210706,11595
28,A305080,TIGER 미국채10년선물,20210705,11625
29,A305080,TIGER 미국채10년선물,20210702,11610
30,A305080,TIGER 미국채10년선물,20210701,11610
31,A305080,TIGER 미국채10년선물,20210630,11520
32,A305080,TIGER 미국채10년선물,20210629,11550
33,A305080,TIGER 미국채10년선물,20210628,11545
34,A305080,TIGER 미국채10년선물,20210625,11535
35,A305080,TIGER 미국채10년선물,20210624,11600
36,A305080,TIGER 미국채10년선물,20210623,11625
37,A305080,TIGER 미국채10년선물,20210622,11590
38,A305080,TIGER 미국채10년선물,20210621,11645
39,A305080,TIGER 미국채10년선물,20210618,11535
40,A305080,TIGER 미국채10년선물,20210617,11520
41,A305080,TIGER 미국채10년선물,20210616,11435
42,A305080,TIGER 미국채10년선물,20210615,11460
43,A305080,TIGER 미국채10년선물,20210614,11475
44,A305080,TIGER 미국채10년선물,20210611,11410
45,A305080,TIGER 미국채10년선물,20210610,11440
46,A305080,TIGER 미국채10년선물,20210609,11425
47,A305080,TIGER 미국채10년선물,20210608,11380
48,A305080,TIGER 미국채10년선물,20210607,11365
49,A305080,TIGER 미국채10년선물,20210604,11350
50,A305080,TIGER 미국채10년선물,20210603,11335
51,A305080,TIGER 미국채10년선물,20210602,11340
52,A305080,TIGER 미국채10년선물,20210601,11265
53,A305080,TIGER 미국채10년선물,20210531,11320
54,A305080,TIGER 미국채10년선물,20210528,11350
55,A305080,TIGER 미국채10년선물,20210527,11400
56,A305080,TIGER 미국채10년선물,20210526,11395
57,A305080,TIGER 미국채10년선물,20210525,11425
58,A305080,TIGER 미국채10년선물,20210524,11460
59,A305080,TIGER 미국채10년선물,20210521,11455
60,A305080,TIGER 미국채10년선물,20210520,11480
61,A305080,TIGER 미국채10년선물,20210518,11475
62,A305080,TIGER 미국채10년선물,20210517,11540
63,A305080,TIGER 미국채10년선물,20210514,11440
64,A305080,TIGER 미국채10년선물,20210513,11440
65,A305080,TIGER 미국채10년선물,20210512,11430
66,A305080,TIGER 미국채10년선물,20210511,11395
67,A305080,TIGER 미국채10년선물,20210510,11345
68,A305080,TIGER 미국채10년선물,20210507,11415
69,A305080,TIGER 미국채10년선물,20210506,11455
70,A305080,TIGER 미국채10년선물,20210504,11405
71,A305080,TIGER 미국채10년선물,20210503,11380
72,A305080,TIGER 미국채10년선물,20210430,11255
73,A305080,TIGER 미국채10년선물,20210429,11210
74,A305080,TIGER 미국채10년선물,20210428,11265
75,A305080,TIGER 미국채10년선물,20210427,11275
76,A305080,TIGER 미국채10년선물,20210426,11300
77,A305080,TIGER 미국채10년선물,20210423,11375
78,A305080,TIGER 미국채10년선물,20210422,11380
79,A305080,TIGER 미국채10년선물,20210421,11380
80,A305080,TIGER 미국채10년선물,20210420,11270
81,A305080,TIGER 미국채10년선물,20210419,11360
82,A305080,TIGER 미국채10년선물,20210416,11330
83,A305080,TIGER 미국채10년선물,20210415,11310
84,A305080,TIGER 미국채10년선물,20210414,11320
85,A305080,TIGER 미국채10년선물,20210413,11365
86,A305080,TIGER 미국채10년선물,20210412,11380
87,A305080,TIGER 미국채10년선물,20210409,11340
88,A305080,TIGER 미국채10년선물,20210408,11305
89,A305080,TIGER 미국채10년선물,20210407,11290
90,A305080,TIGER 미국채10년선물,20210406,11260
91,A305080,TIGER 미국채10년선물,20210405,11335
92,A305080,TIGER 미국채10년선물,20210402,11370
93,A305080,TIGER 미국채10년선물,20210401,11390
94,A305080,TIGER 미국채10년선물,20210331,11400
95,A305080,TIGER 미국채10년선물,20210330,11415
96,A305080,TIGER 미국채10년선물,20210329,11460
97,A305080,TIGER 미국채10년선물,20210326,11440
98,A305080,TIGER 미국채10년선물,20210325,11495
99,A305080,TIGER 미국채10년선물,20210324,11505
100,A305080,TIGER 미국채10년선물,20210323,11405
101,A305080,TIGER 미국채10년선물,20210322,11410
102,A305080,TIGER 미국채10년선물,20210319,11405
103,A305080,TIGER 미국채10년선물,20210318,11385
104,A305080,TIGER 미국채10년선물,20210317,11455
105,A305080,TIGER 미국채10년선물,20210316,11465
106,A305080,TIGER 미국채10년선물,20210315,11505
107,A305080,TIGER 미국채10년선물,20210312,11500
108,A305080,TIGER 미국채10년선물,20210311,11575
109,A305080,TIGER 미국채10년선물,20210310,11610
110,A305080,TIGER 미국채10년선물,20210309,11555
111,A305080,TIGER 미국채10년선물,20210308,11480
112,A305080,TIGER 미국채10년선물,20210305,11460
113,A305080,TIGER 미국채10년선물,20210304,11510
