,Á¾¸ñÄÚµå,Á¾¸ñ¸í,³¯Â¥,Á¾°¡
0,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210812,12700
1,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210811,12715
2,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210810,12805
3,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210809,12870
4,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210806,12930
5,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210805,12980
6,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210804,12925
7,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210803,12810
8,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210802,12710
9,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210730,12600
10,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210729,12780
11,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210728,12700
12,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210727,12595
13,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210726,12505
14,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210723,12625
15,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210722,12595
16,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210721,12430
17,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210720,12385
18,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210719,12450
19,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210716,12615
20,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210715,12615
21,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210714,12550
22,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210713,12580
23,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210712,12475
24,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210709,12330
25,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210708,12495
26,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210707,12650
27,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210706,12730
28,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210705,12620
29,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210702,12585
30,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210701,12570
31,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210630,12595
32,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210629,12600
33,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210628,12655
34,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210625,12595
35,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210624,12595
36,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210623,12475
37,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210622,12460
38,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210621,12390
39,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210618,12515
40,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210617,12505
41,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210616,12530
42,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210615,12480
43,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210614,12465
44,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210611,12520
45,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210610,12435
46,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210609,12385
47,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210608,12500
48,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210607,12505
49,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210604,12495
50,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210603,12500
51,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210602,12375
52,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210601,12350
53,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210531,12300
54,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210528,12325
55,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210527,12265
56,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210526,12295
57,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210525,12310
58,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210524,12275
59,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210521,12335
60,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210520,12345
61,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210518,12340
62,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210517,12285
63,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210514,12375
64,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210513,12055
65,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210512,12290
66,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210511,12355
67,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210510,12540
68,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210507,12380
69,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210506,12290
70,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210504,12315
71,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210503,12275
72,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210430,12385
73,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210429,12530
74,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210428,12490
75,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210427,12682
76,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210426,12717
77,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210423,12569
78,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210422,12509
79,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210421,12534
80,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210420,12756
81,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210419,12697
82,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210416,12737
83,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210415,12697
84,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210414,12643
85,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210413,12529
86,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210412,12297
87,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210409,12312
88,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210408,12376
89,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210407,12366
90,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210406,12292
91,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210405,12351
92,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210402,12346
93,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210401,12247
94,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210331,12198
95,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210330,12233
96,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210329,12040
97,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210326,12005
98,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210325,11916
99,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210324,11847
100,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210323,11832
101,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210322,11990
102,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210319,12035
103,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210318,12149
104,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210317,12035
105,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210316,12267
106,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210315,12252
107,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210312,12297
108,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210311,12109
109,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210310,11798
110,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210309,11857
111,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210308,11951
112,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210305,12104
113,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210304,12198
114,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210303,12396
115,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210302,12312
116,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210226,12114
117,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210225,12514
118,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210224,12163
119,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210223,12406
120,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210222,12544
121,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210219,12707
122,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210218,12766
123,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210217,12949
124,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210216,13003
125,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210215,12993
126,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210210,12766
127,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210209,12776
128,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210208,12791
129,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210205,12850
130,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210204,12653
131,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210203,12875
132,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210202,12821
133,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210201,12608
134,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210129,12514
135,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210128,12959
136,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210127,13270
137,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210126,13240
138,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210125,13433
139,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210122,13270
140,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210121,13216
141,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210120,12998
142,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210119,13013
143,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210118,12712
144,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210115,13191
145,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210114,13349
146,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210113,13295
147,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210112,13221
148,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210111,13285
149,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210108,13290
150,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210107,12712
151,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210106,12420
152,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210105,12628
153,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20210104,12460
154,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20201230,12119
155,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20201229,11813
156,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20201228,11521
157,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20201224,11516
158,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20201223,11284
159,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20201222,11175
160,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20201221,11225
161,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20201218,11230
162,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20201217,11200
163,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20201216,11249
164,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20201215,11165
165,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20201214,11156
166,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20201211,11225
167,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20201210,11032
168,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20201209,11027
169,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20201208,10904
170,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20201207,10884
171,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20201204,10913
172,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20201203,10834
173,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20201202,10820
174,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20201201,10701
175,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20201130,10543
176,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20201127,10785
177,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20201126,10770
178,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20201125,10696
179,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20201124,10795
180,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20201123,10721
181,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20201120,10390
182,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20201119,10375
183,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20201118,10375
184,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20201117,10385
185,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20201116,10405
186,A138520,TIGER »ï¼º±×·ìÆÝ´õ¸àÅÐ,20201113,10138
