,종목코드,종목명,날짜,종가
0,A307510,TIGER 의료기기,20210812,22250
1,A307510,TIGER 의료기기,20210811,21915
2,A307510,TIGER 의료기기,20210810,21615
3,A307510,TIGER 의료기기,20210809,21625
4,A307510,TIGER 의료기기,20210806,22000
5,A307510,TIGER 의료기기,20210805,22050
6,A307510,TIGER 의료기기,20210804,21650
7,A307510,TIGER 의료기기,20210803,21480
8,A307510,TIGER 의료기기,20210802,21340
9,A307510,TIGER 의료기기,20210730,21000
10,A307510,TIGER 의료기기,20210729,21305
11,A307510,TIGER 의료기기,20210728,20815
12,A307510,TIGER 의료기기,20210727,21145
13,A307510,TIGER 의료기기,20210726,21130
14,A307510,TIGER 의료기기,20210723,21385
15,A307510,TIGER 의료기기,20210722,21100
16,A307510,TIGER 의료기기,20210721,21375
17,A307510,TIGER 의료기기,20210720,21300
18,A307510,TIGER 의료기기,20210719,21420
19,A307510,TIGER 의료기기,20210716,21335
20,A307510,TIGER 의료기기,20210715,21800
21,A307510,TIGER 의료기기,20210714,21870
22,A307510,TIGER 의료기기,20210713,21655
23,A307510,TIGER 의료기기,20210712,22050
24,A307510,TIGER 의료기기,20210709,22110
25,A307510,TIGER 의료기기,20210708,21910
26,A307510,TIGER 의료기기,20210707,22080
27,A307510,TIGER 의료기기,20210706,21310
28,A307510,TIGER 의료기기,20210705,21690
29,A307510,TIGER 의료기기,20210702,21480
30,A307510,TIGER 의료기기,20210701,21580
31,A307510,TIGER 의료기기,20210630,21155
32,A307510,TIGER 의료기기,20210629,20835
33,A307510,TIGER 의료기기,20210628,20800
34,A307510,TIGER 의료기기,20210625,20550
35,A307510,TIGER 의료기기,20210624,20575
36,A307510,TIGER 의료기기,20210623,20750
37,A307510,TIGER 의료기기,20210622,20015
38,A307510,TIGER 의료기기,20210621,20025
39,A307510,TIGER 의료기기,20210618,19695
40,A307510,TIGER 의료기기,20210617,19365
41,A307510,TIGER 의료기기,20210616,19160
42,A307510,TIGER 의료기기,20210615,19070
43,A307510,TIGER 의료기기,20210614,19095
44,A307510,TIGER 의료기기,20210611,18920
45,A307510,TIGER 의료기기,20210610,18915
46,A307510,TIGER 의료기기,20210609,18390
47,A307510,TIGER 의료기기,20210608,18505
48,A307510,TIGER 의료기기,20210607,18465
49,A307510,TIGER 의료기기,20210604,18550
50,A307510,TIGER 의료기기,20210603,18685
51,A307510,TIGER 의료기기,20210602,18680
52,A307510,TIGER 의료기기,20210601,18900
53,A307510,TIGER 의료기기,20210531,18840
54,A307510,TIGER 의료기기,20210528,18875
55,A307510,TIGER 의료기기,20210527,18835
56,A307510,TIGER 의료기기,20210526,18675
57,A307510,TIGER 의료기기,20210525,18605
58,A307510,TIGER 의료기기,20210524,18340
59,A307510,TIGER 의료기기,20210521,18830
60,A307510,TIGER 의료기기,20210520,18935
61,A307510,TIGER 의료기기,20210518,19305
62,A307510,TIGER 의료기기,20210517,19260
63,A307510,TIGER 의료기기,20210514,19500
64,A307510,TIGER 의료기기,20210513,19155
65,A307510,TIGER 의료기기,20210512,19690
66,A307510,TIGER 의료기기,20210511,19820
67,A307510,TIGER 의료기기,20210510,20200
68,A307510,TIGER 의료기기,20210507,20000
69,A307510,TIGER 의료기기,20210506,19785
70,A307510,TIGER 의료기기,20210504,19935
71,A307510,TIGER 의료기기,20210503,19965
72,A307510,TIGER 의료기기,20210430,21080
73,A307510,TIGER 의료기기,20210429,21570
74,A307510,TIGER 의료기기,20210428,21540
75,A307510,TIGER 의료기기,20210427,22003
76,A307510,TIGER 의료기기,20210426,22228
77,A307510,TIGER 의료기기,20210423,21874
78,A307510,TIGER 의료기기,20210422,21500
79,A307510,TIGER 의료기기,20210421,21689
80,A307510,TIGER 의료기기,20210420,21594
81,A307510,TIGER 의료기기,20210419,21450
82,A307510,TIGER 의료기기,20210416,21235
83,A307510,TIGER 의료기기,20210415,20906
84,A307510,TIGER 의료기기,20210414,20537
85,A307510,TIGER 의료기기,20210413,20622
86,A307510,TIGER 의료기기,20210412,20213
87,A307510,TIGER 의료기기,20210409,19495
88,A307510,TIGER 의료기기,20210408,19225
89,A307510,TIGER 의료기기,20210407,18318
90,A307510,TIGER 의료기기,20210406,18004
91,A307510,TIGER 의료기기,20210405,18143
92,A307510,TIGER 의료기기,20210402,18303
93,A307510,TIGER 의료기기,20210401,18412
94,A307510,TIGER 의료기기,20210331,18014
95,A307510,TIGER 의료기기,20210330,18014
96,A307510,TIGER 의료기기,20210329,17979
97,A307510,TIGER 의료기기,20210326,18218
98,A307510,TIGER 의료기기,20210325,18118
99,A307510,TIGER 의료기기,20210324,18073
100,A307510,TIGER 의료기기,20210323,18108
101,A307510,TIGER 의료기기,20210322,18073
102,A307510,TIGER 의료기기,20210319,18143
103,A307510,TIGER 의료기기,20210318,17929
104,A307510,TIGER 의료기기,20210317,17894
105,A307510,TIGER 의료기기,20210316,17644
106,A307510,TIGER 의료기기,20210315,17410
107,A307510,TIGER 의료기기,20210312,17455
108,A307510,TIGER 의료기기,20210311,17131
109,A307510,TIGER 의료기기,20210310,16976
110,A307510,TIGER 의료기기,20210309,16866
111,A307510,TIGER 의료기기,20210308,16876
112,A307510,TIGER 의료기기,20210305,17350
113,A307510,TIGER 의료기기,20210304,17395
114,A307510,TIGER 의료기기,20210303,17624
115,A307510,TIGER 의료기기,20210302,17620
116,A307510,TIGER 의료기기,20210226,17420
117,A307510,TIGER 의료기기,20210225,17505
118,A307510,TIGER 의료기기,20210224,17131
119,A307510,TIGER 의료기기,20210223,17305
120,A307510,TIGER 의료기기,20210222,17994
121,A307510,TIGER 의료기기,20210219,18432
122,A307510,TIGER 의료기기,20210218,18921
123,A307510,TIGER 의료기기,20210217,18916
124,A307510,TIGER 의료기기,20210216,18901
125,A307510,TIGER 의료기기,20210215,19116
126,A307510,TIGER 의료기기,20210210,19181
127,A307510,TIGER 의료기기,20210209,19036
128,A307510,TIGER 의료기기,20210208,19051
129,A307510,TIGER 의료기기,20210205,19151
130,A307510,TIGER 의료기기,20210204,19176
131,A307510,TIGER 의료기기,20210203,19245
132,A307510,TIGER 의료기기,20210202,19310
133,A307510,TIGER 의료기기,20210201,19390
134,A307510,TIGER 의료기기,20210129,18702
135,A307510,TIGER 의료기기,20210128,19305
136,A307510,TIGER 의료기기,20210127,19465
137,A307510,TIGER 의료기기,20210126,19629
138,A307510,TIGER 의료기기,20210125,19749
139,A307510,TIGER 의료기기,20210122,19310
140,A307510,TIGER 의료기기,20210121,19186
141,A307510,TIGER 의료기기,20210120,19166
142,A307510,TIGER 의료기기,20210119,18826
143,A307510,TIGER 의료기기,20210118,18846
144,A307510,TIGER 의료기기,20210115,19575
145,A307510,TIGER 의료기기,20210114,19949
146,A307510,TIGER 의료기기,20210113,19684
147,A307510,TIGER 의료기기,20210112,19565
148,A307510,TIGER 의료기기,20210111,19799
149,A307510,TIGER 의료기기,20210108,20333
150,A307510,TIGER 의료기기,20210107,20856
151,A307510,TIGER 의료기기,20210106,21175
152,A307510,TIGER 의료기기,20210105,21096
153,A307510,TIGER 의료기기,20210104,20986
154,A307510,TIGER 의료기기,20201230,20677
155,A307510,TIGER 의료기기,20201229,20771
156,A307510,TIGER 의료기기,20201228,19240
157,A307510,TIGER 의료기기,20201224,19589
158,A307510,TIGER 의료기기,20201223,19525
159,A307510,TIGER 의료기기,20201222,19959
160,A307510,TIGER 의료기기,20201221,20717
161,A307510,TIGER 의료기기,20201218,20442
162,A307510,TIGER 의료기기,20201217,20248
163,A307510,TIGER 의료기기,20201216,20497
164,A307510,TIGER 의료기기,20201215,20567
165,A307510,TIGER 의료기기,20201214,20567
166,A307510,TIGER 의료기기,20201211,20417
167,A307510,TIGER 의료기기,20201210,20108
168,A307510,TIGER 의료기기,20201209,20178
169,A307510,TIGER 의료기기,20201208,20288
170,A307510,TIGER 의료기기,20201207,20946
171,A307510,TIGER 의료기기,20201204,20183
172,A307510,TIGER 의료기기,20201203,19879
173,A307510,TIGER 의료기기,20201202,19699
174,A307510,TIGER 의료기기,20201201,19634
175,A307510,TIGER 의료기기,20201130,19525
176,A307510,TIGER 의료기기,20201127,19674
177,A307510,TIGER 의료기기,20201126,19245
178,A307510,TIGER 의료기기,20201125,18991
179,A307510,TIGER 의료기기,20201124,19345
180,A307510,TIGER 의료기기,20201123,20048
181,A307510,TIGER 의료기기,20201120,19869
182,A307510,TIGER 의료기기,20201119,19759
183,A307510,TIGER 의료기기,20201118,19345
184,A307510,TIGER 의료기기,20201117,18881
185,A307510,TIGER 의료기기,20201116,19759
186,A307510,TIGER 의료기기,20201113,19649
187,A307510,TIGER 의료기기,20201112,19480
188,A307510,TIGER 의료기기,20201111,19754
189,A307510,TIGER 의료기기,20201110,20103
190,A307510,TIGER 의료기기,20201109,20961
191,A307510,TIGER 의료기기,20201106,20587
192,A307510,TIGER 의료기기,20201105,21170
193,A307510,TIGER 의료기기,20201104,20358
194,A307510,TIGER 의료기기,20201103,20392
195,A307510,TIGER 의료기기,20201102,20133
196,A307510,TIGER 의료기기,20201030,19879
197,A307510,TIGER 의료기기,20201029,20387
198,A307510,TIGER 의료기기,20201028,20073
199,A307510,TIGER 의료기기,20201027,19570
200,A307510,TIGER 의료기기,20201026,19116
201,A307510,TIGER 의료기기,20201023,20213
202,A307510,TIGER 의료기기,20201022,20318
203,A307510,TIGER 의료기기,20201021,20771
204,A307510,TIGER 의료기기,20201020,20801
205,A307510,TIGER 의료기기,20201019,20756
206,A307510,TIGER 의료기기,20201016,21240
207,A307510,TIGER 의료기기,20201015,21525
208,A307510,TIGER 의료기기,20201014,21919
209,A307510,TIGER 의료기기,20201013,21779
210,A307510,TIGER 의료기기,20201012,22193
211,A307510,TIGER 의료기기,20201008,22572
212,A307510,TIGER 의료기기,20201007,22218
213,A307510,TIGER 의료기기,20201006,21894
214,A307510,TIGER 의료기기,20201005,21799
215,A307510,TIGER 의료기기,20200929,21091
216,A307510,TIGER 의료기기,20200928,20667
217,A307510,TIGER 의료기기,20200925,19973
218,A307510,TIGER 의료기기,20200924,20138
219,A307510,TIGER 의료기기,20200923,21340
220,A307510,TIGER 의료기기,20200922,21375
221,A307510,TIGER 의료기기,20200921,21205
222,A307510,TIGER 의료기기,20200918,21709
223,A307510,TIGER 의료기기,20200917,21909
224,A307510,TIGER 의료기기,20200916,21804
225,A307510,TIGER 의료기기,20200915,21644
226,A307510,TIGER 의료기기,20200914,21250
227,A307510,TIGER 의료기기,20200911,21165
228,A307510,TIGER 의료기기,20200910,20801
229,A307510,TIGER 의료기기,20200909,20447
230,A307510,TIGER 의료기기,20200908,20697
231,A307510,TIGER 의료기기,20200907,20766
232,A307510,TIGER 의료기기,20200904,19978
233,A307510,TIGER 의료기기,20200903,20113
234,A307510,TIGER 의료기기,20200902,20128
235,A307510,TIGER 의료기기,20200901,20008
236,A307510,TIGER 의료기기,20200831,20128
237,A307510,TIGER 의료기기,20200828,19749
238,A307510,TIGER 의료기기,20200827,19964
239,A307510,TIGER 의료기기,20200826,19774
240,A307510,TIGER 의료기기,20200825,19634
241,A307510,TIGER 의료기기,20200824,19445
242,A307510,TIGER 의료기기,20200821,18752
243,A307510,TIGER 의료기기,20200820,18951
244,A307510,TIGER 의료기기,20200819,19255
