,종목코드,종목명,날짜,종가
0,A123310,TIGER 인버스,20210812,4200
1,A123310,TIGER 인버스,20210811,4195
2,A123310,TIGER 인버스,20210810,4165
3,A123310,TIGER 인버스,20210809,4135
4,A123310,TIGER 인버스,20210806,4115
5,A123310,TIGER 인버스,20210805,4100
6,A123310,TIGER 인버스,20210804,4085
7,A123310,TIGER 인버스,20210803,4150
8,A123310,TIGER 인버스,20210802,4180
9,A123310,TIGER 인버스,20210730,4205
10,A123310,TIGER 인버스,20210729,4150
11,A123310,TIGER 인버스,20210728,4165
12,A123310,TIGER 인버스,20210727,4165
13,A123310,TIGER 인버스,20210726,4175
14,A123310,TIGER 인버스,20210723,4140
15,A123310,TIGER 인버스,20210722,4145
16,A123310,TIGER 인버스,20210721,4195
17,A123310,TIGER 인버스,20210720,4175
18,A123310,TIGER 인버스,20210719,4155
19,A123310,TIGER 인버스,20210716,4115
20,A123310,TIGER 인버스,20210715,4090
21,A123310,TIGER 인버스,20210714,4125
22,A123310,TIGER 인버스,20210713,4105
23,A123310,TIGER 인버스,20210712,4145
24,A123310,TIGER 인버스,20210709,4190
25,A123310,TIGER 인버스,20210708,4135
26,A123310,TIGER 인버스,20210707,4095
27,A123310,TIGER 인버스,20210706,4070
28,A123310,TIGER 인버스,20210705,4085
29,A123310,TIGER 인버스,20210702,4105
30,A123310,TIGER 인버스,20210701,4095
31,A123310,TIGER 인버스,20210630,4075
32,A123310,TIGER 인버스,20210629,4085
33,A123310,TIGER 인버스,20210628,4065
34,A123310,TIGER 인버스,20210625,4070
35,A123310,TIGER 인버스,20210624,4090
36,A123310,TIGER 인버스,20210623,4100
37,A123310,TIGER 인버스,20210622,4120
38,A123310,TIGER 인버스,20210621,4155
39,A123310,TIGER 인버스,20210618,4110
40,A123310,TIGER 인버스,20210617,4125
41,A123310,TIGER 인버스,20210616,4100
42,A123310,TIGER 인버스,20210615,4125
43,A123310,TIGER 인버스,20210614,4135
44,A123310,TIGER 인버스,20210611,4140
45,A123310,TIGER 인버스,20210610,4160
46,A123310,TIGER 인버스,20210609,4180
47,A123310,TIGER 인버스,20210608,4140
48,A123310,TIGER 인버스,20210607,4125
49,A123310,TIGER 인버스,20210604,4150
50,A123310,TIGER 인버스,20210603,4125
51,A123310,TIGER 인버스,20210602,4165
52,A123310,TIGER 인버스,20210601,4165
53,A123310,TIGER 인버스,20210531,4190
54,A123310,TIGER 인버스,20210528,4205
55,A123310,TIGER 인버스,20210527,4230
56,A123310,TIGER 인버스,20210526,4230
57,A123310,TIGER 인버스,20210525,4220
58,A123310,TIGER 인버스,20210524,4265
59,A123310,TIGER 인버스,20210521,4245
60,A123310,TIGER 인버스,20210520,4250
61,A123310,TIGER 인버스,20210518,4240
62,A123310,TIGER 인버스,20210517,4290
63,A123310,TIGER 인버스,20210514,4265
64,A123310,TIGER 인버스,20210513,4305
65,A123310,TIGER 인버스,20210512,4260
66,A123310,TIGER 인버스,20210511,4190
67,A123310,TIGER 인버스,20210510,4115
68,A123310,TIGER 인버스,20210507,4175
69,A123310,TIGER 인버스,20210506,4220
70,A123310,TIGER 인버스,20210504,4235
71,A123310,TIGER 인버스,20210503,4280
72,A123310,TIGER 인버스,20210430,4255
73,A123310,TIGER 인버스,20210429,4220
74,A123310,TIGER 인버스,20210428,4205
75,A123310,TIGER 인버스,20210427,4155
76,A123310,TIGER 인버스,20210426,4170
77,A123310,TIGER 인버스,20210423,4205
78,A123310,TIGER 인버스,20210422,4210
79,A123310,TIGER 인버스,20210421,4215
80,A123310,TIGER 인버스,20210420,4135
81,A123310,TIGER 인버스,20210419,4165
82,A123310,TIGER 인버스,20210416,4165
83,A123310,TIGER 인버스,20210415,4160
84,A123310,TIGER 인버스,20210414,4165
85,A123310,TIGER 인버스,20210413,4200
86,A123310,TIGER 인버스,20210412,4250
87,A123310,TIGER 인버스,20210409,4235
88,A123310,TIGER 인버스,20210408,4225
89,A123310,TIGER 인버스,20210407,4225
90,A123310,TIGER 인버스,20210406,4225
91,A123310,TIGER 인버스,20210405,4225
92,A123310,TIGER 인버스,20210402,4245
93,A123310,TIGER 인버스,20210401,4280
94,A123310,TIGER 인버스,20210331,4325
95,A123310,TIGER 인버스,20210330,4320
96,A123310,TIGER 인버스,20210329,4375
97,A123310,TIGER 인버스,20210326,4360
98,A123310,TIGER 인버스,20210325,4405
99,A123310,TIGER 인버스,20210324,4420
100,A123310,TIGER 인버스,20210323,4400
101,A123310,TIGER 인버스,20210322,4365
102,A123310,TIGER 인버스,20210319,4360
103,A123310,TIGER 인버스,20210318,4315
104,A123310,TIGER 인버스,20210317,4345
105,A123310,TIGER 인버스,20210316,4320
106,A123310,TIGER 인버스,20210315,4360
107,A123310,TIGER 인버스,20210312,4335
108,A123310,TIGER 인버스,20210311,4370
109,A123310,TIGER 인버스,20210310,4460
110,A123310,TIGER 인버스,20210309,4440
111,A123310,TIGER 인버스,20210308,4405
112,A123310,TIGER 인버스,20210305,4370
113,A123310,TIGER 인버스,20210304,4350
114,A123310,TIGER 인버스,20210303,4300
115,A123310,TIGER 인버스,20210302,4355
116,A123310,TIGER 인버스,20210226,4395
117,A123310,TIGER 인버스,20210225,4275
118,A123310,TIGER 인버스,20210224,4450
119,A123310,TIGER 인버스,20210223,4345
120,A123310,TIGER 인버스,20210222,4340
121,A123310,TIGER 인버스,20210219,4300
122,A123310,TIGER 인버스,20210218,4335
123,A123310,TIGER 인버스,20210217,4270
124,A123310,TIGER 인버스,20210216,4225
125,A123310,TIGER 인버스,20210215,4245
126,A123310,TIGER 인버스,20210210,4305
127,A123310,TIGER 인버스,20210209,4335
128,A123310,TIGER 인버스,20210208,4320
129,A123310,TIGER 인버스,20210205,4285
130,A123310,TIGER 인버스,20210204,4345
131,A123310,TIGER 인버스,20210203,4255
132,A123310,TIGER 인버스,20210202,4295
133,A123310,TIGER 인버스,20210201,4365
134,A123310,TIGER 인버스,20210129,4495
135,A123310,TIGER 인버스,20210128,4380
136,A123310,TIGER 인버스,20210127,4295
137,A123310,TIGER 인버스,20210126,4285
138,A123310,TIGER 인버스,20210125,4160
139,A123310,TIGER 인버스,20210122,4260
140,A123310,TIGER 인버스,20210121,4235
141,A123310,TIGER 인버스,20210120,4300
142,A123310,TIGER 인버스,20210119,4320
143,A123310,TIGER 인버스,20210118,4440
144,A123310,TIGER 인버스,20210115,4335
145,A123310,TIGER 인버스,20210114,4245
146,A123310,TIGER 인버스,20210113,4235
147,A123310,TIGER 인버스,20210112,4265
148,A123310,TIGER 인버스,20210111,4230
149,A123310,TIGER 인버스,20210108,4240
150,A123310,TIGER 인버스,20210107,4430
151,A123310,TIGER 인버스,20210106,4550
152,A123310,TIGER 인버스,20210105,4505
153,A123310,TIGER 인버스,20210104,4565
154,A123310,TIGER 인버스,20201230,4690
155,A123310,TIGER 인버스,20201229,4805
156,A123310,TIGER 인버스,20201228,4885
157,A123310,TIGER 인버스,20201224,4905
158,A123310,TIGER 인버스,20201223,5015
159,A123310,TIGER 인버스,20201222,5080
160,A123310,TIGER 인버스,20201221,4995
161,A123310,TIGER 인버스,20201218,5000
162,A123310,TIGER 인버스,20201217,5000
163,A123310,TIGER 인버스,20201216,4990
164,A123310,TIGER 인버스,20201215,5010
165,A123310,TIGER 인버스,20201214,5005
166,A123310,TIGER 인버스,20201211,4985
167,A123310,TIGER 인버스,20201210,5030
168,A123310,TIGER 인버스,20201209,5005
169,A123310,TIGER 인버스,20201208,5115
170,A123310,TIGER 인버스,20201207,5035
171,A123310,TIGER 인버스,20201204,5055
172,A123310,TIGER 인버스,20201203,5150
173,A123310,TIGER 인버스,20201202,5185
174,A123310,TIGER 인버스,20201201,5275
175,A123310,TIGER 인버스,20201130,5365
