,종목코드,종목명,날짜,종가
0,A277640,TIGER 코스피대형주,20210812,15660
1,A277640,TIGER 코스피대형주,20210811,15660
2,A277640,TIGER 코스피대형주,20210810,15785
3,A277640,TIGER 코스피대형주,20210809,15900
4,A277640,TIGER 코스피대형주,20210806,15940
5,A277640,TIGER 코스피대형주,20210805,16030
6,A277640,TIGER 코스피대형주,20210804,16030
7,A277640,TIGER 코스피대형주,20210803,15865
8,A277640,TIGER 코스피대형주,20210802,15710
9,A277640,TIGER 코스피대형주,20210730,15630
10,A277640,TIGER 코스피대형주,20210729,15850
11,A277640,TIGER 코스피대형주,20210728,15730
12,A277640,TIGER 코스피대형주,20210727,15780
13,A277640,TIGER 코스피대형주,20210726,15780
14,A277640,TIGER 코스피대형주,20210723,15910
15,A277640,TIGER 코스피대형주,20210722,15835
16,A277640,TIGER 코스피대형주,20210721,15740
17,A277640,TIGER 코스피대형주,20210720,15795
18,A277640,TIGER 코스피대형주,20210719,15860
19,A277640,TIGER 코스피대형주,20210716,15995
20,A277640,TIGER 코스피대형주,20210715,16060
21,A277640,TIGER 코스피대형주,20210714,16010
22,A277640,TIGER 코스피대형주,20210713,16025
23,A277640,TIGER 코스피대형주,20210712,15890
24,A277640,TIGER 코스피대형주,20210709,15800
25,A277640,TIGER 코스피대형주,20210708,15990
26,A277640,TIGER 코스피대형주,20210707,16080
27,A277640,TIGER 코스피대형주,20210706,16210
28,A277640,TIGER 코스피대형주,20210705,16130
29,A277640,TIGER 코스피대형주,20210702,16050
30,A277640,TIGER 코스피대형주,20210701,16100
31,A277640,TIGER 코스피대형주,20210630,16165
32,A277640,TIGER 코스피대형주,20210629,16100
33,A277640,TIGER 코스피대형주,20210628,16200
34,A277640,TIGER 코스피대형주,20210625,16185
35,A277640,TIGER 코스피대형주,20210624,16170
36,A277640,TIGER 코스피대형주,20210623,16070
37,A277640,TIGER 코스피대형주,20210622,15985
38,A277640,TIGER 코스피대형주,20210621,15885
39,A277640,TIGER 코스피대형주,20210618,16045
40,A277640,TIGER 코스피대형주,20210617,15970
41,A277640,TIGER 코스피대형주,20210616,16055
42,A277640,TIGER 코스피대형주,20210615,15955
43,A277640,TIGER 코스피대형주,20210614,15930
44,A277640,TIGER 코스피대형주,20210611,15910
45,A277640,TIGER 코스피대형주,20210610,15800
46,A277640,TIGER 코스피대형주,20210609,15755
47,A277640,TIGER 코스피대형주,20210608,15900
48,A277640,TIGER 코스피대형주,20210607,15930
49,A277640,TIGER 코스피대형주,20210604,15850
50,A277640,TIGER 코스피대형주,20210603,15985
51,A277640,TIGER 코스피대형주,20210602,15770
52,A277640,TIGER 코스피대형주,20210601,15810
53,A277640,TIGER 코스피대형주,20210531,15690
54,A277640,TIGER 코스피대형주,20210528,15670
55,A277640,TIGER 코스피대형주,20210527,15560
56,A277640,TIGER 코스피대형주,20210526,15585
57,A277640,TIGER 코스피대형주,20210525,15615
58,A277640,TIGER 코스피대형주,20210524,15530
59,A277640,TIGER 코스피대형주,20210521,15550
60,A277640,TIGER 코스피대형주,20210520,15510
61,A277640,TIGER 코스피대형주,20210518,15605
62,A277640,TIGER 코스피대형주,20210517,15435
63,A277640,TIGER 코스피대형주,20210514,15545
64,A277640,TIGER 코스피대형주,20210513,15365
65,A277640,TIGER 코스피대형주,20210512,15585
66,A277640,TIGER 코스피대형주,20210511,15790
67,A277640,TIGER 코스피대형주,20210510,16035
68,A277640,TIGER 코스피대형주,20210507,15795
69,A277640,TIGER 코스피대형주,20210506,15645
70,A277640,TIGER 코스피대형주,20210504,15500
71,A277640,TIGER 코스피대형주,20210503,15505
72,A277640,TIGER 코스피대형주,20210430,15560
73,A277640,TIGER 코스피대형주,20210429,15700
74,A277640,TIGER 코스피대형주,20210428,15770
75,A277640,TIGER 코스피대형주,20210427,15938
76,A277640,TIGER 코스피대형주,20210426,15908
77,A277640,TIGER 코스피대형주,20210423,15745
78,A277640,TIGER 코스피대형주,20210422,15735
79,A277640,TIGER 코스피대형주,20210421,15755
80,A277640,TIGER 코스피대형주,20210420,15992
81,A277640,TIGER 코스피대형주,20210419,15913
82,A277640,TIGER 코스피대형주,20210416,15982
83,A277640,TIGER 코스피대형주,20210415,15908
84,A277640,TIGER 코스피대형주,20210414,15858
85,A277640,TIGER 코스피대형주,20210413,15834
86,A277640,TIGER 코스피대형주,20210412,15606
87,A277640,TIGER 코스피대형주,20210409,15621
88,A277640,TIGER 코스피대형주,20210408,15685
89,A277640,TIGER 코스피대형주,20210407,15690
90,A277640,TIGER 코스피대형주,20210406,15676
91,A277640,TIGER 코스피대형주,20210405,15611
92,A277640,TIGER 코스피대형주,20210402,15597
93,A277640,TIGER 코스피대형주,20210401,15409
94,A277640,TIGER 코스피대형주,20210331,15300
95,A277640,TIGER 코스피대형주,20210330,15320
96,A277640,TIGER 코스피대형주,20210329,15122
97,A277640,TIGER 코스피대형주,20210326,15117
98,A277640,TIGER 코스피대형주,20210325,14984
99,A277640,TIGER 코스피대형주,20210324,14924
100,A277640,TIGER 코스피대형주,20210323,14969
101,A277640,TIGER 코스피대형주,20210322,15127
102,A277640,TIGER 코스피대형주,20210319,15132
103,A277640,TIGER 코스피대형주,20210318,15295
104,A277640,TIGER 코스피대형주,20210317,15191
105,A277640,TIGER 코스피대형주,20210316,15305
106,A277640,TIGER 코스피대형주,20210315,15216
107,A277640,TIGER 코스피대형주,20210312,15280
108,A277640,TIGER 코스피대형주,20210311,15152
109,A277640,TIGER 코스피대형주,20210310,14826
110,A277640,TIGER 코스피대형주,20210309,14919
111,A277640,TIGER 코스피대형주,20210308,14984
112,A277640,TIGER 코스피대형주,20210305,15137
113,A277640,TIGER 코스피대형주,20210304,15221
114,A277640,TIGER 코스피대형주,20210303,15379
115,A277640,TIGER 코스피대형주,20210302,15236
116,A277640,TIGER 코스피대형주,20210226,15078
117,A277640,TIGER 코스피대형주,20210225,15488
118,A277640,TIGER 코스피대형주,20210224,15028
119,A277640,TIGER 코스피대형주,20210223,15369
120,A277640,TIGER 코스피대형주,20210222,15394
121,A277640,TIGER 코스피대형주,20210219,15409
122,A277640,TIGER 코스피대형주,20210218,15414
123,A277640,TIGER 코스피대형주,20210217,15606
124,A277640,TIGER 코스피대형주,20210216,15755
125,A277640,TIGER 코스피대형주,20210215,15700
126,A277640,TIGER 코스피대형주,20210210,15508
127,A277640,TIGER 코스피대형주,20210209,15394
128,A277640,TIGER 코스피대형주,20210208,15463
129,A277640,TIGER 코스피대형주,20210205,15567
130,A277640,TIGER 코스피대형주,20210204,15438
131,A277640,TIGER 코스피대형주,20210203,15636
132,A277640,TIGER 코스피대형주,20210202,15488
133,A277640,TIGER 코스피대형주,20210201,15270
134,A277640,TIGER 코스피대형주,20210129,14989
135,A277640,TIGER 코스피대형주,20210128,15305
136,A277640,TIGER 코스피대형주,20210127,15616
137,A277640,TIGER 코스피대형주,20210126,15705
138,A277640,TIGER 코스피대형주,20210125,16061
139,A277640,TIGER 코스피대형주,20210122,15725
140,A277640,TIGER 코스피대형주,20210121,15784
141,A277640,TIGER 코스피대형주,20210120,15513
142,A277640,TIGER 코스피대형주,20210119,15429
143,A277640,TIGER 코스피대형주,20210118,14999
144,A277640,TIGER 코스피대형주,20210115,15473
145,A277640,TIGER 코스피대형주,20210114,15779
146,A277640,TIGER 코스피대형주,20210113,15834
147,A277640,TIGER 코스피대형주,20210112,15656
148,A277640,TIGER 코스피대형주,20210111,15863
149,A277640,TIGER 코스피대형주,20210108,15750
150,A277640,TIGER 코스피대형주,20210107,15108
151,A277640,TIGER 코스피대형주,20210106,14757
152,A277640,TIGER 코스피대형주,20210105,14861
153,A277640,TIGER 코스피대형주,20210104,14648
154,A277640,TIGER 코스피대형주,20201230,14258
155,A277640,TIGER 코스피대형주,20201229,13982
156,A277640,TIGER 코스피대형주,20201228,13740
157,A277640,TIGER 코스피대형주,20201224,13725
158,A277640,TIGER 코스피대형주,20201223,13458
159,A277640,TIGER 코스피대형주,20201222,13275
160,A277640,TIGER 코스피대형주,20201221,13473
161,A277640,TIGER 코스피대형주,20201218,13433
162,A277640,TIGER 코스피대형주,20201217,13478
163,A277640,TIGER 코스피대형주,20201216,13502
164,A277640,TIGER 코스피대형주,20201215,13448
165,A277640,TIGER 코스피대형주,20201214,13478
166,A277640,TIGER 코스피대형주,20201211,13483
167,A277640,TIGER 코스피대형주,20201210,13384
168,A277640,TIGER 코스피대형주,20201209,13478
169,A277640,TIGER 코스피대형주,20201208,13211
170,A277640,TIGER 코스피대형주,20201207,13384
171,A277640,TIGER 코스피대형주,20201204,13295
172,A277640,TIGER 코스피대형주,20201203,13073
173,A277640,TIGER 코스피대형주,20201202,12989
174,A277640,TIGER 코스피대형주,20201201,12781
175,A277640,TIGER 코스피대형주,20201130,12549
176,A277640,TIGER 코스피대형주,20201127,12771
177,A277640,TIGER 코스피대형주,20201126,12776
178,A277640,TIGER 코스피대형주,20201125,12653
179,A277640,TIGER 코스피대형주,20201124,12688
180,A277640,TIGER 코스피대형주,20201123,12638
181,A277640,TIGER 코스피대형주,20201120,12322
182,A277640,TIGER 코스피대형주,20201119,12278
183,A277640,TIGER 코스피대형주,20201118,12317
184,A277640,TIGER 코스피대형주,20201117,12297
185,A277640,TIGER 코스피대형주,20201116,12283
186,A277640,TIGER 코스피대형주,20201113,12080
187,A277640,TIGER 코스피대형주,20201112,11942
188,A277640,TIGER 코스피대형주,20201111,11996
189,A277640,TIGER 코스피대형주,20201110,11789
190,A277640,TIGER 코스피대형주,20201109,11833
191,A277640,TIGER 코스피대형주,20201106,11675
192,A277640,TIGER 코스피대형주,20201105,11655
193,A277640,TIGER 코스피대형주,20201104,11354
194,A277640,TIGER 코스피대형주,20201103,11290
195,A277640,TIGER 코스피대형주,20201102,11132
196,A277640,TIGER 코스피대형주,20201030,10974
197,A277640,TIGER 코스피대형주,20201029,11250
198,A277640,TIGER 코스피대형주,20201028,11369
199,A277640,TIGER 코스피대형주,20201027,11300
200,A277640,TIGER 코스피대형주,20201026,11354
201,A277640,TIGER 코스피대형주,20201023,11423
202,A277640,TIGER 코스피대형주,20201022,11403
203,A277640,TIGER 코스피대형주,20201021,11467
204,A277640,TIGER 코스피대형주,20201020,11384
205,A277640,TIGER 코스피대형주,20201019,11379
206,A277640,TIGER 코스피대형주,20201016,11315
207,A277640,TIGER 코스피대형주,20201015,11369
208,A277640,TIGER 코스피대형주,20201014,11512
209,A277640,TIGER 코스피대형주,20201013,11546
210,A277640,TIGER 코스피대형주,20201012,11615
211,A277640,TIGER 코스피대형주,20201008,11507
212,A277640,TIGER 코스피대형주,20201007,11487
213,A277640,TIGER 코스피대형주,20201006,11418
214,A277640,TIGER 코스피대형주,20201005,11384
215,A277640,TIGER 코스피대형주,20200929,11260
216,A277640,TIGER 코스피대형주,20200928,11172
217,A277640,TIGER 코스피대형주,20200925,11048
218,A277640,TIGER 코스피대형주,20200924,10999
219,A277640,TIGER 코스피대형주,20200923,11246
220,A277640,TIGER 코스피대형주,20200922,11231
221,A277640,TIGER 코스피대형주,20200921,11581
222,A277640,TIGER 코스피대형주,20200918,11586
223,A277640,TIGER 코스피대형주,20200917,11571
224,A277640,TIGER 코스피대형주,20200916,11734
225,A277640,TIGER 코스피대형주,20200915,11749
226,A277640,TIGER 코스피대형주,20200914,11635
227,A277640,TIGER 코스피대형주,20200911,11512
228,A277640,TIGER 코스피대형주,20200910,11517
229,A277640,TIGER 코스피대형주,20200909,11408
230,A277640,TIGER 코스피대형주,20200908,11477
231,A277640,TIGER 코스피대형주,20200907,11384
