,종목코드,종목명,날짜,종가
0,A385720,TIMEFOLIO Kstock액티브,20210812,10415
1,A385720,TIMEFOLIO Kstock액티브,20210811,10325
2,A385720,TIMEFOLIO Kstock액티브,20210810,10305
3,A385720,TIMEFOLIO Kstock액티브,20210809,10485
4,A385720,TIMEFOLIO Kstock액티브,20210806,10440
5,A385720,TIMEFOLIO Kstock액티브,20210805,10415
6,A385720,TIMEFOLIO Kstock액티브,20210804,10415
7,A385720,TIMEFOLIO Kstock액티브,20210803,10250
8,A385720,TIMEFOLIO Kstock액티브,20210802,10155
9,A385720,TIMEFOLIO Kstock액티브,20210730,10115
10,A385720,TIMEFOLIO Kstock액티브,20210729,10215
11,A385720,TIMEFOLIO Kstock액티브,20210728,10175
12,A385720,TIMEFOLIO Kstock액티브,20210727,10240
13,A385720,TIMEFOLIO Kstock액티브,20210726,10215
14,A385720,TIMEFOLIO Kstock액티브,20210723,10305
15,A385720,TIMEFOLIO Kstock액티브,20210722,10315
16,A385720,TIMEFOLIO Kstock액티브,20210721,10185
17,A385720,TIMEFOLIO Kstock액티브,20210720,10285
18,A385720,TIMEFOLIO Kstock액티브,20210719,10380
19,A385720,TIMEFOLIO Kstock액티브,20210716,10385
20,A385720,TIMEFOLIO Kstock액티브,20210715,10400
21,A385720,TIMEFOLIO Kstock액티브,20210714,10300
22,A385720,TIMEFOLIO Kstock액티브,20210713,10250
23,A385720,TIMEFOLIO Kstock액티브,20210712,10155
24,A385720,TIMEFOLIO Kstock액티브,20210709,10075
25,A385720,TIMEFOLIO Kstock액티브,20210708,10115
26,A385720,TIMEFOLIO Kstock액티브,20210707,10250
27,A385720,TIMEFOLIO Kstock액티브,20210706,10320
28,A385720,TIMEFOLIO Kstock액티브,20210705,10300
29,A385720,TIMEFOLIO Kstock액티브,20210702,10270
30,A385720,TIMEFOLIO Kstock액티브,20210701,10290
31,A385720,TIMEFOLIO Kstock액티브,20210630,10300
32,A385720,TIMEFOLIO Kstock액티브,20210629,10270
33,A385720,TIMEFOLIO Kstock액티브,20210628,10310
34,A385720,TIMEFOLIO Kstock액티브,20210625,10380
35,A385720,TIMEFOLIO Kstock액티브,20210624,10390
36,A385720,TIMEFOLIO Kstock액티브,20210623,10330
37,A385720,TIMEFOLIO Kstock액티브,20210622,10225
38,A385720,TIMEFOLIO Kstock액티브,20210621,10220
39,A385720,TIMEFOLIO Kstock액티브,20210618,10295
40,A385720,TIMEFOLIO Kstock액티브,20210617,10270
41,A385720,TIMEFOLIO Kstock액티브,20210616,10270
42,A385720,TIMEFOLIO Kstock액티브,20210615,10230
43,A385720,TIMEFOLIO Kstock액티브,20210614,10220
44,A385720,TIMEFOLIO Kstock액티브,20210611,10235
45,A385720,TIMEFOLIO Kstock액티브,20210610,10130
46,A385720,TIMEFOLIO Kstock액티브,20210609,10110
47,A385720,TIMEFOLIO Kstock액티브,20210608,10195
48,A385720,TIMEFOLIO Kstock액티브,20210607,10205
49,A385720,TIMEFOLIO Kstock액티브,20210604,10185
50,A385720,TIMEFOLIO Kstock액티브,20210603,10245
51,A385720,TIMEFOLIO Kstock액티브,20210602,10155
52,A385720,TIMEFOLIO Kstock액티브,20210601,10120
53,A385720,TIMEFOLIO Kstock액티브,20210531,10080
54,A385720,TIMEFOLIO Kstock액티브,20210528,10045
55,A385720,TIMEFOLIO Kstock액티브,20210527,9965
56,A385720,TIMEFOLIO Kstock액티브,20210526,9975
57,A385720,TIMEFOLIO Kstock액티브,20210525,9975
