,종목코드,종목명,날짜,종가
0,A053950,경남제약,20210812,7170
1,A053950,경남제약,20210811,7170
2,A053950,경남제약,20210810,7080
3,A053950,경남제약,20210809,7100
4,A053950,경남제약,20210806,7200
5,A053950,경남제약,20210805,7290
6,A053950,경남제약,20210804,7180
7,A053950,경남제약,20210803,7090
8,A053950,경남제약,20210802,7000
9,A053950,경남제약,20210730,7060
10,A053950,경남제약,20210729,7130
11,A053950,경남제약,20210728,7330
12,A053950,경남제약,20210727,7350
13,A053950,경남제약,20210726,6980
14,A053950,경남제약,20210723,7010
15,A053950,경남제약,20210722,7020
16,A053950,경남제약,20210721,6980
17,A053950,경남제약,20210720,7040
18,A053950,경남제약,20210719,7100
19,A053950,경남제약,20210716,7370
20,A053950,경남제약,20210715,7570
21,A053950,경남제약,20210714,7800
22,A053950,경남제약,20210713,8140
23,A053950,경남제약,20210712,7730
24,A053950,경남제약,20210709,7360
25,A053950,경남제약,20210708,7010
26,A053950,경남제약,20210707,7080
27,A053950,경남제약,20210706,6950
28,A053950,경남제약,20210705,6950
29,A053950,경남제약,20210702,6920
30,A053950,경남제약,20210701,6960
31,A053950,경남제약,20210630,7030
32,A053950,경남제약,20210629,6980
33,A053950,경남제약,20210628,7740
34,A053950,경남제약,20210625,7780
35,A053950,경남제약,20210624,7450
36,A053950,경남제약,20210623,7500
37,A053950,경남제약,20210622,7390
38,A053950,경남제약,20210621,7500
39,A053950,경남제약,20210618,7280
40,A053950,경남제약,20210617,7270
41,A053950,경남제약,20210616,7010
42,A053950,경남제약,20210615,7010
43,A053950,경남제약,20210614,7040
44,A053950,경남제약,20210611,6950
45,A053950,경남제약,20210610,6920
46,A053950,경남제약,20210609,6920
47,A053950,경남제약,20210608,6930
48,A053950,경남제약,20210607,6960
49,A053950,경남제약,20210604,6890
50,A053950,경남제약,20210603,6970
51,A053950,경남제약,20210602,6940
52,A053950,경남제약,20210601,6960
53,A053950,경남제약,20210531,6960
54,A053950,경남제약,20210528,6860
55,A053950,경남제약,20210527,6760
56,A053950,경남제약,20210526,6730
57,A053950,경남제약,20210525,6730
58,A053950,경남제약,20210524,6730
59,A053950,경남제약,20210521,6780
60,A053950,경남제약,20210520,6770
61,A053950,경남제약,20210518,6810
62,A053950,경남제약,20210517,6830
63,A053950,경남제약,20210514,6900
64,A053950,경남제약,20210513,6910
65,A053950,경남제약,20210512,6970
66,A053950,경남제약,20210511,6990
67,A053950,경남제약,20210510,7140
68,A053950,경남제약,20210507,7060
69,A053950,경남제약,20210506,7090
